Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ai	ai	AI	abvd	WHERE	abvd_181_where_37
alu	alu	ALU	abvd	EIGHT	abvd_204_eight_3
aoro	aoro	AORO	abvd	YEAR	abvd_169_year_47
ara	ara	ARA	abvd	I	abvd_182_i_1
aroso	aroso	AROSO	abvd	ROPE	abvd_65_rope_2
asa-vea	asavea	ASABEA	abvd	HOW	-
avu	avu	ABU	abvd	LAUGH	abvd_33_tolaugh_61
añi	ai	AI	abvd	COUNT	abvd_196_tocount_47
babana	babana	BABANA	abvd	WING	abvd_100_wing_42
bagere	bagere	BAGERE	abvd	ROOT	abvd_115_root_19
baragoso	baragoso	BARAGOSO	abvd	OLD	abvd_162_old_60
baruku	baruku	BARUKU	abvd	BIRD	-
bata	bata	BATA	abvd	SEE	abvd_46_tosee_58
bati-	bati	BATI	abvd	SEE	abvd_46_tosee_58
batu	batu	BATU	abvd	HEAD	abvd_24_head_9
beto	beto	BETO	abvd	AND	abvd_192_and_24
boe	boe	BOE	abvd	YELLOW	abvd_150_yellow_51
boŋi	boi	BOI	abvd	NIGHT	abvd_167_night_1
boŋo	boo	BOO	abvd	COOK (SOMETHING)	-
bu	bu	BU	abvd	GREEN	abvd_151_green_19
bu-buru	buburu	BUBURU	abvd	GRASS	abvd_118_grass_19
buku	buku	BUKU	abvd	DRINK	abvd_40_todrink_31
dai	dai	DAI	abvd	NO OR NOT	abvd_195_nonot_59
dapu	dapu	DAPU	abvd	ALL	-
diana	diana	DIANA	abvd	COLD	abvd_139_cold_60
dole	dole	DOLE	abvd	SNAKE	abvd_106_snake_16
doma	doma	DOMA	abvd	SEE	abvd_46_tosee_21
doma-	doma	DOMA	abvd	SEE	abvd_46_tosee_21
doru	doru	DORU	abvd	ALL	abvd_191_all_47
elo	elo	ELO	abvd	LEAF	abvd_114_leaf_11
gabala	gabala	GABALA	abvd	TURN	-
gai	gai	GAI	abvd	WE	abvd_185_we_2?
gani	gani	GANI	abvd	EAT	abvd_37_toeat_1
garaba	garaba	GARABA	abvd	NEW	-
garata	garata	GARATA	abvd	BITE	abvd_41_tobite_1
garo	garo	GARO	abvd	SCRATCH	abvd_77_toscratch_1
gau	gau	GAU	abvd	STICK	abvd_79_stickwood_1
geli	geli	GELI	abvd	DIG	abvd_90_todig_1
gogoto	gogoto	GOGOTO	abvd	HUNDRED	abvd_209_onehundred_10
golomo	golomo	GOLOMO	abvd	HIDE	abvd_171_tohide_21
gona	gona	GONA	abvd	SHOOT	abvd_70_toshoot_25
guliti	guliti	GULITI	abvd	SKIN	abvd_12_skin_1
havoro	havoro	HABORO	abvd	FLOWER	abvd_116_flower_15
hiako	hiako	HIAKO	abvd	THOUSAND	-
i sei	isei	ISEI	abvd	WHO	abvd_189_who_1
idiki	idiki	IDIKI	abvd	MOSQUITO	-
igana	igana	IGANA	abvd	FISH	abvd_111_fish_1
igo	igo	IGO	abvd	SPIDER	-
iko	iko	IKO	abvd	STEAL	abvd_73_tosteal_13
iku	iku	IKU	abvd	FIRE	abvd_143_fire_28
isa	isa	ISA	abvd	HE OR SHE	abvd_184_heshe_13
isoŋo-na	isoona	ISOONA	abvd	NAME	abvd_63_name_26
isu	isu	ISU	abvd	NOSE	abvd_27_nose_1
ite	ite	ITE	abvd	SMALL	abvd_152_small_121
ivere	ivere	IBERE	abvd	SEA	abvd_124_sea_14
ivoro	ivoro	IBORO	abvd	WIND	abvd_136_wind_52
ivu	ivu	IBU	abvd	BLOW (OF WIND)	abvd_137_toblow_5
jimiri	jimiri	YIMIRI	abvd	RED	abvd_149_red_49
joŋa	joa	YOA	abvd	GOOD	abvd_164_good_74
ka-me	kame	KAME	abvd	ONE	abvd_197_one_31
kakasa	kakasa	KAKASA	abvd	LONG	abvd_155_long_61
kaki	kaki	KAKI	abvd	OTHER	abvd_190_other_21
kapi	kapi	KAPI	abvd	LIGHTNING	abvd_135_lightning_13
karuje	karuje	KARUYE	abvd	RAT	abvd_102_rat_3
kati	kati	KATI	abvd	NO OR NOT	-
kauru	kauru	KAURU	abvd	BELOW OR UNDER	abvd_176_below_13
kavu	kavu	KABU	abvd	ASH	abvd_146_ashes_68
kavuru	kavuru	KABURU	abvd	DUST	abvd_11_dust_72
keala	keala	KEALA	abvd	WHITE	abvd_148_white_52
kesa	kesa	KESA	abvd	CLIMB	abvd_172_toclimb_24
