Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a. pitali	apitali	APITALI	abvd	DRY	abvd_140_dry_74
aga	aga	AGA	abvd	IF	abvd_193_if_67
beku	beku	BEKU	abvd	FALL	abvd_95_tofall_25
beya	beya	BEUA	abvd	EAR	abvd_43_ear_66
beyabeya	beyabeya	BEUABEUA	abvd	OLD	abvd_162_old_50
bida	bida	BIDA	abvd	DIRTY	abvd_10_dirty_140
biki	biki	BIKI	abvd	DIRTY	abvd_10_dirty_139
bodi	bodi	BODI	abvd	SEW	abvd_67_tosew_7
boga	boga	BOGA	abvd	BELLY	abvd_14_belly_21
bogaboga	bogaboga	BOGABOGA	abvd	SWELL	abvd_87_toswell_18
boli	boli	BOLI	abvd	CUT OR HACK	abvd_78_tocuthack_51
bolimai	bolimai	BOLIMAI	abvd	YEAR	abvd_169_year_15
boni	boni	BONI	abvd	NIGHT	abvd_167_night_1
bui	bui	BUI	abvd	TURN	abvd_8_toturn_134
buluma	buluma	BULUMA	abvd	FLESH OR MEAT	abvd_103_meatflesh_34
busu	busu	BUSU	abvd	STAB	-
buta	buta	BUTA	abvd	WET	abvd_141_wet_20
bwasi	bwasi	BWASI	abvd	SQUEEZE	-
dabayalo	dabayalo	DABAUALO	abvd	SHOULDER	abvd_19_shoulder_27
dabyalo	dabyalo	DABUALO	abvd	SHOULDER	abvd_19_shoulder_27
dagela	dagela	DAGELA	abvd	BACK	abvd_13_back_22
dahi	dahi	DAHI	abvd	SKIN	abvd_12_skin_100
didi	didi	DIDI	abvd	FLOW	abvd_123_toflow_52
dimonana	dimonana	DIMONANA	abvd	WORM	abvd_107_wormearthworm_48
diyu	diyu	DIUU	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_41
dohagi	dohagi	DOHAGI	abvd	HOW	abvd_194_how_19
dou	dou	DOU	abvd	CRY	abvd_34_tocry_8
duba	duba	DUBA	abvd	BLACK	abvd_147_black_21
duduai	duduai	DUDUAI	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_96
dudulai	dudulai	DUDULAI	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_96
duwabwa	duwabwa	DUWABWA	abvd	WET	-
e-di	edi	EDI	abvd	AT	abvd_173_at_30
e-na	ena	ENA	abvd	AT	abvd_173_at_29
ena	ena	ENA	abvd	IF	abvd_193_if_82
gabae	gabae	GABAE	abvd	THROW	abvd_94_tothrow_117
gabu	gabu	GABU	abvd	BURN	abvd_144_toburn_16
gabwa	gabwa	GABWA	abvd	SEA	abvd_124_sea_73
gado	gado	GADO	abvd	NECK	abvd_25_neck_30
gagili	gagili	GAGILI	abvd	SMALL	abvd_152_small_68
gagili habulu	gagilihabulu	GAGILIHABULU	abvd	SMALL	-
gaigai	gaigai	GAIGAI	abvd	SPIDER	abvd_110_spider_90
galewa	galewa	GALEWA	abvd	SKY	abvd_128_sky_16
gamoli	gamoli	GAMOLI	abvd	SCRATCH	-
gatowa	gatowa	GATOWA	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
gawala	gawala	GAWALA	abvd	ASH	abvd_146_ashes_91
gigibai	gigibai	GIGIBAI	abvd	SCRATCH	-
gigibwali	gigibwali	GIGIBWALI	abvd	WARM	abvd_138_warm_49
giligili	giligili	GILIGILI	abvd	NARROW	abvd_158_narrow_86
gimwau	gimwau	GIMWAU	abvd	RAT	abvd_102_rat_94
giyali	giyali	GIUALI	abvd	DIG	abvd_90_todig_1
giyu	giyu	GIUU	abvd	TAIL	abvd_105_tail_1
goila	goila	GOILA	abvd	WATER	abvd_122_water_2
guni	guni	GUNI	abvd	BELOW OR UNDER	abvd_176_below_83
gwaugwau	gwaugwau	GWAUGWAU	abvd	COLD	abvd_139_cold_49
habulu	habulu	HABULU	abvd	SMALL	abvd_152_small_69
hae-di	haedi	HAEDI	abvd	WHERE	abvd_181_where_3
hae-na	haena	HAENA	abvd	WHERE	abvd_181_where_3
haeyona	haeyona	HAEUONA	abvd	THREE	abvd_199_three_66
haiyona	haiyona	HAIUONA	abvd	THREE	abvd_199_three_66
haligigi	haligigi	HALIGIGI	abvd	FIVE	abvd_201_five_23
haligigi hasi	haligigihasi	HALIGIGIHASI	abvd	EIGHT	-
haligigi kesega	haligigikesega	HALIGIGIKESEGA	abvd	SIX	-
haligigi labui	haligigilabui	HALIGIGILABUI	abvd	SEVEN	-
halo	halo	HALO	abvd	HUNT	abvd_69_tohunt_30
hasi	hasi	HASI	abvd	FOUR	abvd_200_four_1
hasili	hasili	HASILI	abvd	COUNT	abvd_196_tocount_20
hasu	hasu	HASU	abvd	HAIR	-
hauhau	hauhau	HAUHAU	abvd	NEW	abvd_163_new_1
hedede	hedede	HEDEDE	abvd	SAY	-
hekanihi	hekanihi	HEKANIHI	abvd	HOLD	-
hemaisa	hemaisa	HEMAISA	abvd	BUY	abvd_91_tobuy_69
hesa	hesa	HESA	abvd	NAME	abvd_63_name_1
hesau	hesau	HESAU	abvd	OTHER	abvd_190_other_68
heyawasi	heyawasi	HEUAWASI	abvd	EAT	-
himoyodi	himoyodi	HIMOUODI	abvd	MOSQUITO	-
himoyodi simwahihi	himoyodisimwahihi	HIMOUODISIMWAHIHI	abvd	MOSQUITO	-
igali	igali	IGALI	abvd	SPLIT	abvd_80_tosplit_31
ina	ina	INA	abvd	THIS	abvd_177_this_67
isi	isi	ISI	abvd	CUT OR HACK	abvd_78_tocuthack_10
isu	isu	ISU	abvd	NOSE	abvd_27_nose_1
iya	iya	IUA	abvd	HE OR SHE	abvd_184_heshe_1
kabi	kabi	KABI	abvd	HOLD	abvd_89_tohold_23
kae	kae	KAE	abvd	FOOT OR LEG	abvd_4_legfoot_1
kahakahatu	kahakahatu	KAHAKAHATU	abvd	RIGHT	abvd_3_right_78
kahusa	kahusa	KAHUSA	abvd	ASH	abvd_146_ashes_92
kai	kai	KAI	abvd	EAT	abvd_37_toeat_1
kaigeda	kaigeda	KAIGEDA	abvd	ONE	abvd_197_one_73
kaikaiwa	kaikaiwa	KAIKAIWA	abvd	STICK	abvd_79_stickwood_1
kaikewa	kaikewa	KAIKEWA	abvd	SEE	-
kaiso	kaiso	KAISO	abvd	SPIT	abvd_36_tospit_14
kaisunuwai	kaisunuwai	KAISUNUWAI	abvd	CHOOSE	abvd_85_tochoose_8
kaiteya	kaiteya	KAITEUA	abvd	WHO	-
kaiuya	kaiuya	KAIUUA	abvd	WHEN	abvd_170_when_1
kaiwa	kaiwa	KAIWA	abvd	FIRE	abvd_143_fire_35
kaiwahali	kaiwahali	KAIWAHALI	abvd	STEAL	abvd_73_tosteal_45
kala	kala	KALA	abvd	BURN	abvd_144_toburn_17
kalakalawa	kalakalawa	KALAKALAWA	abvd	GREEN	abvd_151_green_13
kalasi	kalasi	KALASI	abvd	BITE	abvd_41_tobite_1
kalita	kalita	KALITA	abvd	SEA	abvd_124_sea_68
kamkamna	kamkamna	KAMKAMNA	abvd	PAINFUL OR SICK	-
kamkamna kasiyebwa	kamkamnakasiyebwa	KAMKAMNAKASIUEBWA	abvd	PAINFUL OR SICK	-
kamwasa	kamwasa	KAMWASA	abvd	PATH OR ROAD	abvd_6_roadpath_29
kaniyo	kaniyo	KANIUO	abvd	FRUIT	abvd_117_fruit_16
kapu	kapu	KAPU	abvd	BITE	abvd_41_tobite_16
kapulau	kapulau	KAPULAU	abvd	BITE	abvd_41_tobite_16
kasiyebwa	kasiyebwa	KASIUEBWA	abvd	PAINFUL OR SICK	-
kasu	kasu	KASU	abvd	DUST	-
kasu mwasiyou	kasumwasiyou	KASUMWASIUOU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
kasu. mwasiyou	kasumwasiyou	KASUMWASIUOU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
kata	kata	KATA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_35
kate	kate	KATE	abvd	LIVER	abvd_17_liver_1
kawa	kawa	KAWA	abvd	MOUTH	abvd_30_mouth_36
keda	keda	KEDA	abvd	PATH OR ROAD	abvd_6_roadpath_12
keda-kubwa	kedakubwa	KEDAKUBWA	abvd	NEAR	-
keda-loha	kedaloha	KEDALOHA	abvd	FAR	abvd_180_far_23
kedewa	kedewa	KEDEWA	abvd	DOG	abvd_96_dog_18
keli	keli	KELI	abvd	DIG	abvd_90_todig_1
keno	keno	KENO	abvd	SLEEP	abvd_48_tosleep_8
keno suwai	kenosuwai	KENOSUWAI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
keno-wadam	kenowadam	KENOWADAM	abvd	HIDE	-
kesega	kesega	KESEGA	abvd	ONE	abvd_197_one_32
kewa	kewa	KEWA	abvd	ABOVE	abvd_175_above_39
