Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a'	aːl	AL	wikipron	-	-
a'	ɑː	A	wikipron	-	-
a'	ɔː	O	wikipron	-	-
A'an	ɑːn	AN	wikipron	-	-
a'gate	ɑːɡets	AGETS	wikipron	-	-
A'll	aːl	AL	wikipron	-	-
A'll	əl	EL	wikipron	-	-
A'm	aːm	AM	wikipron	-	-
a'ready	ɑːrɛdɪ	AREDI	wikipron	-	-
a'richt	ɑːrɪçt	ARIT	wikipron	-	-
A'v	aːv	AB	wikipron	-	-
aahing	ahɪŋ	AHIN	wikipron	-	-
Aan	aːn	AN	wikipron	-	-
Aan	ɑːn	AN	wikipron	-	-
aarm	ɑːrm	ARM	wikipron	-	-
ab	ab	AB	wikipron	-	-
aback	əbɑk	EBAK	wikipron	-	-
abade	əbed	EBED	wikipron	-	-
abaise	əbeːz	EBES	wikipron	-	-
abb	ab	AB	wikipron	-	-
abb	ɔb	OB	wikipron	-	-
abbacy	ɑbəsi	ABESI	wikipron	-	-
abble	abl	ABL	wikipron	-	-
abble	ebl	EBL	wikipron	-	-
abee	əbiː	EBI	wikipron	-	-
abeelity	əbilɪtɪ	EBILITI	wikipron	-	-
abeigh	əbiç	EBI	wikipron	-	-
aber	ɑːbər	ABER	wikipron	-	-
abir	ɑːbər	ABER	wikipron	-	-
abit	ɑːbət	ABET	wikipron	-	-
abit	ɛbit	EBIT	wikipron	-	-
ablach	eblɪç	EBLI	wikipron	-	-
ablach	ɑbləx	ABLEK	wikipron	-	-
ablach	ɑblɪç	ABLI	wikipron	-	-
able	ebl	EBL	wikipron	-	-
able	jɪbl	YIBL	wikipron	-	-
able	ɑːbl	ABL	wikipron	-	-
ableeged	əblid͡ʒd	EBLISD	wikipron	-	-
ablow	əbloː	EBLO	wikipron	-	-
aboot	əbut	EBUT	wikipron	-	-
Abraham	ɑːbrəhɑm	ABREHAM	wikipron	-	-
abraid	ʌbred	BRED	wikipron	-	-
abreed	əbrid	EBRID	wikipron	-	-
abreed	əbridθ	EBRIDT	wikipron	-	-
Abriven	abrɪvɪn	ABRIBIN	wikipron	-	-
absteen	əbsten	EBSTEN	wikipron	-	-
absteen	əbstin	EBSTIN	wikipron	-	-
abstersion	əbstɛrʃən	EBSTERSEN	wikipron	-	-
abstract	əbstrakt	EBSTRAKT	wikipron	-	-
abuilyiement	əbulɪmənt	EBULIMENT	wikipron	-	-
abuilyiement	əbøljɪmənt	EBELYIMENT	wikipron	-	-
abuilyiement	əbɔlɪmənt	EBOLIMENT	wikipron	-	-
abuilyiement	əbɔɪlɪmɪnt	EBOILIMINT	wikipron	-	-
abuilyiement	əbʌljəmənt	EBLYEMENT	wikipron	-	-
abuilyiement	əbʌlɪmənt	EBLIMENT	wikipron	-	-
abuin	əben	EBEN	wikipron	-	-
abuin	əbin	EBIN	wikipron	-	-
abuin	əbyn	EBUN	wikipron	-	-
abuin	əbøn	EBEN	wikipron	-	-
abuin	əbɪn	EBIN	wikipron	-	-
abuinheid	əbynhid	EBUNHID	wikipron	-	-
abuise	əbeːz	EBES	wikipron	-	-
abuise	əbiːz	EBIS	wikipron	-	-
abuise	əbøːz	EBES	wikipron	-	-
abuiss	əbis	EBIS	wikipron	-	-
abuiss	əbjɪs	EBYIS	wikipron	-	-
abuiss	əbøːs	EBES	wikipron	-	-
abuit	əbit	EBIT	wikipron	-	-
abuit	əbyt	EBUT	wikipron	-	-
abund	əbʌnd	EBND	wikipron	-	-
