Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
akaʔ	akaʔ	AKAH	abvd	ROOT	abvd_115_root_2
aku	aku	AKU	abvd	I	abvd_182_i_1
alaʔ	alaʔ	ALAH	abvd	FOREST	abvd_127_woodsforest_1
alli	alli	ALLI	abvd	BUY	abvd_91_tobuy_1
allo	allo	ALLO	abvd	DAY (NOT NIGHT)	abvd_168_day_1
ambeʔ	ambeʔ	AMBEH	abvd	FATHER	abvd_60_father_13
annan	annan	ANNAN	abvd	SIX	-
apa	apa	APA	abvd	WHAT	abvd_188_what_1
api	api	API	abvd	FIRE	abvd_143_fire_1
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
au	au	AU	abvd	DUST	abvd_11_dust_1?
aŋin	ain	AIN	abvd	WIND	abvd_136_wind_1
aʔpaʔ	aʔpaʔ	AHPAH	abvd	FOUR	abvd_200_four_1
baine	baine	BAINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bakka	bakka	BAKKA	abvd	SPLIT	abvd_80_tosplit_36
balao	balao	BALAO	abvd	RAT	abvd_102_rat_1
bale	bale	BALE	abvd	FISH	abvd_111_fish_23
bamba	bamba	BAMBA	abvd	HIT	-
banua	banua	BANUA	abvd	HOUSE	abvd_61_house_7
baroko	baroko	BAROKO	abvd	NECK	abvd_25_neck_77
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
baʔru	baʔru	BAHRU	abvd	NEW	abvd_163_new_1
baʔteŋ	baʔte	BAHTE	abvd	BELLY	abvd_14_belly_29
bela	bela	BELA	abvd	FAR	abvd_180_far_29
beluak	beluak	BELUAK	abvd	HAIR	abvd_26_hair_1
bendan	bendan	BENDAN	abvd	STAND	-
bilaŋ	bila	BILA	abvd	COUNT	abvd_196_tocount_1
bintoën	binton	BINTON	abvd	STAR	abvd_130_star_1
bittiʔ	bittiʔ	BITTIH	abvd	SMALL	abvd_152_small_31
boko	boko	BOKO	abvd	STEAL	-
bokoʔ	bokoʔ	BOKOH	abvd	BACK	abvd_13_back_50
bonak	bonak	BONAK	abvd	WET	abvd_141_wet_32
bosi	bosi	BOSI	abvd	ROTTEN	-
boŋi	boi	BOI	abvd	NIGHT	abvd_167_night_1
bua	bua	BUA	abvd	FRUIT	abvd_117_fruit_1
buka	buka	BUKA	abvd	OPEN	abvd_92_toopenuncover_1
buku	buku	BUKU	abvd	BONE	abvd_15_bone_16
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bulu	bulu	BULU	abvd	FEATHER	abvd_99_feather_1
buni	buni	BUNI	abvd	HIDE	abvd_171_tohide_1
buno	buno	BUNO	abvd	KILL	abvd_74_tokill_1
buŋa	bua	BUA	abvd	FLOWER	abvd_116_flower_1
buŋin	buin	BUIN	abvd	SAND	abvd_121_sand_25
dappiʔ	dappiʔ	DAPPIH	abvd	NEAR	abvd_179_near_25?
darun	darun	DARUN	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dasiʔ	dasiʔ	DASIH	abvd	SEW	-
daun	daun	DAUN	abvd	LEAF	abvd_114_leaf_1
di	di	DI	abvd	AT	abvd_173_at_20
dioŋ	dio	DIO	abvd	BELOW OR UNDER	-
doa	doa	DOA	abvd	ABOVE	abvd_175_above_2?
dua	dua	DUA	abvd	TWO	abvd_198_two_1
duaŋpulo	duapulo	DUAPULO	abvd	TWENTY	-
galugu	galugu	GALUGU	abvd	THUNDER	abvd_134_thunder_1
giliŋ	gili	GILI	abvd	TURN	abvd_8_toturn_70
guntuʔ	guntuʔ	GUNTUH	abvd	THUNDER	abvd_134_thunder_30
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
ia-te	iate	IATE	abvd	THIS	abvd_177_this_11?
ia-to	iato	IATO	abvd	THAT	abvd_178_that_16
ia-tu	iatu	IATU	abvd	THAT	abvd_178_that_16
iake	iake	IAKE	abvd	IF	-
ikkoʔ	ikkoʔ	IKKOH	abvd	TAIL	abvd_105_tail_1
iko	iko	IKO	abvd	THOU	abvd_183_thou_1
illoŋ	illo	ILLO	abvd	NOSE	abvd_27_nose_1
impi	impi	IMPI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
inda	inda	INDA	abvd	WHO	-
indoʔ	indoʔ	INDOH	abvd	MOTHER	abvd_59_mother_10
iruʔ	iruʔ	IRUH	abvd	DRINK	abvd_40_todrink_12
isi	isi	ISI	abvd	TOOTH	abvd_31_tooth_24
issan	issan	ISSAN	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_31
issi	issi	ISSI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
k-um-ande	kumande	KUMANDE	abvd	EAT	abvd_37_toeat_1?
kadake	kadake	KADAKE	abvd	BAD OR EVIL	abvd_165_badevil_1?
kairi	kairi	KAIRI	abvd	LEFT	abvd_2_left_1
kalando	kalando	KALANDO	abvd	LONG	abvd_155_long_1?
kali	kali	KALI	abvd	DIG	abvd_90_todig_1
kalintiŋ	kalinti	KALINTI	abvd	WORM	-
kambaŋ	kamba	KAMBA	abvd	SWELL	abvd_87_toswell_20
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kamu	kamu	KAMU	abvd	YOU	abvd_186_you_1
kanan	kanan	KANAN	abvd	RIGHT	abvd_3_right_1
kapua	kapua	KAPUA	abvd	BIG	-
karaŋ	kara	KARA	abvd	WORK (ACTIVITY)	abvd_83_towork_23?
karua	karua	KARUA	abvd	EIGHT	abvd_204_eight_28
kasera	kasera	KASERA	abvd	NINE	abvd_205_nine_14
kasisiʔ	kasisiʔ	KASISIH	abvd	MOSQUITO	-
kayok	kayok	KAUOK	abvd	SCRATCH	abvd_77_toscratch_1?
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kekeʔ	kekeʔ	KEKEH	abvd	BITE	abvd_41_tobite_1
kema	kema	KEMA	abvd	CHEW	abvd_38_tochew_68
kilaʔ	kilaʔ	KILAH	abvd	LIGHTNING	abvd_135_lightning_1
kita	kita	KITA	abvd	WE	abvd_185_we_1
kondiʔ	kondiʔ	KONDIH	abvd	SHORT	-
koʔdoʔ	koʔdoʔ	KOHDOH	abvd	DIRTY	abvd_10_dirty_31?
kuliʔ	kuliʔ	KULIH	abvd	SKIN	abvd_12_skin_1
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
laa	laa	LAA	abvd	SPIDER	abvd_110_spider_1
lalan	lalan	LALAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
