Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aj	aj	AY	northeuralex	STILL (CONTINUING)	-
aksɨl	aksɨl	AKSIL	northeuralex	MUSHROOM	-
alako	alako	ALAKO	northeuralex	BOAT	-
alpʲa_paktɨqa	alpʲapaktɨqa	ALPAPAKTIKA	northeuralex	FLEE	-
alt͡ɕɨqa	altɕɨqa	ALTSIKA	northeuralex	FALL	-
amna	amna	AMNA	northeuralex	HUNGER	-
amnaj	amnaj	AMNAY	northeuralex	BE HUNGRY	-
amqa	amqa	AMKA	northeuralex	EAT	-
amɨrna	amɨrna	AMIRNA	northeuralex	MEAL	-
antalpɨqa	antalpɨqa	ANTALPIKA	northeuralex	TRY	-
antɨ	antɨ	ANTI	northeuralex	BOAT	-
apstɨqa	apstɨqa	APSTIKA	northeuralex	FEED	-
apsɨ	apsɨ	APSI	northeuralex	FOOD	-
apsɨj_kota	apsɨjkota	APSIYKOTA	northeuralex	STOMACH	-
aptɨ	aptɨ	APTI	northeuralex	ODOR (SMELL)	-
aptɨrqa	aptɨrqa	APTIRKA	northeuralex	SMELL (PERCEIVE)	-
arat	arat	ARAT	northeuralex	AUTUMN	-
atɨltɨqa	atɨltɨqa	ATILTIKA	northeuralex	SHOW	-
atɨqa	atɨqa	ATIKA	northeuralex	VISIBLE	-
at͡ɕaltɨqa	atɕaltɨqa	ATSALTIKA	northeuralex	LIGHT (IGNITE)	-
aɕa	aɕa	ASA	northeuralex	NOT	-
aʎi	aʎi	AI	northeuralex	OR	-
bukwa	bukwa	BUKWA	northeuralex	CHARACTER	-
jabloko	jabloko	YABLOKO	northeuralex	APPLE	-
jaqaʃ	jaqaʃ	YAKAS	northeuralex	BED	-
jaqːa	jaqːa	YAKA	northeuralex	COMPANION	-
jarak	jarak	YARAK	northeuralex	MEANING	-
jijaj_møt	jijajmøt	YIYAYMET	northeuralex	FAMILY	-
jijaj_pʲitɨja	jijajpʲitɨja	YIYAYPITIYA	northeuralex	CRADLE	-
jijaja	jijaja	YIYAYA	northeuralex	CHILD (YOUNG HUMAN)	-
jijatɨ	jijatɨ	YIYATI	northeuralex	SON	-
jijmatɨ	jijmatɨ	YIYMATI	northeuralex	YOUNG	-
jilt͡ɕa	jiltɕa	YILTSA	northeuralex	GRANDFATHER	-
jilɨ	jilɨ	YILI	northeuralex	LIFE	-
jilɨntɨj	jilɨntɨj	YILINTIY	northeuralex	FRESH	-
jilɨpsa	jilɨpsa	YILIPSA	northeuralex	SPIRIT	-
jilɨqa	jilɨqa	YILIKA	northeuralex	BE ALIVE	-
jilːa	jilːa	YILA	northeuralex	DOWN	-
jima	jima	YIMA	northeuralex	WOMAN	-
jimatɨ	jimatɨ	YIMATI	northeuralex	WIFE	-
jimɨja	jimɨja	YIMIYA	northeuralex	GRANDMOTHER	-
jinak_qumːɨ	jinakqumːɨ	YINAKKUMI	northeuralex	FRIEND	-
jint͡ɕaj	jintɕaj	YINTSAY	northeuralex	NOSE	-
jinɨtɨqa	jinɨtɨqa	YINITIKA	northeuralex	HANG UP	-
jinːa	jinːa	YINA	northeuralex	UP	-
jinːa_jiqa	jinːajiqa	YINAYIKA	northeuralex	PICK UP	-
jinːa_mæʃɨqa	jinːamæʃɨqa	YINAMASIKA	northeuralex	743_getup	-
jinːa_nɨlajiqa	jinːanɨlajiqa	YINANILAYIKA	northeuralex	STAND UP	-
jipːɨqa	jipːɨqa	YIPIKA	northeuralex	LIE (REST)	-
jiqa	jiqa	YIKA	northeuralex	885_get	-
jira	jira	YIRA	northeuralex	MAN	-
jiraj	jiraj	YIRAY	northeuralex	OLD (AGED)	-
jiratɨ	jiratɨ	YIRATI	northeuralex	MOON	-
jistamɨ	jistamɨ	YISTAMI	northeuralex	EVERYWHERE	-
jitːɨrqa	jitːɨrqa	YITIRKA	northeuralex	PRESERVE	-
jiɲːa_ʃʲitɨqa	jiɲːaʃʲitɨqa	YINASITIKA	northeuralex	WAKE UP (SOMEONE)	-
jiɲːan	jiɲːan	YINAN	northeuralex	HIGH	-
jiʎi	jiʎi	YII	northeuralex	OR	-
jiʎʲa_t͡ɕatːɨqa	jiʎʲatɕatːɨqa	YIATSATIKA	northeuralex	DROP (SOMETHING)	-
kanak	kanak	KANAK	northeuralex	DOG	-
kaʃa	kaʃa	KASA	northeuralex	MUSH (FOOD)	-
kaʃajmɨ	kaʃajmɨ	KASAYMI	northeuralex	MUSH (FOOD)	-
koja	koja	KOYA	northeuralex	RING	-
kojaj	kojaj	KOYAY	northeuralex	ROUND	-
kojimpɨqa	kojimpɨqa	KOYIMPIKA	northeuralex	693_revolve	-
kojmɨ	kojmɨ	KOYMI	northeuralex	SONG	-
kojmɨtːɨqa	kojmɨtːɨqa	KOYMITIKA	northeuralex	SING	-
kola	kola	KOLA	northeuralex	WING	-
kolɨk	kolɨk	KOLIK	northeuralex	SOMETIMES	-
koma	koma	KOMA	northeuralex	ARROW	-
kontɨ	kontɨ	KONTI	northeuralex	ROOT	-
koptɨraltɨqa	koptɨraltɨqa	KOPTIRALTIKA	northeuralex	DASH (OF VEHICLE)	-
korpɨtqa	korpɨtqa	KORPITKA	northeuralex	STIR	-
korʃok	korʃok	KORSOK	northeuralex	PIT (POTHOLE)	-
kota	kota	KOTA	northeuralex	POUCH	-
kot͡ɕːɨ_æsɨqa	kotɕːɨæsɨqa	KOTSIASIKA	northeuralex	INCREASE	-
koŋkɨr	koŋkɨr	KONKIR	northeuralex	CAVE	-
