Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aagas	aagas	AAGAS	abvd	FLOW	abvd_123_toflow_2
abaga	abaga	ABAGA	abvd	SHOULDER	abvd_19_shoulder_1
abo	abo	ABO	abvd	ASH	abvd_146_ashes_1
abug	abug	ABUG	abvd	DUST	abvd_11_dust_53
adlaw	adlaw	ADLAW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
ako	ako	AKO	abvd	I	abvd_182_i_1
alima	alima	ALIMA	abvd	HAND	abvd_1_hand_1
amaʔ	amaʔ	AMAH	abvd	FATHER	abvd_60_father_1
ambaw	ambaw	AMBAW	abvd	RAT	abvd_102_rat_38
ampak	ampak	AMPAK	abvd	WING	abvd_100_wing_33
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
asawa	asawa	ASAWA	abvd	WIFE	abvd_58_wife_1
asin	asin	ASIN	abvd	SALT	abvd_125_salt_3
aso	aso	ASO	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
atay	atay	ATAU	abvd	LIVER	abvd_17_liver_1
atop	atop	ATOP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
atup	atup	ATUP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
aɡas	aɡas	AGAS	abvd	FLOW	abvd_123_toflow_2
a′so	aso	ASO	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
babaje	babaje	BABAYE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
babaji	babaji	BABAYI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bag-o	bago	BAGO	abvd	NEW	abvd_163_new_1
baga	baga	BAGA	abvd	THICK	abvd_157_thick_27
bagtak	bagtak	BAGTAK	abvd	FOOT OR LEG	-
bajo	bajo	BAYO	abvd	POUND	abvd_93_topoundbeat_1
balhibo	balhibo	BALHIBO	abvd	FEATHER	abvd_99_feather_21
bana	bana	BANA	abvd	HUSBAND	abvd_57_husband_1
banga	banga	BANGA	abvd	BITE	abvd_41_tobite_30
bangag	bangag	BANGAG	abvd	DIG	abvd_90_todig_24
barhibo	barhibo	BARHIBO	abvd	FEATHER	abvd_99_feather_21
basa	basa	BASA	abvd	WET	abvd_141_wet_1
basaʔ	basaʔ	BASAH	abvd	WET	abvd_141_wet_1
bata	bata	BATA	abvd	CHILD	abvd_56_child_16
bataʔ	bataʔ	BATAH	abvd	CHILD	abvd_56_child_16
bato	bato	BATO	abvd	STONE	abvd_120_stone_1
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
bayay	bayay	BAUAU	abvd	HOUSE	abvd_61_house_14
baybay	baybay	BAUBAU	abvd	SAND	abvd_121_sand_52
baɡaʔ	baɡaʔ	BAGAH	abvd	THICK	-
baɡ−o	baɡo	BAGO	abvd	NEW	abvd_163_new_1
baʔbaʔ	baʔbaʔ	BAHBAH	abvd	MOUTH	abvd_30_mouth_1
bijo	bijo	BIYO	abvd	TURN	-
bilang	bilang	BILANG	abvd	COUNT	abvd_196_tocount_1
bilaŋ	bila	BILA	abvd	COUNT	abvd_196_tocount_1
bito-on	bitoon	BITOON	abvd	STAR	abvd_130_star_1
bituon	bituon	BITUON	abvd	STAR	abvd_130_star_1
bohok	bohok	BOHOK	abvd	HAIR	abvd_26_hair_1
bok-on	bokon	BOKON	abvd	SPLIT	-
bubong	bubong	BUBONG	abvd	THATCH OR ROOF	abvd_62_thatchroof_6
bug-at	bugat	BUGAT	abvd	HEAVY	abvd_142_heavy_1
bugkot	bugkot	BUGKOT	abvd	FASTEN	abvd_66_totieupfasten_111
buhangin	buhangin	BUHANGIN	abvd	SAND	abvd_121_sand_34
buhi	buhi	BUHI	abvd	BE ALIVE	abvd_76_tolivebealive_14
buhok	buhok	BUHOK	abvd	HAIR	abvd_26_hair_1
bukog	bukog	BUKOG	abvd	BONE	abvd_15_bone_16
bunajan	bunajan	BUNAYAN	abvd	HIT	-
bunay	bunay	BUNAU	abvd	HIT	-
bunga	bunga	BUNGA	abvd	FRUIT	abvd_117_fruit_9
buno	buno	BUNO	abvd	STAB	abvd_71_tostabpierce_26
bunoʔ	bunoʔ	BUNOH	abvd	STAB	abvd_71_tostabpierce_26
burot	burot	BUROT	abvd	SWELL	-
buyaagon	buyaagon	BUUAAGON	abvd	SPLIT	-
buyak	buyak	BUUAK	abvd	FLOWER	abvd_116_flower_22
buyan	buyan	BUUAN	abvd	MOON	abvd_129_moon_1
buɡanɡ	buɡanɡ	BUGANG	abvd	FOREST	abvd_127_woodsforest_2
buɡhaʔ	buɡhaʔ	BUGHAH	abvd	CUT OR HACK	-
buɡʔat	buɡʔat	BUGHAT	abvd	HEAVY	abvd_142_heavy_1
bà-bà	bb	BB	abvd	MOUTH	abvd_30_mouth_1
búyak	byak	BUAK	abvd	FLOWER	abvd_116_flower_22
chupa	chupa	KHUPA	abvd	SUCK	abvd_42_tosuck_1
da-utan	dautan	DAUTAN	abvd	BAD OR EVIL	abvd_165_badevil_1
dagat	dagat	DAGAT	abvd	SEA	abvd_124_sea_25
dagom	dagom	DAGOM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dahun	dahun	DAHUN	abvd	LEAF	abvd_114_leaf_1
dako	dako	DAKO	abvd	SWELL	-
daku	daku	DAKU	abvd	BIG	abvd_153_big_22
dakuʔ	dakuʔ	DAKUH	abvd	BIG	abvd_153_big_22
dalì	dal	DAL	abvd	COME	-
damgo	damgo	DAMGO	abvd	DREAM (SOMETHING)	abvd_50_todream_21
damo	damo	DAMO	abvd	THICK	-
damɡu	damɡu	DAMGU	abvd	DREAM (SOMETHING)	abvd_50_todream_21
danaw	danaw	DANAW	abvd	LAKE	abvd_126_lake_1
danuynog	danuynog	DANUUNOG	abvd	THUNDER	-
dayag	dayag	DAUAG	abvd	CLIMB	abvd_172_toclimb_2
dayan	dayan	DAUAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
dayuɡduɡ	dayuɡduɡ	DAUUGDUG	abvd	THUNDER	abvd_134_thunder_2
daɡat	daɡat	DAGAT	abvd	SEA	abvd_124_sea_25
daɡum	daɡum	DAGUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dila	dila	DILA	abvd	TONGUE	abvd_32_tongue_4
dilaʔ	dilaʔ	DILAH	abvd	TONGUE	abvd_32_tongue_4
dili	dili	DILI	abvd	NO OR NOT	abvd_195_nonot_2
dok-dok	dokdok	DOKDOK	abvd	POUND	abvd_93_topoundbeat_8
dub-dub	dubdub	DUBDUB	abvd	BREAST	abvd_18_breast_15
dugoʔ	dugoʔ	DUGOH	abvd	BLOOD	abvd_23_blood_16
dugò	dug	DUG	abvd	BLOOD	abvd_23_blood_16
duha	duha	DUHA	abvd	TWO	abvd_198_two_1
dukag	dukag	DUKAG	abvd	SCRATCH	abvd_77_toscratch_36
dungog	dungog	DUNGOG	abvd	HEAR	abvd_44_tohear_1
duol	duol	DUOL	abvd	NEAR	abvd_179_near_33
duyaw	duyaw	DUUAW	abvd	YELLOW	abvd_150_yellow_24
duyom	duyom	DUUOM	abvd	NIGHT	abvd_167_night_20
dàhon	dhon	DHON	abvd	LEAF	abvd_114_leaf_1
gabon	gabon	GABON	abvd	CLOUD	abvd_131_cloud_1
gabon-gabon	gabongabon	GABONGABON	abvd	FOG	abvd_132_fog_3
gabuk	gabuk	GABUK	abvd	ROTTEN	abvd_112_rotten_105
gamay	gamay	GAMAU	abvd	SMALL	abvd_152_small_29
gamot	gamot	GAMOT	abvd	ROOT	abvd_115_root_3
ginhawa	ginhawa	GINHAWA	abvd	BREATHE	abvd_28_tobreathe_1
gunit	gunit	GUNIT	abvd	HOLD	-
guyangan	guyangan	GUUANGAN	abvd	FOREST	abvd_127_woodsforest_58
ha-in	hain	HAIN	abvd	WHERE	abvd_181_where_1
habul	habul	HABUL	abvd	BLUNT	abvd_82_dullblunt_68
hadluk	hadluk	HADLUK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_16
hait	hait	HAIT	abvd	SHARP	abvd_81_sharp_38
haja	haja	HAYA	abvd	CRY	abvd_34_tocry_85
haman	haman	HAMAN	abvd	WHERE	abvd_181_where_95
hangin	hangin	HANGIN	abvd	WIND	abvd_136_wind_1
hawag	hawag	HAWAG	abvd	WIDE	abvd_159_wide_1
hayas	hayas	HAUAS	abvd	SNAKE	abvd_106_snake_26
haɡin	haɡin	HAGIN	abvd	WIND	abvd_136_wind_1
higda	higda	HIGDA	abvd	LIE DOWN	abvd_49_toliedown_19
hikot	hikot	HIKOT	abvd	FASTEN	abvd_66_totieupfasten_1
hilam	hilam	HILAM	abvd	MOSQUITO	abvd_109_mosquito_32
hiwa	hiwa	HIWA	abvd	CUT OR HACK	abvd_78_tocuthack_43
hiɡda	hiɡda	HIGDA	abvd	LIE DOWN	abvd_49_toliedown_19
hoy-ab	hoyab	HOUAB	abvd	YAWN	abvd_47_toyawn_19
hu-ot	huot	HUOT	abvd	NARROW	-
hujab	hujab	HUYAB	abvd	YAWN	-
hujop	hujop	HUYOP	abvd	BLOW (OF WIND)	abvd_137_toblow_1
huna-huna	hunahuna	HUNAHUNA	abvd	THINK	abvd_21_tothink_24
hunaʔhunaʔ	hunaʔhunaʔ	HUNAHHUNAH	abvd	THINK	abvd_21_tothink_24
huot	huot	HUOT	abvd	NARROW	-
huyog	huyog	HUUOG	abvd	FALL	abvd_95_tofall_29
huyoɡ	huyoɡ	HUUOG	abvd	FALL	abvd_95_tofall_29
iban	iban	IBAN	abvd	OTHER	-
