Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ငဝ်းလၢႆး	ŋaw˥laːj˥	NAWLAY	wikipron	-	-
ငိင်း	ŋiŋ˥	NIN	wikipron	-	-
ငိုၼ်း	ŋɯn˥	NUN	wikipron	-	-
ငိူင်ႉဝႄႈ	ŋɤŋ˦˨ˀwɛː˧˧˨	NNWE	wikipron	-	-
ငူဝ်း	ŋoː˥	NO	wikipron	-	-
ငူး	ŋuː˥	NU	wikipron	-	-
ငၢမ်း	ŋaːm˥	NAM	wikipron	-	-
ငႃး	ŋaː˥	NA	wikipron	-	-
တင်ႇငူင်း	taŋ˩ŋoŋ˥	TANNON	wikipron	-	-
တတ်း	tat̚˥	TAT	wikipron	-	-
တပ်း	tap̚˥	TAP	wikipron	-	-
တပ်ႉ	tap̚˦˨	TAP	wikipron	-	-
တပ်ႉသိုၵ်း	tap̚˦˨ˀsʰɯk̚˥	TAPSUK	wikipron	-	-
တပႄး	ta˨˦pɛː˥	TAPE	wikipron	-	-
တမ်းပူႇ	tam˥puː˩	TAMPU	wikipron	-	-
တမ်ႇငႃႈ	tam˩ŋaː˧˧˨	TAMNA	wikipron	-	-
တမ်ႇတိူင်း	tam˩tɤŋ˥	TAMTN	wikipron	-	-
တမၢၼ်ႇ	ta˨˦maːn˩	TAMAN	wikipron	-	-
တယလူဝ်ႇ	ta˨˦ja˨˦loː˩	TAYALO	wikipron	-	-
တလႅင်း	ta˨˦lɛŋ˥	TALEN	wikipron	-	-
တဝ်	taw˨˦	TAW	wikipron	-	-
တဝ်ႈ	taw˧˧˨	TAW	wikipron	-	-
တဝ်ႉ	taw˦˨	TAW	wikipron	-	-
တိင်ႇ	tiŋ˩	TIN	wikipron	-	-
တိူင်း	tɤŋ˥	TN	wikipron	-	-
တိူင်ႇ	tɤŋ˩	TN	wikipron	-	-
တိူင်ႇပၢင်ႇ	tɤŋ˩paːŋ˩	TNPAN	wikipron	-	-
တိူၵ်ႇလိူၼ်	tɤk̚˩lɤn˨˦	TKLN	wikipron	-	-
တိူၵ်ႈ	tɤk̚˧˧˨	TK	wikipron	-	-
တိၼ်	tin˨˦	TIN	wikipron	-	-
တီႇသႅမ်ႇပႃႇ	tiː˩sʰɛm˩paː˩	TISEMPA	wikipron	-	-
တီႇၸႅမ်ႇပိူဝ်ႇ	tiː˩t͡ɕɛm˩pɤː˩	TISEMP	wikipron	-	-
တီႈ	tiː˧˧˨	TI	wikipron	-	-
တီႈၶႃႈ	tiː˧˧˨kʰaː˧˧˨	TIKA	wikipron	-	-
တုင်	tuŋ˨˦	TUN	wikipron	-	-
တုၺ်ႈ	tuj˧˧˨	TUY	wikipron	-	-
တူ	tuː˨˦	TU	wikipron	-	-
တူင်ႉ	toŋ˦˨	TON	wikipron	-	-
တူဝ်း	toː˥	TO	wikipron	-	-
တူၵ်းလူင်း	tok̚˥loŋ˥	TOKLON	wikipron	-	-
တူၼ်ႈတီး	ton˧˧˨tiː˧˧˨	TONTI	wikipron	-	-
တူၼ်ႈမႆႉ	ton˧˧˨maj˦˨	TONMAY	wikipron	-	-
တူၼ်ႈသၼၢပ်ႇၶႃး	ton˧˧˨sʰa˨˦naːp̚˩kʰaː˥	TONSANAPKA	wikipron	-	-
တူၼ်ႈၵၢဝ်း	ton˧˧˨kaːw˥	TONKAW	wikipron	-	-
တူၼ်ႈၵႃႈ	ton˧˧˨kaː˧˧˨	TONKA	wikipron	-	-
တူႉၺွၼ်ႇၵျႃးယေးမူး	tuː˦˨ˀɲɔn˩d͡ʑaː˥jeː˥muː˥	TUNONSAYEMU	wikipron	-	-
တေႃႇတေႃႇ	tɔː˩tɔː˩	TOTO	wikipron	-	-
တေႃႉသူင်ႇ	tɔː˦˨ˀsʰoŋ˩	TOSON	wikipron	-	-
တဵမ်ထူၼ်ႈ	tem˨˦tʰon˧˧˨	TEMTON	wikipron	-	-
တြႃး	traː˥	TRA	wikipron	-	-
တွင်	tɔŋ˨˦	TON	wikipron	-	-
တွင်းလၢၼ်း	tɔŋ˥laːn˥	TONLAN	wikipron	-	-
တွင်ႇသူႇ	tɔŋ˩sʰuː˩	TONSU	wikipron	-	-
တွင်ႇဢူႇ	tɔŋ˩ʔuː˩	TONHU	wikipron	-	-
တွင်ႉမႆႈသႆႈလိူတ်ႇ	tɔŋ˦˨ˀmaj˧˧˨sʰaj˧˧˨lɤt̚˩	TONMAYSAYLT	wikipron	-	-
တွၵ်း	tɔk̚˥	TOK	wikipron	-	-
တွၵ်ႉတႄႉ	tɔk̚˦˨ˀtɛː˦˨	TOKTE	wikipron	-	-
တၢင်း	taːŋ˥	TAN	wikipron	-	-
တၢင်းပဵၼ်	taːŋ˥pen˨˦	TANPEN	wikipron	-	-
တၢင်းၵိတ်ႇၵႅပ်ႈ	kit̚˩kɛp̚˧˧˨	KITKEP	wikipron	-	-
တၢင်းၵိတ်ႇၸႂ်	kit̚˩t͡ɕaɰ˨˦	KITSAW	wikipron	-	-
တၢင်းၵဵပ်း	taːŋ˥kep̚˥	TANKEP	wikipron	-	-
တၢင်းၶႂႃ	taːŋ˥kʰwaː˨˦	TANKWA	wikipron	-	-
တၢင်းႁူႉ	taːŋ˥huː˦˨	TANHU	wikipron	-	-
တၢင်းႁၵ်ႉ	taːŋ˥hak̚˦˨	TANHAK	wikipron	-	-
တၢင်ႇထီး	taːŋ˩tʰiː˥	TANTI	wikipron	-	-
တၢင်ႇၵုင်ႇ	taːŋ˩kuŋ˩	TANKUN	wikipron	-	-
တၢပ်ႈ	taːp̚˧˧˨	TAP	wikipron	-	-
တၢမ်ႇ	taːm˩	TAM	wikipron	-	-
တၢၼ်း	taːn˥	TAN	wikipron	-	-
တၢႆ	taːj˨˦	TAY	wikipron	-	-
တၵႃႇ	ta˨˦kaː˩	TAKA	wikipron	-	-
တၼင်းလႃႇ	ta˨˦naŋ˥laː˩	TANANLA	wikipron	-	-
တၼင်းၼူၺ်ႇ	ta˨˦naŋ˥noj˩	TANANNOY	wikipron	-	-
တၼူႉ	ta˨˦nuː˦˨	TANU	wikipron	-	-
တႂၢၵ်ႈ	twaːk̚˧˧˨	TWAK	wikipron	-	-
တႃ	taː˨˦	TA	wikipron	-	-
တႃႇတၢၵ်ႈ	taː˩taːk̚˧˧˨	TATAK	wikipron	-	-
တႃႈရူတ်ႉလဵၼ်း	taː˧˧˨rot̚˦˨ˀlen˥	TAROTLEN	wikipron	-	-
တႃႈလိူဝ်ႇ	taː˧˧˨lɤː˩	TAL	wikipron	-	-
တႃႈႁိူဝ်း	taː˧˧˨hɤː˥	TAH	wikipron	-	-
တႄႇ	tɛː˩	TE	wikipron	-	-
တႄႇလီႇဝီးသျိၼ်း	tɛː˩liː˩wiː˥ʃin˥	TELIWISIN	wikipron	-	-
တႄႇလီႇၾူၼ်း	tɛː˩liː˩fon˥	TELIPON	wikipron	-	-
တႅင်း	tɛŋ˥	TEN	wikipron	-	-
တႅင်းၵႃး	tɛŋ˥kaː˥	TENKA	wikipron	-	-
တႅင်ၽၢင်	tɛŋ˨˦pʰaːŋ˨˦	TENPAN	wikipron	-	-
တႅမ်ႈ	tɛm˧˧˨	TEM	wikipron	-	-
တႅၼ်ႇ	tɛn˩	TEN	wikipron	-	-
တႆး	taj˥	TAY	wikipron	-	-
တႆးလႅင်	taj˥lɛŋ˨˦	TAYLEN	wikipron	-	-
ထ	tʰa˨˦	TA	wikipron	-	-
ထမ်ႈ	tʰam˧˧˨	TAM	wikipron	-	-
ထီး	tʰiː˥	TI	wikipron	-	-
ထုင်း	tʰuŋ˥	TUN	wikipron	-	-
ထုင်ႇ	tʰuŋ˩	TUN	wikipron	-	-
ထုၼ်း	tʰun˥	TUN	wikipron	-	-
ထူ	tʰuː˨˦	TU	wikipron	-	-
ထူဝ်ႇ	tʰoː˩	TO	wikipron	-	-
ထူဝ်ႇၼဝ်ႈ	tʰoː˩naw˧˧˨	TONAW	wikipron	-	-
ထူး	tʰuː˥	TU	wikipron	-	-
ထူၺ်း	tʰoj˥	TOY	wikipron	-	-
ထူၺ်ႈၸႂ်	tʰoj˧˧˨t͡ɕaɰ˨˦	TOYSAW	wikipron	-	-
ထေး	tʰeː˥	TE	wikipron	-	-
ထေႃးပၢတ်ႈ	tʰɔː˥paːt̚˧˧˨	TOPAT	wikipron	-	-
ထေႃးပၼႃႇ	tʰɔː˥pa˨˦naː˩	TOPANA	wikipron	-	-
ထွင်ႇ	tʰɔŋ˩	TON	wikipron	-	-
ထွင်ႉ	tʰɔŋ˦˨	TON	wikipron	-	-
ထွၵ်ႈ	tʰɔk̚˧˧˨	TOK	wikipron	-	-
ထၢင်ႇ	tʰaːŋ˩	TAN	wikipron	-	-
ထၢတ်ႈ	tʰaːt̚˧˧˨	TAT	wikipron	-	-
ထၢမ်	tʰaːm˨˦	TAM	wikipron	-	-
ထၢမ်း	tʰaːm˥	TAM	wikipron	-	-
ထၢၼ်	tʰaːn˨˦	TAN	wikipron	-	-
ထၢၼ်ႇ	tʰaːn˩	TAN	wikipron	-	-
ထၼူႉ	tʰa˨˦nuː˦˨	TANU	wikipron	-	-
ထႃႇပၼႃႇ	tʰaː˩pa˨˦naː˩	TAPANA	wikipron	-	-
ထႆး	tʰaj˥	TAY	wikipron	-	-
ပ	pa˨˦	PA	wikipron	-	-
ပတ်ႈတမျႃး	pat̚˧˧˨ta˨˦mjaː˥	PATTAMYA	wikipron	-	-
ပတ်ႈတလႃး	pat̚˧˧˨ta˨˦laː˥	PATTALA	wikipron	-	-
ပတ်ႈတႃး	pat̚˧˧˨taː˥	PATTA	wikipron	-	-
ပတ်ႉ	pat̚˦˨	PAT	wikipron	-	-
ပပ်ႉတိၸမ်ႇ	pap̚˦˨ˀti˨˦t͡ɕam˩	PAPTISAM	wikipron	-	-
ပယိၼ်း	pa˨˦jin˥	PAYIN	wikipron	-	-
ပယိၼ်ႇၶၢမ်ႇ	pa˨˦jin˩kʰaːm˩	PAYINKAM	wikipron	-	-
ပရုၵ်ႈ	pa˨˦ruk̚˧˧˨	PARUK	wikipron	-	-
ပလွင်ႈ	pa˨˦lɔŋ˧˧˨	PALON	wikipron	-	-
ပဝ်ႇ	paw˩	PAW	wikipron	-	-
ပဢူဝ်	pa˨˦ʔoː˨˦	PAHO	wikipron	-	-
ပဢူဝ်း	pa˨˦ʔoː˥	PAHO	wikipron	-	-
ပိတ်ႈတၵၢတ်ႈ	pit̚˧˧˨ta˨˦kaːt̚˧˧˨	PITTAKAT	wikipron	-	-
ပိုၼ်ႉတီႈ	pɯn˦˨ˀtiː˧˧˨	PUNTI	wikipron	-	-
ပိူင်ႇ	pɤŋ˩	PN	wikipron	-	-
ပိၵ်ႈ	pik̚˧˧˨	PIK	wikipron	-	-
ပိၵ်ႈမၢၼ်ႇ	pik̚˧˧˨maːn˩	PIKMAN	wikipron	-	-
ပီ	piː˨˦	PI	wikipron	-	-
ပီၵွၼ်းၶမ်း	piː˨˦kɔn˥kʰam˥	PIKONKAM	wikipron	-	-
ပီႉတၵၢတ်ႈ	piː˦˨ˀta˨˦kaːt̚˧˧˨	PITAKAT	wikipron	-	-
ပုင်ႇ	puŋ˩	PUN	wikipron	-	-
ပုင်ႇၵၢၼ်ႇ	puŋ˩kaːn˩	PUNKAN	wikipron	-	-
ပုၵ်ႈတႁူး	puk̚˧˧˨ta˨˦huː˥	PUKTAHU	wikipron	-	-
ပုၵ်ႉထဝၢင်ႇ	puk̚˦˨ˀtʰa˨˦waːŋ˩	PUKTAWAN	wikipron	-	-
ပုၵ်ႉထႃႉ	puk̚˦˨ˀtʰaː˦˨	PUKTA	wikipron	-	-
ပုၵ်ႉထႃႉၽႃႇသႃႇ	puk̚˦˨ˀtʰaː˦˨ˀpʰaː˩sʰaː˩	PUKTAPASA	wikipron	-	-
ပူ	puː˨˦	PU	wikipron	-	-
ပူး	puː˥	PU	wikipron	-	-
ပူၺ်း	poj˥	POY	wikipron	-	-
ပူၼ်ႉပႅၼ်	pon˦˨ˀpɛn˨˦	PONPEN	wikipron	-	-
ပူႇ	puː˩	PU	wikipron	-	-
ပူႇတႃႇ	puː˩taː˩	PUTA	wikipron	-	-
ပူႇၵၢင်ႉ	puː˩kaːŋ˦˨	PUKAN	wikipron	-	-
ပူႇၵႄႇ	puː˩kɛː˩	PUKE	wikipron	-	-
ပူႉ	puː˦˨	PU	wikipron	-	-
ပူႉထူဝ်း	puː˦˨ˀtʰoː˥	PUTO	wikipron	-	-
ပေႃး	pɔː˥	PO	wikipron	-	-
ပေႃႇ	pɔː˩	PO	wikipron	-	-
ပေႃႈ	pɔː˧˧˨	PO	wikipron	-	-
ပေႇ	peː˩	PE	wikipron	-	-
ပဵတ်း	pet̚˥	PET	wikipron	-	-
ပဵတ်ႈၸယႃႇ	pet̚˧˧˨t͡ɕa˨˦jaː˩	PETSAYA	wikipron	-	-
ပဵၼ်	pen˨˦	PEN	wikipron	-	-
ပျေႉ	pjeː˦˨	PYE	wikipron	-	-
ပျွင်း	pjɔŋ˥	PYON	wikipron	-	-
ပျၢတ်ႈ	pjaːt̚˧˧˨	PYAT	wikipron	-	-
ပျၢတ်ႈသၢတ်ႈ	pjaːt̚˧˧˨sʰaːt̚˧˧˨	PYATSAT	wikipron	-	-
ပျၢၵ်ႈ	pjaːk̚˧˧˨	PYAK	wikipron	-	-
ပျၢၵ်ႈၵတိင်ႇ	pjaːk̚˧˧˨ka˨˦tiŋ˩	PYAKKATIN	wikipron	-	-
ပျႃႇတႃႇ	pjaː˩taː˩	PYATA	wikipron	-	-
ပြၢင်း	praːŋ˥	PRAN	wikipron	-	-
ပွင်း	pɔŋ˥	PON	wikipron	-	-
ပွင်ႇၸႂ်	pɔŋ˩t͡ɕaɰ˨˦	PONSAW	wikipron	-	-
ပွတ်းႁွင်ႇ	pɔt̚˥hɔŋ˩	POTHON	wikipron	-	-
ပွႆးၸႃး	pɔj˥t͡ɕaː˥	POYSA	wikipron	-	-
ပၢင်တိုၵ်း	paːŋ˨˦tɯk̚˥	PANTUK	wikipron	-	-
ပၢင်တၢႆး	paːŋ˨˦taːj˥	PANTAY	wikipron	-	-
ပၢတ်ႈမႃႉ	paːt̚˧˧˨maː˦˨	PATMA	wikipron	-	-
ပၢတ်ႈသႅင်း	paːt̚˧˧˨sʰɛŋ˥	PATSEN	wikipron	-	-
ပၢၵ်ႇ	paːk̚˩	PAK	wikipron	-	-
ပၢၼ်းတုင်း	paːn˥tuŋ˥	PANTUN	wikipron	-	-
ပၢၼ်းသေး	paːn˥sʰeː˥	PANSE	wikipron	-	-
ပၢႆးမွၼ်း	paːj˥mɔn˥	PAYMON	wikipron	-	-
ပၢႆးမၢၵ်ႈမီး	paːj˥maːk̚˧˧˨miː˥	PAYMAKMI	wikipron	-	-
ပၼ်ၵတိ	pan˨˦ka˨˦ti˨˦	PANKATI	wikipron	-	-
ပၼ်ႁႅင်း	pan˨˦hɛŋ˥	PANHEN	wikipron	-	-
ပႂၢင်း	pwaːŋ˥	PWAN	wikipron	-	-
ပႃ	paː˨˦	PA	wikipron	-	-
