Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abu	abu	ABU	abvd	ASH	abvd_146_ashes_1
akket	akket	AKKET	abvd	RED	-
aku	aku	AKU	abvd	I	abvd_182_i_1
allaw	allaw	ALLAW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
ambun	ambun	AMBUN	abvd	FOG	abvd_132_fog_27
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
apabila	apabila	APABILA	abvd	WHEN	abvd_170_when_13
api	api	API	abvd	FIRE	abvd_143_fire_1
atay	atay	ATAU	abvd	LIVER	abvd_17_liver_1
atoy	atoy	ATOU	abvd	LIVER	abvd_17_liver_1
awan	awan	AWAN	abvd	SKY	-
awon	awon	AWON	abvd	NAME	-
babat	babat	BABAT	abvd	BELLY	-
babaw	babaw	BABAW	abvd	RAT	abvd_102_rat_49
badji	badji	BADYI	abvd	HIT	-
baga	baga	BAGA	abvd	THICK	abvd_157_thick_27
baha	baha	BAHA	abvd	SHOULDER	abvd_19_shoulder_1
bahangi	bahangi	BAHANGI	abvd	NIGHT	-
bahau	bahau	BAHAU	abvd	NEW	abvd_163_new_1
bakka'	bakka	BAKKA	abvd	SPLIT	-
baliyu	baliyu	BALIUU	abvd	WIND	abvd_136_wind_2
balli	balli	BALLI	abvd	BUY	abvd_91_tobuy_1
bana	bana	BANA	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1
base'	base	BASE	abvd	WET	abvd_141_wet_1
battis	battis	BATTIS	abvd	FOOT OR LEG	abvd_4_legfoot_23
battong	battong	BATTONG	abvd	BELLY	abvd_14_belly_29
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
behe	behe	BEHE	abvd	MOUTH	abvd_30_mouth_1
bi	bi	BI	abvd	YOU	-
bibay	bibay	BIBAU	abvd	TURN	-
bibud	bibud	BIBUD	abvd	TURN	-
bila	bila	BILA	abvd	WHEN	abvd_170_when_13
biluk	biluk	BILUK	abvd	TURN	abvd_8_toturn_24
bintus	bintus	BINTUS	abvd	FASTEN	-
bisa	bisa	BISA	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
bittis	bittis	BITTIS	abvd	FOOT OR LEG	abvd_4_legfoot_23
bohat	bohat	BOHAT	abvd	HEAVY	abvd_142_heavy_1
bohe'	bohe	BOHE	abvd	WATER	abvd_122_water_25
bong	bong	BONG	abvd	WHEN	abvd_170_when_13
bono'	bono	BONO	abvd	KILL	abvd_74_tokill_1
buka	buka	BUKA	abvd	OPEN	abvd_92_toopenuncover_1
buka'	buka	BUKA	abvd	OPEN	abvd_92_toopenuncover_1
bukis	bukis	BUKIS	abvd	OPEN	abvd_92_toopenuncover_1
bukut	bukut	BUKUT	abvd	BACK	abvd_13_back_46
buntu'	buntu	BUNTU	abvd	SWELL	-
buwa'	buwa	BUWA	abvd	FRUIT	abvd_117_fruit_1
buwan	buwan	BUWAN	abvd	MOON	abvd_129_moon_1
buwat	buwat	BUWAT	abvd	WORK (ACTIVITY)	abvd_83_towork_1
buwat le' mangan	buwatlemangan	BUWATLEMANGAN	abvd	COOK (SOMETHING)	-
bā'	b	B	abvd	SAY	-
bāk	bk	BK	abvd	LIE DOWN	abvd_49_toliedown_38
bū	b	B	abvd	FEATHER	abvd_99_feather_1
da	da	DA	abvd	THEY	abvd_187_they_1
dahulaka'	dahulaka	DAHULAKA	abvd	BAD OR EVIL	abvd_165_badevil_31
dakan	dakan	DAKAN	abvd	BREAST	-
dalla'	dalla	DALLA	abvd	TONGUE	abvd_32_tongue_4
dambuwa'	dambuwa	DAMBUWA	abvd	ONE	-
danaw	danaw	DANAW	abvd	LAKE	abvd_126_lake_1
danda	danda	DANDA	abvd	FEMALE PERSON	abvd_55_womanfemale_31
dapi'	dapi	DAPI	abvd	POUND	-
dawun	dawun	DAWUN	abvd	HAIR	-
daying	daying	DAUING	abvd	FISH	abvd_111_fish_54
diki'	diki	DIKI	abvd	SMALL	abvd_152_small_138
dilawut	dilawut	DILAWUT	abvd	SEA	-
disu	disu	DISU	abvd	ONE	-
dugsu'	dugsu	DUGSU	abvd	STAB	abvd_71_tostabpierce_36
dun	dun	DUN	abvd	HAIR	-
duru'	duru	DURU	abvd	BREAST	abvd_18_breast_15
dusa	dusa	DUSA	abvd	BAD OR EVIL	abvd_165_badevil_31
duwa	duwa	DUWA	abvd	TWO	abvd_198_two_1
duwampū'	duwamp	DUWAMP	abvd	TWENTY	abvd_207_twenty_3
dāg	dg	DG	abvd	CLIMB	abvd_172_toclimb_2
engas	engas	ENGAS	abvd	BRANCH	-
gahit	gahit	GAHIT	abvd	SCRATCH	-
gamut	gamut	GAMUT	abvd	ROOT	abvd_115_root_3
garung	garung	GARUNG	abvd	GREEN	abvd_151_green_28
gipit	gipit	GIPIT	abvd	SQUEEZE	-
gumi	gumi	GUMI	abvd	EARTH (SOIL)	-
guntu	guntu	GUNTU	abvd	THUNDER	abvd_134_thunder_30
guwangan	guwangan	GUWANGAN	abvd	FOREST	abvd_127_woodsforest_2
halling	halling	HALLING	abvd	SAY	-
halu'	halu	HALU	abvd	ROTTEN	-
hambit	hambit	HAMBIT	abvd	AT	-
hambug	hambug	HAMBUG	abvd	FAT (ORGANIC SUBSTANCE)	-
hantak	hantak	HANTAK	abvd	FALL	-
hatus	hatus	HATUS	abvd	HUNDRED	abvd_209_onehundred_4
hiyak	hiyak	HIUAK	abvd	THROW	-
hiyang-hiyang	hiyanghiyang	HIUANGHIUANG	abvd	THINK	-
hiyun	hiyun	HIUUN	abvd	AT	-
hmilan	hmilan	HMILAN	abvd	WHEN	abvd_170_when_13
humbu	humbu	HUMBU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_34
huwin	huwin	HUWIN	abvd	AT	-
ido'	ido	IDO	abvd	DOG	abvd_96_dog_24
ilooy	ilooy	ILOOU	abvd	THAT	abvd_178_that_12
impon	impon	IMPON	abvd	TOOTH	abvd_31_tooth_1
imuwa	imuwa	IMUWA	abvd	BE DEAD OR DIE	-
inaa	inaa	INAA	abvd	THAT	abvd_178_that_12
inansong	inansong	INANSONG	abvd	BREATHE	abvd_28_tobreathe_23
indu'	indu	INDU	abvd	MOTHER	abvd_59_mother_10
ingko	ingko	INGKO	abvd	TAIL	abvd_105_tail_1
ingkot	ingkot	INGKOT	abvd	ROPE	abvd_65_rope_21
intallo	intallo	INTALLO	abvd	EGG	abvd_98_egg_35
inum	inum	INUM	abvd	DRINK	abvd_40_todrink_1
inē	in	IN	abvd	THAT	abvd_178_that_12
iro'	iro	IRO	abvd	DOG	abvd_96_dog_24
isi	isi	ISI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
issa	issa	ISSA	abvd	ONE	abvd_197_one_1
itee	itee	ITEE	abvd	THIS	-
itom	itom	ITOM	abvd	BLACK	abvd_147_black_1
itung	itung	ITUNG	abvd	COUNT	abvd_196_tocount_31
ituu	ituu	ITUU	abvd	THIS	-
iya	iya	IUA	abvd	HE OR SHE	abvd_184_heshe_1
iya'	iya	IUA	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
jahallis	jahallis	YAHALLIS	abvd	BAD OR EVIL	abvd_165_badevil_31
jama	jama	YAMA	abvd	PERSON	abvd_53_personhumanbeing_16
jataan	jataan	YATAAN	abvd	ABOVE	-
jatá	jat	YAT	abvd	ABOVE	-
jawom	jawom	YAWOM	abvd	IN	-
ka	ka	KA	abvd	AND	abvd_192_and_1
kaam	kaam	KAAM	abvd	YOU	-
kakan	kakan	KAKAN	abvd	EAT	abvd_37_toeat_1
kakayaw	kakayaw	KAKAUAW	abvd	SCRATCH	abvd_77_toscratch_1
kalaatan	kalaatan	KALAATAN	abvd	BAD OR EVIL	abvd_165_badevil_31
kale	kale	KALE	abvd	HEAR	abvd_44_tohear_26
kali	kali	KALI	abvd	DIG	abvd_90_todig_1
kaling	kaling	KALING	abvd	DRY	-
kallong	kallong	KALLONG	abvd	NECK	abvd_25_neck_76
kam	kam	KAM	abvd	YOU	abvd_186_you_1
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kammo	kammo	KAMMO	abvd	HOLD	-
kanna	kanna	KANNA	abvd	THINK	-
kantama'	kantama	KANTAMA	abvd	CUT OR HACK	-
kapa	kapa	KAPA	abvd	THICK	abvd_157_thick_1
katta'	katta	KATTA	abvd	DRY	-
kattud	kattud	KATTUD	abvd	SWELL	-
kattung	kattung	KATTUNG	abvd	SWELL	-
kau	kau	KAU	abvd	THOU	abvd_183_thou_1
kawnan	kawnan	KAWNAN	abvd	RIGHT	abvd_3_right_1
kawul	kawul	KAWUL	abvd	SAY	-
kayli	kayli	KAULI	abvd	LEFT	abvd_2_left_1
keket	keket	KEKET	abvd	BITE	abvd_41_tobite_20
kili	kili	KILI	abvd	LEFT	abvd_2_left_1
kiput	kiput	KIPUT	abvd	NARROW	abvd_158_narrow_47
kita	kita	KITA	abvd	SEE	abvd_46_tosee_1
kitabi	kitabi	KITABI	abvd	WE	abvd_185_we_1
ko	ko	KO	abvd	THOU	abvd_183_thou_1
komkom	komkom	KOMKOM	abvd	HOLD	abvd_89_tohold_1?
konan	konan	KONAN	abvd	RIGHT	abvd_3_right_1
ku	ku	KU	abvd	I	abvd_182_i_1
kuhun	kuhun	KUHUN	abvd	GRASS	-
kumpas	kumpas	KUMPAS	abvd	THINK	-
kunit	kunit	KUNIT	abvd	YELLOW	abvd_150_yellow_1
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kuwit	kuwit	KUWIT	abvd	SKIN	abvd_12_skin_1
kē	k	K	abvd	HEAR	-
kōk	kk	KK	abvd	HEAD	abvd_24_head_40
labbasakayi	labbasakayi	LABBASAKAUI	abvd	ALL	-
labbong	labbong	LABBONG	abvd	PLANT (SOMETHING)	-
labu'	labu	LABU	abvd	FALL	abvd_95_tofall_1
laggu'	laggu	LAGGU	abvd	DRY	-
lagot	lagot	LAGOT	abvd	FASTEN	-
lagpi'	lagpi	LAGPI	abvd	POUND	-
laha'	laha	LAHA	abvd	BLOOD	abvd_23_blood_1
lahat	lahat	LAHAT	abvd	BE ALIVE	-
lalla	lalla	LALLA	abvd	MALE PERSON	abvd_54_manmale_36
lama'	lama	LAMA	abvd	DIRTY	abvd_10_dirty_59
lama'-lama'	lamalama	LAMALAMA	abvd	DIRTY	abvd_10_dirty_59
lambu	lambu	LAMBU	abvd	WIDE	abvd_159_wide_1?
lammok	lammok	LAMMOK	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_24
langi	langi	LANGI	abvd	SWIM	abvd_9_toswim_1
