Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ager	ager	AGER	abvd	TURN	-
aim	aim	AIM	abvd	PLANT (SOMETHING)	-
akas	akas	AKAS	abvd	DIG	-
akor	akor	AKOR	abvd	COOK (SOMETHING)	-
anas	anas	ANAS	abvd	COOK (SOMETHING)	abvd_39_tocook_3
angan	angan	ANGAN	abvd	EAT	abvd_37_toeat_1
arat	arat	ARAT	abvd	SHARP	abvd_81_sharp_69
arting	arting	ARTING	abvd	CUT OR HACK	-
as	as	AS	abvd	WHO	abvd_189_who_1
baban	baban	BABAN	abvd	WING	abvd_100_wing_42
babarah	babarah	BABARAH	abvd	LONG	abvd_155_long_16
bakbak	bakbak	BAKBAK	abvd	FAR	abvd_180_far_44
balan	balan	BALAN	abvd	BELLY	abvd_14_belly_18
baran anuni	barananuni	BARANANUNI	abvd	HUSBAND	-
baran-momol	baranmomol	BARANMOMOL	abvd	PERSON	-
barsan	barsan	BARSAN	abvd	MALE PERSON	abvd_54_manmale_119
basi	basi	BASI	abvd	THROW	-
bat	bat	BAT	abvd	RAIN (PRECIPITATION)	abvd_133_rain_8
bel i wakak	beliwakak	BELIWAKAK	abvd	BAD OR EVIL	abvd_165_badevil_22
bel ingis	belingis	BELINGIS	abvd	BAD OR EVIL	abvd_165_badevil_22
belarak	belarak	BELARAK	abvd	NO OR NOT	abvd_195_nonot_108
bon	bon	BON	abvd	SEA	-
buibúi	buibi	BUIBI	abvd	FOREST	-
bul	bul	BUL	abvd	BLUNT	abvd_82_dullblunt_6
bung	bung	BUNG	abvd	NIGHT	abvd_167_night_1
burun	burun	BURUN	abvd	SMALL	-
burunlik	burunlik	BURUNLIK	abvd	SHORT	-
busbus	busbus	BUSBUS	abvd	WET	abvd_141_wet_16
dakai	dakai	DAKAI	abvd	BURN	-
darau	darau	DARAU	abvd	WE	-
dat	dat	DAT	abvd	WE	abvd_185_we_19
datol	datol	DATOL	abvd	WE	abvd_185_we_6
dit	dit	DIT	abvd	THEY	abvd_187_they_25
ditrop	ditrop	DITROP	abvd	ALL	abvd_191_all_88
durkur	durkur	DURKUR	abvd	BLACK	-
ep mar	epmar	EPMAR	abvd	HUNDRED	abvd_209_onehundred_6
epsah	epsah	EPSAH	abvd	WHAT	abvd_188_what_1
fain anuni	fainanuni	PAINANUNI	abvd	WIFE	abvd_58_wife_5
fanat	fanat	PANAT	abvd	CHILD	abvd_56_child_5
fat	fat	PAT	abvd	STONE	abvd_120_stone_1
faín	fan	PAN	abvd	FEMALE PERSON	abvd_55_womanfemale_1
gang	gang	GANG	abvd	DRINK	abvd_40_todrink_29
gom	gom	GOM	abvd	GROW	abvd_86_togrow_55
i	i	I	abvd	HE OR SHE	abvd_184_heshe_1
iah	iah	IAH	abvd	FIRE	abvd_143_fire_1
iai	iai	IAI	abvd	STICK	abvd_79_stickwood_1
iaiavuh	iaiavuh	IAIABUH	abvd	COOK (SOMETHING)	-
ian	ian	IAN	abvd	WALK	abvd_5_towalk_2
ida	ida	IDA	abvd	THIS	-
iding	iding	IDING	abvd	THAT	-
idong	idong	IDONG	abvd	THAT	-
ieliel	ieliel	IELIEL	abvd	SWIM	abvd_9_toswim_44
iis	iis	IIS	abvd	SEVEN	abvd_203_seven_1
ilim	ilim	ILIM	abvd	FIVE	abvd_201_five_1
ima	ima	IMA	abvd	COME	abvd_7_tocome_1
inan	inan	INAN	abvd	WALK	abvd_5_towalk_2
iru	iru	IRU	abvd	TWO	abvd_198_two_1
itol	itol	ITOL	abvd	THREE	abvd_199_three_1
iuvún	iuvn	IUBN	abvd	HAIR	abvd_26_hair_13
ivon	ivon	IBON	abvd	SIX	abvd_202_six_8
iát	it	IT	abvd	FOUR	abvd_200_four_1
iáu	iu	IU	abvd	I	abvd_182_i_1
kabinngisen	kabinngisen	KABINNGISEN	abvd	TOOTH	abvd_31_tooth_24
kabusun	kabusun	KABUSUN	abvd	NOSE	abvd_27_nose_1
kakavin	kakavin	KAKABIN	abvd	FAT (ORGANIC SUBSTANCE)	-
kalang	kalang	KALANG	abvd	MOON	abvd_129_moon_26
kalmumukum	kalmumukum	KALMUMUKUM	abvd	TAIL	abvd_105_tail_28
kam erbe	kamerbe	KAMERBE	abvd	DREAM (SOMETHING)	-
kamliman	kamliman	KAMLIMAN	abvd	SHOULDER	-
karmayán	karmayn	KARMAUN	abvd	TONGUE	abvd_32_tongue_7
kat	kat	KAT	abvd	LIVER	abvd_17_liver_1
kaío	kao	KAO	abvd	LEFT	abvd_2_left_15
keke n	keken	KEKEN	abvd	FOOT OR LEG	abvd_4_legfoot_1
kes	kes	KES	abvd	SIT	abvd_51_tosit_20
ki borbor	kiborbor	KIBORBOR	abvd	SLEEP	abvd_48_tosleep_83
kikiók	kikik	KIKIK	abvd	VOMIT	abvd_35_tovomit_38
kirikinau	kirikinau	KIRIKINAU	abvd	STEAL	abvd_73_tosteal_21
kirái	kiri	KIRI	abvd	DAY (NOT NIGHT)	-
koderan	koderan	KODERAN	abvd	NECK	-
kokok	kokok	KOKOK	abvd	WHITE	abvd_148_white_60
