Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
Adama	adama	ADAMA	wikipron	-	-
Adamami	adamami	ADAMAMI	wikipron	-	-
Adamoch	adamɔx	ADAMOK	wikipron	-	-
Adamom	adamɔm	ADAMOM	wikipron	-	-
Adamov	adamɔu̯	ADAMOU	wikipron	-	-
Adamovi	adamɔvi	ADAMOBI	wikipron	-	-
Adamovia	adamɔvi̯a	ADAMOBIA	wikipron	-	-
Adelka	adɛɫka	ADELKA	wikipron	-	-
Ado	adɔ	ADO	wikipron	-	-
Adolf	adoɫf	ADOLP	wikipron	-	-
Afrika	afrika	APRIKA	wikipron	-	-
Afrike	afrikɛ	APRIKE	wikipron	-	-
Afrikou	afrikɔu̯	APRIKOU	wikipron	-	-
Afriku	afriku	APRIKU	wikipron	-	-
Afriky	afriki	APRIKI	wikipron	-	-
Afrikánec	afrikaːɲɛt͡s	APRIKANES	wikipron	-	-
Agnesa	aɡnɛsa	AGNESA	wikipron	-	-
ahoj	aɦɔj	AHOY	wikipron	-	-
aids	ajt͡s	AYS	wikipron	-	-
aids	ɛjt͡s	EYS	wikipron	-	-
ak	ak	AK	wikipron	-	-
akcia	akt͡sia	AKSIA	wikipron	-	-
akonáhle	akɔnaːɦlɛ	AKONAHLE	wikipron	-	-
aktualizovaný	aktualizovaniː	AKTUALISOBANI	wikipron	-	-
aktualizovať	aktualizovac	AKTUALISOBAK	wikipron	-	-
aktualizácia	aktualizaːt͡sia	AKTUALISASIA	wikipron	-	-
aktínium	aktiːnium	AKTINIUM	wikipron	-	-
akuzatív	akuzatiːu̯	AKUSATIU	wikipron	-	-
aký	akiː	AKI	wikipron	-	-
akýkoľvek	akiːkɔʎvɛk	AKIKOBEK	wikipron	-	-
akɔ	akɔ	AKO	northeuralex	HOW	-
Alah	aɫax	ALAK	wikipron	-	-
Alan	aɫan	ALAN	wikipron	-	-
Alandy	aɫandi	ALANDI	wikipron	-	-
albánsky	aɫbaːnski	ALBANSKI	wikipron	-	-
albánčina	aɫbaːnt͡ʃina	ALBANSINA	wikipron	-	-
Albín	aɫbiːn	ALBIN	wikipron	-	-
Albína	aɫbiːna	ALBINA	wikipron	-	-
alebo	alɛbɔ	ALEBO	wikipron	-	-
Alena	alɛna	ALENA	wikipron	-	-
Alexander	alɛksandɛr	ALEKSANDER	wikipron	-	-
Alexej	alɛksɛj	ALEKSEY	wikipron	-	-
Aleš	alɛʃ	ALES	wikipron	-	-
Alfonz	aɫfɔns	ALPONS	wikipron	-	-
Alfréd	aɫfrɛːt	ALPRET	wikipron	-	-
alibi	alibi	ALIBI	wikipron	-	-
Alica	alit͡sa	ALISA	wikipron	-	-
Aljaška	alʲaʃka	ALASKA	wikipron	-	-
alka	aɫka	ALKA	wikipron	-	-
alkohol	aɫkɔɦɔɫ	ALKOHOL	wikipron	-	-
alkoholický	alkɔhɔlit͡skiː	ALKOHOLISKI	wikipron	-	-
alkoholik	aɫkɔɦɔlik	ALKOHOLIK	wikipron	-	-
almanach	almanax	ALMANAK	wikipron	-	-
Alojz	aɫɔjs	ALOYS	wikipron	-	-
Alpy	alpi	ALPI	wikipron	-	-
altruizmus	aɫtruizmus	ALTRUISMUS	wikipron	-	-
Alánd	aɫaːnt	ALANT	wikipron	-	-
Ambróz	ambrɔs	AMBROS	wikipron	-	-
americký	amɛrit͡skiː	AMERISKI	wikipron	-	-
Američan	amɛrit͡ʃan	AMERISAN	wikipron	-	-
Američanka	amɛrit͡ʃaŋka	AMERISANKA	wikipron	-	-
amerícium	amɛriːt͡sium	AMERISIUM	wikipron	-	-
amnézia	amnɛːzia	AMNESIA	wikipron	-	-
Amália	amaːlia	AMALIA	wikipron	-	-
Anabela	anabɛɫa	ANABELA	wikipron	-	-
ananás	ananaːs	ANANAS	wikipron	-	-
Anaxagoras	anaksaɡoras	ANAKSAGORAS	wikipron	-	-
Andrea	andrɛa	ANDREA	wikipron	-	-
Andrej	andrɛj	ANDREY	wikipron	-	-
andulka	anduɫka	ANDULKA	wikipron	-	-
anjel	aɲi̯ɛɫ	ANIEL	wikipron	-	-
Annu	annu	ANNU	wikipron	-	-
antimón	antimɔːn	ANTIMON	wikipron	-	-
antisemita	antisɛmita	ANTISEMITA	wikipron	-	-
Anton	antɔn	ANTON	wikipron	-	-
Antónia	antɔːnia	ANTONIA	wikipron	-	-
aperitív	apɛritiːw	APERITIW	wikipron	-	-
apriːɫ	apriːlˠ	APRIL	northeuralex	APRIL	-
apríl	apriːɫ	APRIL	wikipron	-	-
arabčina	arapt͡ʃina	ARAPSINA	wikipron	-	-
aragonit	araɡɔnit	ARAGONIT	wikipron	-	-
archeológia	arxɛɔɫɔːɡia	ARKEOLOGIA	wikipron	-	-
architektúra	arxitɛktuːra	ARKITEKTURA	wikipron	-	-
arcibiskup	art͡sibiskup	ARSIBISKUP	wikipron	-	-
argón	arɡɔːn	ARGON	wikipron	-	-
Aristoteles	aristɔtɛlɛs	ARISTOTELES	wikipron	-	-
Arménsko	armɛːnskɔ	ARMENSKO	wikipron	-	-
arménčina	armɛːnt͡ʃina	ARMENSINA	wikipron	-	-
Arnold	arnɔld	ARNOLD	wikipron	-	-
Arpád	arpaːt	ARPAT	wikipron	-	-
artritída	artritiːda	ARTRITIDA	wikipron	-	-
Artúr	artuːr	ARTUR	wikipron	-	-
arzén	arzɛːn	ARSEN	wikipron	-	-
astronóm	astrɔnɔːm	ASTRONOM	wikipron	-	-
astronómia	astrɔnɔːmia	ASTRONOMIA	wikipron	-	-
ateizmus	atɛizmus	ATEISMUS	wikipron	-	-
atrament	atramɛnt	ATRAMENT	wikipron	-	-
atóm	atɔːm	ATOM	wikipron	-	-
atómový	atɔːmɔviː	ATOMOBI	wikipron	-	-
Augustín	au̯ɡustiːn	AUGUSTIN	wikipron	-	-
Aurel	au̯rɛːɫ	AUREL	wikipron	-	-
auta	au̯ta	AUTA	wikipron	-	-
autami	au̯tami	AUTAMI	wikipron	-	-
aute	au̯cɛ	AUKE	wikipron	-	-
auto	au̯tɔ	AUTO	wikipron	-	-
autobus	au̯tɔbus	AUTOBUS	wikipron	-	-
autom	au̯tɔm	AUTOM	wikipron	-	-
autostráda	au̯tɔstraːda	AUTOSTRADA	wikipron	-	-
autu	au̯tu	AUTU	wikipron	-	-
autách	au̯taːx	AUTAK	wikipron	-	-
autám	au̯taːm	AUTAM	wikipron	-	-
auɡust	august	AUGUST	northeuralex	AUGUST	-
aɫɛbɔ	alˠɛbɔ	ALEBO	northeuralex	OR	-
babit͡ʃka	babitʃka	BABITSKA	northeuralex	GRANDMOTHER	-
babona	babɔna	BABONA	wikipron	-	-
baht	baːt	BAT	wikipron	-	-
