Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'llaw	llaw	LLAW	abvd	DAY (NOT NIGHT)	-
'llum	llum	LLUM	abvd	BE ALIVE	-
'mbila	mbila	MBILA	abvd	IF	-
'mmug	mmug	MMUG	abvd	SMELL (PERCEIVE)	-
'mpat	mpat	MPAT	abvd	FOUR	-
'nda	nda	NDA	abvd	SEE	-
'nno:m	nnom	NNOM	abvd	SIX	-
'nsa'	nsa	NSA	abvd	NO OR NOT	-
'ntan	ntan	NTAN	abvd	HOLD	-
a'a	aa	AA	abvd	PERSON	abvd_53_personhumanbeing_28
abu	abu	ABU	abvd	ASH	abvd_146_ashes_1
adjal	adjal	ADYAL	abvd	COOK (SOMETHING)	-
aku	aku	AKU	abvd	I	abvd_182_i_1
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
api	api	API	abvd	FIRE	abvd_143_fire_1
asin	asin	ASIN	abvd	SALT	abvd_125_salt_3
atay	atay	ATAU	abvd	LIVER	abvd_17_liver_1
ato:p	atop	ATOP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
ay	ay	AU	abvd	WHAT	abvd_188_what_29
ayad	ayad	AUAD	abvd	GOOD	abvd_164_good_36
ayya'	ayya	AUUA	abvd	SHY OR ASHAMED	-
b'ddek	bddek	BDDEK	abvd	RAT	-
b'gga ang	bggaang	BGGAANG	abvd	TOOTH	-
b'lla	blla	BLLA	abvd	COOK (SOMETHING)	-
b'tto:ng	bttong	BTTONG	abvd	BELLY	abvd_14_belly_29
ba'	ba	BA	abvd	SAY	-
bagaang	bagaang	BAGAANG	abvd	SHOULDER	-
baha'	baha	BAHA	abvd	SWELL	abvd_87_toswell_1
bahangi	bahangi	BAHANGI	abvd	NIGHT	-
bahu	bahu	BAHU	abvd	NEW	abvd_163_new_1
baliyu	baliyu	BALIUU	abvd	WIND	abvd_136_wind_2
base'	base	BASE	abvd	WET	abvd_141_wet_1
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
bituun	bituun	BITUUN	abvd	STAR	abvd_130_star_1
biyaning	biyaning	BIUANING	abvd	YELLOW	-
bo'	bo	BO	abvd	MOUTH	-
bo:ko:g	bokog	BOKOG	abvd	BONE	abvd_15_bone_16
bohat	bohat	BOHAT	abvd	HEAVY	abvd_142_heavy_1
bohe'	bohe	BOHE	abvd	WATER	abvd_122_water_25
bono'	bono	BONO	abvd	KILL	abvd_74_tokill_1
bu	bu	BU	abvd	FEATHER	abvd_99_feather_1
bukut	bukut	BUKUT	abvd	BACK	abvd_13_back_46
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
buun	buun	BUUN	abvd	HAIR	-
buwa'	buwa	BUWA	abvd	FRUIT	abvd_117_fruit_1
d'ddo:k	dddok	DDDOK	abvd	PATH OR ROAD	-
d'lla'	dlla	DLLA	abvd	TONGUE	abvd_32_tongue_4
d'nda	dnda	DNDA	abvd	FEMALE PERSON	abvd_55_womanfemale_31
dag	dag	DAG	abvd	CLIMB	abvd_172_toclimb_2
dagha	dagha	DAGHA	abvd	BREAST	-
daing	daing	DAING	abvd	FISH	abvd_111_fish_54
dakayo'	dakayo	DAKAUO	abvd	ONE	-
danaw	danaw	DANAW	abvd	SEA	-
daun	daun	DAUN	abvd	LEAF	abvd_114_leaf_1
deyo'	deyo	DEUO	abvd	BELOW OR UNDER	-
diki'	diki	DIKI	abvd	SMALL	abvd_152_small_138
diyata'	diyata	DIUATA	abvd	ABOVE	-
dua'mpu'	duampu	DUAMPU	abvd	TWENTY	-
duwa	duwa	DUWA	abvd	TWO	abvd_198_two_1
ero'	ero	ERO	abvd	DOG	-
gabuk	gabuk	GABUK	abvd	ROTTEN	abvd_112_rotten_20
gabun	gabun	GABUN	abvd	CLOUD	abvd_131_cloud_1
gaddung	gaddung	GADDUNG	abvd	GREEN	abvd_151_green_28
gamut	gamut	GAMUT	abvd	ROOT	abvd_115_root_3
guangan	guangan	GUANGAN	abvd	FOREST	-
h'lla	hlla	HLLA	abvd	HUSBAND	-
h'nda	hnda	HNDA	abvd	WIFE	-
ha'	ha	HA	abvd	NO OR NOT	-
haggut	haggut	HAGGUT	abvd	COLD	abvd_139_cold_35
hangut	hangut	HANGUT	abvd	SMELL (PERCEIVE)	-
hanting	hanting	HANTING	abvd	STAB	-
hap	hap	HAP	abvd	GOOD	abvd_164_good_36
hatus	hatus	HATUS	abvd	HUNDRED	abvd_209_onehundred_4
higbun	higbun	HIGBUN	abvd	DUST	-
hiyakan	hiyakan	HIUAKAN	abvd	THROW	-
hulas-sangsa'	hulassangsa	HULASSANGSA	abvd	WORK (ACTIVITY)	-
humbu	humbu	HUMBU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_34
ian	ian	IAN	abvd	THAT	abvd_178_that_1
iklug	iklug	IKLUG	abvd	EGG	-
ina'	ina	INA	abvd	MOTHER	abvd_59_mother_1
ingkot	ingkot	INGKOT	abvd	ROPE	abvd_65_rope_21
ingkotan	ingkotan	INGKOTAN	abvd	FASTEN	abvd_66_totieupfasten_1
inum	inum	INUM	abvd	DRINK	abvd_40_todrink_1
isi	isi	ISI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
ito:m	itom	ITOM	abvd	BLACK	abvd_147_black_1
itu	itu	ITU	abvd	THIS	abvd_177_this_10
itung	itung	ITUNG	abvd	COUNT	abvd_196_tocount_31
iya	iya	IUA	abvd	HE OR SHE	abvd_184_heshe_1
iyu	iyu	IUU	abvd	THAT	-
jaum	jaum	YAUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
k'llong	kllong	KLLONG	abvd	NECK	abvd_25_neck_76
ka'u	kau	KAU	abvd	THOU	-
kaam	kaam	KAAM	abvd	YOU	-
kahut	kahut	KAHUT	abvd	SCRATCH	-
kai	kai	KAI	abvd	LEFT	-
kali	kali	KALI	abvd	DIG	abvd_90_todig_1
kalo:g	kalog	KALOG	abvd	WORM	-
kamemon	kamemon	KAMEMON	abvd	ALL	abvd_191_all_1
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kapal	kapal	KAPAL	abvd	THICK	abvd_157_thick_1
kata'u	katau	KATAU	abvd	RIGHT	abvd_3_right_5
kawat-kawat	kawatkawat	KAWATKAWAT	abvd	GRASS	-
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
ke	ke	KE	abvd	HEAR	-
kehun	kehun	KEHUN	abvd	HEAR	-
kemon	kemon	KEMON	abvd	ALL	abvd_191_all_1
