Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	WHAT	abvd_188_what_1
aho	aho	AHO	abvd	DOG	abvd_96_dog_1
alén	aln	ALN	abvd	BELLY	-
amut	amut	AMUT	abvd	ROOT	abvd_115_root_3
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
ape	ape	APE	abvd	FIRE	abvd_143_fire_1
ata	ata	ATA	abvd	PERSON	abvd_53_personhumanbeing_4
atén	atn	ATN	abvd	LIVER	abvd_17_liver_1
awo	awo	AWO	abvd	DUST	abvd_11_dust_1
aŋin	ain	AIN	abvd	WIND	abvd_136_wind_1
bain	bain	BAIN	abvd	HEAR	-
bajo	bajo	BAYO	abvd	POUND	abvd_93_topoundbeat_1
bapa	bapa	BAPA	abvd	FATHER	abvd_60_father_5
baté	bat	BAT	abvd	THICK	-
baʔ	baʔ	BAH	abvd	FLOW	abvd_123_toflow_9
baʔa	baʔa	BAHA	abvd	SWELL	abvd_87_toswell_1
baʔat	baʔat	BAHAT	abvd	HEAVY	abvd_142_heavy_1
beka	beka	BEKA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
belaha	belaha	BELAHA	abvd	LONG	abvd_155_long_9
belakin	belakin	BELAKIN	abvd	MALE PERSON	abvd_54_manmale_2
belapar	belapar	BELAPAR	abvd	WIDE	abvd_159_wide_48
belara	belara	BELARA	abvd	PAINFUL OR SICK	abvd_160_painfulsick_8
berin	berin	BERIN	abvd	HIT	-
beruhun	beruhun	BERUHUN	abvd	FOG	-
berwain	berwain	BERWAIN	abvd	FEMALE PERSON	abvd_55_womanfemale_1
biho	biho	BIHO	abvd	COOK (SOMETHING)	-
buka	buka	BUKA	abvd	OPEN	abvd_92_toopenuncover_1
buran	buran	BURAN	abvd	WHITE	abvd_148_white_3
buto	buto	BUTO	abvd	EIGHT	abvd_204_eight_30
buʔ	buʔ	BUH	abvd	BLOW (OF WIND)	-
bélo	blo	BLO	abvd	CUT OR HACK	abvd_78_tocuthack_110
bélé	bl	BL	abvd	BIG	-
bəlakĩ	bəlak	BELAK	abvd	MALE PERSON	abvd_54_manmale_2
bərwãĩ	bərw	BERW	abvd	FEMALE PERSON	abvd_55_womanfemale_1
dahé	dah	DAH	abvd	NEAR	abvd_179_near_8
dat	dat	DAT	abvd	BLUNT	-
date	date	DATE	abvd	BAD OR EVIL	abvd_165_badevil_1?
dekét	dekt	DEKT	abvd	SHARP	abvd_81_sharp_10
desaʔ	desaʔ	DESAH	abvd	FALL	-
dewan	dewan	DEWAN	abvd	ROTTEN	-
doan	doan	DOAN	abvd	FAR	abvd_180_far_8
déʔi	dʔi	DHI	abvd	STAND	abvd_52_tostand_1
ema	ema	EMA	abvd	MOTHER	abvd_59_mother_80
ga'u	gau	GAU	abvd	SCRATCH	abvd_77_toscratch_44
gan	gan	GAN	abvd	EAT	abvd_37_toeat_1
gasik	gasik	GASIK	abvd	COUNT	-
geleté	gelet	GELET	abvd	COLD	-
gelin	gelin	GELIN	abvd	DIG	abvd_90_todig_1?
giké	gik	GIK	abvd	BITE	abvd_41_tobite_21
goʔé	goʔ	GOH	abvd	I	-
gébaʔ	gbaʔ	GBAH	abvd	THROW	abvd_94_tothrow_107
géhan	ghan	GHAN	abvd	OTHER	-
géka	gka	GKA	abvd	LAUGH	abvd_33_tolaugh_6?
géré	gr	GR	abvd	CLIMB	-
hanan	hanan	HANAN	abvd	SHOULDER	-
harin	harin	HARIN	abvd	BREATHE	abvd_28_tobreathe_7
hawu	hawu	HAWU	abvd	SEW	abvd_67_tosew_10
