Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aba	ɑbɑ	ABA	wikipron	-	-
adı	ɑːdɨ	ADI	wikipron	-	-
adı	ɑːdɯ	ADU	wikipron	-	-
agelgüsi	ɑkeiʲ	AKEI	wikipron	-	-
agelgüsi	ɑkiiʲ	AKII	wikipron	-	-
agelgüsi	ɑʰkeiʲ	AKEI	wikipron	-	-
aqdarğusı	axtar	AKTAR	wikipron	-	-
aqdarğusı	axtər	AKTER	wikipron	-	-
aqdarğusı	axtʰar	AKTAR	wikipron	-	-
aqğusı	ɑχʁusɨ	AKRUSI	wikipron	-	-
at	ɑtʰ	AT	wikipron	-	-
atğusı	ɑtʰ	AT	wikipron	-	-
atğusı	ɑʰ	A	wikipron	-	-
aylağusı	ɑjlɑʁusɨ	AYLARUSI	wikipron	-	-
bağ	pɑʁ	PAR	wikipron	-	-
bağlağusı	pɑʁlɑ	PARLA	wikipron	-	-
bağzuq	poʁɨrsɨχ	PORIRSIK	wikipron	-	-
bağzuq	pɑʁzuχ	PARSUK	wikipron	-	-
bağzuq	pɑʁɨzuχ	PARISUK	wikipron	-	-
başga	pɑʃqɑ	PASKA	wikipron	-	-
beynianqan	pejnɑŋχɑn	PEYNANKAN	wikipron	-	-
bilgüsi	pilɣysi	PILGUSI	wikipron	-	-
birge	pirɣe	PIRGE	wikipron	-	-
birge	pirɣi	PIRGI	wikipron	-	-
birge	pirɣɑr	PIRGAR	wikipron	-	-
birge	pyrɣe	PURGE	wikipron	-	-
borsuq	borsuɡ	BORSUG	wikipron	-	-
bulud	pulut	PULUT	wikipron	-	-
burmaq	pirmɑ	PIRMA	wikipron	-	-
burmaq	pɨrmɨχ	PIRMIK	wikipron	-	-
bögrek	poɣrex	POGREK	wikipron	-	-
dodaq	dodɑʁɨ	DODARI	wikipron	-	-
dodaq	dudɑχ	DUDAK	wikipron	-	-
dodaq	totaɣi	TOTAGI	wikipron	-	-
dodaq	totaχ	TOTAK	wikipron	-	-
dodaq	totɑχ	TOTAK	wikipron	-	-
dodaq	totɨχ	TOTIK	wikipron	-	-
dodaq	tutɑχ	TUTAK	wikipron	-	-
dodır	todɨr	TODIR	wikipron	-	-
dodırci	todɨrʝi	TODIRGI	wikipron	-	-
dovşan	tovʷʃen	TOBSEN	wikipron	-	-
dovşan	tovʷʃenur	TOBSENUR	wikipron	-	-
dovşan	tovʷʃenʒux	TOBSENSUK	wikipron	-	-
dovşan	towʃan	TOWSAN	wikipron	-	-
dovşan	toʷʃan	TOSAN	wikipron	-	-
dovşan	toʷʃen	TOSEN	wikipron	-	-
dovşan	toʷʃæn	TOSAN	wikipron	-	-
dovşan	toːʃan	TOSAN	wikipron	-	-
dovşan	toːʃen	TOSEN	wikipron	-	-
dovşan	toːʷʃan	TOSAN	wikipron	-	-
duz	tuz	TUS	wikipron	-	-
duz	tʰus	TUS	wikipron	-	-
düge	tiuɣe	TIUGE	wikipron	-	-
eñlik	eɳliχ	ENLIK	wikipron	-	-
gadın	qɑdun	KADUN	wikipron	-	-
gadın	qɑdɨn	KADIN	wikipron	-	-
gadın	qɑːden	KADEN	wikipron	-	-
gadın	qɑːdɨn	KADIN	wikipron	-	-
galağusı	kɑlɑʁusɨ	KALARUSI	wikipron	-	-
galağusı	qɑlɑʁusɨ	KALARUSI	wikipron	-	-
gancıq	qɑnʝix	KANGIK	wikipron	-	-
goduq	qʰudæqʰ	KUDAK	wikipron	-	-
gumuş	kumuɕ	KUMUS	wikipron	-	-
gumuş	kumuʃ	KUMUS	wikipron	-	-
gumuş	kumɨʃ	KUMIS	wikipron	-	-
gumuş	kʰumɨʃ	KUMIS	wikipron	-	-
gumuş	kʰymɨɕ	KUMIS	wikipron	-	-
gumuş	qʰumuʃ	KUMUS	wikipron	-	-
göşegüsi	kyʃeɣysi	KUSEGUSI	wikipron	-	-
göşegüsi	køʃeɣysi	KESEGUSI	wikipron	-	-
gürgüncük	kurɣund͡ʒux	KURGUNSUK	wikipron	-	-
gürgüncük	kurɣunʒux	KURGUNSUK	wikipron	-	-
gürgüncük	kurɣunʒʰux	KURGUNSUK	wikipron	-	-
gürgüncük	kyrɣynt͡ʃyx	KURGUNSUK	wikipron	-	-
gürgüncük	kørɣynʒyx	KERGUNSUK	wikipron	-	-
ica	eʝɑ	EGA	wikipron	-	-
ica	it͡ʃi	ISI	wikipron	-	-
ica	it͡ʃɑ	ISA	wikipron	-	-
ica	iʒe	ISE	wikipron	-	-
ica	iʒu	ISU	wikipron	-	-
ica	iʒɑ	ISA	wikipron	-	-
ica	iʝe	IGE	wikipron	-	-
ica	iʝi	IGI	wikipron	-	-
ica	iʝy	IGU	wikipron	-	-
ica	iʝæ	IGA	wikipron	-	-
ica	iʝɑ	IGA	wikipron	-	-
incik	enʝé	ENG	wikipron	-	-
inek	inex	INEK	wikipron	-	-
inek	inix	INIK	wikipron	-	-
inek	inækʰ	INAK	wikipron	-	-
işdegüsi	iʃteɣysi	ISTEGUSI	wikipron	-	-
işgi	iʃki	ISKI	wikipron	-	-
kiyne	kʰeʲn	KEN	wikipron	-	-
kiyne	kʰeʲne	KENE	wikipron	-	-
kiyne	kʰeʲnur	KENUR	wikipron	-	-
kiyne	kʰeʲnɨ	KENI	wikipron	-	-
kiyne	kʰeːm	KEM	wikipron	-	-
kiyne	kʰeːn	KEN	wikipron	-	-
kiyne	kʰijni	KIYNI	wikipron	-	-
kiyne	kʰiʲne	KINE	wikipron	-	-
kiyne	kʰiʲni	KINI	wikipron	-	-
kiyne	kʰiʲnuɹ	KINUR	wikipron	-	-
kiyne	kʰiʲnɨ	KINI	wikipron	-	-
kiyne	kʰiːn	KIN	wikipron	-	-
kürlük	kʰulix	KULIK	wikipron	-	-
kürlük	kʰurlix	KURLIK	wikipron	-	-
kürlük	kʰurlyx	KURLUK	wikipron	-	-
kürlük	kʰyrlix	KURLIK	wikipron	-	-
kürlük	kʰyrlyx	KURLUK	wikipron	-	-
kürlük	qʰullɨχ	KULLIK	wikipron	-	-
mişaq	miʃɑχ	MISAK	wikipron	-	-
poñ	pʰoŋ	PON	wikipron	-	-
puldır	pʰuldɨr	PULDIR	wikipron	-	-
puldır	pʰʊldɨɹ	PULDIR	wikipron	-	-
purnı	pʰurnɨ	PURNI	wikipron	-	-
