Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abrudh	abrudh	ABRUDH	northeuralex	RAIN (RAINING)	-
aht͡ʃɛt͡ʃɛ	ahtʃɛtʃɛ	AHTSETSE	northeuralex	A LITTLE	-
ajβɛ	ajβɛ	AYBE	northeuralex	ONLY	-
aktɛ	aktɛ	AKTE	northeuralex	ONE	-
almɛt͡ʃɛ	almɛtʃɛ	ALMETSE	northeuralex	PERSON	-
amːɛs	amːɛs	AMES	northeuralex	FOREIGN	-
anːjɛ	anːjɛ	ANYE	northeuralex	STILL (CONTINUING)	-
askɛ	askɛ	ASKE	northeuralex	MOON	-
eæjhkaldɛhtɛdh	eæjhkaldɛhtɛdh	EAYHKALDEHTEDH	northeuralex	DECEIVE	-
eætnɛmɛ	eætnɛmɛ	EATNEME	northeuralex	COUNTRY	-
eæt͡ʃːuʌstidh	eætʃːuʌstidh	EATSUSTIDH	northeuralex	URGE (SOMEONE)	-
eːblɛdh	eːblɛdh	EBLEDH	northeuralex	ENDURE	-
eːjhtɛɡh	eːjhtɛgh	EYHTEGH	northeuralex	PARENTS	-
eːjnɛɡɛn	eːjnɛgɛn	EYNEGEN	northeuralex	ALWAYS	-
eːkɛdh	eːkɛdh	EKEDH	northeuralex	OWN	-
eːlɛdh	eːlɛdh	ELEDH	northeuralex	RAISE (BRING UP)	-
eːrjɛdh	eːrjɛdh	ERYEDH	northeuralex	DESTROY	-
fahkɛdh	fahkɛdh	PAHKEDH	northeuralex	WAKE UP	-
fatnɛhtidh	fatnɛhtidh	PATNEHTIDH	northeuralex	DRAG	-
feælːuʌ	feælːuʌ	PEALU	northeuralex	BOARD	-
feːrpɛdh	feːrpɛdh	PERPEDH	northeuralex	PAINTING	-
feːɡrɛdh	feːgrɛdh	PEGREDH	northeuralex	DECORATE	-
fihkɛlidh	fihkɛlidh	PIHKELIDH	northeuralex	SEIZE	-
firːɛdh	firːɛdh	PIREDH	northeuralex	JOG (SOMETHING)	-
fiɛjliɛ	fiɛjliɛ	PIEYLIE	northeuralex	MISTAKE	-
fryœjstɛdh	fryœjstɛdh	PRUEYSTEDH	northeuralex	TRY	-
frɑːmːɛ	frɑːmːɛ	PRAME	northeuralex	FORWARD	-
frɨɛrɛ	frɨɛrɛ	PRIERE	northeuralex	SILENCE	-
fæjluʌdidh	fæjluʌdidh	PAYLUDIDH	northeuralex	DAMAGE	-
føːrhkɛdidh	føːrhkɛdidh	PERHKEDIDH	northeuralex	LAUGH	-
føːrhkɛlh	føːrhkɛlh	PERHKELH	northeuralex	LAUGHTER	-
fɑːhkɛt͡ʃi	fɑːhkɛtʃi	PAHKETSI	northeuralex	SUDDENLY	-
fɑːmuʌ	fɑːmuʌ	PAMU	northeuralex	391_force	-
fɑːβruʌs	fɑːβruʌs	PABRUS	northeuralex	GOOD-LOOKING	-
fɨɛrskɛ	fɨɛrskɛ	PIERSKE	northeuralex	FRESH	-
fʉɛlhkiɛ	fʉɛlhkiɛ	PUELHKIE	northeuralex	FAMILY	-
heælsuʌ	heælsuʌ	HEALSU	northeuralex	HEALTHY	-
heæmtʉrɛ	heæmtʉrɛ	HEAMTURE	northeuralex	FAIRY TALE	-
heæraldɛhtɛdh	heæraldɛhtɛdh	HEARALDEHTEDH	northeuralex	DISTURB	-
heærskuʌs	heærskuʌs	HEARSKUS	northeuralex	TASTY	-
hiɛrkiɛ	hiɛrkiɛ	HIERKIE	northeuralex	HORSE	-
hiɛβniɛ	hiɛβniɛ	HIEBNIE	northeuralex	SPIDER	-
hoæβkiɛ	hoæβkiɛ	HOABKIE	northeuralex	HEAP	-
hoɒkːudh	hoɒkːudh	HOKUDH	northeuralex	FISHING	-
hoɒlɛdh	hoɒlɛdh	HOLEDH	northeuralex	SPEAK	-
hoɒlɛmɛ	hoɒlɛmɛ	HOLEME	northeuralex	SPEECH	-
hoɒsɛdh	hoɒsɛdh	HOSEDH	northeuralex	STRIKE (SOMEONE)	-
hoːnɛskɛ	hoːnɛskɛ	HONESKE	northeuralex	HONEY	-
huβrɛ	huβrɛ	HUBRE	northeuralex	LEATHER	-
hælːa	hælːa	HALA	northeuralex	SHELF	-
hæːliɛhtidh	hæːliɛhtidh	HALIEHTIDH	northeuralex	FLY (MOVE THROUGH AIR)	-
hæːrhpiɛ	hæːrhpiɛ	HARHPIE	northeuralex	PAIN	-
hæːriɛ	hæːriɛ	HARIE	northeuralex	AREA	-
hæːβtiɛ	hæːβtiɛ	HABTIE	northeuralex	PIT (POTHOLE)	-
høːptdɛh	høːptdɛh	HEPTDEH	northeuralex	HINDER	-
hɑːjpanidh	hɑːjpanidh	HAYPANIDH	northeuralex	DISAPPEAR	-
