Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abun	abun	ABUN	abvd	CLOUD	abvd_131_cloud_1
abux	abux	ABUK	abvd	DUST	abvd_11_dust_1
adun	adun	ADUN	abvd	NAME	abvd_63_name_1
aku	aku	AKU	abvd	I	abvd_182_i_1
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
anu	anu	ANU	abvd	DAY (NOT NIGHT)	-
aran	aran	ARAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
asin	asin	ASIN	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
asux	asux	ASUK	abvd	SMOKE (EXHAUST)	abvd_145_smoke_49?
at	at	AT	abvd	ROOT	abvd_115_root_1
atin	atin	ATIN	abvd	LIVER	abvd_17_liver_1
attĕ	att	ATT	abvd	WE	abvd_185_we_1
ayux	ayux	AUUK	abvd	BIG	abvd_153_big_1
baat	baat	BAAT	abvd	HEAVY	abvd_142_heavy_1
bait	bait	BAIT	abvd	LEFT	abvd_2_left_7
bak	bak	BAK	abvd	HEAD	-
batux	batux	BATUK	abvd	STONE	abvd_120_stone_1
baux	baux	BAUK	abvd	NEW	abvd_163_new_1
bibiraŋ	bibira	BIBIRA	abvd	COUNT	abvd_196_tocount_1
bikabur	bikabur	BIKABUR	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_34
bikaguŋ	bikagu	BIKAGU	abvd	HOLD	abvd_89_tohold_1?
birieh	birieh	BIRIEH	abvd	SPLIT	abvd_80_tosplit_1
biriĕ	biri	BIRI	abvd	RED	-
birog	birog	BIROG	abvd	RAT	-
biroñoŋ	biroo	BIROO	abvd	LIE DOWN	-
bisah	bisah	BISAH	abvd	WET	abvd_141_wet_1
bitaŋ	bita	BITA	abvd	STAR	abvd_130_star_1
boba	boba	BOBA	abvd	MOUTH	abvd_30_mouth_1
bodux	bodux	BODUK	abvd	DRY	-
boek	boek	BOEK	abvd	HAIR	abvd_26_hair_1
bokah	bokah	BOKAH	abvd	ROOT	abvd_115_root_2
bokak	bokak	BOKAK	abvd	SWELL	abvd_87_toswell_19
bonar	bonar	BONAR	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1
bonun	bonun	BONUN	abvd	HUSBAND	abvd_57_husband_1?
botun	botun	BOTUN	abvd	EYE	-
boĕs	bos	BOS	abvd	SLEEP	-
boŋuh	bouh	BOUH	abvd	WARM	-
bua	bua	BUA	abvd	FRUIT	abvd_117_fruit_1
