Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	wikipron	-	-
abat	abat	ABAT	wikipron	-	-
Abaz	abaz	ABAS	wikipron	-	-
abazhur	abaʒuɾ	ABASUR	wikipron	-	-
Abazi	abazi	ABASI	wikipron	-	-
abdhellë	abðɛɫə	ABDELE	wikipron	-	-
Abdylaziz	abdylaziz	ABDULASIS	wikipron	-	-
absidë	absidə	ABSIDE	wikipron	-	-
acaherë	at͡saheɾə	ASAHERE	wikipron	-	-
acarohem	at͡saɾɔhɛm	ASAROHEM	wikipron	-	-
acaroj	at͡saɾɔj	ASAROY	wikipron	-	-
aferë	afeɾə	APERE	wikipron	-	-
afrohem	afɾɔhɛm	APROHEM	wikipron	-	-
afrohet	afɾɔhet	APROHET	wikipron	-	-
afroj	afɾɔj	APROY	wikipron	-	-
aftë	aftə	APTE	wikipron	-	-
aftësi	aftəsi	APTESI	wikipron	-	-
aftə	aftə	APTE	northeuralex	DEXTEROUS	-
afër	afəɹ	APER	wikipron	-	-
afër	afəɾ	APER	wikipron	-	-
afɛɾt	afɛɾt	APERT	northeuralex	NEAR	-
ag	aɡ	AG	wikipron	-	-
agull	aɡuɫ	AGUL	wikipron	-	-
ai	ai	AI	northeuralex	HE	-
ajazmë	ajaːzmə	AYASME	wikipron	-	-
ajdës	ajdəs	AYDES	wikipron	-	-
Ajxhan	ajd͡ʒan	AYSAN	wikipron	-	-
ajër	ajər	AYER	wikipron	-	-
ajəɾ	ajəɾ	AYER	northeuralex	AIR	-
akacie	akat͡siɛ	AKASIE	wikipron	-	-
akrep	akɾɛp	AKREP	wikipron	-	-
Akrepi	akɾɛpi	AKREPI	wikipron	-	-
akth	akθ	AKT	wikipron	-	-
aktivizëm	aktivizəm	AKTIBISEM	wikipron	-	-
akull	akuɫ	AKUL	wikipron	-	-
akullore	akuɫoɾe	AKULORE	wikipron	-	-
akulloreshitës	akuɫoɾeʃitəs	AKULORESITES	wikipron	-	-
akɔma	akɔma	AKOMA	northeuralex	STILL (CONTINUING)	-
