Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'e	e	E	wikipron	-	-
abasia	abasia	ABASIA	wikipron	-	-
abate	abate	ABATE	wikipron	-	-
abati	abati	ABATI	wikipron	-	-
abba	abba	ABBA	wikipron	-	-
abbabbaluccai	abbabbalukkai	ABBABBALUKKAI	wikipron	-	-
abbacare	abbakare	ABBAKARE	wikipron	-	-
abbaidare	abbaidare	ABBAIDARE	wikipron	-	-
abblacare	abblakare	ABBLAKARE	wikipron	-	-
abbrabbaluccai	abbrabbalukkai	ABBRABBALUKKAI	wikipron	-	-
abbracare	abbrakare	ABBRAKARE	wikipron	-	-
abe	abe	ABE	wikipron	-	-
abes	aβes	ABES	wikipron	-	-
abi	aβi	ABI	wikipron	-	-
abis	aβis	ABIS	wikipron	-	-
achedda	akeɖɖa	AKEDDA	wikipron	-	-
achedu	akedu	AKEDU	wikipron	-	-
achetu	aketu	AKETU	wikipron	-	-
achina	akina	AKINA	wikipron	-	-
ad	ad	AD	wikipron	-	-
adecuabile	adekwabile	ADEKWABILE	wikipron	-	-
adecuamentu	adekwamentu	ADEKWAMENTU	wikipron	-	-
adecuare	adekware	ADEKWARE	wikipron	-	-
ae	ae	AE	wikipron	-	-
affogare	affoɡare	APPOGARE	wikipron	-	-
aghedu	aɡedu	AGEDU	wikipron	-	-
aghervu	aɡervu	AGERBU	wikipron	-	-
aghina	aɡina	AGINA	wikipron	-	-
agnoni	aɲɲoni	ANNONI	wikipron	-	-
albache	albake	ALBAKE	wikipron	-	-
albu	albu	ALBU	wikipron	-	-
allenu	allenu	ALLENU	wikipron	-	-
ambos	ambos	AMBOS	wikipron	-	-
ammentai	ammentai	AMMENTAI	wikipron	-	-
ammentare	ammentare	AMMENTARE	wikipron	-	-
ampulla	ampulla	AMPULLA	wikipron	-	-
an	an	AN	wikipron	-	-
anchidda	ankiɖɖa	ANKIDDA	wikipron	-	-
anchilla	ankilla	ANKILLA	wikipron	-	-
andare	andare	ANDARE	wikipron	-	-
anghelu	anɡelu	ANGELU	wikipron	-	-
angioni	and͡ʒoni	ANSONI	wikipron	-	-
antigu	antiɡu	ANTIGU	wikipron	-	-
anzenu	and͡zenu	ANSENU	wikipron	-	-
anzone	and͡zone	ANSONE	wikipron	-	-
ape	ape	APE	wikipron	-	-
apes	apes	APES	wikipron	-	-
arangiu	arand͡ʒu	ARANSU	wikipron	-	-
arghentu	arɡentu	ARGENTU	wikipron	-	-
arremattu	arremattu	ARREMATTU	wikipron	-	-
arrosa	arrɔza	ARROSA	wikipron	-	-
arvatze	arvat͡se	ARBASE	wikipron	-	-
arveghe	arbeɡe	ARBEGE	wikipron	-	-
asulu	azulu	ASULU	wikipron	-	-
atzargiu	at͡sard͡ʒu	ASARSU	wikipron	-	-
aurri	aurri	AURRI	wikipron	-	-
ave	abe	ABE	wikipron	-	-
azurra	adzurra	ADSURRA	wikipron	-	-
babbu	babbu	BABBU	wikipron	-	-
bacca	bakka	BAKKA	wikipron	-	-
Bainzu	baind͡zu	BAINSU	wikipron	-	-
banana	banana	BANANA	wikipron	-	-
bancu	banku	BANKU	wikipron	-	-
baranta	baranta	BARANTA	wikipron	-	-
bator	battor	BATTOR	wikipron	-	-
batordighi	batordiɡi	BATORDIGI	wikipron	-	-
Baìngiu	baind͡ʒu	BAINSU	wikipron	-	-
bega	beɡa	BEGA	wikipron	-	-
bellu	bellu	BELLU	wikipron	-	-
benignu	beniɲu	BENINU	wikipron	-	-
bentosu	bentosu	BENTOSU	wikipron	-	-
bentre	bentre	BENTRE	wikipron	-	-
bentu	bentu	BENTU	wikipron	-	-
berbeche	berbeke	BERBEKE	wikipron	-	-
berbeghe	berbeɡe	BERBEGE	wikipron	-	-
beru	beru	BERU	wikipron	-	-
biaittu	bjaittu	BYAITTU	wikipron	-	-
bianca	bjanka	BYANKA	wikipron	-	-
biancu	bjanku	BYANKU	wikipron	-	-
bibere	bibere	BIBERE	wikipron	-	-
bichinu	bikinu	BIKINU	wikipron	-	-
bidda	biɖɖa	BIDDA	wikipron	-	-
bidere	bidere	BIDERE	wikipron	-	-
bidriga	bidriɡa	BIDRIGA	wikipron	-	-
bidrigu	bidriɡu	BIDRIGU	wikipron	-	-
bighinu	biɡinu	BIGINU	wikipron	-	-
bindighi	bindiɡi	BINDIGI	wikipron	-	-
binti	binti	BINTI	wikipron	-	-
binu	binu	BINU	wikipron	-	-
birde	birde	BIRDE	wikipron	-	-
birdiu	birdiu	BIRDIU	wikipron	-	-
birra	birra	BIRRA	wikipron	-	-
bisonzu	bisond͡zu	BISONSU	wikipron	-	-
bivere	bibere	BIBERE	wikipron	-	-
boche	boke	BOKE	wikipron	-	-
boghe	boɡe	BOGE	wikipron	-	-
boidu	boidu	BOIDU	wikipron	-	-
bois	bois	BOIS	wikipron	-	-
bolere	bolere	BOLERE	wikipron	-	-
bonignu	boniɲu	BONINU	wikipron	-	-
bonu	bonu	BONU	wikipron	-	-
bos	bos	BOS	wikipron	-	-
bosateros	bosateros	BOSATEROS	wikipron	-	-
bostru	bostru	BOSTRU	wikipron	-	-
boxi	boʒi	BOSI	wikipron	-	-
brancu	branku	BRANKU	wikipron	-	-
bratzu	brat͡su	BRASU	wikipron	-	-
bussica	bussika	BUSSIKA	wikipron	-	-
butirru	butirru	BUTIRRU	wikipron	-	-
cabaddicare	kaβaɖɖikare	KABADDIKARE	wikipron	-	-
cabaddu	kabaɖɖu	KABADDU	wikipron	-	-
caddu	kaɖɖu	KADDU	wikipron	-	-
calche	kalke	KALKE	wikipron	-	-
calchina	kalkina	KALKINA	wikipron	-	-
caliche	kalike	KALIKE	wikipron	-	-
calighe	kaliɡe	KALIGE	wikipron	-	-
cando	kando	KANDO	wikipron	-	-
cane	kane	KANE	wikipron	-	-
cantu	kantu	KANTU	wikipron	-	-
carba	karba	KARBA	wikipron	-	-
carchidare	karkidare	KARKIDARE	wikipron	-	-
carre	karre	KARRE	wikipron	-	-
carri	karri	KARRI	wikipron	-	-
carru	karru	KARRU	wikipron	-	-
casteddanu	kasteɖɖanu	KASTEDDANU	wikipron	-	-
Casteddu	kasteɖɖu	KASTEDDU	wikipron	-	-
casu	kasu	KASU	wikipron	-	-
cazziàre	kat͡sjare	KASYARE	wikipron	-	-
cerbu	t͡ʃerβu	SERBU	wikipron	-	-
che	ke	KE	wikipron	-	-
chedda	keɖɖa	KEDDA	wikipron	-	-
chelu	kelu	KELU	wikipron	-	-
chena	kena	KENA	wikipron	-	-
chenabura	kenabura	KENABURA	wikipron	-	-
chentu	kentu	KENTU	wikipron	-	-
chentza	kent͡sa	KENSA	wikipron	-	-
chera	kera	KERA	wikipron	-	-
cherbeddu	kerbeɖɖu	KERBEDDU	wikipron	-	-
cherbia	kerβia	KERBIA	wikipron	-	-
cherbu	kerβu	KERBU	wikipron	-	-
cherere	kerere	KERERE	wikipron	-	-
cheresia	keresja	KERESYA	wikipron	-	-
cherfu	kerfu	KERPU	wikipron	-	-
chersa	kersa	KERSA	wikipron	-	-
chertare	kertare	KERTARE	wikipron	-	-
cherva	kerba	KERBA	wikipron	-	-
chervu	kervu	KERBU	wikipron	-	-
chi	ki	KI	wikipron	-	-
