Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	wold	HE OR SHE OR IT	-
a_[noun]_bandja	abaɲɟa	ABANGA	wold	NEXT	-
a_dö́ö	adö́/ɔö/ɔ	ADOO	wold	OUTSIDE	-
a_fési	afé/esi	APESI	wold	IN FRONT OF	-
a_líba	alí/iba	ALIBA	wold	UP	-
abítímö́ön	abí/ití/imö́/ɔö/ɔn	ABITIMOON	wold	SOON	-
adabasíi	adabasí/ii	ADABASII	wold	COCKROACH	-
adikpókpo	adikpó/okpo	ADIKPOKPO	wold	MUSHROOM	-
adingö	adiŋgö/ɔ	ADINGO	wold	CRUSTACEANS (PRAWNS OR SHRIMP)	-
adingö_u_téla	adiŋgö/ɔuté/ela	ADINGOUTELA	wold	SCORPION	-
adjö́kömë	aɟö́/ɔkö/ɔmë/ɛ	AGOKOME	wold	CARRY ON SHOULDER	-
adjáansi	aɟá/aansi	AGAANSI	wold	SPIDER	-
adjíwáta	aɟí/iwá/ata	AGIWATA	wold	DEW	-
adömítö	adö/ɔmí/itö/ɔ	ADOMITO	wold	BUTTERFLY	-
agama	agama	AGAMA	wold	CHAMELEON	-
agba	agba	AGBA	wold	CHIN	-
agbapáu	agbapá/au	AGBAPAU	wold	JAW	-
agbágba	agbá/agba	AGBAGBA	wold	CARRY ON HEAD	-
agó	agó/o	AGO	wold	KNOT	-
agófútu	agó/ofú/utu	AGOPUTU	wold	HEEL	-
agófútúwójo	agó/ofú/utú/uwó/ojo	AGOPUTUWOYO	wold	ANKLE	-
agómáun	agó/omá/aun	AGOMAUN	wold	ELBOW	-
agúja	agú/uja	AGUYA	wold	NEEDLE (FOR SEWING)	-
ahala	ahala	AHALA	wold	FORKED BRANCH	-
ahalakpákpa	ahalakpá/akpa	AHALAKPAKPA	wold	COCKROACH	-
ahalala	ahalala	AHALALA	wold	CENTIPEDE	-
ahö́	ahö́/ɔ	AHO	wold	HOE	-
ahö́máun	ahö́/ɔmá/aun	AHOMAUN	wold	SHOULDER	-
akalé	akalé/e	AKALE	wold	CROCODILE	-
akamawái	akamawá/ai	AKAMAWAI	wold	HERON	-
akiikö́_u_máun	akiːkö́/ɔumá/aun	AKIKOUMAUN	wold	WRIST	-
akáa	aká/aa	AKAA	wold	SOUL	-
akí	akí/i	AKI	wold	HERE	-
akóni	akó/oni	AKONI	wold	BLOOD	-
alibí	alibí/i	ALIBI	wold	KIDNEY	-
aliá	aliá/a	ALIA	wold	FOX	-
alá	alá/a	ALA	wold	THERE	-
alála	alá/ala	ALALA	wold	PARROT	-
alísi	alí/isi	ALISI	wold	RICE	-
alö	alö/ɔ	ALO	wold	LINE	-
amanján	amaɲá/an	AMANAN	wold	TOMORROW	-
ambë́	ambë́/ɛ	AMBE	wold	WHO	-
ambulúpái	ambulú/upá/ai	AMBULUPAI	wold	JAGUAR	-
amáka	amá/aka	AMAKA	wold	HAMMOCK	-
andélu	andé/elu	ANDELU	wold	RING	-
andí	andí/i	ANDI	wold	WHAT	-
angísa	aŋgí/isa	ANGISA	wold	TOWEL	-
aniítiputu	anií/itiputu	ANIITIPUTU	wold	WOOL	-
anásíwósu	aná/así/iwó/osu	ANASIWOSU	wold	SPIDER WEB	-
apakí	apakí/i	APAKI	wold	BOWL	-
apeesína	apeːsí/ina	APESINA	wold	CITRUS FRUIT	-
asákpáa	asá/akpá/aa	ASAKPAA	wold	UPPER LEG (THIGH)	-
atíti	atí/iti	ATITI	wold	GRASSHOPPER	-
aviti	aviti	ABITI	wold	TRAP (PITFALL)	-
avó	avó/o	ABO	wold	GRANDPARENTS	-
avóavo	avó/oavo	ABOABO	wold	ANCESTORS	-
awandai	awandai	AWANDAI	wold	POT	-
awoo	awoː	AWO	wold	OLD	-
awáa	awá/aa	AWAA	wold	NOW	-
azö	azö/ɔ	ASO	wold	NETTLE	-
azönkíjënjën	azö/ɔnkí/ijë/ɛɲë/ɛn	ASONKIYENEN	wold	FIREFLY	-
aái	aá/ai	AAI	wold	YES	-
ba	ba	BA	wold	DRAW (WATER)	-
baasá	baːsá/a	BASA	wold	EMBRACE	-
babá	babá/a	BABA	wold	DRIBBLE	-
babúnu	babú/unu	BABUNU	wold	MONKEY	-
baisígi	baisí/igi	BAISIGI	wold	BICYCLE	-
bajá	bajá/a	BAYA	wold	DANCE	-
bakisi	bakisi	BAKISI	wold	FISH TRAP	-
bakáábátáta	bakáː/aːbá/atá/ata	BAKABATATA	wold	POTATO	-
bakúba	bakú/uba	BAKUBA	wold	BANANA	-
baláki	balá/aki	BALAKI	wold	VOMIT	-
bambúsi	bambú/usi	BAMBUSI	wold	BAMBOO	-
bandja	baɲɟa	BANGA	wold	WALL (OF HOUSE)	-
bandjabúka	baɲɟabú/uka	BANGABUKA	wold	CHEEK	-
bandjajési	baɲɟajé/esi	BANGAYESI	wold	CHEEK	-
bandjapapáíbónu	baɲɟapapá/aí/ibó/onu	BANGAPAPAIBONU	wold	RIB	-
basö́ö	basö́/ɔö/ɔ	BASOO	wold	BROOM	-
batiléífátu	batilé/eí/ifá/atu	BATILEIPATU	wold	BATTERY	-
batáta	batá/ata	BATATA	wold	SWEET POTATO	-
baziá	baziá/a	BASIA	wold	GO DOWN (DESCEND)	-
baáa	baá/aa	BAAA	wold	BROTHER	-
baáfu	baá/afu	BAAPU	wold	SOUP	-
baái	baá/ai	BAAI	wold	WIDE	-
baáka	baá/aka	BAAKA	wold	BLACK	-
baáku	baá/aku	BAAKU	wold	HOLE	-
baákúwáta	baá/akú/uwá/ata	BAAKUWATA	wold	SPRING OR WELL	-
baási	baá/asi	BAASI	wold	BLISTER	-
baáu	baá/au	BAAU	wold	BLUE	-
baí	baí/i	BAI	wold	SWEEP	-
bebé	bebé/e	BEBE	wold	DRINK	-
benga	beŋga	BENGA	wold	PRECIPICE	-
beéi	beé/ei	BEEI	wold	WEAVE	-
beénki	beé/enki	BEENKI	wold	CAN	-
bë́të	bë́/ɛtë/ɛ	BETE	wold	CHISEL	-
bë́ë	bë́/ɛë/ɛ	BEE	wold	STOMACH	-
bigí	bigí/i	BIGI	wold	BEGIN	-
biibíífóo	biːbíː/iːfó/oo	BIBIPOO	wold	MOSQUITO	-
biingá	biːŋgá/a	BINGA	wold	HURRY	-
bisí	bisí/i	BISI	wold	PUT ON	-
biá	biá/a	BIA	wold	TURN AROUND	-
biáfáka	biá/afá/aka	BIAPAKA	wold	SCREWDRIVER	-
biápéégu	biá/apéː/eːgu	BIAPEGU	wold	SCREW	-
biáwáta	biá/awá/ata	BIAWATA	wold	WHIRLPOOL	-
biíbi	bií/ibi	BIIBI	wold	BELIEVE	-
biífi	bií/ifi	BIIPI	wold	MAIL	-
boóki	boó/oki	BOOKI	wold	BRIDGE	-
boóko	boó/oko	BOOKO	wold	BREAK (DESTROY OR GET DESTROYED)	-
boókóhédi	boó/okó/ohé/edi	BOOKOHEDI	wold	ANXIETY	-
boókójési	boó/okó/ojé/esi	BOOKOYESI	wold	DEAF	-
boókówójo	boó/okó/owó/ojo	BOOKOWOYO	wold	BLIND	-
boón	boó/on	BOON	wold	DOUGH	-
bö́	bö́/ɔ	BO	wold	BOW	-
bö́sö	bö́/ɔsö/ɔ	BOSO	wold	BRUSH	-
bubú	bubú/u	BUBU	wold	JAGUAR	-
bulí	bulí/i	BULI	wold	MOVE	-
bulí_búka	bulí/ibú/uka	BULIBUKA	wold	CHEW	-
bulíki	bulí/iki	BULIKI	wold	DONKEY	-
bundji	buɲɟi	BUNGI	wold	FOG	-
butá	butá/a	BUTA	wold	PUT	-
buuká	buːká/a	BUKA	wold	PEEL	-
buukáhédi	buːká/ahé/edi	BUKAHEDI	wold	BALD	-
buusé	buːsé/e	BUSE	wold	HATE	-
buuséma	buːsé/ema	BUSEMA	wold	ENEMY	-
buwá	buwá/a	BUWA	wold	FLY (MOVE THROUGH AIR)	-
buábua	buá/abua	BUABUA	wold	SANDFLY	-
buúku	buú/uku	BUUKU	wold	TROUSERS	-
buúu	buú/uu	BUUU	wold	BLOOD	-
bái	bá/ai	BAI	wold	BUY	-
bája	bá/aja	BAYA	wold	FRIEND	-
báka	bá/aka	BAKA	wold	BACK	-
báka_u_dí_wóto	bá/akaudí/iwó/oto	BAKAUDIWOTO	wold	CAUSE	-
báki	bá/aki	BAKI	wold	TROUGH	-
bákáfútu	bá/aká/afú/utu	BAKAPUTU	wold	HEEL	-
bákágángáá_ángísa	bá/aká/agá/aŋgáː/aːá/aŋgí/isa	BAKAGANGAANGISA	wold	COLLAR	-
bákámíndí	bá/aká/amí/indí/i	BAKAMINDI	wold	SPINE	-
báli	bá/ali	BALI	wold	BALL	-
bánku	bá/anku	BANKU	wold	BANK	-
bánti	bá/anti	BANTI	wold	BELT	-
básu	bá/asu	BASU	wold	SPLEEN	-
básusë	bá/asusë/ɛ	BASUSE	wold	NORTH	-
básúkúnunu	bá/asú/ukú/ununu	BASUKUNUNU	wold	VALLEY	-
básúmáun	bá/asú/umá/aun	BASUMAUN	wold	ARMPIT	-
báta	bá/ata	BATA	wold	BOTTLE	-
báíki	bá/aí/iki	BAIKI	wold	BEAM	-
bé	bé/e	BE	wold	PERMIT	-
bédi	bé/edi	BEDI	wold	BED	-
bégi	bé/egi	BEGI	wold	PRAY	-
béi	bé/ei	BEI	wold	BURY	-
bén	bé/en	BEN	wold	BEAM	-
béndi	bé/endi	BENDI	wold	BEND	-
béndíbéndi	bé/endí/ibé/endi	BENDIBENDI	wold	CROOKED	-
bése	bé/ese	BESE	wold	FROG	-
bési	bé/esi	BESI	wold	BUS	-
béti	bé/eti	BETI	wold	BAIT	-
bë	bë/ɛ	BE	wold	RED	-
bë_wójo	bë/ɛwó/ojo	BEWOYO	wold	THREATEN	-
bëbë	bë/ɛbë/ɛ	BEBE	wold	YOLK	-
bëë́ë	bëː/ɛːë/ɛ	BEE	wold	BREAD	-
bía	bí/ia	BIA	wold	BEARD	-
bíga	bí/iga	BIGA	wold	BECAUSE	-
bíi	bí/ii	BII	wold	BEER	-
bíngo	bí/iŋgo	BINGO	wold	NAVEL	-
bíta	bí/ita	BITA	wold	BITTER	-
