Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
akiyi	akʰiji	AKIYI	wikipron	-	-
asaanasatsiłi	asaːnasat͡siɬi	ASANASASILI	wikipron	-	-
ch'at'agha	t͡ʃʼatʼaɣa	SATAGA	wikipron	-	-
chinatł'uw	t͡ʃʰinat͡ɬʼuw	SINATUW	wikipron	-	-
cho	tʃo	TSO	wikipron	-	-
chot'i	t͡ʃʰotʰʼi	SOTI	wikipron	-	-
Chu	tʃu	TSU	wikipron	-	-
danit'ada	tanitʼata	TANITATA	wikipron	-	-
datł'ishi	tat͡ɬʼiʃi	TATISI	wikipron	-	-
dichasgughani	tit͡ʃʰaskuɣani	TISASKUGANI	wikipron	-	-
dididlu	titit͡ɬu	TITITU	wikipron	-	-
didili	titili	TITILI	wikipron	-	-
didlishi	tit͡ɬiʃi	TITISI	wikipron	-	-
digoy	tikoj	TIKOY	wikipron	-	-
diich'i	tiːtʃʰi	TITSI	wikipron	-	-
dik'azi	tikʼazi	TIKASI	wikipron	-	-
dik'oyi	tikʼoji	TIKOYI	wikipron	-	-
dik'ołi	tikʼoɬi	TIKOLI	wikipron	-	-
dimodzi	timot͡si	TIMOSI	wikipron	-	-
dina	tina	TINA	wikipron	-	-
dinadisuli	tinatisuli	TINATISULI	wikipron	-	-
diniji	tiniʒi	TINISI	wikipron	-	-
disgoshi	tiskoʃi	TISKOSI	wikipron	-	-
ditsuw	titsʰuw	TITSUW	wikipron	-	-
diwugi	tiwuki	TIWUKI	wikipron	-	-
diyali	tijali	TIYALI	wikipron	-	-
dluna	t͡ɬuna	TUNA	wikipron	-	-
doma	toma	TOMA	wikipron	-	-
domoli	tomoli	TOMOLI	wikipron	-	-
doni	toni	TONI	wikipron	-	-
doninadoguts'i	toninatokut͡sʼi	TONINATOKUSI	wikipron	-	-
dzazi	t͡sazi	SASI	wikipron	-	-
goji	koʒi	KOSI	wikipron	-	-
gudzagha	kut͡saɣa	KUSAGA	wikipron	-	-
gudzanogha	kut͡sanoɣa	KUSANOGA	wikipron	-	-
gulo	kulo	KULO	wikipron	-	-
gunagha	kunaɣa	KUNAGA	wikipron	-	-
guts'i	kút͡sʼí	KS	wikipron	-	-
Guts'ists'i	kut͡sʼist͡sʼi	KUSISSI	wikipron	-	-
gutł'is	kut͡ɬʼis	KUTIS	wikipron	-	-
guut'a	kúːtʼá	KT	wikipron	-	-
guyani	kujani	KUYANI	wikipron	-	-
guzula	kuzula	KUSULA	wikipron	-	-
ichidoni	itʃitoni	ITSITONI	wikipron	-	-
ichiish	it͡ʃʰiːʃ	ISIS	wikipron	-	-
idiłu	itiɬu	ITILU	wikipron	-	-
ido	ito	ITO	wikipron	-	-
idzanagha	itsanaɣa	ITSANAGA	wikipron	-	-
ijin	iʒin	ISIN	wikipron	-	-
inogha	inɒɣa	INGA	wikipron	-	-
isno	isnɒ	ISN	wikipron	-	-
isnonikaga	isnonikʰaka	ISNONIKAKA	wikipron	-	-
ist'oni	īstʼóní	STN	wikipron	-	-
istła	ist͡ɬa	ISTA	wikipron	-	-
istłi	ist͡ɬi	ISTI	wikipron	-	-
it'aza	itʼaza	ITASA	wikipron	-	-
its'oghanagula	itsʼoɣanakula	ITSOGANAKULA	wikipron	-	-
its'oghask'ogi	ìt͡sʼóɣáskʼòkí	SGSKK	wikipron	-	-
its'uwa	īt͡sʼūwà	SW	wikipron	-	-
iwu	iwu	IWU	wikipron	-	-
iyowa	ijowa	IYOWA	wikipron	-	-
jijadisgoshi	ʒiʒatiskoʃi	SISATISKOSI	wikipron	-	-
k'iji	kʼiʒi	KISI	wikipron	-	-
kʼijichu	kʼiʒitʃʰu	KISITSU	wikipron	-	-
mas	mas	MAS	wikipron	-	-
michadikodi	mitʃatikʰoti	MITSATIKOTI	wikipron	-	-
midzoghanichowi	mitsoɣanit͡ʃʰowi	MITSOGANISOWI	wikipron	-	-
migusnitłuli	mikusnit͡ɬuli	MIKUSNITULI	wikipron	-	-
mikogona	mikʰokona	MIKOKONA	wikipron	-	-
mikotatsisdogha	mikʰotʰat͡sistoɣa	MIKOTASISTOGA	wikipron	-	-
mikoʔask'aghach'iloshi	mikʰoʔaskʼaɣat͡ʃʰʼiloʃi	MIKOHASKAGASILOSI	wikipron	-	-
mis	mis	MIS	wikipron	-	-
misi	misi	MISI	wikipron	-	-
misoghatsik'ishi	misoɣat͡sikʼiʃi	MISOGASIKISI	wikipron	-	-
mits'idigoyi	mit͡sʼitikoji	MISITIKOYI	wikipron	-	-
miyisdla	mijist͡ɬa	MIYISTA	wikipron	-	-
mizists'igudisuli	mizist͡sʼikutisuli	MISISSIKUTISULI	wikipron	-	-
mił	miɬ	MIL	wikipron	-	-
modiwuts'agha	motiwut͡sʼaɣa	MOTIWUSAGA	wikipron	-	-
moghanats'ałi	moɣanat͡sʼaɬi	MOGANASALI	wikipron	-	-
moghatł'ałi	moɣat͡ɬʼaɬi	MOGATALI	wikipron	-	-
moghaʔilushi	moɣaʔiluʃi	MOGAHILUSI	wikipron	-	-
nadisnoni	natisnoni	NATISNONI	wikipron	-	-
nak'us	nakʼus	NAKUS	wikipron	-	-
nasʔagha	nasʔaɣa	NASHAGA	wikipron	-	-
