Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-hiteruŋ	hiteru	HITERU	abvd	KNOW (SOMETHING)	-
anan	anan	ANAN	abvd	EAT	abvd_37_toeat_1
anarau-ŋ	anarau	ANARAU	abvd	LEFT	abvd_2_left_2
ari-ŋ	ari	ARI	abvd	RIGHT	abvd_3_right_54
asintana-ŋ	asintana	ASINTANA	abvd	NECK	abvd_25_neck_110
asntani	asntani	ASNTANI	abvd	NECK	abvd_25_neck_110
aβalik	aalik	AALIK	abvd	WALK	abvd_5_towalk_95
aβəlik	aəlik	AELIK	abvd	WALK	abvd_5_towalk_95
ese	ese	ESE	abvd	GREEN	abvd_151_green_8
ese-	ese	ESE	abvd	NAME	abvd_63_name_1
etruru	etruru	ETRURU	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_76
fakari-	fakari	PAKARI	abvd	BONE	abvd_15_bone_27
faku	faku	PAKU	abvd	SMALL	abvd_152_small_107
falete	falete	PALETE	abvd	EARTH (SOIL)	abvd_119_earthsoil_11
farfarnye	farfarnye	PARPARNUE	abvd	FEAR (BE AFRAID)	abvd_22_tofear_41
fatten	fatten	PATTEN	abvd	OTHER	abvd_190_other_64
faθer	faer	PAER	abvd	STAR	abvd_130_star_1
fele-	fele	PELE	abvd	TAIL	abvd_105_tail_64
fere	fere	PERE	abvd	SAY	abvd_64_tosay_30
fi-	fi	PI	abvd	FRUIT	abvd_117_fruit_1
fok	fok	POK	abvd	VOMIT	abvd_35_tovomit_27
fos	fos	POS	abvd	HIT	abvd_72_tohit_86
foteli-	foteli	POTELI	abvd	EGG	abvd_98_egg_1
fri-	fri	PRI	abvd	SKIN	abvd_12_skin_1
fro-	fro	PRO	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_45
ful	ful	PUL	abvd	MOON	abvd_129_moon_1
fulu-	fulu	PULU	abvd	HAIR	abvd_26_hair_31
fulun pili-	fulunpili	PULUNPILI	abvd	WING	abvd_100_wing_38
furur	furur	PURUR	abvd	BITE	abvd_41_tobite_64
fur̃	fur̃	PUR	abvd	LOUSE	abvd_108_louse_1
fute	fute	PUTE	abvd	BLACK	abvd_147_black_74
futˢuk	futuk	PUTUK	abvd	STAB	abvd_71_tostabpierce_67
hai	hai	HAI	abvd	ROPE	abvd_65_rope_35
han	han	HAN	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_31
hanara	hanara	HANARA	abvd	LEFT	abvd_2_left_2
hap	hap	HAP	abvd	ASH	abvd_146_ashes_1
harap	harap	HARAP	abvd	FOG	abvd_132_fog_3
hari	hari	HARI	abvd	HOLD	abvd_89_tohold_3
hari-	hari	HARI	abvd	ROOT	abvd_115_root_2
