Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'apɛl	apɛl	APEL	abvd	BELLY	abvd_14_belly_2
'bolɛ	bolɛ	BOLE	abvd	MOON	abvd_129_moon_1
'buburɛ	buburɛ	BUBURE	abvd	WHITE	abvd_148_white_4
'bulje	bulje	BULYE	abvd	FRUIT	abvd_117_fruit_3
'buru	buru	BURU	abvd	TWO	abvd_198_two_1
'bɛ	bɛ	BE	abvd	WATER	abvd_122_water_2
'hoʔojɛ	hoʔojɛ	HOHOYE	abvd	LOUSE	abvd_108_louse_4
'kal	kal	KAL	abvd	EAT	abvd_37_toeat_1
'kalɛ	kalɛ	KALE	abvd	EARTH (SOIL)	abvd_119_earthsoil_3
'kol	kol	KOL	abvd	SEE	abvd_46_tosee_2
'kɛl	kɛl	KEL	abvd	NECK	abvd_25_neck_4
'lil	lil	LIL	abvd	TOOTH	abvd_31_tooth_4
'lim	lim	LIM	abvd	HAND	abvd_1_hand_1
'lɛm	lɛm	LEM	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_3
'lɛt	lɛt	LET	abvd	FALL	abvd_95_tofall_7
'monɛ	monɛ	MONE	abvd	BIRD	abvd_97_bird_4
'nom	nom	NOM	abvd	TONGUE	abvd_32_tongue_6
'nən	nən	NEN	abvd	NAME	abvd_63_name_3
'obi	obi	OBI	abvd	YOU	abvd_186_you_2
'papantɛ	papantɛ	PAPANTE	abvd	WARM	abvd_138_warm_4
'ramnɛ	ramnɛ	RAMNE	abvd	LIVER	abvd_17_liver_5
'robuke	robuke	ROBUKE	abvd	CLOUD	abvd_131_cloud_5
'to	to	TO	abvd	SALT	abvd_125_salt_5
'toi	toi	TOI	abvd	WHO	abvd_189_who_4
'tut	tut	TUT	abvd	BREAST	abvd_18_breast_5
'tɛkul	tɛkul	TEKUL	abvd	BURN	-
'tʲai	tai	TAI	abvd	WHAT	abvd_188_what_4
'ui	ui	UI	abvd	I	abvd_182_i_1?
'ujho'boberɛ	ujhoboberɛ	UYHOBOBERE	abvd	SMOKE (EXHAUST)	abvd_145_smoke_6
'ujor	ujor	UYOR	abvd	SEA	abvd_124_sea_6
'ujɛ	ujɛ	UYE	abvd	FIRE	abvd_143_fire_3
'ullɛ	ullɛ	ULLE	abvd	STAR	abvd_130_star_3
'unɛ	unɛ	UNE	abvd	CHILD	abvd_56_child_1
'uper	uper	UPER	abvd	FOREST	-
'ut	ut	UT	abvd	DOG	abvd_96_dog_3
'ɔr	ɔr	OR	abvd	FOOT OR LEG	abvd_4_legfoot_3
'ɛl	ɛl	EL	abvd	FISH	abvd_111_fish_4
'ɛm	ɛm	EM	abvd	HOUSE	abvd_61_house_2
a'kɛ	akɛ	AKE	abvd	MOSQUITO	-
a'mit	amit	AMIT	abvd	WE	abvd_185_we_2
ba'ʔaje	baʔaje	BAHAYE	abvd	STONE	abvd_120_stone_2?
barbiar'ri	barbiarri	BARBIARRI	abvd	NEW	abvd_163_new_4
beb'le	beble	BEBLE	abvd	GRASS	abvd_118_grass_7
