Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
Aachen	ɑːkeːn	AKEN	wikipron	-	-
Abbe	²abɛ	ABE	wikipron	-	-
abborre	abbɔrɛ	ABBORE	wikipron	-	-
abbot	abːɔt	ABOT	wikipron	-	-
aboensisk	abʊɛnsɪsk	ABUENSISK	wikipron	-	-
abonnemang	abɔnɛmaŋː	ABONEMAN	wikipron	-	-
abonnentförteckning	abɔnɛntfœʈɛknɪŋ	ABONENTPETEKNIN	wikipron	-	-
abrupt	abrɵpːt	ABROPT	wikipron	-	-
absolut	absɔlʉːt	ABSOLUT	wikipron	-	-
absorptionsförmåga	absɔɹpʃʊnsfœɹmoːɡa	ABSORPSUNSPERMOGA	wikipron	-	-
abstinens	abːstɪnɛnːs	ABSTINENS	wikipron	-	-
abstinensbesvär	abːstɪnɛnːsbesvæːr	ABSTINENSBESBAR	wikipron	-	-
abːɔrə	abːɔrə	ABORE	northeuralex	PERCH (FISH)	-
acajounöt	akajunøːt	AKAYUNET	wikipron	-	-
acajouträd	akajutrɛːd	AKAYUTRED	wikipron	-	-
accent	akːsaŋː	AKSAN	wikipron	-	-
accent	akːsɛnːt	AKSENT	wikipron	-	-
acceptera	aksɛpteːra	AKSEPTERA	wikipron	-	-
accis	aksiːs	AKSIS	wikipron	-	-
acetylsalicylsyra	asɛtyːlsalɪsyːlsyːra	ASETULSALISULSURA	wikipron	-	-
ackja	akja	AKYA	wikipron	-	-
ackusativ	akɵsatiːv	AKOSATIB	wikipron	-	-
ackuschör	akɵɧøːr	AKOSER	wikipron	-	-
ackuschörska	akɵɧœʂka	AKOSESKA	wikipron	-	-
actionhjälte	akʃɔnjɛltə	AKSONYELTE	wikipron	-	-
adamsäpple	aːdamsɛpːlɛ	ADAMSEPLE	wikipron	-	-
Adde	²adɛ	ADE	wikipron	-	-
adel	ɑːdɛl	ADEL	wikipron	-	-
adelssläkt	ɒ̀ːdəls‿slɛkːt	DELSSLEKT	wikipron	-	-
ADHD	ɑːdeːhoːdeː	ADEHODE	wikipron	-	-
adjektiv	²adːjɛktiːv	ADYEKTIB	wikipron	-	-
adjö	ajøː	AYE	wikipron	-	-
adla	ɑːdla	ADLA	wikipron	-	-
adlig	ɑːdlɪɡ	ADLIG	wikipron	-	-
adrätt	²ɑːdrɛtː	ADRET	wikipron	-	-
advent	advɛnt	ADBENT	wikipron	-	-
adventsljusstake	ad²vɛntsjʉ̟ːsstɑːkɛ	ADBENTSYUSSTAKE	wikipron	-	-
adventsstjärna	advɛntsɧɛːrna	ADBENTSSERNA	wikipron	-	-
adventssöndag	advɛntssœndɑːɡ	ADBENTSSENDAG	wikipron	-	-
adverb	advɛrːb	ADBERB	wikipron	-	-
advokat	advʊkɑːt	ADBUKAT	wikipron	-	-
affektionsvärde	afɛkɧuːnsvɛːrdə	APEKSUNSBERDE	wikipron	-	-
affrikata	afrɪkɑːta	APRIKATA	wikipron	-	-
affär	a¹fɛːr	APER	wikipron	-	-
affärsbiträde	afæʂːbɪtrɛːdɛ	APASBITREDE	wikipron	-	-
affärsidé	afæʂiːdeː	APASIDE	wikipron	-	-
affärskvinna	afɛːrskvɪnːa	APERSKBINA	wikipron	-	-
affärsliv	afæʂliːv	APASLIB	wikipron	-	-
affärsman	afæʂman	APASMAN	wikipron	-	-
affärsmässig	afæʂmɛsɪɡ	APASMESIG	wikipron	-	-
affärsresa	afæʂreːsa	APASRESA	wikipron	-	-
affːær	affːær	APPAR	northeuralex	SHOP	-
afse	²afsɛ	APSE	wikipron	-	-
afton	aftɔn	APTON	wikipron	-	-
aftonfalk	aftɔnfalk	APTONPALK	wikipron	-	-
agat	aɡɑːt	AGAT	wikipron	-	-
agenda	aɡɛnːda	AGENDA	wikipron	-	-
agent	aɡɛnːt	AGENT	wikipron	-	-
aggressiv	aɡrɛsiːv	AGRESIB	wikipron	-	-
agna	aŋna	ANNA	wikipron	-	-
Agneta	aŋ²neːta	ANNETA	wikipron	-	-
agnosticism	aɡnɔstɪsɪsm	AGNOSTISISM	wikipron	-	-
agnostiker	aɡːnɔsːtɪkɛrː	AGNOSTIKER	wikipron	-	-
aioli	ajoːlɪ	AYOLI	wikipron	-	-
ajdå	ajdoː	AYDO	wikipron	-	-
ajö	ajøː	AYE	wikipron	-	-
ajöken	ajøːkɛn	AYEKEN	wikipron	-	-
ajöss	ajœs	AYES	wikipron	-	-
akaciames	akɑːsijameːs	AKASIYAMES	wikipron	-	-
akilleshäl	aːkɪlɛshɛːl	AKILESHEL	wikipron	-	-
aktie	akːtsɪɛ	AKTSIE	wikipron	-	-
aktiebolag	aktsiɛbʊlɑːɡ	AKTSIEBULAG	wikipron	-	-
aktieägare	akːtsɪɛɛːɡarɛ	AKTSIEEGARE	wikipron	-	-
aktinium	aktiːnɪɵm	AKTINIOM	wikipron	-	-
aktningsvärd	aktnɪŋsvɛːrd	AKTNINSBERD	wikipron	-	-
aktningsvärdhet	aktnɪŋsvɛːɖhɛt	AKTNINSBEDHET	wikipron	-	-
aktuell	aktɵɛl	AKTOEL	wikipron	-	-
akupunktur	akʉpʉŋktʉːr	AKUPUNKTUR	wikipron	-	-
akut	akʉːt	AKUT	wikipron	-	-
akvarellmålare	akvarɛlmoːlaːrɛ	AKBARELMOLARE	wikipron	-	-
al	ɑːl	AL	wikipron	-	-
aladåb	aːladoːb	ALADOB	wikipron	-	-
albatross	albatrɔs	ALBATROS	wikipron	-	-
Albert	¹albæʈ	ALBAT	wikipron	-	-
Albertina	albæ²ʈiːna	ALBATINA	wikipron	-	-
Albin	¹albɪn	ALBIN	wikipron	-	-
aldrig	aldriɡ	ALDRIG	wikipron	-	-
alert	alæʈ	ALAT	wikipron	-	-
alfabet	alfabeːt	ALPABET	wikipron	-	-
alfastrålning	alfastroːlnɪŋ	ALPASTROLNIN	wikipron	-	-
alfågel	ɑːlfoːɡɛl	ALPOGEL	wikipron	-	-
alförrädare	ɑːlfœɾɛːdaɾɛ	ALPEREDARE	wikipron	-	-
alg	alj	ALY	wikipron	-	-
algerier	alɧeːrɪɛr	ALSERIER	wikipron	-	-
Algeriet	alɧɛriːɛt	ALSERIET	wikipron	-	-
algerisk	alɧeːrɪsk	ALSERISK	wikipron	-	-
Alingsås	ɑːlɪŋsoːs	ALINSOS	wikipron	-	-
alkekung	alkɛkɵŋ	ALKEKON	wikipron	-	-
alkohol	alkʊhoːl	ALKUHOL	wikipron	-	-
alkoholism	alkʊhʊlɪsm	ALKUHULISM	wikipron	-	-
alkoholist	alkʊhʊlɪst	ALKUHULIST	wikipron	-	-
alkoholpåverkad	alkuhɔlpɔːvɛrkad	ALKUHOLPOBERKAD	wikipron	-	-
alkoläsk	alkulɛsk	ALKULESK	wikipron	-	-
alkolås	alkuloːs	ALKULOS	wikipron	-	-
alla	ala	ALA	wikipron	-	-
allemansrätt	alːɛmansrɛtː	ALEMANSRET	wikipron	-	-
allestädes	alːɛstɛːdɛs	ALESTEDES	wikipron	-	-
allestädesnärvaro	alːɛstɛːdsnærːvɑruː	ALESTEDSNARBARU	wikipron	-	-
allihop	alɪhuːp	ALIHUP	wikipron	-	-
