Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-isa	isa	ISA	abvd	HE OR SHE	abvd_184_heshe_1
a:nwisa	anwisa	ANWISA	abvd	EAT	-
a:ri	ari	ARI	abvd	DAY (NOT NIGHT)	abvd_168_day_17
a:u	au	AU	abvd	EAT	abvd_37_toeat_37
a:ɬaŋəaŋa	aɬaəaa	ALAEAA	abvd	DIRTY	abvd_10_dirty_113
aari	aari	AARI	abvd	DAY (NOT NIGHT)	abvd_168_day_17
aba:bo	ababo	ABABO	abvd	COOK (SOMETHING)	-
aiɬu	aiɬu	AILU	abvd	SALT	abvd_125_salt_3
aku	aku	AKU	abvd	I	abvd_182_i_1
alanarə	alanarə	ALANARE	abvd	WIDE	-
alaŋica	alaica	ALAIKA	abvd	ABOVE	-
alápuŋ	alpu	ALPU	abvd	WING	abvd_100_wing_29
aləməsa	aləməsa	ALEMESA	abvd	NECK	-
amaʔa	amaʔa	AMAHA	abvd	FATHER	abvd_60_father_1
amiami	amiami	AMIAMI	abvd	SAY	-
amiɬa:	amiɬa	AMILA	abvd	SAY	-
ani	ani	ANI	abvd	WHERE	abvd_181_where_11
aniisa	aniisa	ANIISA	abvd	THAT	abvd_178_that_4
apouth	apouth	APOUTH	abvd	FIRE	abvd_143_fire_1
apoɬo	apoɬo	APOLO	abvd	FIRE	abvd_143_fire_1
apuɬ	apuɬ	APUL	abvd	FIRE	abvd_143_fire_1
apuɬu	apuɬu	APULU	abvd	FIRE	abvd_143_fire_1
arakicacə	arakicacə	ARAKIKAKE	abvd	FEAR (BE AFRAID)	-
arataisa	arataisa	ARATAISA	abvd	GROW	-
ari	ari	ARI	abvd	SKY	-
arupaŋiɬivu	arupaiɬivu	ARUPAILIBU	abvd	OPEN	-
atlain	atlain	ATLAIN	abvd	FEMALE PERSON	abvd_55_womanfemale_30
auni:ni	aunini	AUNINI	abvd	HOW	-
aərə	aərə	AERE	abvd	DIRTY	-
aɬa:ma	aɬama	ALAMA	abvd	OLD	abvd_162_old_106
aɬaina	aɬaina	ALAINA	abvd	FEMALE PERSON	abvd_55_womanfemale_30
aɬamə	aɬamə	ALAME	abvd	BIRD	abvd_97_bird_2
aɬanə	aɬanə	ALANE	abvd	RIGHT	abvd_3_right_1
aɬi:	aɬi	ALI	abvd	TOOTH	abvd_31_tooth_2
aɬiasa	aɬiasa	ALIASA	abvd	SHOULDER	abvd_19_shoulder_51
aɬiaɬa	aɬiaɬa	ALIALA	abvd	SHOULDER	abvd_19_shoulder_51
aɬii	aɬii	ALII	abvd	TOOTH	abvd_31_tooth_2
baciki	baciki	BAKIKI	abvd	LEFT	abvd_2_left_61
baliɬacə	baliɬacə	BALILAKE	abvd	SKIN	-
bangou	bangou	BANGOU	abvd	HEAD	abvd_24_head_2?
baratə	baratə	BARATE	abvd	WIND	abvd_136_wind_76
baroʔo	baroʔo	BAROHO	abvd	NEW	abvd_163_new_1
batoʔo	batoʔo	BATOHO	abvd	STONE	abvd_120_stone_1
baələ	baələ	BAELE	abvd	INTESTINES	-
boŋoʔo	booʔo	BOOHO	abvd	HEAD	abvd_24_head_2
bu:bula	bubula	BUBULA	abvd	SMOKE (EXHAUST)	abvd_145_smoke_1
bubuluŋa	bubulua	BUBULUA	abvd	FOREST	-
bulaiɬi	bulaiɬi	BULAILI	abvd	EYE	abvd_45_eye_16
bulaɬə	bulaɬə	BULALE	abvd	MOON	abvd_129_moon_1
butukuɬo	butukuɬo	BUTUKULO	abvd	FISH	abvd_111_fish_73
buɬiʔi	buɬiʔi	BULIHI	abvd	SNAKE	abvd_106_snake_29
bəkə:	bəkə	BEKE	abvd	HAIR	abvd_26_hair_1
bərəŋanə	bərəanə	BEREANE	abvd	NIGHT	abvd_167_night_1
ca:ni	cani	KANI	abvd	ONE	abvd_197_one_3
caani	caani	KAANI	abvd	ONE	abvd_197_one_3
caiɬa	caiɬa	KAILA	abvd	YEAR	abvd_169_year_22
caliŋa	calia	KALIA	abvd	EAR	abvd_43_ear_1
caracə	caracə	KARAKE	abvd	LOUSE	-
caraʔə	caraʔə	KARAHE	abvd	BLOOD	abvd_23_blood_1
charunga	charunga	KHARUNGA	abvd	EAR	abvd_43_ear_1
cibuka	cibuka	KIBUKA	abvd	BELLY	abvd_14_belly_68
civuka	civuka	KIBUKA	abvd	BELLY	abvd_14_belly_68
cucoʔo	cucoʔo	KUKOHO	abvd	PERSON	abvd_53_personhumanbeing_1
cucuʔu	cucuʔu	KUKUHU	abvd	OTHER	abvd_190_other_26
culaɬə	culaɬə	KULALE	abvd	BONE	abvd_15_bone_1
cumaakə	cumaakə	KUMAAKE	abvd	ROTTEN	abvd_112_rotten_38
cumaciucuuku	cumaciucuuku	KUMAKIUKUUKU	abvd	DIG	-
cumakə	cumakə	KUMAKE	abvd	ROTTEN	abvd_112_rotten_38
cuɬaumaŋ	cuɬauma	KULAUMA	abvd	WHEN	abvd_170_when_17
cuɬaumaŋə	cuɬaumaə	KULAUMAE	abvd	WHEN	abvd_170_when_17
cúlaɬə	claɬə	KLALE	abvd	BONE	abvd_15_bone_1
guon-gorath	guongorath	GUONGORATH	abvd	NECK	-
ibabo	ibabo	IBABO	abvd	ABOVE	abvd_175_above_2
iluʔu	iluʔu	ILUHU	abvd	INTESTINES	abvd_16_intestines_55
inai	inai	INAI	abvd	THROW	-
inaʔa	inaʔa	INAHA	abvd	MOTHER	abvd_59_mother_1
iri	iri	IRI	abvd	LEFT	abvd_2_left_1
isa	isa	ISA	abvd	THAT	abvd_178_that_4
isiisi	isiisi	ISIISI	abvd	TAIL	abvd_105_tail_20
iɬaisa	iɬaisa	ILAISA	abvd	THAT	abvd_178_that_4
iɬaku	iɬaku	ILAKU	abvd	I	abvd_182_i_1
iɬamo	iɬamo	ILAMO	abvd	YOU	abvd_186_you_1
iɬamu	iɬamu	ILAMU	abvd	YOU	abvd_186_you_1
iɬao	iɬao	ILAO	abvd	THOU	abvd_183_thou_1
iɬata	iɬata	ILATA	abvd	WE	abvd_185_we_1
iɬau	iɬau	ILAU	abvd	THOU	abvd_183_thou_1
iɬaɬamo	iɬaɬamo	ILALAMO	abvd	WE	abvd_185_we_2
iɬaɬamu	iɬaɬamu	ILALAMU	abvd	WE	abvd_185_we_2
iɬaɬisa	iɬaɬisa	ILALISA	abvd	THEY	abvd_187_they_46
ka:yo	kayo	KAUO	abvd	THAT	-
kaamu	kaamu	KAAMU	abvd	FATHER	-
kainu	kainu	KAINU	abvd	MOTHER	-
kalaɬapa	kalaɬapa	KALALAPA	abvd	BELOW OR UNDER	-
kanao	kanao	KANAO	abvd	THAT	abvd_178_that_31
kanau	kanau	KANAU	abvd	THAT	abvd_178_that_31
kanaʔa	kanaʔa	KANAHA	abvd	THAT	abvd_178_that_31
kaniʔi	kaniʔi	KANIHI	abvd	THIS	abvd_177_this_1
kara:ro	kararo	KARARO	abvd	SCRATCH	abvd_77_toscratch_1
karaaru	karaaru	KARAARU	abvd	SCRATCH	abvd_77_toscratch_1
kaɬaməra	kaɬaməra	KALAMERA	abvd	FOG	-
