Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ܐ	ʔ	H	wikipron	-	-
ܐ	ʔɑlaf	HALAP	wikipron	-	-
ܐ	ʔɑlɛf	HALEP	wikipron	-	-
ܐܐܪ	ʔɑʔar	HAHAR	wikipron	-	-
ܐܒ	ʔɑv	HAB	wikipron	-	-
ܐܒܐ	ʔabbe	HABBE	wikipron	-	-
ܐܒܐ	ʔabbɑ	HABBA	wikipron	-	-
ܐܒܐ	ʔabbɑne	HABBANE	wikipron	-	-
ܐܒܐ	ʔăvɑ	HBA	wikipron	-	-
ܐܒܐ	ʔɛbbe	HEBBE	wikipron	-	-
ܐܒܐ	ʔɛbbɑ	HEBBA	wikipron	-	-
ܐܒܐ	ʔɛbbɑne	HEBBANE	wikipron	-	-
ܐܒܓܕ	ʔabɡad	HABGAD	wikipron	-	-
ܐܒܕܢܐ	ʔabdɑnɑʔ	HABDANAH	wikipron	-	-
ܐܒܕܢܐ	ʔavdɑnɑʔ	HABDANAH	wikipron	-	-
ܐܒܗܐ	ʔăvɑhe	HBAHE	wikipron	-	-
ܐܒܗܬܐ	ʔăvɑhɑθɑ	HBAHATA	wikipron	-	-
ܐܒܘܒܐ	ʔabbuve	HABBUBE	wikipron	-	-
ܐܒܘܒܐ	ʔabbuvɑ	HABBUBA	wikipron	-	-
ܐܒܙܪܐ	ʔavzɑre	HABSARE	wikipron	-	-
ܐܒܙܪܐ	ʔavzɑrɑ	HABSARA	wikipron	-	-
ܐܒܝܕܘܬܐ	ʔăviðuθɑʔ	HBIDUTAH	wikipron	-	-
ܐܒܟܐ	ʔɑvakke	HABAKKE	wikipron	-	-
ܐܒܟܐ	ʔɑvakkɑ	HABAKKA	wikipron	-	-
ܐܒܟܐܙܝܐ	ʔabxɑzyɑ	HABKASUA	wikipron	-	-
ܐܒܠܐ	ʔabbɑlɑ	HABBALA	wikipron	-	-
ܐܒܠܐ	ʔɛbbɑlɑ	HEBBALA	wikipron	-	-
ܐܒܠܐ	ʔɛbbəlɑ	HEBBELA	wikipron	-	-
ܐܒܠܐ	ʔɛvle	HEBLE	wikipron	-	-
ܐܒܠܐ	ʔɛvlɑ	HEBLA	wikipron	-	-
ܐܒܠܬܐ	ʔabbɑltɑ	HABBALTA	wikipron	-	-
ܐܒܠܬܐ	ʔabbɑlɑθɑ	HABBALATA	wikipron	-	-
ܐܒܠܬܐ	ʔɛbbaltɑ	HEBBALTA	wikipron	-	-
ܐܒܠܬܐ	ʔɛbbɑltɑ	HEBBALTA	wikipron	-	-
ܐܒܠܬܐ	ʔɛbbɑlɑθɑ	HEBBALATA	wikipron	-	-
ܐܒܠܬܐ	ʔɛbbəlɑθɑ	HEBBELATA	wikipron	-	-
ܐܒܢܐ	ʔabbɑne	HABBANE	wikipron	-	-
ܐܒܢܐ	ʔavnɑ	HABNA	wikipron	-	-
ܐܒܢܐ	ʔawnɑ	HAWNA	wikipron	-	-
ܐܒܢܐ	ʔɑbone	HABONE	wikipron	-	-
ܐܒܢܐ	ʔɑwno	HAWNO	wikipron	-	-
ܐܒܢܐ	ʔɛbbɑne	HEBBANE	wikipron	-	-
ܐܒܢܐ	ʔɛbone	HEBONE	wikipron	-	-
ܐܒܢܐ	ʔɪbbɑne	HIBBANE	wikipron	-	-
ܐܒܢܘܣܐ	ʔavnuse	HABNUSE	wikipron	-	-
ܐܒܢܘܣܐ	ʔavnusɑ	HABNUSA	wikipron	-	-
ܐܒܩܐ	ʔavqɑʔ	HABKAH	wikipron	-	-
ܐܒܪܐ	ʔăvɑrɑ	HBARA	wikipron	-	-
ܐܒܪܐ	ʔɛvre	HEBRE	wikipron	-	-
ܐܒܪܐ	ʔɛvrɑ	HEBRA	wikipron	-	-
ܐܒܪܗܡ	ʔavrɑhɑm	HABRAHAM	wikipron	-	-
ܐܒܪܗܡ	ʔawrɑhɑm	HAWRAHAM	wikipron	-	-
ܐܒܪܗܡ	ʔɑbrohom	HABROHOM	wikipron	-	-
ܐܒܪܗܡ	ʔɑwrohom	HAWROHOM	wikipron	-	-
ܐܒܪܬܐ	ʔɑvartɑʔ	HABARTAH	wikipron	-	-
ܐܒܪܬܐ	ʔɑvrɑθɑʔ	HABRATAH	wikipron	-	-
ܐܒܪܬܐ	ʔɛvrɑθɑʔ	HEBRATAH	wikipron	-	-
ܐܒܪܬܐ	ʔɛvrəθɑʔ	HEBRETAH	wikipron	-	-
ܐܓܘܓܐ	ʔaɡɡoɣe	HAGGOGE	wikipron	-	-
ܐܓܘܓܐ	ʔaɡɡoɣɑ	HAGGOGA	wikipron	-	-
ܐܓܘܢܐ	ʔaɡɡone	HAGGONE	wikipron	-	-
ܐܓܘܢܐ	ʔaɡɡonɑ	HAGGONA	wikipron	-	-
ܐܓܘܢܝܣܛܐ	ʔaɡɡonistˤeʔ	HAGGONISTEH	wikipron	-	-
ܐܓܘܢܝܣܛܐ	ʔaɡɡonistˤɑʔ	HAGGONISTAH	wikipron	-	-
ܐܓܘܪܐ	ʔaɡɡureʔ	HAGGUREH	wikipron	-	-
ܐܓܘܪܐ	ʔaɡɡurɑʔ	HAGGURAH	wikipron	-	-
ܐܓܘܪܐ	ʔɑɣoreʔ	HAGOREH	wikipron	-	-
ܐܓܘܪܐ	ʔɑɣorɑʔ	HAGORAH	wikipron	-	-
ܐܓܘܪܣܐ	ʔaɡɡurseʔ	HAGGURSEH	wikipron	-	-
ܐܓܘܪܣܐ	ʔaɡɡursjɑneʔ	HAGGURSYANEH	wikipron	-	-
ܐܓܘܪܣܐ	ʔaɡɡursɑneʔ	HAGGURSANEH	wikipron	-	-
ܐܓܘܪܣܐ	ʔaɡɡursɑʔ	HAGGURSAH	wikipron	-	-
ܐܓܘܪܣܐ	ʔɑɣorseʔ	HAGORSEH	wikipron	-	-
ܐܓܘܪܣܐ	ʔɑɣorsjɑneʔ	HAGORSYANEH	wikipron	-	-
ܐܓܘܪܣܐ	ʔɑɣorsɑneʔ	HAGORSANEH	wikipron	-	-
ܐܓܘܪܣܐ	ʔɑɣorsɑʔ	HAGORSAH	wikipron	-	-
ܐܓܝܪܐ	ʔăɣiro	HGIRO	wikipron	-	-
ܐܓܝܪܐ	ʔăɣirɑ	HGIRA	wikipron	-	-
ܐܓܡܐ	ʔaɣmɑ	HAGMA	wikipron	-	-
ܐܓܡܐ	ʔɑɣmɑ	HAGMA	wikipron	-	-
ܐܓܡܐ	ʔɛɣmo	HEGMO	wikipron	-	-
ܐܓܡܐ	ʔɛɣmɑ	HEGMA	wikipron	-	-
ܐܓܢܐ	ʔaɡɡɑne	HAGGANE	wikipron	-	-
ܐܓܢܐ	ʔaɡɡɑnɑ	HAGGANA	wikipron	-	-
ܐܓܪܐ	ʔaɣre	HAGRE	wikipron	-	-
ܐܓܪܐ	ʔaɣrɑ	HAGRA	wikipron	-	-
ܐܓܪܐ	ʔɛɡɡɑre	HEGGARE	wikipron	-	-
ܐܓܪܐ	ʔɛɡɡɑrɑ	HEGGARA	wikipron	-	-
ܐܓܪܬܐ	ʔɛɡɡarəθɑ	HEGGARETA	wikipron	-	-
ܐܓܪܬܐ	ʔɛɡɡərɑθɑ	HEGGERATA	wikipron	-	-
ܐܕܘܪܒܝܓܐܢ	ʔɑðorbeɣɑn	HADORBEGAN	wikipron	-	-
ܐܕܡܬܐ	ʔaddaməθɑʔ	HADDAMETAH	wikipron	-	-
ܐܕܡܬܐ	ʔaddɛməθɑʔ	HADDEMETAH	wikipron	-	-
ܐܕܡܬܐ	ʔaðməθɑʔ	HADMETAH	wikipron	-	-
ܐܕܡܬܐ	ʔɑðaməθɑʔ	HADAMETAH	wikipron	-	-
ܐܕܢܐ	ʔeðno	HEDNO	wikipron	-	-
ܐܕܢܐ	ʔɛðnɑ	HEDNA	wikipron	-	-
ܐܕܢܐ	ʔɪðnɑ	HIDNA	wikipron	-	-
ܐܕܢܗܬܐ	ʔɛðnɑhɑθɑʔ	HEDNAHATAH	wikipron	-	-
ܐܕܢܬܐ	ʔɛðnɑθɑʔ	HEDNATAH	wikipron	-	-
ܐܕܪ	ʔɑðɑr	HADAR	wikipron	-	-
ܐܕܪܐ	ʔɑðre	HADRE	wikipron	-	-
ܐܕܪܐ	ʔɑðrɑ	HADRA	wikipron	-	-
ܐܕܪܐ	ʔɛddəre	HEDDERE	wikipron	-	-
ܐܕܪܐ	ʔɛddərɑ	HEDDERA	wikipron	-	-
ܐܕܪܐ	ʔɛðre	HEDRE	wikipron	-	-
ܐܕܪܐ	ʔɛðrɑ	HEDRA	wikipron	-	-
ܐܕܫܐ	ʔɑðʃeʔ	HADSEH	wikipron	-	-
ܐܕܫܐ	ʔɑðʃɑʔ	HADSAH	wikipron	-	-
ܐܘܓܐ	ʔawɡe	HAWGE	wikipron	-	-
ܐܘܓܐ	ʔawɡɑ	HAWGA	wikipron	-	-
ܐܘܓܐ	ʔoɣe	HOGE	wikipron	-	-
ܐܘܓܐ	ʔoɣɑ	HOGA	wikipron	-	-
ܐܘܕܐ	ʔuðeʔ	HUDEH	wikipron	-	-
ܐܘܕܐ	ʔuðɑʔ	HUDAH	wikipron	-	-
ܐܘܘܢܐ	ʔawwəwɑneʔ	HAWWEWANEH	wikipron	-	-
ܐܘܘܢܐ	ʔawwəwɑnɑʔ	HAWWEWANAH	wikipron	-	-
ܐܘܙܢܐ	ʔɑwzɑneʔ	HAWSANEH	wikipron	-	-
ܐܘܙܢܐ	ʔɑwzɑnɑʔ	HAWSANAH	wikipron	-	-
ܐܘܚܕܢܐ	ʔuħdɑneʔ	HUHDANEH	wikipron	-	-
