Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'ingen	ingen	INGEN	abvd	PAINFUL OR SICK	abvd_160_painfulsick_24
'iríəd	irəd	IRED	abvd	FLOW	-
adey	adey	ADEU	abvd	THUNDER	abvd_134_thunder_32
adoa	adoa	ADOA	abvd	TWO	abvd_198_two_1
agsa	agsa	AGSA	abvd	DOG	abvd_96_dog_22
ahahawa	ahahawa	AHAHAWA	abvd	SPIDER	abvd_110_spider_1
ahob	ahob	AHOB	abvd	SMOKE (EXHAUST)	abvd_145_smoke_55
ai	ai	AI	abvd	FOOT OR LEG	abvd_4_legfoot_1
aku	aku	AKU	abvd	I	abvd_182_i_1
akumi pugapuga	akumipugapuga	AKUMIPUGAPUGA	abvd	YELLOW	-
alígned	algned	ALGNED	abvd	SHORT	-
aLíkey	alkey	ALKEU	abvd	SMALL	abvd_152_small_66
alíki'	alki	ALKI	abvd	SMALL	abvd_152_small_66
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
amizingen	amizingen	AMISINGEN	abvd	HEAR	abvd_44_tohear_16
among	among	AMONG	abvd	FISH	abvd_111_fish_19
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
anay	anay	ANAU	abvd	SAND	abvd_121_sand_1
anem	anem	ANEM	abvd	SIX	abvd_202_six_1
angit	angit	ANGIT	abvd	SKY	abvd_128_sky_1
angno	angno	ANGNO	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_4
anukaŋuʔ	anukauʔ	ANUKAUH	abvd	WHEN	abvd_170_when_10
anáro	anro	ANRO	abvd	LONG	abvd_155_long_1
ap-pat	appat	APPAT	abvd	FOUR	abvd_200_four_1
apat	apat	APAT	abvd	FOUR	abvd_200_four_1
apoy	apoy	APOU	abvd	FIRE	abvd_143_fire_1
apía	apa	APA	abvd	GOOD	abvd_164_good_1
araw	araw	ARAW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
aripen	aripen	ARIPEN	abvd	CUT OR HACK	abvd_78_tocuthack_44
aráko	arko	ARKO	abvd	BIG	abvd_153_big_22
asa	asa	ASA	abvd	ONE	abvd_197_one_1
asiasi no kayo	asiasinokayo	ASIASINOKAUO	abvd	FRUIT	abvd_117_fruit_10
asin	asin	ASIN	abvd	SALT	abvd_125_salt_3
atay	atay	ATAU	abvd	LIVER	abvd_17_liver_1
atep	atep	ATEP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
atlo	atlo	ATLO	abvd	THREE	abvd_199_three_1
atoro	atoro	ATORO	abvd	THREE	abvd_199_three_1
attaw	attaw	ATTAW	abvd	SEA	abvd_124_sea_27
avo	avo	ABO	abvd	ASH	abvd_146_ashes_1
avyot	avyot	ABUOT	abvd	BLOW (OF WIND)	abvd_137_toblow_23
awa	awa	AWA	abvd	SEA	abvd_124_sea_26
awan	awan	AWAN	abvd	YEAR	abvd_169_year_2
aŋin	ain	AIN	abvd	WIND	abvd_136_wind_1
aɣap	aɣap	AGAP	abvd	HOLD	-
beken	beken	BEKEN	abvd	NO OR NOT	abvd_195_nonot_26
bobow	bobow	BOBOW	abvd	FEATHER	abvd_99_feather_1
bubú'	bub	BUB	abvd	FEATHER	abvd_99_feather_1
cibcibə́n	cibcibə́n	KIBKIBEN	abvd	CUT OR HACK	-
cicilat	cicilat	KIKILAT	abvd	LIGHTNING	abvd_135_lightning_1
cicilát	cicilt	KIKILT	abvd	LIGHTNING	abvd_135_lightning_1
cimoy	cimoy	KIMOU	abvd	RAIN (PRECIPITATION)	abvd_133_rain_12
cina'íʔ	cinaʔ	KINAH	abvd	INTESTINES	abvd_16_intestines_1
cinai	cinai	KINAI	abvd	INTESTINES	abvd_16_intestines_1
cinalab	cinalab	KINALAB	abvd	CLOUD	abvd_131_cloud_28
cipa	cipa	KIPA	abvd	SPIT	abvd_36_tospit_15
citaen	citaen	KITAEN	abvd	SEE	abvd_46_tosee_1
cizopen	cizopen	KISOPEN	abvd	SUCK	-
címui	cmui	KMUI	abvd	RAIN (PRECIPITATION)	abvd_133_rain_12
cípaʔ	cpaʔ	KPAH	abvd	SPIT	abvd_36_tospit_15
cítaʔ	ctaʔ	KTAH	abvd	SEE	abvd_46_tosee_1
do	do	DO	abvd	AT	abvd_173_at_39
do sahad	dosahad	DOSAHAD	abvd	IN	abvd_174_ininside_14
hanaʔ	hanaʔ	HANAH	abvd	FLOWER	-
ibek	ibek	IBEK	abvd	DUST	abvd_11_dust_1
icioy	icioy	IKIOU	abvd	EGG	abvd_98_egg_1
iĉai	iĉai	IAI	abvd	EGG	abvd_98_egg_1
ikong	ikong	IKONG	abvd	WHAT	abvd_188_what_2
ikut	ikut	IKUT	abvd	FASTEN	abvd_66_totieupfasten_1
imo	imo	IMO	abvd	YOU	abvd_186_you_1
ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
inmaguŋ	inmagu	INMAGU	abvd	HOW	-
inomen	inomen	INOMEN	abvd	DRINK	abvd_40_todrink_1
ipos	ipos	IPOS	abvd	TAIL	abvd_105_tail_30
ipús	ips	IPS	abvd	TAIL	abvd_105_tail_30
iríd	ird	IRD	abvd	FLOW	-
iɣu	iɣu	IGU	abvd	STAB	-
ji	ji	YI	abvd	NO OR NOT	abvd_195_nonot_1
jijanaʔ	jijanaʔ	YIYANAH	abvd	COME	-
jíno	jno	YNO	abvd	WHERE	abvd_181_where_1
ka'uriʔ	kauriʔ	KAURIH	abvd	LEFT	abvd_2_left_1
kadkaden	kadkaden	KADKADEN	abvd	SCRATCH	abvd_77_toscratch_60
kadkadə́n	kadkadə́n	KADKADEN	abvd	SCRATCH	abvd_77_toscratch_60
kakayoan	kakayoan	KAKAUOAN	abvd	FOREST	abvd_127_woodsforest_2
kaliin	kaliin	KALIIN	abvd	DIG	abvd_90_todig_1
kalkalten	kalkalten	KALKALTEN	abvd	WORM	-
kanakan	kanakan	KANAKAN	abvd	CHILD	abvd_56_child_1
kanakán	kanakn	KANAKN	abvd	CHILD	abvd_56_child_1
kani	kani	KANI	abvd	AND	abvd_192_and_1
kanuʔ	kanuʔ	KANUH	abvd	AND	abvd_192_and_1
karam	karam	KARAM	abvd	RAT	abvd_102_rat_24
kararakád	kararakd	KARARAKD	abvd	SAND	-
karu'an	karuan	KARUAN	abvd	OTHER	abvd_190_other_31
karái	kari	KARI	abvd	ROPE	-
karám	karm	KARM	abvd	RAT	abvd_102_rat_24
katəŋán	katən	KATEN	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_26
kawanán	kawann	KAWANN	abvd	RIGHT	abvd_3_right_1
kayo	kayo	KAUO	abvd	STICK	abvd_79_stickwood_1
kayuʔ	kayuʔ	KAUUH	abvd	STICK	abvd_79_stickwood_1
kolit	kolit	KOLIT	abvd	SKIN	abvd_12_skin_1
koman	koman	KOMAN	abvd	EAT	abvd_37_toeat_1
kombaz	kombaz	KOMBAS	abvd	COOK (SOMETHING)	abvd_39_tocook_32
koto	koto	KOTO	abvd	LOUSE	abvd_108_louse_1
kozad	kozad	KOSAD	abvd	BURN	-
kozayin	kozayin	KOSAUIN	abvd	DRY	abvd_140_dry_50
kulít	kult	KULT	abvd	SKIN	abvd_12_skin_1
kumán	kumn	KUMN	abvd	EAT	abvd_37_toeat_1
kálat	klat	KLAT	abvd	CLIMB	abvd_172_toclimb_17
kátenngan	ktenngan	KTENNGAN	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_26
kítaʔ	ktaʔ	KTAH	abvd	SEE	abvd_46_tosee_1
kútuʔ	ktuʔ	KTUH	abvd	LOUSE	abvd_108_louse_1
laciw	laciw	LAKIW	abvd	BIRD	-
likod	likod	LIKOD	abvd	BACK	abvd_13_back_1
likud	likud	LIKUD	abvd	BACK	abvd_13_back_1
lila	lila	LILA	abvd	TONGUE	abvd_32_tongue_4
lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
limanen	limanen	LIMANEN	abvd	KILL	abvd_74_tokill_25
líki'	lki	LKI	abvd	NARROW	-
lílaʔ	llaʔ	LLAH	abvd	TONGUE	abvd_32_tongue_4
límaʔ	lmaʔ	LMAH	abvd	HAND	abvd_1_hand_1
lísna	lsna	LSNA	abvd	SIT	abvd_51_tosit_34
ma-ḷait	maait	MAAIT	abvd	SEW	abvd_67_tosew_2
ma:ɣəp	maɣəp	MAGEP	abvd	NIGHT	abvd_167_night_22
mabazángbang	mabazngbang	MABASNGBANG	abvd	RED	abvd_149_red_30
magṣár	magr	MAGR	abvd	THICK	abvd_157_thick_23
mahep	mahep	MAHEP	abvd	NIGHT	abvd_167_night_22
mai	mai	MAI	abvd	COME	abvd_7_tocome_1
makjít	makjt	MAKYT	abvd	DRY	abvd_140_dry_25
