Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a lu oro	aluoro	ALUORO	abvd	THIS	-
a lu susulek	alususulek	ALUSUSULEK	abvd	THAT	-
a lu talawak	alutalawak	ALUTALAWAK	abvd	THAT	-
a meme	ameme	AMEME	abvd	DREAM (SOMETHING)	abvd_50_todream_1
aes	aes	AES	abvd	ROPE	abvd_65_rope_2
aiti	aiti	AITI	abvd	STAND	-
aitom	aitom	AITOM	abvd	SIT	-
ak matai	akmatai	AKMATAI	abvd	SLEEP	abvd_48_tosleep_46
angangan	angangan	ANGANGAN	abvd	SHARP	abvd_81_sharp_14
ato	ato	ATO	abvd	BE ALIVE	abvd_76_tolivebealive_8
awai	awai	AWAI	abvd	NEW	abvd_163_new_1
baira	baira	BAIRA	abvd	DIG	abvd_90_todig_30
bakbak	bakbak	BAKBAK	abvd	SCRATCH	-
bal uman	baluman	BALUMAN	abvd	COOK (SOMETHING)	-
balana	balana	BALANA	abvd	MOUTH	abvd_30_mouth_51
bang	bang	BANG	abvd	NIGHT	abvd_167_night_1
bat	bat	BAT	abvd	WHITE	-
begena	begena	BEGENA	abvd	HEAD	abvd_24_head_42
bewe	bewe	BEWE	abvd	LONG	-
biapg	biapg	BIAPG	abvd	SMALL	-
bilinga	bilinga	BILINGA	abvd	DIRTY	abvd_10_dirty_13
bin	bin	BIN	abvd	BIG	abvd_153_big_24
bit	bit	BIT	abvd	ASH	abvd_146_ashes_23
borau	borau	BORAU	abvd	LAUGH	-
buwan	buwan	BUWAN	abvd	SMOKE (EXHAUST)	abvd_145_smoke_40
bɨŋ	bɨ	BI	abvd	NIGHT	abvd_167_night_1
daram	daram	DARAM	abvd	WATER	abvd_122_water_1
darap	darap	DARAP	abvd	SUCK	-
darawai	darawai	DARAWAI	abvd	SAY	abvd_64_tosay_37
engena	engena	ENGENA	abvd	BRANCH	abvd_113_branch_1
gan	gan	GAN	abvd	EAT	abvd_37_toeat_1
gat	gat	GAT	abvd	STONE	abvd_120_stone_1
ie	ie	IE	abvd	GRASS	abvd_118_grass_14
imai	imai	IMAI	abvd	WE	abvd_185_we_2
