Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aat	aat	AAT	abvd	BAD OR EVIL	-
ababun	ababun	ABABUN	abvd	FOG	-
abut	abut	ABUT	abvd	ROOT	abvd_115_root_3
afak	afak	APAK	abvd	BLUNT	abvd_82_dullblunt_75
ahu	ahu	AHU	abvd	ASH	abvd_146_ashes_1
ahu kresan	ahukresan	AHUKRESAN	abvd	ASH	abvd_146_ashes_1
ai	ai	AI	abvd	STICK	abvd_79_stickwood_1
ai laran	ailaran	AILARAN	abvd	FOREST	-
ain	ain	AIN	abvd	FOOT OR LEG	abvd_4_legfoot_1
alas	alas	ALAS	abvd	FOREST	abvd_127_woodsforest_1
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
ami	ami	AMI	abvd	WE	abvd_185_we_2
anin	anin	ANIN	abvd	WIND	abvd_136_wind_1
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
aten	aten	ATEN	abvd	LIVER	abvd_17_liver_1
atus	atus	ATUS	abvd	HUNDRED	-
badak	badak	BADAK	abvd	SHORT	abvd_154_short_54
baka	baka	BAKA	abvd	SPLIT	abvd_80_tosplit_36
baku	baku	BAKU	abvd	HIT	abvd_72_tohit_7
basak	basak	BASAK	abvd	THROW	-
boi	boi	BOI	abvd	CHOOSE	abvd_85_tochoose_22
boot	boot	BOOT	abvd	BIG	-
boran	boran	BORAN	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_33
botes	botes	BOTES	abvd	WET	-
bubu	bubu	BUBU	abvd	SWELL	abvd_87_toswell_3
bubuk	bubuk	BUBUK	abvd	WET	-
buti	buti	BUTI	abvd	SQUEEZE	-
dalan	dalan	DALAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
daun	daun	DAUN	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
debu	debu	DEBU	abvd	LAKE	-
di'ak	diak	DIAK	abvd	GOOD	abvd_164_good_43
dodok	dodok	DODOK	abvd	ROTTEN	abvd_112_rotten_35
dook	dook	DOOK	abvd	FAR	abvd_180_far_1
dubun	dubun	DUBUN	abvd	SMOKE (EXHAUST)	abvd_145_smoke_36
ema	ema	EMA	abvd	PERSON	abvd_53_personhumanbeing_81
emi	emi	EMI	abvd	YOU	abvd_186_you_1
fai	fai	PAI	abvd	POUND	abvd_93_topoundbeat_1
fatuk	fatuk	PATUK	abvd	STONE	abvd_120_stone_1
feda	feda	PEDA	abvd	SPLIT	abvd_80_tosplit_22
fee-	fee	PEE	abvd	WIFE	abvd_58_wife_31
feen	feen	PEEN	abvd	WIFE	abvd_58_wife_31
fera	fera	PERA	abvd	SPLIT	abvd_80_tosplit_22
ferik	ferik	PERIK	abvd	OLD	-
feto	feto	PETO	abvd	FEMALE PERSON	abvd_55_womanfemale_27
fila	fila	PILA	abvd	TURN	abvd_8_toturn_4?
fo'er	foer	POER	abvd	DIRTY	-
fofon	fofon	POPON	abvd	ABOVE	-
fota	fota	POTA	abvd	HIT	-
foun	foun	POUN	abvd	NEW	abvd_163_new_1
from pigs)	frompigs	PROMPIGS	abvd	FAT (ORGANIC SUBSTANCE)	-
fuan	fuan	PUAN	abvd	FRUIT	abvd_117_fruit_1
fuhuk	fuhuk	PUHUK	abvd	HAIR	abvd_26_hair_1
fulan	fulan	PULAN	abvd	MOON	abvd_129_moon_1
funan	funan	PUNAN	abvd	FLOWER	abvd_116_flower_1
furi	furi	PURI	abvd	PLANT (SOMETHING)	-
futu	futu	PUTU	abvd	FASTEN	abvd_66_totieupfasten_9?
ha'ak	haak	HAAK	abvd	SAY	abvd_64_tosay_151
ha'i	hai	HAI	abvd	FIRE	-
ha'i klat	haiklat	HAIKLAT	abvd	ASH	-
ha'u	hau	HAU	abvd	I	abvd_182_i_1
haa	haa	HAA	abvd	EAT	abvd_37_toeat_1
haat	haat	HAAT	abvd	FOUR	abvd_200_four_1
habu'a	habua	HABUA	abvd	HUNT	-
hae	hae	HAE	abvd	GRASS	abvd_118_grass_42
haek	haek	HAEK	abvd	LAUGH	abvd_33_tolaugh_6?
hakbaluk	hakbaluk	HAKBALUK	abvd	SPLIT	-
hakbuut	hakbuut	HAKBUUT	abvd	SPIT	-
hakfunin	hakfunin	HAKPUNIN	abvd	HIDE	-
hakmolak?	hakmolak	HAKMOLAK	abvd	CHEW	-
haknaan	haknaan	HAKNAAN	abvd	CHEW	-
haknees	haknees	HAKNEES	abvd	SPLIT	-
haktamis	haktamis	HAKTAMIS	abvd	CHEW	-
hamotu	hamotu	HAMOTU	abvd	BURN	-
hana	hana	HANA	abvd	SHOOT	abvd_70_toshoot_1
hana'o	hanao	HANAO	abvd	STEAL	abvd_73_tosteal_1
hanasa	hanasa	HANASA	abvd	LAUGH	-
hanisi	hanisi	HANISI	abvd	BITE	-
hanoin	hanoin	HANOIN	abvd	THINK	abvd_21_tothink_5
haree	haree	HAREE	abvd	SEE	abvd_46_tosee_30
hariik	hariik	HARIIK	abvd	STAND	abvd_52_tostand_33
hasa'e	hasae	HASAE	abvd	BREATHE	-
hata'uk	hatauk	HATAUK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
hatene	hatene	HATENE	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_35
hatuun nawan	hatuunnawan	HATUUNNAWAN	abvd	BREATHE	abvd_28_tobreathe_1
hemu	hemu	HEMU	abvd	DRINK	abvd_40_todrink_1
hili	hili	HILI	abvd	CHOOSE	abvd_85_tochoose_1
hitu	hitu	HITU	abvd	SEVEN	abvd_203_seven_1
ho	ho	HO	abvd	AND	abvd_192_and_22
ho'o	hoo	HOO	abvd	KILL	-
hodi	hodi	HODI	abvd	AND	-
hora	hora	HORA	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_1?
hori hirak	horihirak	HORIHIRAK	abvd	WHEN	-
hori-hirak	horihirak	HORIHIRAK	abvd	WHEN	-
hotu	hotu	HOTU	abvd	ALL	-
hotu hotu	hotuhotu	HOTUHOTU	abvd	ALL	-
huu	huu	HUU	abvd	BLOW (OF WIND)	abvd_137_toblow_5
ibun	ibun	IBUN	abvd	MOUTH	abvd_30_mouth_39
ida	ida	IDA	abvd	ONE	abvd_197_one_1
iha	iha	IHA	abvd	AT	abvd_173_at_20?
iha ... laran	ihalaran	IHALARAN	abvd	IN	abvd_174_ininside_1
iha nabee	ihanabee	IHANABEE	abvd	WHERE	-
iha ne'i be	ihaneibe	IHANEIBE	abvd	WHERE	-
ikan	ikan	IKAN	abvd	FISH	abvd_111_fish_1
ikun	ikun	IKUN	abvd	TAIL	abvd_105_tail_1
ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
inur	inur	INUR	abvd	NOSE	abvd_27_nose_1
isin	isin	ISIN	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
ita	ita	ITA	abvd	WE	abvd_185_we_1
kabun	kabun	KABUN	abvd	BELLY	abvd_14_belly_2
kaer	kaer	KAER	abvd	HOLD	abvd_89_tohold_104
kakorok	kakorok	KAKOROK	abvd	NECK	abvd_25_neck_12
kalan	kalan	KALAN	abvd	NIGHT	abvd_167_night_20
kalo'an	kaloan	KALOAN	abvd	CLOUD	-
karian	karian	KARIAN	abvd	WORK (ACTIVITY)	abvd_83_towork_7
karuk	karuk	KARUK	abvd	LEFT	abvd_2_left_83
katuas	katuas	KATUAS	abvd	OLD	-
kbaas	kbaas	KBAAS	abvd	SHOULDER	abvd_19_shoulder_6
kbadak	kbadak	KBADAK	abvd	SHORT	abvd_154_short_54
kbas	kbas	KBAS	abvd	SHOULDER	abvd_19_shoulder_6
kbelar	kbelar	KBELAR	abvd	WIDE	-
kbetek	kbetek	KBETEK	abvd	BLUNT	-
kbokur	kbokur	KBOKUR	abvd	FAT (ORGANIC SUBSTANCE)	-
kdok	kdok	KDOK	abvd	FAR	-
kdor	kdor	KDOR	abvd	DIRTY	abvd_10_dirty_31?
ke'e	kee	KEE	abvd	DIG	abvd_90_todig_26
kesi	kesi	KESI	abvd	FASTEN	abvd_66_totieupfasten_124
kfitun	kfitun	KPITUN	abvd	STAR	abvd_130_star_30
ki'ik	kiik	KIIK	abvd	SMALL	abvd_152_small_121
kidun	kidun	KIDUN	abvd	BELOW OR UNDER	-
kla'ok	klaok	KLAOK	abvd	ROTTEN	-
kloot	kloot	KLOOT	abvd	NARROW	abvd_158_narrow_8
kmeik	kmeik	KMEIK	abvd	SHARP	-
kmodok	kmodok	KMODOK	abvd	YELLOW	-
ko'a	koa	KOA	abvd	CUT OR HACK	-
ko'i	koi	KOI	abvd	SCRATCH	abvd_77_toscratch_1
kokur	kokur	KOKUR	abvd	THUNDER	-
kotuk	kotuk	KOTUK	abvd	BACK	abvd_13_back_37
kraik	kraik	KRAIK	abvd	BELOW OR UNDER	-
kre'is	kreis	KREIS	abvd	NEAR	-
kreis	kreis	KREIS	abvd	NEAR	-
kro'at	kroat	KROAT	abvd	SHARP	abvd_81_sharp_99
ktodan	ktodan	KTODAN	abvd	HEAVY	-
kuana	kuana	KUANA	abvd	RIGHT	abvd_3_right_1
kulit	kulit	KULIT	abvd	SKIN	abvd_12_skin_1
kumu	kumu	KUMU	abvd	SQUEEZE	abvd_88_tosqueeze_5
kwana	kwana	KWANA	abvd	CORRECT (RIGHT)	-
la	la	LA	abvd	NO OR NOT	abvd_195_nonot_4
la'e	lae	LAE	abvd	HUSBAND	abvd_57_husband_9
la'en	laen	LAEN	abvd	HUSBAND	abvd_57_husband_9
la'o	lao	LAO	abvd	WALK	abvd_5_towalk_1
labadain	labadain	LABADAIN	abvd	SPIDER	abvd_110_spider_1?
laho	laho	LAHO	abvd	RAT	abvd_102_rat_1
lale'an	lalean	LALEAN	abvd	SKY	abvd_128_sky_10?
laran	laran	LARAN	abvd	IN	-
latik	latik	LATIK	abvd	WORM	abvd_107_wormearthworm_1
lawarik	lawarik	LAWARIK	abvd	CHILD	-
leten	leten	LETEN	abvd	ABOVE	-
lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
