Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a tamana	atamana	ATAMANA	abvd	FATHER	abvd_60_father_1
a tsinana	atsinana	ATSINANA	abvd	MOTHER	abvd_59_mother_1
aghaita	aghaita	AGHAITA	abvd	WE	abvd_185_we_1
agham	agham	AGHAM	abvd	YOU	abvd_186_you_1
agoi	agoi	AGOI	abvd	THOU	abvd_183_thou_1
akadovi	akadovi	AKADOBI	abvd	SPIDER	-
akisova	akisova	AKISOBA	abvd	RAT	abvd_102_rat_3
akuto	akuto	AKUTO	abvd	SALT	-
alia	alia	ALIA	abvd	THEY	abvd_187_they_25
amadawa	amadawa	AMADAWA	abvd	MOON	abvd_129_moon_40
amam	amam	AMAM	abvd	WE	abvd_185_we_2
ameame	ameame	AMEAME	abvd	THIN	-
ana	ana	ANA	abvd	I	abvd_182_i_1
ana maunu	anamaunu	ANAMAUNU	abvd	WIFE	abvd_58_wife_45
ana tsioni	anatsioni	ANATSIONI	abvd	HUSBAND	abvd_57_husband_56
ane	ane	ANE	abvd	HE OR SHE	abvd_184_heshe_1
ane kota	anekota	ANEKOTA	abvd	ALL	-
asee	asee	ASEE	abvd	WHO	abvd_189_who_1
atuna	atuna	ATUNA	abvd	KILL	abvd_74_tokill_18
beboko	beboko	BEBOKO	abvd	BLUNT	-
bebune	bebune	BEBUNE	abvd	GREEN	abvd_151_green_17
benatapisa	benatapisa	BENATAPISA	abvd	EIGHT	-
benatonua	benatonua	BENATONUA	abvd	SEVEN	-
boŋi	boi	BOI	abvd	NIGHT	abvd_167_night_1
buaɁana	buaana	BUAANA	abvd	FLOWER	abvd_116_flower_1
bururu	bururu	BURURU	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_29
butia	butia	BUTIA	abvd	STEAL	-
dzai	dzai	DSAI	abvd	FIRE	abvd_143_fire_1
ebaina	ebaina	EBAINA	abvd	WING	abvd_100_wing_16
ebena	ebena	EBENA	abvd	SIX	abvd_202_six_22
ebosi	ebosi	EBOSI	abvd	FISH	abvd_111_fish_70
ebunava	ebunava	EBUNABA	abvd	BUY	abvd_91_tobuy_38
eghaleghe	eghaleghe	EGHALEGHE	abvd	ABOVE	abvd_175_above_28?
eia	eia	EIA	abvd	THAT	-
eka'e	ekae	EKAE	abvd	WHAT	-
ekugona	ekugona	EKUGONA	abvd	IN	-
epanusu	epanusu	EPANUSU	abvd	EGG	abvd_98_egg_46
epeta	epeta	EPETA	abvd	BELOW OR UNDER	-
epina	epina	EPINA	abvd	THUNDER	abvd_134_thunder_23
epuata	epuata	EPUATA	abvd	FEATHER	abvd_99_feather_51
eva-gu	evagu	EBAGU	abvd	FOOT OR LEG	abvd_4_legfoot_67
evagini	evagini	EBAGINI	abvd	LEAF	-
evati	evati	EBATI	abvd	FOUR	abvd_200_four_1
evatsuna	evatsuna	EBATSUNA	abvd	FRUIT	abvd_117_fruit_8
evaunu	evaunu	EBAUNU	abvd	NEW	abvd_163_new_1
evi-gu	evigu	EBIGU	abvd	FOOT OR LEG	abvd_4_legfoot_67
eviaso	eviaso	EBIASO	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
eviate	eviate	EBIATE	abvd	LIVER	abvd_17_liver_1
evisu	evisu	EBISU	abvd	BREAST	abvd_18_breast_1
evisu-gu	evisugu	EBISUGU	abvd	NOSE	abvd_27_nose_1
evuini	evuini	EBUINI	abvd	SAND	-
evunu-gu	evunugu	EBUNUGU	abvd	HAIR	abvd_26_hair_31
ghabo	ghabo	GHABO	abvd	SMELL (PERCEIVE)	-
gharaghu	gharaghu	GHARAGHU	abvd	RAIN (PRECIPITATION)	abvd_133_rain_24
ghari	ghari	GHARI	abvd	YELLOW	-
ghavutana	ghavutana	GHABUTANA	abvd	ASH	abvd_146_ashes_68
gheghaleghe	gheghaleghe	GHEGHALEGHE	abvd	LONG	-
gholasia	gholasia	GHOLASIA	abvd	OPEN	-
ghuni-gu	ghunigu	GHUNIGU	abvd	SKIN	abvd_12_skin_1
ghutsu	ghutsu	GHUTSU	abvd	LOUSE	abvd_108_louse_1
gona	gona	GONA	abvd	SIT	-
ka'ana	kaana	KAANA	abvd	NO OR NOT	-
kabea	kabea	KABEA	abvd	SEW	abvd_67_tosew_49
kadaken	kadaken	KADAKEN	abvd	ONE	abvd_197_one_52
kakata	kakata	KAKATA	abvd	WHITE	abvd_148_white_43
kanata	kanata	KANATA	abvd	BITE	abvd_41_tobite_1
kanava	kanava	KANABA	abvd	LIGHTNING	abvd_135_lightning_14
kapurona	kapurona	KAPURONA	abvd	LIE DOWN	-
katoa	katoa	KATOA	abvd	SEE	-
kekanata	kekanata	KEKANATA	abvd	SHARP	abvd_81_sharp_69
kekaru	kekaru	KEKARU	abvd	COOK (SOMETHING)	-
kepene	kepene	KEPENE	abvd	SWIM	-
kesiagana	kesiagana	KESIAGANA	abvd	FAR	-
kesuruuna	kesuruuna	KESURUUNA	abvd	NEAR	-
kikirono	kikirono	KIKIRONO	abvd	INTESTINES	-
kinai	kinai	KINAI	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
kinogo	kinogo	KINOGO	abvd	SPIT	-
kirono	kirono	KIRONO	abvd	ROPE	-
kolu	kolu	KOLU	abvd	SNAKE	abvd_106_snake_21
koluavono	koluavono	KOLUABONO	abvd	WORM	-
komaru	komaru	KOMARU	abvd	GRASS	-
kona	kona	KONA	abvd	AND	-
koraga	koraga	KORAGA	abvd	DRY	-
korisai	korisai	KORISAI	abvd	DAY (NOT NIGHT)	abvd_168_day_68
koromo	koromo	KOROMO	abvd	WATER	abvd_122_water_7
kotavana	kotavana	KOTABANA	abvd	OLD	-
ku	ku	KU	abvd	DRINK	abvd_40_todrink_30
kukubunu	kukubunu	KUKUBUNU	abvd	SHORT	abvd_154_short_72
kulena	kulena	KULENA	abvd	TAIL	abvd_105_tail_27
kúm	km	KM	abvd	SHOOT	abvd_70_toshoot_32
laimi	laimi	LAIMI	abvd	PATH OR ROAD	-
loata	loata	LOATA	abvd	BIG	abvd_153_big_10
lovi	lovi	LOBI	abvd	GOOD	-
magoto	magoto	MAGOTO	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_13
mamisa	mamisa	MAMISA	abvd	OTHER	-
manogha	manogha	MANOGHA	abvd	TEN	abvd_206_ten_18
manogha tonua	manoghatonua	MANOGHATONUA	abvd	TWENTY	-
manughu	manughu	MANUGHU	abvd	BIRD	abvd_97_bird_1
marana	marana	MARANA	abvd	BLOOD	-
marupa	marupa	MARUPA	abvd	FOREST	-
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
matau-gu	mataugu	MATAUGU	abvd	RIGHT	abvd_3_right_5
mate	mate	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
maunu	maunu	MAUNU	abvd	FEMALE PERSON	abvd_55_womanfemale_11
mea	mea	MEA	abvd	TONGUE	abvd_32_tongue_7
memerana	memerana	MEMERANA	abvd	RED	abvd_149_red_1
milingi	milingi	MILINGI	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_66
minago	minago	MINAGO	abvd	FEAR (BE AFRAID)	-
mosoa	mosoa	MOSOA	abvd	HOLD	-
namare	namare	NAMARE	abvd	YEAR	abvd_169_year_57
nanai	nanai	NANAI	abvd	THIS	-
nanitsi	nanitsi	NANITSI	abvd	SKY	abvd_128_sky_1
nasina	nasina	NASINA	abvd	WHEN	abvd_170_when_1
nasusu kadaken	nasusukadaken	NASUSUKADAKEN	abvd	HUNDRED	-
nasusu maogha	nasusumaogha	NASUSUMAOGHA	abvd	THOUSAND	-
natavana	natavana	NATABANA	abvd	PERSON	abvd_53_personhumanbeing_47
nebea	nebea	NEBEA	abvd	PLANT (SOMETHING)	-
