Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
аб	äb	B	wikipron	-	-
Аббос	äbbɔs	BBOS	wikipron	-	-
абд	äbd	BD	wikipron	-	-
аблаҳ	äbläh	BLH	wikipron	-	-
абр	äbr	BR	wikipron	-	-
абранҷан	äbränd͡ʒän	BRNSN	wikipron	-	-
абранҷин	äbränd͡ʒin	BRNSIN	wikipron	-	-
абрешим	äbreʃim	BRESIM	wikipron	-	-
абрӯ	äbrɵ	BRO	wikipron	-	-
абстракт	äbsträkt	BSTRKT	wikipron	-	-
абстрактсионизм	äbsträktsiɔnizm	BSTRKTSIONISM	wikipron	-	-
Абузабӣ	äbuzäbi	BUSBI	wikipron	-	-
август	ävɡust	BGUST	wikipron	-	-
Аврангзеб	ävränɡzeb	BRNGSEB	wikipron	-	-
Аврангобод	ävränɡɔbɔd	BRNGOBOD	wikipron	-	-
Аврупо	ävrupɔ	BRUPO	wikipron	-	-
Австралия	ävsträlijä	BSTRLIY	wikipron	-	-
агар	äɡär	GR	wikipron	-	-
адаб	ädäb	DB	wikipron	-	-
адабиёт	ädäbijɔt	DBIYOT	wikipron	-	-
аждаҳо	äʒdähɔ	SDHO	wikipron	-	-
аз	äz	S	wikipron	-	-
айнак	äjnäk	YNK	wikipron	-	-
айнаксоз	äjnäksɔz	YNKSOS	wikipron	-	-
аккос	äkkɔs	KKOS	wikipron	-	-
акс	äks	KS	wikipron	-	-
алайҳиссалом	äläjhissälɔm	LYHISSLOM	wikipron	-	-
алайҳоссалом	äläjhɔssälɔm	LYHOSSLOM	wikipron	-	-
Албурз	älburz	LBURS	wikipron	-	-
алгоритм	älɡɔritm	LGORITM	wikipron	-	-
алифбо	älifbɔ	LIPBO	wikipron	-	-
алмос	älmɔs	LMOS	wikipron	-	-
Алҷазоир	äld͡ʒäzɔjir	LSSOYIR	wikipron	-	-
Алӣ	äli	LI	wikipron	-	-
амак	ämäk	MK	wikipron	-	-
Амир	ämir	MIR	wikipron	-	-
амма	ämmä	MM	wikipron	-	-
Амрико	ämrikɔ	MRIKO	wikipron	-	-
анбоштан	änbɔʃtän	NBOSTN	wikipron	-	-
ангишт	änɡiʃt	NGIST	wikipron	-	-
