Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
baay	baay	BAAU	abvd	HOUSE	abvd_61_house_14
babai	babai	BABAI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bagkut	bagkut	BAGKUT	abvd	FASTEN	abvd_66_totieupfasten_16
bagʔu	bagʔu	BAGHU	abvd	NEW	abvd_163_new_1
balhi:bu	balhibu	BALHIBU	abvd	FEATHER	abvd_99_feather_21
baʔbaʔ	baʔbaʔ	BAHBAH	abvd	MOUTH	abvd_30_mouth_1
baːtaʔ	bataʔ	BATAH	abvd	CHILD	abvd_56_child_16
baːu	bau	BAU	abvd	PERSON	abvd_53_personhumanbeing_61
bitúʔun	bitʔun	BITHUN	abvd	STAR	abvd_130_star_1
bughaʔ	bughaʔ	BUGHAH	abvd	SPLIT	abvd_80_tosplit_102
bugʔat	bugʔat	BUGHAT	abvd	HEAVY	abvd_142_heavy_1
buháŋin	buhin	BUHIN	abvd	SAND	abvd_121_sand_34
buhíʔ	buhʔ	BUHH	abvd	BE ALIVE	abvd_76_tolivebealive_14
buhúk	buhk	BUHK	abvd	HAIR	abvd_26_hair_1
bukug	bukug	BUKUG	abvd	BONE	abvd_15_bone_16
buːwan	buwan	BUWAN	abvd	MOON	abvd_129_moon_1
bána	bna	BNA	abvd	WIFE	-
báːlik	blik	BLIK	abvd	TURN	abvd_8_toturn_4
báːŋgaʔ	bgaʔ	BGAH	abvd	BITE	abvd_41_tobite_85
búwak	bwak	BWAK	abvd	FLOWER	-
dahún	dahn	DAHN	abvd	LEAF	abvd_114_leaf_1
dakúʔ	dakʔ	DAKH	abvd	BIG	abvd_153_big_22
damgu	damgu	DAMGU	abvd	DREAM (SOMETHING)	abvd_50_todream_21
diʔín	diʔn	DIHN	abvd	WHERE	abvd_181_where_1
dugóʔ	dugʔ	DUGH	abvd	BLOOD	abvd_23_blood_16
duhá	duh	DUH	abvd	TWO	abvd_198_two_1
duum	duum	DUUM	abvd	NIGHT	abvd_167_night_20
dáan	dan	DAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
dágat	dgat	DGAT	abvd	SEA	abvd_124_sea_25
dáʔan	dʔan	DHAN	abvd	OLD	abvd_162_old_141
dílaʔ	dlaʔ	DLAH	abvd	TONGUE	abvd_32_tongue_4
díːliʔ	dliʔ	DLIH	abvd	NO OR NOT	abvd_195_nonot_2
gamáy	gamy	GAMU	abvd	SHORT	abvd_154_short_100
ginhaːwa	ginhawa	GINHAWA	abvd	BREATHE	abvd_28_tobreathe_1
hadluk	hadluk	HADLUK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_16
halayóʔ	halayʔ	HALAUH	abvd	FAR	abvd_180_far_1
hinúʔud	hinʔud	HINHUD	abvd	OLD	-
hunàʔhúnaʔ	hunʔhnaʔ	HUNHHNAH	abvd	THINK	abvd_21_tothink_24
huyúp	huyp	HUUP	abvd	BLOW (OF WIND)	abvd_137_toblow_1
háwid	hwid	HWID	abvd	HOLD	abvd_89_tohold_121
háʔin	hʔin	HHIN	abvd	WHERE	abvd_181_where_1
háʔit	hʔit	HHIT	abvd	SHARP	abvd_81_sharp_38
háːŋin	hin	HIN	abvd	WIND	abvd_136_wind_1
híwaʔ	hwaʔ	HWAH	abvd	CUT OR HACK	-
kaliwáː	kaliw	KALIW	abvd	LEFT	abvd_2_left_67
kamí	kam	KAM	abvd	WE	-
kamú	kam	KAM	abvd	YOU	abvd_186_you_1
kinúnʔu	kinnʔu	KINNHU	abvd	WHEN	abvd_170_when_10
kitá	kit	KIT	abvd	WE	-
kukút	kukt	KUKT	abvd	TOOTH	-
kuːtu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
káwut	kwut	KWUT	abvd	SCRATCH	abvd_77_toscratch_44
káʔun	kʔun	KHUN	abvd	EAT	abvd_37_toeat_1
káːhuy	khuy	KHUU	abvd	STICK	abvd_79_stickwood_1
káːyu	kyu	KUU	abvd	FIRE	abvd_143_fire_10
kítaʔ	ktaʔ	KTAH	abvd	SEE	abvd_46_tosee_1
kúmus	kmus	KMUS	abvd	SQUEEZE	abvd_88_tosqueeze_94
labak	labak	LABAK	abvd	THROW	abvd_94_tothrow_130
laŋgam	lagam	LAGAM	abvd	BIRD	abvd_97_bird_59
laŋúy	lay	LAU	abvd	SWIM	abvd_9_toswim_1
laʔúŋ	laʔ	LAH	abvd	SAY	abvd_64_tosay_32
laːŋit	lait	LAIT	abvd	SKY	abvd_128_sky_1
likúd	likd	LIKD	abvd	BACK	abvd_13_back_1
limá	lim	LIM	abvd	HAND	abvd_1_hand_1
lipáʔ	lipʔ	LIPH	abvd	DIRTY	abvd_10_dirty_143
lubúŋ	lub	LUB	abvd	DIG	abvd_90_todig_72
ludáʔ	ludʔ	LUDH	abvd	SPIT	abvd_36_tospit_1
lupád	lupd	LUPD	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_21
láki	lki	LKI	abvd	MALE PERSON	abvd_54_manmale_2
líʔug	lʔug	LHUG	abvd	NECK	abvd_25_neck_1
lúpaʔ	lpaʔ	LPAH	abvd	EARTH (SOIL)	abvd_119_earthsoil_25
ma-pásuʔ	mapsuʔ	MAPSUH	abvd	WARM	abvd_138_warm_26
ma-sípug	maspug	MASPUG	abvd	SHY OR ASHAMED	abvd_161_shyashamed_29
mabagáʔ	mabagʔ	MABAGH	abvd	WIDE	-
mabahúʔ	mabahʔ	MABAHH	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_71
madayáw	madayw	MADAUW	abvd	GOOD	abvd_164_good_46
maháːbaʔ	mahbaʔ	MAHBAH	abvd	LONG	abvd_155_long_27
makaʔíg	makaʔg	MAKAHG	abvd	NARROW	-
manipís	manips	MANIPS	abvd	NARROW	-
maraːg	marag	MARAG	abvd	YELLOW	-
matarúʔ	matarʔ	MATARH	abvd	BAD OR EVIL	-
matá	mat	MAT	abvd	EYE	abvd_45_eye_1
naka=batíʔ	nakabatʔ	NAKABATH	abvd	HEAR	abvd_44_tohear_20
ni=dabós	nidabs	NIDABS	abvd	FALL	-
palís	pals	PALS	abvd	SKIN	-
patáy	paty	PATU	abvd	KILL	abvd_74_tokill_2
patú	pat	PAT	abvd	STONE	abvd_120_stone_1
paːnaw	panaw	PANAW	abvd	WALK	abvd_5_towalk_2
pugáʔ	pugʔ	PUGH	abvd	SQUEEZE	abvd_88_tosqueeze_1
