Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
amala	amala	AMALA	abvd	MALE PERSON	-
anawae	anawae	ANAWAE	abvd	EAR	-
angga	angga	ANGGA	abvd	WHERE	abvd_181_where_49
aŋga	aga	AGA	abvd	WHERE	abvd_181_where_49
boro	boro	BORO	abvd	FEATHER	abvd_99_feather_54
buda	buda	BUDA	abvd	WHAT	-
buruburu	buruburu	BURUBURU	abvd	SKY	-
bwadibwadi	bwadibwadi	BWADIBWADI	abvd	BLACK	-
bwarogi	bwarogi	BWAROGI	abvd	FISH	-
bwarogoi	bwarogoi	BWAROGOI	abvd	FISH	-
bwebwe	bwebwe	BWEBWE	abvd	FATHER	-
dage	dage	DAGE	abvd	SAY	-
dagedage	dagedage	DAGEDAGE	abvd	FALL	-
damwae	damwae	DAMWAE	abvd	LEAF	abvd_114_leaf_35
dobu	dobu	DOBU	abvd	FALL	-
du	du	DU	abvd	THROW	abvd_94_tothrow_31
duvoronga	duvoronga	DUBORONGA	abvd	THROW	-
ela	ela	ELA	abvd	FEMALE PERSON	-
gai	gai	GAI	abvd	SWIM	abvd_9_toswim_32
ge	ge	GE	abvd	COOK (SOMETHING)	-
gethi	gethi	GETHI	abvd	SPLIT	-
ghaenggu	ghaenggu	GHAENGGU	abvd	MOUTH	abvd_30_mouth_36
ghambwera	ghambwera	GHAMBWERA	abvd	PAINFUL OR SICK	-
ghaningga	ghaningga	GHANINGGA	abvd	EAT	abvd_37_toeat_1
gharei	gharei	GHAREI	abvd	LIVER	abvd_17_liver_1
gharï	ghar	GHAR	abvd	BITE	abvd_41_tobite_1
ghawi	ghawi	GHAWI	abvd	CHEW	abvd_38_tochew_8
ghemi	ghemi	GHEMI	abvd	YOU	abvd_186_you_1
ghena	ghena	GHENA	abvd	SLEEP	abvd_48_tosleep_8
ghinevadede	ghinevadede	GHINEBADEDE	abvd	LIE DOWN	abvd_49_toliedown_1
ghïghe	ghghe	GHGHE	abvd	FOOT OR LEG	abvd_4_legfoot_1
ghïn	ghn	GHN	abvd	THOU	-
ghïnlolo	ghnlolo	GHNLOLO	abvd	DREAM (SOMETHING)	abvd_50_todream_1
gogugou	gogugou	GOGUGOU	abvd	NIGHT	abvd_167_night_56
gorongga	gorongga	GORONGGA	abvd	HOW	-
goroŋga	goroga	GOROGA	abvd	HOW	-
idae	idae	IDAE	abvd	NAME	abvd_63_name_29
iku	iku	IKU	abvd	CUT OR HACK	-
imbi	imbi	IMBI	abvd	SQUEEZE	abvd_88_tosqueeze_21
ime	ime	IME	abvd	WE	abvd_185_we_2
inda	inda	INDA	abvd	WE	abvd_185_we_1
ino	ino	INO	abvd	I	abvd_182_i_1
iye	iye	IUE	abvd	HE OR SHE	abvd_184_heshe_1
jimwae	jimwae	YIMWAE	abvd	SKIN	abvd_12_skin_52
jota	jota	YOTA	abvd	INTESTINES	-
kabu	kabu	KABU	abvd	PLANT (SOMETHING)	-
kaivï	kaiv	KAIB	abvd	STEAL	-
kaiwo	kaiwo	KAIWO	abvd	WORK (ACTIVITY)	-
kakaleva	kakaleva	KAKALEBA	abvd	WHITE	abvd_148_white_72
kakelava	kakelava	KAKELABA	abvd	WHITE	abvd_148_white_72
kamwaita	kamwaita	KAMWAITA	abvd	PATH OR ROAD	abvd_6_roadpath_29
kamwathï	kamwath	KAMWATH	abvd	PATH OR ROAD	abvd_6_roadpath_29
