Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
&e&e-ku	eeku	EEKU	abvd	TONGUE	abvd_32_tongue_7
aira	aira	AIRA	abvd	WET	abvd_141_wet_35
asi	asi	ASI	abvd	ROPE	abvd_65_rope_58
asu	asu	ASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
aβu	au	AU	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_14
enau	enau	ENAU	abvd	I	abvd_182_i_1
enia	enia	ENIA	abvd	HE OR SHE	abvd_184_heshe_1
enira	enira	ENIRA	abvd	THEY	abvd_187_they_1
era	era	ERA	abvd	OTHER	-
esle	esle	ESLE	abvd	EGG	abvd_98_egg_56
ev̈iev̈i	ev̈iev̈i	EBIEBI	abvd	COUNT	abvd_196_tocount_70
eᵑko	eko	EKO	abvd	THOU	abvd_183_thou_1
eⁿdʳa	eda	EDA	abvd	WE	abvd_185_we_45
eⁿdʳa rua	edarua	EDARUA	abvd	WE	-
hapa-	hapa	HAPA	abvd	WING	abvd_100_wing_1
hari-	hari	HARI	abvd	BACK	abvd_13_back_59
huri-	huri	HURI	abvd	SKIN	abvd_12_skin_1
huru-ku	huruku	HURUKU	abvd	TOOTH	abvd_31_tooth_18
hutu	hutu	HUTU	abvd	LOUSE	abvd_108_louse_1
ima	ima	IMA	abvd	HOUSE	abvd_61_house_1
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
kam̈am	kam̈am	KAMAM	abvd	WE	abvd_185_we_42
kam̈am rua	kam̈amrua	KAMAMRUA	abvd	WE	-
kam̈im	kam̈im	KAMIM	abvd	YOU	abvd_186_you_1
kuku	kuku	KUKU	abvd	COOK (SOMETHING)	abvd_39_tocook_L
lam̈ane	lam̈ane	LAMANE	abvd	MALE PERSON	abvd_54_manmale_1
lasia	lasia	LASIA	abvd	FASTEN	abvd_66_totieupfasten_87
laŋi	lai	LAI	abvd	WIND	abvd_136_wind_1
lep̈a	lep̈a	LEPA	abvd	EARTH (SOIL)	abvd_119_earthsoil_11
lim̈a	lim̈a	LIMA	abvd	HAND	abvd_1_hand_1
lito	lito	LITO	abvd	SPIT	abvd_36_tospit_37
lolosi	lolosi	LOLOSI	abvd	SWIM	abvd_9_toswim_8
lotu-	lotu	LOTU	abvd	FOOT OR LEG	abvd_4_legfoot_47
lua	lua	LUA	abvd	VOMIT	abvd_35_tovomit_8
lulu	lulu	LULU	abvd	WHITE	abvd_148_white_89
mape-	mape	MAPE	abvd	LIVER	abvd_17_liver_7
maremare	maremare	MAREMARE	abvd	THIN	abvd_156_thin_22
mata	mata	MATA	abvd	SNAKE	abvd_106_snake_12
matea	matea	MATEA	abvd	ONE	abvd_197_one_9
mo-lim̈a	molim̈a	MOLIMA	abvd	FIVE	abvd_201_five_1
mo-lim̈a-raβe	molim̈arae	MOLIMARAE	abvd	SIX	abvd_202_six_35
mo-ruwa	moruwa	MORUWA	abvd	TWO	abvd_198_two_1
mo-tolu	motolu	MOTOLU	abvd	THREE	abvd_199_three_1
mo-v̈ati	mov̈ati	MOBATI	abvd	FOUR	abvd_200_four_1
mohi	mohi	MOHI	abvd	MOSQUITO	abvd_109_mosquito_1
m̈ai	m̈ai	MAI	abvd	COME	abvd_7_tocome_1
m̈alele	m̈alele	MALELE	abvd	PATH OR ROAD	-
m̈am̈asa	m̈am̈asa	MAMASA	abvd	DRY	abvd_140_dry_11
m̈ana	m̈ana	MANA	abvd	LAUGH	abvd_33_tolaugh_51
m̈apu	m̈apu	MAPU	abvd	BREATHE	abvd_28_tobreathe_14
m̈arau-	m̈arau	MARAU	abvd	LEFT	abvd_2_left_2
m̈ata-	m̈ata	MATA	abvd	EYE	abvd_45_eye_1
m̈ataxu	m̈ataxu	MATAKU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
