Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
babay	babay	BABAU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bakal	bakal	BAKAL	abvd	THROW	abvd_94_tothrow_97
balay	balay	BALAU	abvd	HOUSE	abvd_61_house_14
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
baʔbaʔ	baʔbaʔ	BAHBAH	abvd	MOUTH	abvd_30_mouth_1
baʔgu	baʔgu	BAHGU	abvd	NEW	abvd_163_new_1
bilad	bilad	BILAD	abvd	DRY	abvd_140_dry_42
bilang	bilang	BILANG	abvd	COUNT	abvd_196_tocount_1
bituʔun	bituʔun	BITUHUN	abvd	STAR	abvd_130_star_1
buat	buat	BUAT	abvd	WORK (ACTIVITY)	-
buaʔ	buaʔ	BUAH	abvd	FRUIT	abvd_117_fruit_1
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
buraburak	buraburak	BURABURAK	abvd	FLOWER	abvd_116_flower_22
buʔuk	buʔuk	BUHUK	abvd	HAIR	abvd_26_hair_1
bɨkɨn	bɨkɨn	BIKIN	abvd	OTHER	abvd_190_other_10
bɨtɨng	bɨtɨng	BITING	abvd	BELLY	abvd_14_belly_49
dagat	dagat	DAGAT	abvd	SEA	abvd_124_sea_25
dagum	dagum	DAGUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dakulaʔ	dakulaʔ	DAKULAH	abvd	BIG	abvd_153_big_22
danumɣ	danumɣ	DANUMG	abvd	WATER	abvd_122_water_1
deʔun	deʔun	DEHUN	abvd	LEAF	abvd_114_leaf_1
dila	dila	DILA	abvd	TONGUE	abvd_32_tongue_4
diʔgan	diʔgan	DIHGAN	abvd	BREAST	abvd_18_breast_16
dua	dua	DUA	abvd	TWO	abvd_198_two_1
duang pulu	duangpulu	DUANGPULU	abvd	TWENTY	abvd_207_twenty_3
duduʔ	duduʔ	DUDUH	abvd	BREAST	abvd_18_breast_15
duguʔ	duguʔ	DUGUH	abvd	BLOOD	abvd_23_blood_16
dukul	dukul	DUKUL	abvd	SNAKE	abvd_106_snake_32
duldug	duldug	DULDUG	abvd	THUNDER	abvd_134_thunder_2
dɨkɨyɨʔ	dɨkɨyɨʔ	DIKIUIH	abvd	SMALL	abvd_152_small_66
dɨlɨm	dɨlɨm	DILIM	abvd	NIGHT	abvd_167_night_20
dɨrɨs	dɨrɨs	DIRIS	abvd	WIND	abvd_136_wind_36
gamut	gamut	GAMUT	abvd	ROOT	abvd_115_root_3
gatus	gatus	GATUS	abvd	HUNDRED	abvd_209_onehundred_4
gibang	gibang	GIBANG	abvd	LEFT	abvd_2_left_24
gɨnɨg	gɨnɨg	GINIG	abvd	HEAR	abvd_44_tohear_14
gɨrɨng	gɨrɨng	GIRING	abvd	BACK	abvd_13_back_44
kagat	kagat	KAGAT	abvd	BITE	abvd_41_tobite_1
kalalawaʔ	kalalawaʔ	KALALAWAH	abvd	SPIDER	abvd_110_spider_1
