Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ago	ago	AGO	abvd	WORK (ACTIVITY)	abvd_83_towork_32
ai	ai	AI	abvd	AT	abvd_173_at_12
alo	alo	ALO	abvd	ROPE	abvd_65_rope_2
alu	alu	ALU	abvd	EIGHT	abvd_204_eight_3
alɔ	alɔ	ALO	abvd	ROPE	abvd_65_rope_2
araŋa-na	araana	ARAANA	abvd	BRANCH	abvd_113_branch_1
areŋa-na	areana	AREANA	abvd	BRANCH	abvd_113_branch_1
areŋana	areana	AREANA	abvd	BRANCH	abvd_113_branch_1
ari	ari	ARI	abvd	DIG	abvd_90_todig_1
asa	asa	ASA	abvd	NAME	abvd_63_name_1
asa-na	asana	ASANA	abvd	NAME	abvd_63_name_1
asease	asease	ASEASE	abvd	BREATHE	abvd_28_tobreathe_16
asease-na	aseasena	ASEASENA	abvd	BREAST	-
asembona	asembona	ASEMBONA	abvd	BREATHE	abvd_28_tobreathe_16
asembɔna	asembɔna	ASEMBONA	abvd	BREATHE	abvd_28_tobreathe_16
asɔ	asɔ	ASO	abvd	THATCH OR ROOF	-
ata	ata	ATA	abvd	HEAVY	-
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
ate-na	atena	ATENA	abvd	LIVER	abvd_17_liver_1
ati	ati	ATI	abvd	HUSBAND	-
ato	ato	ATO	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
aŋgo	ago	AGO	abvd	WORK (ACTIVITY)	abvd_83_towork_32
aŋgɔ	agɔ	AGO	abvd	WORK (ACTIVITY)	abvd_83_towork_32
aŋo	ao	AO	abvd	YELLOW	abvd_150_yellow_9
aŋoaŋo-na	aoaona	AOAONA	abvd	YELLOW	abvd_150_yellow_9
aŋɔ	aɔ	AO	abvd	YELLOW	abvd_150_yellow_9
aɔ-na	aɔna	AONA	abvd	FAR	abvd_180_far_1
bau	bau	BAU	abvd	DIRTY	abvd_10_dirty_66
beli	beli	BELI	abvd	STEAL	abvd_73_tosteal_12
biri	biri	BIRI	abvd	WORM	-
bisi	bisi	BISI	abvd	COLD	abvd_139_cold_46
biu	biu	BIU	abvd	PAINFUL OR SICK	-
boci	boci	BOKI	abvd	WET	abvd_141_wet_55
bolebole	bolebole	BOLEBOLE	abvd	DREAM (SOMETHING)	abvd_50_todream_10
boŋi	boi	BOI	abvd	NIGHT	abvd_167_night_1
buke	buke	BUKE	abvd	BACK	abvd_13_back_13
buruburu	buruburu	BURUBURU	abvd	GRASS	abvd_118_grass_19
casaŋatu	casaatu	KASAATU	abvd	HUNDRED	abvd_209_onehundred_4
cehe	cehe	KEHE	abvd	FIVE	abvd_201_five_16
cici	cici	KIKI	abvd	RED	abvd_149_red_19
cika	cika	KIKA	abvd	ONE	abvd_197_one_42
colo	colo	KOLO	abvd	LAUGH	abvd_33_tolaugh_56
cucu	cucu	KUKU	abvd	BREAST	abvd_18_breast_1
cuka	cuka	KUKA	abvd	PLANT (SOMETHING)	abvd_84_toplant_51
cuki pɔlɔ	cukipɔlɔ	KUKIPOLO	abvd	SEW	abvd_67_tosew_17
cuve	cuve	KUBE	abvd	SPIT	abvd_36_tospit_19
daki	daki	DAKI	abvd	FEMALE PERSON	abvd_55_womanfemale_25
dale	dale	DALE	abvd	CHILD	abvd_56_child_28
