Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-afin	afin	APIN	abvd	COUNT	abvd_196_tocount_26
-ahamnu	ahamnu	AHAMNU	abvd	KILL	abvd_74_tokill_1
-aiah	aiah	AIAH	abvd	FLOW	abvd_123_toflow_57
-aiŋ	ai	AI	abvd	SWIM	abvd_9_toswim_5
-ak	ak	AK	abvd	SCRATCH	abvd_77_toscratch_13
-akanaŋən	akanaən	AKANAEN	abvd	FEAR (BE AFRAID)	abvd_22_tofear_60
-alah	alah	ALAH	abvd	LAUGH	abvd_33_tolaugh_97
-alis	alis	ALIS	abvd	FASTEN	abvd_66_totieupfasten_1
-aliwuk	aliwuk	ALIWUK	abvd	WALK	abvd_5_towalk_97
-al̥	al̥	AL	abvd	SEW	abvd_67_tosew_67
-ameiŋ	amei	AMEI	abvd	BREATHE	abvd_28_tobreathe_73
-ameŋah	ameah	AMEAH	abvd	BE ALIVE	abvd_76_tolivebealive_60
-amæl̥	aml̥	AML	abvd	LIE DOWN	abvd_49_toliedown_8
-amʷah	amah	AMAH	abvd	SUCK	abvd_42_tosuck_25
-am̥	am̥	AM	abvd	SEE	abvd_46_tosee_80
-an	an	AN	abvd	SAY	abvd_64_tosay_104
-anəm	anəm	ANEM	abvd	DRINK	abvd_40_todrink_1
-an̥təp	an̥təp	ANTEP	abvd	SPLIT	abvd_80_tosplit_98
-arair	arair	ARAIR	abvd	TURN	abvd_8_toturn_18
-aru	aru	ARU	abvd	STAB	abvd_71_tostabpierce_75
-atæliŋin	atliin	ATLIIN	abvd	THINK	abvd_21_tothink_19
-atəpʷiŋ	atəpi	ATEPI	abvd	THROW	-
-aŋah	aah	AAH	abvd	SPIT	abvd_36_tospit_14
-aᵐbʷalah	abalah	ABALAH	abvd	SIT	-
-aᵐbʷəl	abəl	ABEL	abvd	SLEEP	abvd_48_tosleep_11
-aᵐpiaβen	apiaen	APIAEN	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_42
-eoa	eoa	EOA	abvd	VOMIT	abvd_35_tovomit_8
-ep	ep	EP	abvd	BLOW (OF WIND)	abvd_137_toblow_5
-ete	ete	ETE	abvd	CUT OR HACK	abvd_78_tocuthack_1
-eβar	ear	EAR	abvd	SQUEEZE	abvd_88_tosqueeze_90
-il	il	IL	abvd	DIG	abvd_90_todig_1
-itun	itun	ITUN	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
-iŋ	i	I	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
-məs	məs	MES	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-oh	oh	OH	abvd	HIT	abvd_72_tohit_85
-orin	orin	ORIN	abvd	FALL	-
-os	os	OS	abvd	HOLD	abvd_89_tohold_113
-ua	ua	UA	abvd	COME	abvd_7_tocome_25
-uan	uan	UAN	abvd	BURN	abvd_144_toburn_83
-un	un	UN	abvd	EAT	abvd_37_toeat_1
-us	us	US	abvd	BITE	abvd_41_tobite_1
-wəmærupʷən	wəmrupən	WEMRUPEN	abvd	HUNT	abvd_69_tohunt_11
-æsək	sək	SEK	abvd	CRY	abvd_34_tocry_33
-ætau	tau	TAU	abvd	HEAR	abvd_44_tohear_56
-ætul	tul	TUL	abvd	STAND	abvd_52_tostand_2
a-ahaniem	aahaniem	AAHANIEM	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
etman	etman	ETMAN	abvd	MALE PERSON	abvd_54_manmale_1
hia	hia	HIA	abvd	WHERE	abvd_181_where_91
ik	ik	IK	abvd	THOU	abvd_183_thou_1
ilat	ilat	ILAT	abvd	THEY	abvd_187_they_1
in	in	IN	abvd	HE OR SHE	abvd_184_heshe_1
io	io	IO	abvd	I	abvd_182_i_1
itamʷat	itamat	ITAMAT	abvd	YOU	abvd_186_you_45
itl̥o	itl̥o	ITLO	abvd	WE	-
itmat	itmat	ITMAT	abvd	WE	abvd_185_we_E
ka-iu	kaiu	KAIU	abvd	TWO	abvd_198_two_1
kahap	kahap	KAHAP	abvd	RAT	abvd_102_rat_3
kariləm	kariləm	KARILEM	abvd	FIVE	abvd_201_five_1
kariləm kaiu	kariləmkaiu	KARILEMKAIU	abvd	SEVEN	-
kariləm kariləm	kariləmkariləm	KARILEMKARILEM	abvd	TEN	-
kariləm kəsəl	kariləmkəsəl	KARILEMKESEL	abvd	EIGHT	-
kariləm kəwet	kariləmkəwet	KARILEMKEWET	abvd	NINE	-
