Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
ambisa	ambisa	AMBISA	abvd	WHERE	-
amut	amut	AMUT	abvd	ROOT	abvd_115_root_3
an	an	AN	abvd	AT	abvd_173_at_22
andarəm	andarəm	ANDAREM	abvd	BELOW OR UNDER	abvd_176_below_20
andaŋka	andaka	ANDAKA	abvd	ABOVE	-
anio	anio	ANIO	abvd	THIS	abvd_177_this_1
anuntəp	anuntəp	ANUNTEP	abvd	IN	-
api	api	API	abvd	FIRE	abvd_143_fire_1
asiŋ	asi	ASI	abvd	SALT	abvd_125_salt_3
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
atəp	atəp	ATEP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
awu	awu	AWU	abvd	DUST	abvd_11_dust_1
bahu	bahu	BAHU	abvd	SHOULDER	abvd_19_shoulder_17
buaʔ	buaʔ	BUAH	abvd	FRUIT	abvd_117_fruit_1
buŋaŋ	bua	BUA	abvd	FLOWER	abvd_116_flower_1
cabaŋ	caba	KABA	abvd	BRANCH	abvd_113_branch_9
caciŋ	caci	KAKI	abvd	WORM	abvd_107_wormearthworm_23
cami	cami	KAMI	abvd	WE	abvd_185_we_2
cita	cita	KITA	abvd	WE	abvd_185_we_1
enem	enem	ENEM	abvd	SIX	abvd_202_six_1
esa	esa	ESA	abvd	ONE	abvd_197_one_1
guntur	guntur	GUNTUR	abvd	THUNDER	abvd_134_thunder_30
ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
ipus	ipus	IPUS	abvd	TAIL	abvd_105_tail_30
kama	kama	KAMA	abvd	HAND	abvd_1_hand_13
kambuŋ	kambu	KAMBU	abvd	CLOUD	abvd_131_cloud_1
kamu	kamu	KAMU	abvd	THOU	abvd_183_thou_1
kamu pakasa	kamupakasa	KAMUPAKASA	abvd	YOU	abvd_186_you_1
