Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-nge	nge	NGE	abvd	HUNDRED	-
afe	afe	APE	abvd	THOUSAND	abvd_210_onethousand_3
afi	afi	API	wikipron	-	-
aka	aka	AKA	wikipron	-	-
alu	alu	ALU	wikipron	-	-
ano	ano	ANO	abvd	LAKE	abvd_126_lake_1
anoano	anoano	ANOANO	wikipron	-	-
aoaofia	aoaofia	AOAOPIA	wikipron	-	-
ato	ato	ATO	wikipron	-	-
au	au	AU	wikipron	-	-
aŋi	ai	AI	abvd	BLOW (OF WIND)	abvd_137_toblow_8
e	e	E	wikipron	-	-
efu	efu	EPU	abvd	DUST	abvd_11_dust_1
efuefu	efuefu	EPUEPU	abvd	ASH	abvd_146_ashes_1
eŋeeŋa	eeea	EEEA	abvd	YELLOW	abvd_150_yellow_10
fafanga	fafaŋa	PAPANA	wikipron	-	-
fafine	fafine	PAPINE	wikipron	-	-
fahi	fahi	PAHI	abvd	SPLIT	abvd_80_tosplit_4
faka	faka	PAKA	wikipron	-	-
fakaava	fakaava	PAKAABA	abvd	OPEN	-
fakabona	fakabona	PAKABONA	wikipron	-	-
fakakaukau	fakakaukau	PAKAKAUKAU	abvd	THINK	-
fakatau	fakatau	PAKATAU	abvd	BUY	abvd_91_tobuy_9
fala	fala	PALA	wikipron	-	-
fale	fale	PALE	wikipron	-	-
fana	fana	PANA	wikipron	-	-
fangu	faŋu	PANU	wikipron	-	-
fanongo	fanoŋo	PANONO	wikipron	-	-
faʔē	faʔ	PAH	abvd	MOTHER	abvd_59_mother_6
faʻa	faʔa	PAHA	wikipron	-	-
faʻē	faʔeː	PAHE	wikipron	-	-
fefine	fefine	PEPINE	wikipron	-	-
feimeʔakai	feimeʔakai	PEIMEHAKAI	abvd	COOK (SOMETHING)	-
feitunu	feitunu	PEITUNU	abvd	COOK (SOMETHING)	abvd_39_tocook_9
feke	feke	PEKE	wikipron	-	-
fekika	fekika	PEKIKA	wikipron	-	-
fenoŋo	fenoo	PENOO	abvd	HEAR	abvd_44_tohear_1
fetuʔu	fetuʔu	PETUHU	abvd	STAR	abvd_130_star_1
fetuʻu	fetuʔu	PETUHU	wikipron	-	-
fili	fili	PILI	wikipron	-	-
fitu	fitu	PITU	wikipron	-	-
fitungofulu	fituŋofulu	PITUNOPULU	wikipron	-	-
folau	folau	POLAU	wikipron	-	-
fonu	fonu	PONU	wikipron	-	-
foʔi manu	foʔimanu	POHIMANU	abvd	EGG	abvd_98_egg_5
foʔou	foʔou	POHOU	abvd	NEW	abvd_163_new_1
fua	fua	PUA	wikipron	-	-
fulufulu	fulufulu	PULUPULU	abvd	FEATHER	abvd_99_feather_1
fuʔu	fuʔu	PUHU	abvd	BIG	abvd_153_big_13
fā	faː	PA	wikipron	-	-
fā	f	P	abvd	FOUR	abvd_200_four_1
fāngofulu	faːŋofulu	PANOPULU	wikipron	-	-
fēfē	ff	PP	abvd	HOW	abvd_194_how_11
Fēpueli	feːpueli	PEPUELI	wikipron	-	-
hai	hai	HAI	abvd	WHO	abvd_189_who_1
hala	hala	HALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
haʔu	haʔu	HAHU	abvd	COME	abvd_7_tocome_44
Haʻamoa	haʔamoa	HAHAMOA	wikipron	-	-
hema	hema	HEMA	abvd	LEFT	abvd_2_left_11
heʻe	heʔe	HEHE	wikipron	-	-
hiapo	hiapo	HIAPO	wikipron	-	-
hina	hina	HINA	wikipron	-	-
hinehina	hinehina	HINEHINA	abvd	WHITE	abvd_148_white_66
hisitōlia	hisitoːlia	HISITOLIA	wikipron	-	-
hiva	hiva	HIBA	wikipron	-	-
hivangofulu	hivaŋofulu	HIBANOPULU	wikipron	-	-
hiŋoa	hioa	HIOA	abvd	NAME	abvd_63_name_6
hoka	hoka	HOKA	abvd	STAB	abvd_71_tostabpierce_67
hongofulu	hoŋofulu	HONOPULU	wikipron	-	-
hongofulu	hongofulu	HONGOPULU	abvd	TEN	abvd_206_ten_5
huhu	huhu	HUHU	wikipron	-	-
huhua	huhua	HUHUA	wikipron	-	-
hui	hui	HUI	abvd	BONE	abvd_15_bone_52
hui-tuitui	huituitui	HUITUITUI	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_66
hā	h	H	abvd	WHAT	abvd_188_what_84
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
ifi	ifi	IPI	wikipron	-	-
ihu	ihu	IHU	abvd	NOSE	abvd_27_nose_1
ika	ika	IKA	wikipron	-	-
iku	iku	IKU	abvd	TAIL	abvd_105_tail_13
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
ka	ka	KA	abvd	IF	abvd_193_if_1
kafa	kafa	KAPA	wikipron	-	-
kai	kai	KAI	wikipron	-	-
