Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'a	ʔa	HA	wikipron	-	-
'aba	ʔaβ̞a	HABA	wikipron	-	-
'apiku'i	ʔapikuʔi	HAPIKUHI	wikipron	-	-
'ar	ʔaɾ	HAR	wikipron	-	-
'ekatuaba	ʔɛkatuaβa	HEKATUABA	wikipron	-	-
'y	ʔɨ	HI	wikipron	-	-
'yba	ʔɨβa	HIBA	wikipron	-	-
'ybakamusi	ʔɨβakãmusi	HIBAKMUSI	wikipron	-	-
'ybapytanga	ʔɨβapɨtãŋa	HIBAPITNA	wikipron	-	-
'Ybotyra	ʔɨβɔtɨɾa	HIBOTIRA	wikipron	-	-
'ybá	ʔɨβa	HIBA	wikipron	-	-
a'e	aʔɛ	AHE	wikipron	-	-
a'ypaba	aʔɨpaβa	AHIPABA	wikipron	-	-
a'yra	aʔɨɾa	AHIRA	wikipron	-	-
aba	aβ̞a	ABA	wikipron	-	-
abanhe'enga	aβaɲɛʔɛ̃ᵑɡa	ABANEHEGA	wikipron	-	-
abati	aβati	ABATI	wikipron	-	-
abé	aβ̞ɛ	ABE	wikipron	-	-
agûaragûasu	aɡwaɾaɡwasu	AGWARAGWASU	wikipron	-	-
agûarausá	aɡwaɾausa	AGWARAUSA	wikipron	-	-
akanga	akãŋa	AKNA	wikipron	-	-
akaîu	akaju	AKAYU	wikipron	-	-
akaîueté	akajuɛtɛ	AKAYUETE	wikipron	-	-
akub	akub	AKUB	wikipron	-	-
akuti	akuti	AKUTI	wikipron	-	-
akyrara	akɨɾaɾa	AKIRARA	wikipron	-	-
akûeî	akwɛj	AKWEY	wikipron	-	-
amana	ãmãna	MNA	wikipron	-	-
amba'yba	ãᵐbaʔɨβa	BAHIBA	wikipron	-	-
ambó	ãᵐbɔ	BO	wikipron	-	-
anama	ãnãma	NMA	wikipron	-	-
ananá	anãna	ANNA	wikipron	-	-
andyrá	ãⁿdɨɾa	DIRA	wikipron	-	-
angaturama	ãŋatuɾãma	NATURMA	wikipron	-	-
anhanga	ãɲãŋa	NNA	wikipron	-	-
anhangu'i	ãɲãŋuʔi	NNUHI	wikipron	-	-
any	anɨ	ANI	wikipron	-	-
anũ	ãnũ	N	wikipron	-	-
aoba	aɔβ̞a	AOBA	wikipron	-	-
apek	apɛk	APEK	wikipron	-	-
apekũ	apɛkũ	APEK	wikipron	-	-
apere'a	apɛɾɛʔa	APEREHA	wikipron	-	-
apó	apɔ	APO	wikipron	-	-
apŷaba	apɣ̞aβa	APGABA	wikipron	-	-
apŷaba	apɯ̯aβa	APUABA	wikipron	-	-
arabé	aɾaβɛ	ARABE	wikipron	-	-
arara	aɾaɾa	ARARA	wikipron	-	-
Araruna	ʔaɾaɾũna	HARARNA	wikipron	-	-
araruna	aɾaɾũna	ARARNA	wikipron	-	-
arasá	aɾasa	ARASA	wikipron	-	-
aratiku	aɾatiku	ARATIKU	wikipron	-	-
asy	asɨ	ASI	wikipron	-	-
atatinga	atatĩŋa	ATATNA	wikipron	-	-
atá	ata	ATA	wikipron	-	-
atã	atã	AT	wikipron	-	-
aîa	saʝ̞a	SAGA	wikipron	-	-
aîa	taʝ̞a	TAGA	wikipron	-	-
aîa	ʔaʝ̞a	HAGA	wikipron	-	-
aîyra	ajɨɾa	AYIRA	wikipron	-	-
aîó	ʔajɔ	HAYO	wikipron	-	-
aîó	ʔaʝɔ	HAGO	wikipron	-	-
aûsub	awsuβ̞	AWSUB	wikipron	-	-
aûsuba	awsuβ̞a	AWSUBA	wikipron	-	-
baîaku	βajaku	BAYAKU	wikipron	-	-
e'õ	ɛʔɔ̃	EHO	wikipron	-	-
ebira	ɛβiɾa	EBIRA	wikipron	-	-
endé	ɛⁿdɛ	EDE	wikipron	-	-
endébe	ɛⁿdɛβɛ	EDEBE	wikipron	-	-
er	ɛɾ	ER	wikipron	-	-
era	ɛɾa	ERA	wikipron	-	-
esatinga	ɛsatĩŋa	ESATNA	wikipron	-	-
esá	ɛsa	ESA	wikipron	-	-
etymã	ɛtɨ̃mã	ETIM	wikipron	-	-
etá	ɛta	ETA	wikipron	-	-
eté	ɛtɛ	ETE	wikipron	-	-
Exu'y	ɛʃuʔɨ	ESUHI	wikipron	-	-
eîrara	ɛjɾaɾa	EYRARA	wikipron	-	-
eẽ	ɛ̃ɛ̃	EE	wikipron	-	-
gûabiraba	ɡwaβiɾaβa	GWABIRABA	wikipron	-	-
gûanhumũ	ɡwaɲumũ	GWANUM	wikipron	-	-
gûapyk	ɡwapɨk	GWAPIK	wikipron	-	-
gûaraîuba	ɣʷaɾajuβa	GARAYUBA	wikipron	-	-
