Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
balagia	balagia	BALAGIA	abvd	RED	-
batun	batun	BATUN	abvd	EARTH (SOIL)	-
benali	benali	BENALI	abvd	HEAR	abvd_44_tohear_76
beyabeya	beyabeya	BEUABEUA	abvd	OLD	abvd_162_old_50
biabia	biabia	BIABIA	abvd	OLD	abvd_162_old_50
bikibiki	bikibiki	BIKIBIKI	abvd	DUST	-
bogau	bogau	BOGAU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_23
boita	boita	BOITA	abvd	BE DEAD OR DIE	-
bolime	bolime	BOLIME	abvd	YEAR	abvd_169_year_15
boniyai	boniyai	BONIUAI	abvd	NIGHT	abvd_167_night_1
bulibuli	bulibuli	BULIBULI	abvd	SKY	-
buluma	buluma	BULUMA	abvd	FLESH OR MEAT	abvd_103_meatflesh_34
bum	bum	BUM	abvd	BLUNT	abvd_82_dullblunt_23
buta	buta	BUTA	abvd	WET	abvd_141_wet_20
buyo	buyo	BUUO	abvd	SQUEEZE	abvd_88_tosqueeze_59
bwaine	bwaine	BWAINE	abvd	THAT	-
bwaite	bwaite	BWAITE	abvd	THIS	-
bwatano	bwatano	BWATANO	abvd	EARTH (SOIL)	abvd_119_earthsoil_1
bwau	bwau	BWAU	abvd	TWO	abvd_198_two_11
bwawa	bwawa	BWAWA	abvd	DOG	-
dagela	dagela	DAGELA	abvd	BACK	abvd_13_back_22
daguli	daguli	DAGULI	abvd	FEATHER	abvd_99_feather_13
dekawa	dekawa	DEKAWA	abvd	SAND	abvd_121_sand_98
dia	dia	DIA	abvd	BELLY	abvd_14_belly_1
duba	duba	DUBA	abvd	BLACK	abvd_147_black_21
duduli	duduli	DUDULI	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_96
dumdum	dumdum	DUMDUM	abvd	DIRTY	abvd_10_dirty_141
ele	ele	ELE	abvd	AT	-
esa	esa	ESA	abvd	NAME	abvd_63_name_1
esopali	esopali	ESOPALI	abvd	FOUR	abvd_200_four_72
eva	eva	EBA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_91
gabaeni	gabaeni	GABAENI	abvd	THROW	abvd_94_tothrow_117
gabu	gabu	GABU	abvd	BURN	abvd_144_toburn_16
galeu	galeu	GALEU	abvd	BURN	-
galewa	galewa	GALEWA	abvd	RAIN (PRECIPITATION)	abvd_133_rain_17
galogalo	galogalo	GALOGALO	abvd	NECK	abvd_25_neck_30
gama	gama	GAMA	abvd	MOUTH	abvd_30_mouth_58
gamwa	gamwa	GAMWA	abvd	MOUTH	abvd_30_mouth_58
gegebam	gegebam	GEGEBAM	abvd	LEFT	abvd_2_left_20
giligili	giligili	GILIGILI	abvd	THIN	abvd_156_thin_59
gimau	gimau	GIMAU	abvd	RAT	abvd_102_rat_94
gimwau	gimwau	GIMWAU	abvd	RAT	abvd_102_rat_94
ginagina	ginagina	GINAGINA	abvd	STICK	-
gitai	gitai	GITAI	abvd	SEE	abvd_46_tosee_1
gite	gite	GITE	abvd	SEE	abvd_46_tosee_1
gubesi	gubesi	GUBESI	abvd	HOW	-
gunuwala	gunuwala	GUNUWALA	abvd	FOREST	abvd_127_woodsforest_28
haiyona	haiyona	HAIUONA	abvd	THREE	abvd_199_three_66
haligigi	haligigi	HALIGIGI	abvd	FIVE	abvd_201_five_23
ididi	ididi	IDIDI	abvd	FLOW	abvd_123_toflow_52
igehu-na	igehuna	IGEHUNA	abvd	OTHER	-
io	io	IO	abvd	AND	abvd_192_and_62
isu	isu	ISU	abvd	NOSE	abvd_27_nose_1
ito	ito	ITO	abvd	HAIR	-
iya	iya	IUA	abvd	HE OR SHE	abvd_184_heshe_1
iyai	iyai	IUAI	abvd	WHO	abvd_189_who_56
iye	iye	IUE	abvd	FISH	abvd_111_fish_1
kabikalatani	kabikalatani	KABIKALATANI	abvd	HOLD	abvd_89_tohold_23
kae	kae	KAE	abvd	FOOT OR LEG	abvd_4_legfoot_1
kai	kai	KAI	abvd	WE	-
kaigeda	kaigeda	KAIGEDA	abvd	ONE	abvd_197_one_73
kaiso	kaiso	KAISO	abvd	SPIT	abvd_36_tospit_14
kalakalawana	kalakalawana	KALAKALAWANA	abvd	GREEN	abvd_151_green_13
kalita	kalita	KALITA	abvd	SEA	abvd_124_sea_68
kaliyate	kaliyate	KALIUATE	abvd	DAY (NOT NIGHT)	abvd_168_day_72
kamasa	kamasa	KAMASA	abvd	PATH OR ROAD	abvd_6_roadpath_29
kamwasa	kamwasa	KAMWASA	abvd	PATH OR ROAD	abvd_6_roadpath_29
kapu	kapu	KAPU	abvd	BITE	abvd_41_tobite_16
katai	katai	KATAI	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_35
katutu	katutu	KATUTU	abvd	FAT (ORGANIC SUBSTANCE)	-
kau	kau	KAU	abvd	ASH	abvd_146_ashes_1
kawasi	kawasi	KAWASI	abvd	GRASS	abvd_118_grass_99
kekan	kekan	KEKAN	abvd	EAT	abvd_37_toeat_1
kelamamalawe	kelamamalawe	KELAMAMALAWE	abvd	FAR	abvd_180_far_23
keli	keli	KELI	abvd	DIG	abvd_90_todig_1
keloya	keloya	KELOUA	abvd	HUNT	-
keno	keno	KENO	abvd	SLEEP	abvd_48_tosleep_8
kesega	kesega	KESEGA	abvd	ONE	abvd_197_one_32
kikiu	kikiu	KIKIU	abvd	SMALL	-
koina	koina	KOINA	abvd	AT	-
koli	koli	KOLI	abvd	SCRATCH	abvd_77_toscratch_12
koliate	koliate	KOLIATE	abvd	DAY (NOT NIGHT)	abvd_168_day_72
komiu	komiu	KOMIU	abvd	YOU	abvd_186_you_1
kona	kona	KONA	abvd	SEW	-
kosom	kosom	KOSOM	abvd	STAB	abvd_71_tostabpierce_55
kowa	kowa	KOWA	abvd	THOU	abvd_183_thou_1
kuba	kuba	KUBA	abvd	SHORT	abvd_154_short_20
kubwa	kubwa	KUBWA	abvd	SHORT	abvd_154_short_20
kulukulu	kulukulu	KULUKULU	abvd	HEAD	abvd_24_head_1
kupan	kupan	KUPAN	abvd	FASTEN	-
