Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ai	ai	AI	abvd	AT	abvd_173_at_12
a-mate-a	amatea	AMATEA	abvd	KILL	abvd_74_tokill_2
abini-na	abinina	ABININA	abvd	BELOW OR UNDER	-
ado-a	adoa	ADOA	abvd	POUND	-
agarala	agarala	AGARALA	abvd	ROOT	abvd_115_root_19
agisina	agisina	AGISINA	abvd	NEAR	abvd_179_near_63
ala	ala	ALA	abvd	MALE PERSON	-
ala-ala	alaala	ALAALA	abvd	HUSBAND	-
ani	ani	ANI	abvd	SHARP	abvd_81_sharp_14
aniani	aniani	ANIANI	abvd	EAT	abvd_37_toeat_1
anu	anu	ANU	abvd	EIGHT	abvd_204_eight_3
apa-la	apala	APALA	abvd	BRANCH	-
aragu	aragu	ARAGU	abvd	SHOULDER	abvd_19_shoulder_1
arau	arau	ARAU	abvd	SHOULDER	abvd_19_shoulder_1
aredoisa	aredoisa	AREDOISA	abvd	WHEN	abvd_170_when_34?
aripukaina	aripukaina	ARIPUKAINA	abvd	FASTEN	abvd_66_totieupfasten_126
asa-la	asala	ASALA	abvd	ABOVE	-
asauna-la	asaunala	ASAUNALA	abvd	FAR	abvd_180_far_1
asora	asora	ASORA	abvd	PAINFUL OR SICK	-
asu	asu	ASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
ataesalato	ataesalato	ATAESALATO	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_35
ate	ate	ATE	abvd	WATER	abvd_122_water_32
ate-la	atela	ATELA	abvd	LIVER	abvd_17_liver_1
atoato	atoato	ATOATO	abvd	SAY	abvd_64_tosay_92
atoka	atoka	ATOKA	abvd	COOK (SOMETHING)	-
atorola	atorola	ATOROLA	abvd	GOOD	-
atuna	atuna	ATUNA	abvd	HIT	abvd_72_tohit_50
au	au	AU	abvd	STICK	abvd_79_stickwood_1
auru	auru	AURU	abvd	NEW	abvd_163_new_1
baela	baela	BAELA	abvd	HAND	abvd_1_hand_16
baina	baina	BAINA	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bainala	bainala	BAINALA	abvd	WIFE	abvd_58_wife_47
batu-na	batuna	BATUNA	abvd	NEAR	-
bebea	bebea	BEBEA	abvd	OPEN	-
boni	boni	BONI	abvd	NIGHT	abvd_167_night_1
buburu	buburu	BUBURU	abvd	GRASS	abvd_118_grass_19
e	e	E	abvd	THIS	abvd_177_this_1
eiko	eiko	EIKO	abvd	LIE DOWN	abvd_49_toliedown_11
elo	elo	ELO	abvd	SEA	abvd_124_sea_41
enelela	enelela	ENELELA	abvd	FOOT OR LEG	abvd_4_legfoot_19
episa	episa	EPISA	abvd	THREE	abvd_199_three_4
erua	erua	ERUA	abvd	TWO	abvd_198_two_1
erua saunu	eruasaunu	ERUASAUNU	abvd	TWENTY	-
esanala	esanala	ESANALA	abvd	NAME	abvd_63_name_1
ewati	ewati	EWATI	abvd	FOUR	abvd_200_four_1
gau	gau	GAU	abvd	BURN	abvd_144_toburn_89
gesi	gesi	GESI	abvd	BIG	-
goau	goau	GOAU	abvd	SPIT	-
gomoa	gomoa	GOMOA	abvd	HOLD	abvd_89_tohold_1
guru	guru	GURU	abvd	THUNDER	abvd_134_thunder_2
iai	iai	IAI	abvd	WHERE	abvd_181_where_37
iala	iala	IALA	abvd	FISH	abvd_111_fish_1
ibao	ibao	IBAO	abvd	MOON	abvd_129_moon_49
idai	idai	IDAI	abvd	ONE	-
