Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ara	ara	ARA	abvd	I	abvd_182_i_1
arɔarɔ	arɔarɔ	AROARO	abvd	NEAR	abvd_179_near_15
avana	avana	ABANA	abvd	WHAT	abvd_188_what_1
avateve	avateve	ABATEBE	abvd	HOW	-
avaŋalə̥	avaalə̥	ABAALE	abvd	WHEN	abvd_170_when_6
aŋgara	agara	AGARA	abvd	SWELL	abvd_87_toswell_41
aɣɔ	aɣɔ	AGO	abvd	THOU	abvd_183_thou_1
eta	eta	ETA	abvd	WE	abvd_185_we_1
etərə	etərə	ETERE	abvd	WE	abvd_185_we_1
ev	ev	EB	abvd	BLOW (OF WIND)	-
evekava	evekava	EBEKABA	abvd	WHERE	abvd_181_where_3
eŋə-	eə	EE	abvd	NOSE	abvd_27_nose_15
eŋə-na	eəna	EENA	abvd	NOSE	abvd_27_nose_15
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
inana	inana	INANA	abvd	WHO	-
ipaka	ipaka	IPAKA	abvd	STONE	abvd_120_stone_8
iŋana	iana	IANA	abvd	FISH	abvd_111_fish_1
iŋgia	igia	IGIA	abvd	MOTHER	abvd_59_mother_3
iŋgia-	igia	IGIA	abvd	MOTHER	abvd_59_mother_3
iɣua	iɣua	IGUA	abvd	SAY	abvd_64_tosay_54
kaeɣa	kaeɣa	KAEGA	abvd	NO OR NOT	abvd_195_nonot_19
kakasa	kakasa	KAKASA	abvd	WHITE	abvd_148_white_17
kala	kala	KALA	abvd	ONE	abvd_197_one_31
kalamea-	kalamea	KALAMEA	abvd	TONGUE	abvd_32_tongue_7
kalamea-na	kalameana	KALAMEANA	abvd	TONGUE	abvd_32_tongue_7
kaləma	kaləma	KALEMA	abvd	FIVE	abvd_201_five_1
kambala	kambala	KAMBALA	abvd	BITE	abvd_41_tobite_10
kambaɔ	kambaɔ	KAMBAO	abvd	THATCH OR ROOF	abvd_62_thatchroof_47
kamək	kamək	KAMEK	abvd	SLEEP	abvd_48_tosleep_12
kandala	kandala	KANDALA	abvd	DRY	abvd_140_dry_16
kaps	kaps	KAPS	abvd	LIGHTNING	abvd_135_lightning_13?
kapɔtɔ-	kapɔtɔ	KAPOTO	abvd	SKIN	abvd_12_skin_12
kapɔtɔ-na	kapɔtɔna	KAPOTONA	abvd	SKIN	abvd_12_skin_12
kapə	kapə	KAPE	abvd	THREE	abvd_199_three_4
karak|ɔne	karakɔne	KARAKONE	abvd	SAND	abvd_121_sand_1
karakɔne	karakɔne	KARAKONE	abvd	SAND	abvd_121_sand_1
karua	karua	KARUA	abvd	TWO	abvd_198_two_1
kasəkə	kasəkə	KASEKE	abvd	FOG	abvd_132_fog_12
kata	kata	KATA	abvd	GREEN	-
kavats	kavats	KABATS	abvd	FOUR	abvd_200_four_1
kave	kave	KABE	abvd	SPIDER	abvd_110_spider_12
kavuts	kavuts	KABUTS	abvd	SEVEN	abvd_203_seven_1?
kaxesa	kaxesa	KAKESA	abvd	NINE	abvd_205_nine_23
kazal	kazal	KASAL	abvd	EIGHT	abvd_204_eight_12
kaŋga vasa	kagavasa	KAGABASA	abvd	HUNDRED	abvd_209_onehundred_21
kaɔnɔmɔ	kaɔnɔmɔ	KAONOMO	abvd	SIX	abvd_202_six_1
koka	koka	KOKA	abvd	MOON	-
komboro	komboro	KOMBORO	abvd	CUT OR HACK	abvd_78_tocuthack_126
kumba-	kumba	KUMBA	abvd	BELLY	abvd_14_belly_2
kumba-na	kumbana	KUMBANA	abvd	BELLY	abvd_14_belly_2
kār	kr	KR	abvd	LAUGH	abvd_33_tolaugh_18
kœnĵ	kn	KN	abvd	RAT	abvd_102_rat_3
kœnǰ	kn	KN	abvd	RAT	abvd_102_rat_3
kœŋgele-	kgele	KGELE	abvd	TAIL	abvd_105_tail_45
kœŋgele-na	kgelena	KGELENA	abvd	TAIL	abvd_105_tail_45
kɔɣas	kɔɣas	KOGAS	abvd	FOG	abvd_132_fog_12
kəks	kəks	KEKS	abvd	SMALL	-
kəkəraka	kəkəraka	KEKERAKA	abvd	SCRATCH	abvd_77_toscratch_15
kənkənə-	kənkənə	KENKENE	abvd	NECK	abvd_25_neck_25
kənkənə-na	kənkənəna	KENKENENA	abvd	NECK	abvd_25_neck_25
kənĵkambe	kənkambe	KENKAMBE	abvd	WALK	-
kənǰkambe	kənkambe	KENKAMBE	abvd	CLIMB	abvd_172_toclimb_35
kəvərarɔ	kəvərarɔ	KEBERARO	abvd	MOSQUITO	abvd_109_mosquito_36
laelae	laelae	LAELAE	abvd	THIN	abvd_156_thin_26
lama	lama	LAMA	abvd	COME	abvd_7_tocome_1
lapete	lapete	LAPETE	abvd	SPLIT	abvd_80_tosplit_11
lavata	lavata	LABATA	abvd	BIG	abvd_153_big_10
la|ma	lama	LAMA	abvd	COME	abvd_7_tocome_1
laŋgalaŋga	lagalaga	LAGALAGA	abvd	FAR	abvd_180_far_16
le	le	LE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_5
lia	lia	LIA	abvd	LOUSE	abvd_108_louse_x20
lomboro-	lomboro	LOMBORO	abvd	IN	abvd_174_ininside_1
lomboro-na	lomborona	LOMBORONA	abvd	IN	abvd_174_ininside_1
lua	lua	LUA	abvd	VOMIT	abvd_35_tovomit_8
lɔelɔe	lɔelɔe	LOELOE	abvd	COLD	-
lɔŋgo	lɔgo	LOGO	abvd	LIE DOWN	-
ləma-	ləma	LEMA	abvd	HAND	abvd_1_hand_1
ləma-na	ləmana	LEMANA	abvd	HAND	abvd_1_hand_1
ləŋga-	ləga	LEGA	abvd	EGG	abvd_98_egg_10
ləŋga-na	ləgana	LEGANA	abvd	EGG	abvd_98_egg_10
manava-	manava	MANABA	abvd	LIVER	abvd_17_liver_20
manava-na	manavana	MANABANA	abvd	LIVER	abvd_17_liver_20
mandaka-	mandaka	MANDAKA	abvd	BLOOD	abvd_23_blood_6
mandaka-na	mandakana	MANDAKANA	abvd	BLOOD	abvd_23_blood_6
marapəɣa	marapəɣa	MARAPEGA	abvd	BREATHE	abvd_28_tobreathe_18
mata-	mata	MATA	abvd	EYE	abvd_45_eye_1
mata-na	matana	MATANA	abvd	EYE	abvd_45_eye_1
matavə-	matavə	MATABE	abvd	RIGHT	abvd_3_right_5
matavə-na	matavəna	MATABENA	abvd	RIGHT	abvd_3_right_5
mats	mats	MATS	abvd	SEA	abvd_124_sea_8
matsiran	matsiran	MATSIRAN	abvd	YEAR	abvd_169_year_9
maŋgata	magata	MAGATA	abvd	HEAVY	abvd_142_heavy_12
maŋgele	magele	MAGELE	abvd	YELLOW	abvd_150_yellow_49
maŋgota	magota	MAGOTA	abvd	OLD	abvd_162_old_70
mbambalakərə-	mbambalakərə	MBAMBALAKERE	abvd	WING	abvd_100_wing_13
mbambalakərə-na	mbambalakərəna	MBAMBALAKERENA	abvd	WING	abvd_100_wing_13
mbana	mbana	MBANA	abvd	OLD	abvd_162_old_76
mbar	mbar	MBAR	abvd	SWIM	abvd_9_toswim_10
mbatoŋo	mbatoo	MBATOO	abvd	CLOUD	abvd_131_cloud_18?
mbavk	mbavk	MBABK	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_47
mbets	mbets	MBETS	abvd	DRINK	abvd_40_todrink_8
mbetse	mbetse	MBETSE	abvd	WATER	abvd_122_water_6
mbetsə	mbetsə	MBETSE	abvd	WATER	abvd_122_water_6
mboma	mboma	MBOMA	abvd	WET	abvd_141_wet_15
mbosɔe	mbosɔe	MBOSOE	abvd	PERSON	abvd_53_personhumanbeing_12
mbɔnə̥	mbɔnə̥	MBONE	abvd	NIGHT	abvd_167_night_1
mesara	mesara	MESARA	abvd	RED	abvd_149_red_38
miŋa	mia	MIA	abvd	SEE	-
mosolo	mosolo	MOSOLO	abvd	SQUEEZE	abvd_88_tosqueeze_22
mulam	mulam	MULAM	abvd	COLD	-
mōso	mso	MSO	abvd	PAINFUL OR SICK	abvd_160_painfulsick_17
mɔ	mɔ	MO	abvd	AND	abvd_192_and_2
mɔks	mɔks	MOKS	abvd	STICK	abvd_79_stickwood_3
mɔreta	mɔreta	MORETA	abvd	ROTTEN	abvd_112_rotten_49
mɔ̄so	mɔ̄so	MOSO	abvd	PAINFUL OR SICK	abvd_160_painfulsick_17
məŋge	məge	MEGE	abvd	ROPE	-
məŋgets	məgets	MEGETS	abvd	WET	abvd_141_wet_14
məŋgə	məgə	MEGE	abvd	ROPE	-
məŋgəts	məgəts	MEGETS	abvd	WET	abvd_141_wet_14
nakɔ	nakɔ	NAKO	abvd	FIRE	abvd_143_fire_8
nale	nale	NALE	abvd	CHILD	abvd_56_child_32
nanau	nanau	NANAU	abvd	THINK	abvd_21_tothink_16
nanavəzə	nanavəzə	NANABESE	abvd	THINK	abvd_21_tothink_16
nare	nare	NARE	abvd	RAIN (PRECIPITATION)	abvd_133_rain_9
ndaɔ	ndaɔ	NDAO	abvd	DRINK	-
ndeɣere	ndeɣere	NDEGERE	abvd	STAND	abvd_52_tostand_10
ndɔkɔ	ndɔkɔ	NDOKO	abvd	SNAKE	abvd_106_snake_69
ndɔpụ	ndɔp	NDOP	abvd	BLUNT	abvd_82_dullblunt_42
ndəvs	ndəvs	NDEBS	abvd	STAR	-
nĵanĵ	nan	NAN	abvd	WORK (ACTIVITY)	abvd_83_towork_15
nĵanĵarana	nanarana	NANARANA	abvd	FLOW	abvd_123_toflow_14
nĵoropo	noropo	NOROPO	abvd	SUCK	abvd_42_tosuck_13
nĵəɣs	nəɣs	NEGS	abvd	STAB	abvd_71_tostabpierce_49
nōl	nl	NL	abvd	ROTTEN	abvd_112_rotten_46
nǰanǰ	nan	NAN	abvd	WORK (ACTIVITY)	abvd_83_towork_15
nǰanǰarana	nanarana	NANARANA	abvd	FLOW	abvd_123_toflow_14
nǰoropo	noropo	NOROPO	abvd	SUCK	abvd_42_tosuck_13
nǰəɣs	nəɣs	NEGS	abvd	STAB	abvd_71_tostabpierce_49
palatar	palatar	PALATAR	abvd	HOLD	abvd_89_tohold_18
pale	pale	PALE	abvd	BIRD	abvd_97_bird_11
pande	pande	PANDE	abvd	HOUSE	abvd_61_house_8
panĵala ɔkɔka	panalaɔkɔka	PANALAOKOKA	abvd	THUNDER	abvd_134_thunder_22
panǰala ɔkɔka	panalaɔkɔka	PANALAOKOKA	abvd	THUNDER	abvd_134_thunder_22
paŋgara-	pagara	PAGARA	abvd	FOOT OR LEG	abvd_4_legfoot_97
paŋgara-na	pagarana	PAGARANA	abvd	FOOT OR LEG	abvd_4_legfoot_97
paŋgɔ	pagɔ	PAGO	abvd	STAB	abvd_71_tostabpierce_16
pes lavata	peslavata	PESLABATA	abvd	FEMALE PERSON	-
pets	pets	PETS	abvd	SHORT	abvd_154_short_46
pola-	pola	POLA	abvd	BELOW OR UNDER	abvd_176_below_12
pola-na	polana	POLANA	abvd	BELOW OR UNDER	abvd_176_below_12
poro	poro	PORO	abvd	SQUEEZE	abvd_88_tosqueeze_42
pota	pota	POTA	abvd	CUT OR HACK	abvd_78_tocuthack_24
psəɣa	psəɣa	PSEGA	abvd	SMELL (PERCEIVE)	-
