Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'fafa	fafa	PAPA	abvd	BELOW OR UNDER	abvd_176_below_1?
'faʔa	faʔa	PAHA	abvd	FEMALE PERSON	abvd_55_womanfemale_128
'faʔu	faʔu	PAHU	abvd	STONE	abvd_120_stone_1
'flafa	flafa	PLAPA	abvd	RAT	abvd_102_rat_1
'fula	fula	PULA	abvd	MOON	abvd_129_moon_1
'funu	funu	PUNU	abvd	KILL	abvd_74_tokill_1
'ina	ina	INA	abvd	FISH	abvd_111_fish_1
'jafu	jafu	YAPU	abvd	HUSBAND	-
'jina	jina	YINA	abvd	MOTHER	abvd_59_mother_1
'kala	kala	KALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
'kea	kea	KEA	abvd	CRY	abvd_34_tocry_3
'knɔrna	knɔrna	KNORNA	abvd	STAR	abvd_130_star_8
'lakti	lakti	LAKTI	abvd	WALK	abvd_5_towalk_1
'lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
'lina	lina	LINA	abvd	EAR	abvd_43_ear_1
'luli	luli	LULI	abvd	SKIN	abvd_12_skin_1?
'lɔka	lɔka	LOKA	abvd	FOOT OR LEG	abvd_4_legfoot_9
'lɛʔa	lɛʔa	LEHA	abvd	FOREST	abvd_127_woodsforest_12
'mana	mana	MANA	abvd	MALE PERSON	abvd_54_manmale_1
'manu	manu	MANU	abvd	BIRD	abvd_97_bird_1
'masu	masu	MASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
'maʔa	maʔa	MAHA	abvd	EYE	abvd_45_eye_1
'mi	mi	MI	abvd	WE	abvd_185_we_2
'mia	mia	MIA	abvd	DREAM (SOMETHING)	abvd_50_todream_1
'mimni	mimni	MIMNI	abvd	DRINK	abvd_40_todrink_1
'mɔ	mɔ	MO	abvd	COME	abvd_7_tocome_1
'mɔta	mɔta	MOTA	abvd	CLOUD	-
'mɛla	mɛla	MELA	abvd	NIGHT	abvd_167_night_4
'mɛsni	mɛsni	MESNI	abvd	ONE	abvd_197_one_1
'mɛtni	mɛtni	METNI	abvd	BLACK	abvd_147_black_1
'nafu	nafu	NAPU	abvd	NOSE	abvd_27_nose_70
'nana	nana	NANA	abvd	NAME	abvd_63_name_1
'nani	nani	NANI	abvd	SWIM	abvd_9_toswim_1
'newa	newa	NEWA	abvd	BELLY	abvd_14_belly_6
'nima	nima	NIMA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_7
'nina	nina	NINA	abvd	TOOTH	abvd_31_tooth_1
'niu	niu	NIU	abvd	TAIL	abvd_105_tail_7
'niʔi	niʔi	NIHI	abvd	BITE	abvd_41_tobite_3
'pansa	pansa	PANSA	abvd	WARM	abvd_138_warm_1
'pursi	pursi	PURSI	abvd	ROTTEN	abvd_112_rotten_9?
'pɔʔu	pɔʔu	POHU	abvd	HAIR	abvd_26_hair_8?
'ralma	ralma	RALMA	abvd	IN	abvd_174_ininside_1
'rau	rau	RAU	abvd	EARTH (SOIL)	-
'rawa	rawa	RAWA	abvd	BLOOD	abvd_23_blood_1
'ro	ro	RO	abvd	BONE	abvd_15_bone_2?
'ru	ru	RU	abvd	TWO	abvd_198_two_1
'susu	susu	SUSU	abvd	BREAST	abvd_18_breast_1
'suwa	suwa	SUWA	abvd	SALT	abvd_125_salt_6
'suʔu	suʔu	SUHU	abvd	MOUTH	abvd_30_mouth_31
'sɛrni	sɛrni	SERNI	abvd	HEAR	abvd_44_tohear_8
'ta	ta	TA	abvd	ABOVE	-
'tai	tai	TAI	abvd	SEA	abvd_124_sea_1?
'te	te	TE	abvd	FALL	-
'tɛlu	tɛlu	TELU	abvd	THREE	abvd_199_three_1
'usna	usna	USNA	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
'uʔu	uʔu	UHU	abvd	LOUSE	abvd_108_louse_1
'wa	wa	WA	abvd	THAT	-
'wai	wai	WAI	abvd	FIRE	abvd_143_fire_1
'wama	wama	WAMA	abvd	WIFE	abvd_58_wife_2
'wana	wana	WANA	abvd	THIS	-
'wani	wani	WANI	abvd	WIND	abvd_136_wind_1
'wasu	wasu	WASU	abvd	DOG	abvd_96_dog_1
'watu	watu	WATU	abvd	FOUR	abvd_200_four_1
'wau	wau	WAU	abvd	I	abvd_182_i_1
'wawa	wawa	WAWA	abvd	LIVER	-
'wula	wula	WULA	abvd	SNAKE	abvd_106_snake_2
'wulu	wulu	WULU	abvd	HEAD	abvd_24_head_1
'wɔ	wɔ	WO	abvd	YOU	abvd_186_you_15?
'wɔma	wɔma	WOMA	abvd	HOUSE	abvd_61_house_1?
'wɔni	wɔni	WONI	abvd	GRASS	abvd_118_grass_7?
'wɛnwa	wɛnwa	WENWA	abvd	SAND	abvd_121_sand_1
'wɛru	wɛru	WERU	abvd	WATER	abvd_122_water_2
'wɛʔu	wɛʔu	WEHU	abvd	ROPE	abvd_65_rope_8
'ṇ'tafa	tafa	TAPA	abvd	LEAF	abvd_114_leaf_7?
a'kasni	akasni	AKASNI	abvd	SIT	-
a'prea	aprea	APREA	abvd	SPIT	abvd_36_tospit_9
a'wɔka	awɔka	AWOKA	abvd	ALL	-
an'ti	anti	ANTI	abvd	EAT	-
anuk'mai	anukmai	ANUKMAI	abvd	HOW	abvd_194_how_10
far'fasa	farfasa	PARPASA	abvd	WHITE	abvd_148_white_6
fɛr'fɛru	fɛrfɛru	PERPERU	abvd	NEW	abvd_163_new_1
i'ʔiʔi	iʔiʔi	IHIHI	abvd	MOSQUITO	abvd_109_mosquito_9
la'mai	lamai	LAMAI	abvd	WHERE	abvd_181_where_6
lak'wɔsi	lakwɔsi	LAKWOSI	abvd	YELLOW	-
ma'situ	masitu	MASITU	abvd	COLD	-
maka'reo	makareo	MAKAREO	abvd	DRY	-
mɔs'mɔsa	mɔsmɔsa	MOSMOSA	abvd	GREEN	abvd_151_green_7
mɛl'mɛli	mɛlmɛli	MELMELI	abvd	GOOD	abvd_164_good_13
na'matli	namatli	NAMATLI	abvd	SCRATCH	abvd_77_toscratch_7
naf're	nafre	NAPRE	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_9
ni'mau	nimau	NIMAU	abvd	TONGUE	abvd_32_tongue_6
ni'mina	nimina	NIMINA	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_1
ni'wowa	niwowa	NIWOWA	abvd	ROOT	-
nikata'tuli	nikatatuli	NIKATATULI	abvd	NEAR	abvd_179_near_1?
nikata'tɛmna	nikatatɛmna	NIKATATEMNA	abvd	FAR	abvd_180_far_10?
nikfut'futna	nikfutfutna	NIKPUTPUTNA	abvd	THICK	abvd_157_thick_8
nimnis'nisu	nimnisnisu	NIMNISNISU	abvd	THIN	abvd_156_thin_1
nipla'lapsa	niplalapsa	NIPLALAPSA	abvd	LONG	abvd_155_long_10
pa'tua	patua	PATUA	abvd	OLD	abvd_162_old_1
se'wo	sewo	SEWO	abvd	WHO	abvd_189_who_1
sif'tola	siftola	SIPTOLA	abvd	EGG	abvd_98_egg_1
ta'moʔa	tamoʔa	TAMOHA	abvd	PERSON	abvd_53_personhumanbeing_1
tu'ni	tuni	TUNI	abvd	BURN	abvd_144_toburn_1
tɔn'la	tɔnla	TONLA	abvd	SEE	-
tɛf'tɛfna	tɛftɛfna	TEPTEPNA	abvd	NECK	-
uma'ru	umaru	UMARU	abvd	STAND	abvd_52_tostand_1
wa'kɔʔi	wakɔʔi	WAKOHI	abvd	CHILD	abvd_56_child_4
wa'ti	wati	WATI	abvd	WHAT	-
waila'lo	wailalo	WAILALO	abvd	DRY	-
ɛ'ʔɛta	ɛʔɛta	EHETA	abvd	NO OR NOT	abvd_195_nonot_4
ɛl'ɛla	ɛlɛla	ELELA	abvd	SHARP	abvd_81_sharp_13?
ṇ'fua	fua	PUA	abvd	FRUIT	abvd_117_fruit_1
ṇ'mali	mali	MALI	abvd	LAUGH	abvd_33_tolaugh_3
ṇ'maʔa	maʔa	MAHA	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
ṇ'mina	mina	MINA	abvd	SLEEP	abvd_48_tosleep_4
ṇ'muta	muta	MUTA	abvd	VOMIT	abvd_35_tovomit_1
ṇ'mɛra	mɛra	MERA	abvd	RED	abvd_149_red_1
