Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
adùbiʼíne	ʔædūbiʔīne	HADBIHNE	wikipron	-	-
belísena	belīsenæ	BELSENA	wikipron	-	-
benę̀nuʼúne	benɛ̃̄nuʔūne	BENENUHNE	wikipron	-	-
biną̀greʼéne	binæ̃̄ɡreʔēne	BINAGREHNE	wikipron	-	-
butéyoną	butējɑnæ̃	BUTYANA	wikipron	-	-
bòyiʼína	bɑ̄jiʔīnæ	BAYIHNA	wikipron	-	-
bósuną	bɑ̄sunæ̃	BASUNA	wikipron	-	-
bùtúnena	būtūnenæ	BTNENA	wikipron	-	-
bútoną	būtɑnæ̃	BTANA	wikipron	-	-
cínemą	tʃīnemæ̃	TSNEMA	wikipron	-	-
cʼìliyoʼóna	tʃʔīlijɑʔɑ̄næ	TSHLIYAHANA	wikipron	-	-
cʼìpána	tʃʔīpǣnæ	TSHPNA	wikipron	-	-
cʼóne	tʃʔɑ̄ne	TSHANE	wikipron	-	-
cʼúnena	tʃʔūnenæ	TSHNENA	wikipron	-	-
cʼȁwéna	tʃʔæ̀wēnæ	TSHAWNA	wikipron	-	-
cʼə́olena	tʃʔɤ̄ɑ̄lenæ	TSHALENA	wikipron	-	-
cʼə́otho	tʃʔɤ̄ɑ̄thɑ	TSHATHA	wikipron	-	-
gosulínene	ɡɑsulīnene	GASULNENE	wikipron	-	-
hìwkwíalto	hīwkwīǣltɑ	HWKWLTA	wikipron	-	-
híli	hīli	HLI	wikipron	-	-
hóbo	hɑ̄bɑ	HABA	wikipron	-	-
hónxu	hɑ̄nxu	HANKU	wikipron	-	-
húki	hūki	HKI	wikipron	-	-
húoną	hūɑ̄næ̃	HANA	wikipron	-	-
húwi	hūwi	HWI	wikipron	-	-
húxu	hūxu	HKU	wikipron	-	-
hûmo	hùmɑ	HMA	wikipron	-	-
hûokwimo	hùɑkwimɑ	HAKWIMA	wikipron	-	-
hûtho	hùthɑ	HTHA	wikipron	-	-
hą	hæ̃	HA	wikipron	-	-
hǫ́lpʼȍno	hɑ̃̄lpʔɑ̀nɑ	HALPHANA	wikipron	-	-
hȕthóna	hùthɑ̄næ	HTHANA	wikipron	-	-
hə́olene	hɤ̄ɑ̄lene	HALENE	wikipron	-	-
kayúnena	kæjūnenæ	KAYNENA	wikipron	-	-
kopháne	kɑphǣne	KAPHNE	wikipron	-	-
kuyúna	kujūnæ	KUYNA	wikipron	-	-
kwìawíne	kwīǣwīne	KWWNE	wikipron	-	-
kwíamena	kwīǣmenæ	KWMENA	wikipron	-	-
kwíanena	kwīǣnenæ	KWNENA	wikipron	-	-
kwóna	kwɑ̄næ	KWANA	wikipron	-	-
kwę́ʼogą	kwɛ̃̄ʔɑɡæ̃	KWEHAGA	wikipron	-	-
kwə́lena	kwɤ̄lenæ	KWLENA	wikipron	-	-
ká	kǣ	K	wikipron	-	-
kána	kǣnæ	KNA	wikipron	-	-
káʼȕ	kǣʔù	KH	wikipron	-	-
kònkʼə́obo	kɑ̄nkʔɤ̄ɑ̄bɑ	KANKHABA	wikipron	-	-
kòʼóne	kɑ̄ʔɑ̄ne	KAHANE	wikipron	-	-
kówena	kɑ̄wenæ	KAWENA	wikipron	-	-
kóywona	kɑ̄jwɑnæ	KAYWANA	wikipron	-	-
kə́na	kɤ̄næ	KNA	wikipron	-	-
kə́ona	kɤ̄ɑ̄næ	KANA	wikipron	-	-
kʼȍʼóna	kʔɑ̀ʔɑ̄næ	KHAHANA	wikipron	-	-
kʼə́otho	kɤ̄ɑ̄thɑ	KATHA	wikipron	-	-
láyna	lǣjnæ	LYNA	wikipron	-	-
lílena	līlenæ	LLENA	wikipron	-	-
míalkulisi	mīǣlkulisi	MLKULISI	wikipron	-	-
míalnąsi	mīǣlnæ̃si	MLNASI	wikipron	-	-
míl	mīl	ML	wikipron	-	-
mílą	mīlæ̃	MLA	wikipron	-	-
mą̀kupòpóna	mæ̃̄kupɑ̄pɑ̄næ	MAKUPAPANA	wikipron	-	-
nábahuna	nǣbæhunæ	NBAHUNA	wikipron	-	-
ną	næ̃	NA	wikipron	-	-
ną̀phę́tho	næ̃̄phẽ̄thɑ	NAPHTHA	wikipron	-	-
