Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
afi	afi	API	abvd	THINK	-
afu	afu	APU	abvd	DUST	abvd_11_dust_1
ai	ai	AI	abvd	STICK	abvd_79_stickwood_1
alu	alu	ALU	abvd	SHOULDER	-
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
ami	ami	AMI	abvd	WE	abvd_185_we_2
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
ani	ani	ANI	abvd	WIND	abvd_136_wind_1
asa	asa	ASA	abvd	BUY	abvd_91_tobuy_31?
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
au	au	AU	abvd	I	abvd_182_i_1
aŋe	ae	AE	abvd	SWIM	abvd_9_toswim_1
bafa	bafa	BAPA	abvd	MOUTH	abvd_30_mouth_1
basa	basa	BASA	abvd	ALL	-
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
baʔe	baʔe	BAHE	abvd	BRANCH	-
bela	bela	BELA	abvd	HEAVY	abvd_142_heavy_1?
beu	beu	BEU	abvd	NEW	abvd_163_new_1
bi	bi	BI	abvd	FEAR (BE AFRAID)	-
biʔa	biʔa	BIHA	abvd	NARROW	-
boa	boa	BOA	abvd	FRUIT	abvd_117_fruit_1
bolau	bolau	BOLAU	abvd	SPIDER	-
bula	bula	BULA	abvd	MOON	abvd_129_moon_1
bulu	bulu	BULU	abvd	FEATHER	abvd_99_feather_1
buluk	buluk	BULUK	abvd	KNOW (SOMETHING)	-
buna	buna	BUNA	abvd	FLOWER	abvd_116_flower_1
busa	busa	BUSA	abvd	DOG	-
bè	b	B	abvd	WHERE	abvd_181_where_2
da	da	DA	abvd	BLOOD	abvd_23_blood_1
dae	dae	DAE	abvd	EARTH (SOIL)	abvd_119_earthsoil_4?
dale	dale	DALE	abvd	IN	abvd_174_ininside_1
dano	dano	DANO	abvd	LAKE	abvd_126_lake_1
daŋa	daa	DAA	abvd	HUNT	-
dea	dea	DEA	abvd	BACK	-
dei	dei	DEI	abvd	STAND	abvd_52_tostand_1
diʔi do	diʔido	DIHIDO	abvd	EAR	-
do	do	DO	abvd	THINK	-
dodo	dodo	DODO	abvd	KILL	-
dua	dua	DUA	abvd	TWO	abvd_198_two_1
dui	dui	DUI	abvd	BONE	abvd_15_bone_2?
dòe	de	DE	abvd	WET	-
ei	ei	EI	abvd	FOOT OR LEG	abvd_4_legfoot_1
emi	emi	EMI	abvd	YOU	abvd_186_you_1
eno	eno	ENO	abvd	PATH OR ROAD	-
esa	esa	ESA	abvd	ONE	abvd_197_one_1
fa	fa	PA	abvd	FLOW	abvd_123_toflow_9?
fai	fai	PAI	abvd	DAY (NOT NIGHT)	-
fai hida	faihida	PAIHIDA	abvd	WHEN	abvd_170_when_1
falu	falu	PALU	abvd	EIGHT	abvd_204_eight_3
feʔek	feʔek	PEHEK	abvd	OTHER	-
fu	fu	PU	abvd	BLOW (OF WIND)	abvd_137_toblow_5
fula	fula	PULA	abvd	WHITE	abvd_148_white_3?
funi	funi	PUNI	abvd	HIDE	abvd_171_tohide_1
ha	ha	HA	abvd	FOUR	abvd_200_four_1
hae	hae	HAE	abvd	BREATHE	-
hanas	hanas	HANAS	abvd	WARM	abvd_138_warm_1
hata	hata	HATA	abvd	WHAT	-
hataholi	hataholi	HATAHOLI	abvd	PERSON	abvd_53_personhumanbeing_1
he	he	HE	abvd	SQUEEZE	abvd_88_tosqueeze_1
hedis	hedis	HEDIS	abvd	PAINFUL OR SICK	-
hika	hika	HIKA	abvd	LAUGH	abvd_33_tolaugh_6?
hitu	hitu	HITU	abvd	SEVEN	abvd_203_seven_1
huka	huka	HUKA	abvd	OPEN	abvd_92_toopenuncover_1?
h|aʔi	haʔi	HAHI	abvd	FIRE	abvd_143_fire_1
hèle	hle	HLE	abvd	CHOOSE	abvd_85_tochoose_1?
ia	ia	IA	abvd	THIS	abvd_177_this_11
iko	iko	IKO	abvd	TAIL	abvd_105_tail_1
ina	ina	INA	abvd	FEMALE PERSON	abvd_55_womanfemale_38
isi	isi	ISI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
ita	ita	ITA	abvd	WE	abvd_185_we_1
iʔa|k	iʔak	IHAK	abvd	FISH	abvd_111_fish_1
ka	ka	KA	abvd	BITE	abvd_41_tobite_1
kakalu	kakalu	KAKALU	abvd	SCRATCH	abvd_77_toscratch_44
kalati|k	kalatik	KALATIK	abvd	WORM	abvd_107_wormearthworm_1
kali	kali	KALI	abvd	DIG	abvd_90_todig_1
keke	keke	KEKE	abvd	HIDE	-
keʔu	keʔu	KEHU	abvd	SHORT	-
ki	ki	KI	abvd	LEFT	abvd_2_left_1?
kikik	kikik	KIKIK	abvd	CRY	-
kona	kona	KONA	abvd	RIGHT	abvd_3_right_1
kou	kou	KOU	abvd	SHOOT	-
koʔa	koʔa	KOHA	abvd	CLOUD	-
la	la	LA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_2
