Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-bailar-	bailar	BAILAR	abvd	LIE DOWN	-
-naŋan sera-	naansera	NAANSERA	abvd	THINK	-
-ɸarɔŋ	ɸarɔ	PARO	abvd	ALL	-
abay	abay	ABAU	abvd	FOOT OR LEG	abvd_4_legfoot_38
akal-	akal	AKAL	abvd	NECK	abvd_25_neck_119
akay	akay	AKAU	abvd	CLIMB	-
akil	akil	AKIL	abvd	NECK	abvd_25_neck_119
alemlema	alemlema	ALEMLEMA	abvd	RIGHT	abvd_3_right_2
alêmalêma	almalma	ALMALMA	abvd	RIGHT	abvd_3_right_2
ama-	ama	AMA	abvd	FATHER	abvd_60_father_1
amay	amay	AMAU	abvd	FATHER	abvd_60_father_1
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
anat	anat	ANAT	abvd	CHILD	abvd_56_child_1
apukay	apukay	APUKAU	abvd	OTHER	-
areran	areran	ARERAN	abvd	BIRD	abvd_97_bird_60
arêran	arran	ARRAN	abvd	BIRD	abvd_97_bird_60
ataʤô	ataʤ	ATA	abvd	ABOVE	-
ay ɸaɸay	ayɸaɸay	AUPAPAU	abvd	YAWN	-
aéy	ay	AU	abvd	WIFE	abvd_58_wife_1
aŋapŋapa	aapapa	AAPAPA	abvd	LEFT	abvd_2_left_3
aŋaɸaŋaɸa	aaɸaaɸa	AAPAAPA	abvd	LEFT	abvd_2_left_3
aɛy	aɛy	AEU	abvd	HUSBAND	abvd_57_husband_2
aɸúk	aɸk	APK	abvd	OTHER	-
ba	ba	BA	abvd	WHAT	-
bay	bay	BAU	abvd	WHO	-
bebar	bebar	BEBAR	abvd	FEAR (BE AFRAID)	abvd_22_tofear_3
beir	beir	BEIR	abvd	RED	-
bot	bot	BOT	abvd	HOUSE	abvd_61_house_64
bubin	bubin	BUBIN	abvd	SWELL	abvd_87_toswell_59
bugin	bugin	BUGIN	abvd	SWELL	-
bôl	bl	BL	abvd	EARTH (SOIL)	-
bôrar	brar	BRAR	abvd	SMALL	-
bôt	bt	BT	abvd	HOUSE	abvd_61_house_64
bôy	by	BU	abvd	FATHER	-
bɔ	bɔ	BO	abvd	BREAST	-
bɛir	bɛir	BEIR	abvd	RED	-
den	den	DEN	abvd	NEAR	-
dubám	dubm	DUBM	abvd	SEVEN	abvd_203_seven_20
dum	dum	DUM	abvd	SIX	abvd_202_six_41
dên	dn	DN	abvd	NEAR	-
dôw suay	dwsuay	DWSUAU	abvd	NARROW	-
dɛkir	dɛkir	DEKIR	abvd	DRY	-
e	e	E	abvd	AT	abvd_173_at_1
e papa	epapa	EPAPA	abvd	BELOW OR UNDER	abvd_176_below_1
e tit	etit	ETIT	abvd	ABOVE	-
efar	efar	EPAR	abvd	CLOUD	-
elaǰir	elair	ELAIR	abvd	WHITE	-
enen	enen	ENEN	abvd	WIND	abvd_136_wind_1
epir	epir	EPIR	abvd	GOOD	-
era	era	ERA	abvd	THEY	abvd_187_they_1
ertêr	ertr	ERTR	abvd	WALK	abvd_5_towalk_73
et	et	ET	abvd	STAB	abvd_71_tostabpierce_85
etabáy	etaby	ETABU	abvd	HIT	abvd_72_tohit_89
etakokow	etakokow	ETAKOKOW	abvd	NARROW	abvd_158_narrow_3
eyabil	eyabil	EUABIL	abvd	IN	abvd_174_ininside_2
gadar	gadar	GADAR	abvd	TAIL	-
gakir	gakir	GAKIR	abvd	ROOT	abvd_115_root_2
galáy	galy	GALU	abvd	HOUSE	abvd_61_house_65
gar	gar	GAR	abvd	WATER	abvd_122_water_2
gasirana	gasirana	GASIRANA	abvd	OLD	-
gasua	gasua	GASUA	abvd	CHILD	abvd_56_child_1
gaybun	gaybun	GAUBUN	abvd	BIG	-
gaybún	gaybn	GAUBN	abvd	BIG	-
goin	goin	GOIN	abvd	FLOWER	-
goy	goy	GOU	abvd	BE DEAD OR DIE	abvd_75_todiebedead_38
goyan	goyan	GOUAN	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
goyar	goyar	GOUAR	abvd	HUNT	-
guk	guk	GUK	abvd	SUCK	abvd_42_tosuck_35
gul	gul	GUL	abvd	HAIR	abvd_26_hair_3?
gun	gun	GUN	abvd	BLOOD	abvd_23_blood_57
gur	gur	GUR	abvd	GRASS	abvd_118_grass_6
gôyan	gyan	GUAN	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
gɔa	gɔa	GOA	abvd	FLOWER	-
iboka	iboka	IBOKA	abvd	DREAM (SOMETHING)	abvd_50_todream_56
ibuka	ibuka	IBUKA	abvd	DREAM (SOMETHING)	abvd_50_todream_56
ibɛbar	ibɛbar	IBEBAR	abvd	FEAR (BE AFRAID)	abvd_22_tofear_3
igoy	igoy	IGOU	abvd	BE DEAD OR DIE	abvd_75_todiebedead_38
iguk	iguk	IGUK	abvd	SUCK	abvd_42_tosuck_35
igutak	igutak	IGUTAK	abvd	SUCK	abvd_42_tosuck_35
igôl	igl	IGL	abvd	HUNT	abvd_69_tohunt_82
ika	ika	IKA	abvd	EAT	abvd_37_toeat_1
ikalaw	ikalaw	IKALAW	abvd	LIGHTNING	abvd_135_lightning_1
ikara	ikara	IKARA	abvd	BITE	abvd_41_tobite_1
ikêl	ikl	IKL	abvd	BUY	abvd_91_tobuy_58
ikɛl	ikɛl	IKEL	abvd	DIG	abvd_90_todig_1
ilaba	ilaba	ILABA	abvd	SPLIT	abvd_80_tosplit_78
ilola	ilola	ILOLA	abvd	SPLIT	-
imama	imama	IMAMA	abvd	CHEW	abvd_38_tochew_1
imá	im	IM	abvd	COME	abvd_7_tocome_1
imɛl	imɛl	IMEL	abvd	LAUGH	abvd_33_tolaugh_3
inaka	inaka	INAKA	abvd	SAY	abvd_64_tosay_148
inin	inin	ININ	abvd	SLEEP	abvd_48_tosleep_4
inun	inun	INUN	abvd	DRINK	abvd_40_todrink_1
inɔŋaw	inɔaw	INOAW	abvd	STEAL	abvd_73_tosteal_1
inɛr	inɛr	INER	abvd	SPIT	abvd_36_tospit_14
inɛŋ	inɛ	INE	abvd	SWIM	abvd_9_toswim_1
irua	irua	IRUA	abvd	PLANT (SOMETHING)	abvd_84_toplant_34
isur	isur	ISUR	abvd	STAB	abvd_71_tostabpierce_86
isɛl	isɛl	ISEL	abvd	FASTEN	abvd_66_totieupfasten_114
italar	italar	ITALAR	abvd	SIT	abvd_51_tosit_4
itara	itara	ITARA	abvd	SPLIT	-
itopaʔ	itopaʔ	ITOPAH	abvd	THUNDER	-
itut	itut	ITUT	abvd	POUND	abvd_93_topoundbeat_2
itɛn	itɛn	ITEN	abvd	CRY	abvd_34_tocry_1
iɸara	iɸara	IPARA	abvd	BURN	-
iɸun	iɸun	IPUN	abvd	KILL	abvd_74_tokill_1
iɸɛy	iɸɛy	IPEU	abvd	OPEN	abvd_92_toopenuncover_68
iʤôw	iʤw	IW	abvd	BLOW (OF WIND)	-
iʤɔw	iʤɔw	IOW	abvd	SEE	abvd_46_tosee_113
iʤɛy	iʤɛy	IEU	abvd	SEW	abvd_67_tosew_2
ka	ka	KA	abvd	FOUR	abvd_200_four_2
kabelir	kabelir	KABELIR	abvd	TONGUE	abvd_32_tongue_8
kabɛlir	kabɛlir	KABELIR	abvd	TONGUE	abvd_32_tongue_8
kalakalaw	kalakalaw	KALAKALAW	abvd	LIGHTNING	-
kalay	kalay	KALAU	abvd	SKIN	abvd_12_skin_1
kaley	kaley	KALEU	abvd	SKIN	abvd_12_skin_1
kama	kama	KAMA	abvd	WE	abvd_185_we_2
kamarey	kamarey	KAMAREU	abvd	SHY OR ASHAMED	-
kamarɛyna	kamarɛyna	KAMAREUNA	abvd	SHY OR ASHAMED	-
kara	kara	KARA	abvd	BITE	abvd_41_tobite_1
karaŋur	karaur	KARAUR	abvd	CHEW	-
kardakil	kardakil	KARDAKIL	abvd	SMALL	-
karoin	karoin	KAROIN	abvd	OLD	-
kartow	kartow	KARTOW	abvd	RAT	abvd_102_rat_79
kartɔw	kartɔw	KARTOW	abvd	RAT	abvd_102_rat_79
karǰá	kar	KAR	abvd	WORK (ACTIVITY)	abvd_83_towork_23
kaser	kaser	KASER	abvd	SCRATCH	abvd_77_toscratch_83
kaut	kaut	KAUT	abvd	BAD OR EVIL	abvd_165_badevil_1?
kaɸal sɛysɛy	kaɸalsɛysɛy	KAPALSEUSEU	abvd	CLOUD	-
kel	kel	KEL	abvd	DIG	abvd_90_todig_1
kem	kem	KEM	abvd	YOU	abvd_186_you_1
