Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
аал	aːɫ	AL	wikipron	-	-
аар	aːr	AR	wikipron	-	-
аарыг	aːrɯɣ	ARUG	wikipron	-	-
аарыыр	aːrɯːr	ARUR	wikipron	-	-
аас	ɐːs	AS	wikipron	-	-
ава	aβa	ABA	wikipron	-	-
авырал	aβɯraɫ	ABURAL	wikipron	-	-
агаар	ɐɡ̠ɐːɾ	AGAR	wikipron	-	-
агаарлаар	aɣaːrlaːr	AGARLAR	wikipron	-	-
адаар	adaːr	ADAR	wikipron	-	-
адыг	ɐdɤɡ̠	ADG	wikipron	-	-
ажар	ɐ̰ʒɐɾ	ASAR	wikipron	-	-
ажык	aʒɯq	ASUK	wikipron	-	-
ажыл	aʒɯɫ	ASUL	wikipron	-	-
аза	aza	ASA	wikipron	-	-
Азия	azɪja	ASIYA	wikipron	-	-
азы	azɯ	ASU	wikipron	-	-
ай	ɐj	AY	wikipron	-	-
айыыл	ajɯːɫ	AYUL	wikipron	-	-
ак	aq	AK	wikipron	-	-
акша	ɐ̰k̠ʃɐ	AKSA	wikipron	-	-
акша	ɐ̰ʃk̠ɐ	ASKA	wikipron	-	-
акша	ɐ̰ʃx̠ɐ	ASKA	wikipron	-	-
акы	ɐk̠k̠ɤ	AKK	wikipron	-	-
акы	ɐ̰k̠k̠ɤ	AKK	wikipron	-	-
Алдай	ɐldɐj	ALDAY	wikipron	-	-
алдан	ɐ̰ldɐn	ALDAN	wikipron	-	-
алды	ɐ̰ldɤ	ALD	wikipron	-	-
алдыгы	aɫdɯʁɯ	ALDURU	wikipron	-	-
алдын	ɐ̰ldɤn	ALDN	wikipron	-	-
амдыызында	amdɯːzɯnda	AMDUSUNDA	wikipron	-	-
амыдыраар	ɐmɤdɤrɐːr	AMDRAR	wikipron	-	-
амыр	ɐmɤr	AMR	wikipron	-	-
амыраар	amɯraːr	AMURAR	wikipron	-	-
амытан	ɐmɤtɐn	AMTAN	wikipron	-	-
анаа	anaː	ANA	wikipron	-	-
аныяк	anɯjaq	ANUYAK	wikipron	-	-
апаар	apaːr	APAR	wikipron	-	-
апрель	ɐpreˑlʲ	APREL	wikipron	-	-
арага	araɣa	ARAGA	wikipron	-	-
арат	ɐrɐt	ARAT	wikipron	-	-
арга	arɣa	ARGA	wikipron	-	-
ары	ɐɾɤ	AR	wikipron	-	-
арыг	ɐɾɤɡ̠	ARG	wikipron	-	-
арын	arɯn	ARUN	wikipron	-	-
ат	at	AT	wikipron	-	-
ача	ɐt͡ʃɐ	ASA	wikipron	-	-
ашак	aʃaq	ASAK	wikipron	-	-
аэропорт	ae̞rɔpɔrt	AEROPORT	wikipron	-	-
аң	aŋ	AN	wikipron	-	-
аңгы	aŋɡɯ	ANGU	wikipron	-	-
аңнаар	aŋnaːr	ANNAR	wikipron	-	-
баар	paːr	PAR	wikipron	-	-
багай	paʁaj	PARAY	wikipron	-	-
база	bɐzɐ	BASA	wikipron	-	-
бай	paj	PAY	wikipron	-	-
байы	bajɯ	BAYU	wikipron	-	-
байырлыг	pajɤɾlɤʁ	PAYRLR	wikipron	-	-
байыыр	bɐjɤːɾ	BAYR	wikipron	-	-
балыг	palɯʁ	PALUR	wikipron	-	-
балык	bɐlɤk̠	BALK	wikipron	-	-
барыын	paɾɯːn	PARUN	wikipron	-	-
баш	pǎʃ	PS	wikipron	-	-
баштай	bɐʃtɐj	BASTAY	wikipron	-	-
баштайгы	bɐʃtɐjɡ̠ɤ	BASTAYG	wikipron	-	-
бе	be̞	BE	wikipron	-	-
бежен	beʒen	BESEN	wikipron	-	-
белен	pɛlɛn	PELEN	wikipron	-	-
берге	pɛrɣɛ	PERGE	wikipron	-	-
бертен	bérten	BRTEN	wikipron	-	-
беш	pɛʃ	PES	wikipron	-	-
бешки	pɛʃkɪ	PESKI	wikipron	-	-
бижек	pɪʒe̞q	PISEK	wikipron	-	-
бижиир	pɪʒɪːɾ	PISIR	wikipron	-	-
биле	bɪle	BILE	wikipron	-	-
билир	pɪlɪr	PILIR	wikipron	-	-
бир	bɪr	BIR	wikipron	-	-
бирги	pɪrɣɪ	PIRGI	wikipron	-	-
бичии	pɪt͡ʃɪː	PISI	wikipron	-	-
бо	pɔ	PO	wikipron	-	-
бодаар	pɔdaːr	PODAR	wikipron	-	-
бодум	bodum	BODUM	wikipron	-	-
бойдус	pɔjdʊs	POYDUS	wikipron	-	-
бок	pɔq	POK	wikipron	-	-
болгаш	pɔlɡaʃ	POLGAS	wikipron	-	-
болур	pɔlʊr	POLUR	wikipron	-	-
боо	boː	BO	wikipron	-	-
боостаа	pɔːstaː	POSTA	wikipron	-	-
бош	pɔʃ	POS	wikipron	-	-
будук	pʊdʊq	PUDUK	wikipron	-	-
булут	pʊɫʊt	PULUT	wikipron	-	-
Бурган	pʊrɢan	PURGAN	wikipron	-	-
бурунгаар	pʊrʊŋɢaːr	PURUNGAR	wikipron	-	-
буруу	pʊrʊː	PURU	wikipron	-	-
буряттаар	buɾʲɑˑtːɑːɾ	BURATAR	wikipron	-	-
бут	pʊt	PUT	wikipron	-	-
быштак	pɯʃtaq	PUSTAK	wikipron	-	-
