Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-an	an	AN	abvd	SHOOT	abvd_70_toshoot_1
-bukau	bukau	BUKAU	abvd	DREAM (SOMETHING)	abvd_50_todream_56
-fay	fay	PAU	abvd	OPEN	abvd_92_toopenuncover_68
-ka	ka	KA	abvd	EAT	abvd_37_toeat_1
-koiba	koiba	KOIBA	abvd	HOW	-
-manam	manam	MANAM	abvd	EAT	abvd_37_toeat_49
-na	na	NA	abvd	AT	abvd_173_at_13
-nes	nes	NES	abvd	COOK (SOMETHING)	abvd_39_tocook_3
...ata	ata	ATA	abvd	EYE	abvd_45_eye_1
a-bafa	abafa	ABAPA	abvd	SWELL	abvd_87_toswell_59
a-buar	abuar	ABUAR	abvd	TURN	abvd_8_toturn_1
a-fan	afan	APAN	abvd	FALL	abvd_95_tofall_6
a-fasi	afasi	APASI	abvd	DIG	abvd_90_todig_51
a-fayŋayn	afayayn	APAUAUN	abvd	SAY	-
a-fe da jeri	afedajeri	APEDAYERI	abvd	BREATHE	-
a-feta	afeta	APETA	abvd	SPLIT	abvd_80_tosplit_77
a-fun	afun	APUN	abvd	KILL	abvd_74_tokill_1
a-jaŋ	aja	AYA	abvd	BITE	-
a-juʔ	ajuʔ	AYUH	abvd	BLOW (OF WIND)	abvd_137_toblow_37
a-kalola-na	akalolana	AKALOLANA	abvd	LIE DOWN	-
a-katam	akatam	AKATAM	abvd	SQUEEZE	-
a-koljaka	akoljaka	AKOLYAKA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_47
a-kətíʔ	akətʔ	AKETH	abvd	SCRATCH	abvd_77_toscratch_83
a-mamuta	amamuta	AMAMUTA	abvd	VOMIT	abvd_35_tovomit_1
a-manam	amanam	AMANAM	abvd	EAT	abvd_37_toeat_49
a-matau	amatau	AMATAU	abvd	SHY OR ASHAMED	-
a-mel	amel	AMEL	abvd	LAUGH	abvd_33_tolaugh_3
a-máfa|u	amfau	AMPAU	abvd	YAWN	abvd_47_toyawn_19
a-nen	anen	ANEN	abvd	SLEEP	abvd_48_tosleep_4
a-niʔ	aniʔ	ANIH	abvd	SPIT	abvd_36_tospit_14
a-rekan	arekan	AREKAN	abvd	COUNT	-
a-reŋ|ay	areay	AREAU	abvd	HEAR	abvd_44_tohear_1
a-sawi	asawi	ASAWI	abvd	CUT OR HACK	abvd_78_tocuthack_109
a-tafak	atafak	ATAPAK	abvd	STAB	abvd_71_tostabpierce_90
a-tal|ay	atalay	ATALAU	abvd	SIT	abvd_51_tosit_4
a-tamari	atamari	ATAMARI	abvd	STAND	abvd_52_tostand_3
a-to	ato	ATO	abvd	SEE	abvd_46_tosee_113
a-utuk	autuk	AUTUK	abvd	SUCK	abvd_42_tosuck_35
a:takoal	atakoal	ATAKOAL	abvd	NARROW	abvd_158_narrow_3
abu	abu	ABU	abvd	ASH	abvd_146_ashes_1
afau	afau	APAU	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_71
ai	ai	AI	abvd	FOOT OR LEG	abvd_4_legfoot_1
ai so:kai	aisokai	AISOKAI	abvd	HUNT	abvd_69_tohunt_81
ai-	ai	AI	abvd	FOOT OR LEG	abvd_4_legfoot_1
ai-nen	ainen	AINEN	abvd	SWIM	abvd_9_toswim_1
ai-tai	aitai	AITAI	abvd	FLOW	-
ai-tof	aitof	AITOP	abvd	WET	-
aibata kau	aibatakau	AIBATAKAU	abvd	LIGHTNING	-
aijel	aijel	AIYEL	abvd	THROW	-
aiwaku	aiwaku	AIWAKU	abvd	DIRTY	-
ak	ak	AK	abvd	I	abvd_182_i_1
ak kana	akkana	AKKANA	abvd	SHOOT	abvd_70_toshoot_1
akamai	akamai	AKAMAI	abvd	ALL	-
akamáy	akamy	AKAMU	abvd	ALL	-
akaw|ay	akaway	AKAWAU	abvd	FASTEN	abvd_66_totieupfasten_115
ama-	ama	AMA	abvd	FATHER	abvd_60_father_1
ana abil	anaabil	ANAABIL	abvd	IN	abvd_174_ininside_2
