Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abu	abu	ABU	abvd	ASH	abvd_146_ashes_1
ama	ama	AMA	abvd	MOTHER	-
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
andoa	andoa	ANDOA	abvd	THEY	abvd_187_they_12
ane	ane	ANE	abvd	AND	-
anekotuhu	anekotuhu	ANEKOTUHU	abvd	IF	-
anoa	anoa	ANOA	abvd	HE OR SHE	abvd_184_heshe_12
anoamo	anoamo	ANOAMO	abvd	CORRECT (RIGHT)	-
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
ato	ato	ATO	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
aʔe	aʔe	AHE	abvd	FOOT OR LEG	abvd_4_legfoot_1
buku	buku	BUKU	abvd	BONE	abvd_15_bone_16
buxaŋasi	buxaasi	BUKAASI	abvd	DUST	-
danaw	danaw	DANAW	abvd	LAKE	abvd_126_lake_1
fae	fae	PAE	abvd	WHAT	-
foču	fou	POU	abvd	HEAD	abvd_24_head_14
gara	gara	GARA	abvd	SALT	abvd_125_salt_18
gaxa	gaxa	GAKA	abvd	SALT	-
gaβu	gau	GAU	abvd	DUST	abvd_11_dust_1
gunču	gunu	GUNU	abvd	THUNDER	-
habu	habu	HABU	abvd	ASH	abvd_146_ashes_1
hahe	hahe	HAHE	abvd	FOOT OR LEG	abvd_4_legfoot_1
hate	hate	HATE	abvd	LIVER	abvd_17_liver_1
hato	hato	HATO	abvd	THATCH OR ROOF	-
hindeletu	hindeletu	HINDELETU	abvd	WORM	-
hise	hise	HISE	abvd	RAIN (PRECIPITATION)	-
holeo	holeo	HOLEO	abvd	DAY (NOT NIGHT)	-
hoβea	hoea	HOEA	abvd	SHOULDER	-
humbo	humbo	HUMBO	abvd	SMOKE (EXHAUST)	abvd_145_smoke_34
huteli	huteli	HUTELI	abvd	EGG	-
ina	ina	INA	abvd	FATHER	-
inoi	inoi	INOI	abvd	I	-
insami	insami	INSAMI	abvd	WE	-
insimiu	insimiu	INSIMIU	abvd	YOU	-
intano	intano	INTANO	abvd	WE	-
inčuču	inuu	INUU	abvd	THOU	-
ioe	ioe	IOE	abvd	WATER	-
ise	ise	ISE	abvd	RAIN (PRECIPITATION)	-
isintu	isintu	ISINTU	abvd	WE	-
isuntu	isuntu	ISUNTU	abvd	THOU	-
iʔi	iʔi	IHI	abvd	FLESH OR MEAT	-
kaampo	kaampo	KAAMPO	abvd	FOREST	-
kaeɗeeɗe	kaeɗeeɗe	KAEDEEDE	abvd	BAD OR EVIL	-
kaiɗo	kaiɗo	KAIDO	abvd	GREEN	-
kakiɗi	kakiɗi	KAKIDI	abvd	SMALL	-
kambea	kambea	KAMBEA	abvd	FLOWER	-
kambeambea	kambeambea	KAMBEAMBEA	abvd	STAR	-
kamokula	kamokula	KAMOKULA	abvd	OLD	abvd_162_old_24
karaha	karaha	KARAHA	abvd	BRANCH	-
karuku	karuku	KARUKU	abvd	FOREST	-
kasoxumba	kasoxumba	KASOKUMBA	abvd	NEEDLE (FOR SEWING)	-
kau	kau	KAU	abvd	STICK	abvd_79_stickwood_1
kaxaʔa	kaxaʔa	KAKAHA	abvd	BRANCH	-
kaɓere	kaɓere	KABERE	abvd	EARTH (SOIL)	abvd_119_earthsoil_14
kaɗea	kaɗea	KADEA	abvd	RED	-
kaɗokaɗola	kaɗokaɗola	KADOKADOLA	abvd	BIRD	-
kaβea	kaea	KAEA	abvd	WIND	-
kema	kema	KEMA	abvd	LEFT	abvd_2_left_33
kenta	kenta	KENTA	abvd	FISH	abvd_111_fish_22
kila	kila	KILA	abvd	LIGHTNING	abvd_135_lightning_1
kolola	kolola	KOLOLA	abvd	SPIDER	-
kololaa	kololaa	KOLOLAA	abvd	SPIDER	-
komea	komea	KOMEA	abvd	SAND	-
kona	kona	KONA	abvd	NAME	-
kotandu	kotandu	KOTANDU	abvd	MOSQUITO	-
koɓariɓarie	koɓariɓarie	KOBARIBARIE	abvd	ALL	-
kuli	kuli	KULI	abvd	SKIN	abvd_12_skin_1
kundalo	kundalo	KUNDALO	abvd	SEA	-
lafae	lafae	LAPAE	abvd	WHO	-
lahae	lahae	LAHAE	abvd	WHO	-
laiano	laiano	LAIANO	abvd	SKY	-
laiyano	laiyano	LAIUANO	abvd	SKY	-
lambu	lambu	LAMBU	abvd	HOUSE	abvd_61_house_19
lela	lela	LELA	abvd	TONGUE	abvd_32_tongue_4
lensi	lensi	LENSI	abvd	TAIL	-
lim apulu	limapulu	LIMAPULU	abvd	FIFTY	-
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
lima fulu	limafulu	LIMAPULU	abvd	FIFTY	-
limpo	limpo	LIMPO	abvd	TOOTH	-
liɗima	liɗima	LIDIMA	abvd	FIVE	-
mantoa	mantoa	MANTOA	abvd	DOG	-
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
meena	meena	MEENA	abvd	NO OR NOT	-
mekapera	mekapera	MEKAPERA	abvd	SPIT	-
menahu	menahu	MENAHU	abvd	COOK (SOMETHING)	-
metaa	metaa	METAA	abvd	GOOD	-
mie	mie	MIE	abvd	PERSON	abvd_53_personhumanbeing_19
minsau	minsau	MINSAU	abvd	RAT	-
mohane	mohane	MOHANE	abvd	MALE PERSON	-
mohaneno	mohaneno	MOHANENO	abvd	HUSBAND	-
mohono	mohono	MOHONO	abvd	HUNDRED	-
moini	moini	MOINI	abvd	THIS	-
moitu	moitu	MOITU	abvd	THAT	-
moʔane	moʔane	MOHANE	abvd	MALE PERSON	abvd_54_manmale_1
moʔaneno	moʔaneno	MOHANENO	abvd	HUSBAND	-
moʔono	moʔono	MOHONO	abvd	HUNDRED	-
naifie	naifie	NAIPIE	abvd	WHEN	abvd_170_when_1
naipie	naipie	NAIPIE	abvd	WHEN	abvd_170_when_1
naiŋkefae	naikefae	NAIKEPAE	abvd	HOW	-
naiŋkehae	naikehae	NAIKEHAE	abvd	HOW	-
nde	nde	NDE	abvd	AT	-
