Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ain	ain	AIN	abvd	EAT	abvd_37_toeat_1
-alos	alos	ALOS	abvd	SWIM	abvd_9_toswim_8
-an	an	AN	abvd	EAT	abvd_37_toeat_1
-atˢanim	atanim	ATANIM	abvd	FALL	abvd_95_tofall_57
-atˢi	ati	ATI	abvd	BITE	abvd_41_tobite_1
-aˀin	ain	AIN	abvd	EAT	abvd_37_toeat_1
-aβi	ai	AI	abvd	COUNT	abvd_196_tocount_70
-bato	bato	BATO	abvd	BLUNT	abvd_82_dullblunt_15
-dli	dli	DLI	abvd	DIG	abvd_90_todig_1
-eli	eli	ELI	abvd	DIG	abvd_90_todig_1
-eloŋ	elo	ELO	abvd	SWIM	abvd_9_toswim_76
-eltoβ	elto	ELTO	abvd	SPIT	abvd_36_tospit_37
-eltœβ	elt	ELT	abvd	SPIT	abvd_36_tospit_37
-etˢintˢin	etintin	ETINTIN	abvd	HIT	abvd_72_tohit_41
-eβe	ee	EE	abvd	COUNT	abvd_196_tocount_70
-eβei sowim	eeisowim	EEISOWIM	abvd	BREATHE	abvd_28_tobreathe_79
-ili	ili	ILI	abvd	DIG	abvd_90_todig_1
-in	in	IN	abvd	BURN	abvd_144_toburn_40
-inma	inma	INMA	abvd	YAWN	abvd_47_toyawn_36
-iwel	iwel	IWEL	abvd	WALK	abvd_5_towalk_10
-kai	kai	KAI	abvd	FASTEN	abvd_66_totieupfasten_93
-kari	kari	KARI	abvd	SPLIT	abvd_80_tosplit_4
-kol	kol	KOL	abvd	FLOW	abvd_123_toflow_62
-kəmʷi	kəmi	KEMI	abvd	SUCK	abvd_42_tosuck_17
-lai	lai	LAI	abvd	HOLD	abvd_89_tohold_71
-lalo	lalo	LALO	abvd	DIRTY	abvd_10_dirty_6
-lalos	lalos	LALOS	abvd	SWIM	abvd_9_toswim_8
-lalœs	lals	LALS	abvd	SWIM	abvd_9_toswim_8
-lavorotun	lavorotun	LABOROTUN	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_37
-laβurutun	laurutun	LAURUTUN	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_37
-lek	lek	LEK	abvd	SIT	abvd_51_tosit_110
-lesi	lesi	LESI	abvd	SEE	abvd_46_tosee_14
-leβ	le	LE	abvd	FLOW	abvd_123_toflow_58
-lik	lik	LIK	abvd	SIT	abvd_51_tosit_110
-lisi	lisi	LISI	abvd	SEE	abvd_46_tosee_14
-liwe	liwe	LIWE	abvd	SHOOT	abvd_70_toshoot_15
-loŋ	lo	LO	abvd	SWIM	abvd_9_toswim_76
-ltur	ltur	LTUR	abvd	SPIT	abvd_36_tospit_37
-ltʉ	ltʉ	LTU	abvd	SPIT	abvd_36_tospit_37
-lu	lu	LU	abvd	VOMIT	abvd_35_tovomit_8
-lue	lue	LUE	abvd	SHOOT	abvd_70_toshoot_15
-lulu	lulu	LULU	abvd	VOMIT	abvd_35_tovomit_8
-lutou	lutou	LUTOU	abvd	SPIT	abvd_36_tospit_37
-lutu	lutu	LUTU	abvd	SPIT	abvd_36_tospit_37
-lutuw	lutuw	LUTUW	abvd	SPIT	abvd_36_tospit_37
-lutʉß	lutʉ	LUTU	abvd	SPIT	abvd_36_tospit_37
-luwe	luwe	LUWE	abvd	SHOOT	abvd_70_toshoot_15
-lɛp	lɛp	LEP	abvd	BIG	abvd_153_big_10
-lɛvorotun	lɛvorotun	LEBOROTUN	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_37
-lɛɸ	lɛɸ	LEP	abvd	BIG	abvd_153_big_10
-lɪk	lɪk	LIK	abvd	SIT	abvd_51_tosit_110
-lɪk-	lɪk	LIK	abvd	SIT	abvd_51_tosit_110
-lʉtu	lʉtu	LUTU	abvd	SPIT	abvd_36_tospit_37
-ma	ma	MA	abvd	COME	abvd_7_tocome_1
-malas	malas	MALAS	abvd	COLD	abvd_139_cold_51
-manun	manun	MANUN	abvd	SHY OR ASHAMED	abvd_161_shyashamed_54
-manʊn	manʊn	MANUN	abvd	SHY OR ASHAMED	abvd_161_shyashamed_54
-mara	mara	MARA	abvd	STAND	abvd_52_tostand_66
-mata	mata	MATA	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-matur	matur	MATUR	abvd	SLEEP	abvd_48_tosleep_1
-matur porpor	maturporpor	MATURPORPOR	abvd	DREAM (SOMETHING)	abvd_50_todream_11
-matur porporo	maturporporo	MATURPORPORO	abvd	DREAM (SOMETHING)	abvd_50_todream_11
-matur porvor	maturporvor	MATURPORBOR	abvd	DREAM (SOMETHING)	abvd_50_todream_11
-matur vorvor	maturvorvor	MATURBORBOR	abvd	DREAM (SOMETHING)	abvd_50_todream_11
-matuɾ	matuɾ	MATUR	abvd	SLEEP	abvd_48_tosleep_1
-matuɾ poɾpoɾo	matuɾpoɾpoɾo	MATURPORPORO	abvd	DREAM (SOMETHING)	abvd_50_todream_11
-matˢ	mat	MAT	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mat͡s	mat͡s	MAS	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mat͡siŋ	mat͡si	MASI	abvd	WORK (ACTIVITY)	abvd_83_towork_74
-mat͡sɪŋ	mat͡sɪ	MASI	abvd	WORK (ACTIVITY)	abvd_83_towork_74
-maur	maur	MAUR	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mauɾ	mauɾ	MAUR	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mauɾu	mauɾu	MAURU	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mači	mai	MAI	abvd	BITE	abvd_41_tobite_1
-maʧ	maʧ	MA	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-maʧin	maʧin	MAIN	abvd	WORK (ACTIVITY)	abvd_83_towork_74
-maʧiŋ	maʧi	MAI	abvd	WORK (ACTIVITY)	abvd_83_towork_74
-me	me	ME	abvd	COME	abvd_7_tocome_1
-men	men	MEN	abvd	LAUGH	abvd_33_tolaugh_51
-meteni	meteni	METENI	abvd	SEE	abvd_46_tosee_84
-metu	metu	METU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-metˢ	met	MET	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-meč	me	ME	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mim	mim	MIM	abvd	WET	abvd_141_wet_36
-mimim	mimim	MIMIM	abvd	WET	abvd_141_wet_36
-mimɛs	mimɛs	MIMES	abvd	DRY	abvd_140_dry_11
-mimɪs	mimɪs	MIMIS	abvd	DRY	abvd_140_dry_11
-min	min	MIN	abvd	DRINK	abvd_40_todrink_1
-mini	mini	MINI	abvd	DRINK	abvd_40_todrink_1
-minmin	minmin	MINMIN	abvd	DRINK	abvd_40_todrink_1
-mitˢ	mit	MIT	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mit͡s	mit͡s	MIS	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mič	mi	MI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-miʧ	miʧ	MI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-motmot	motmot	MOTMOT	abvd	BLACK	abvd_147_black_1
-motueni	motueni	MOTUENI	abvd	THROW	abvd_94_tothrow_87
-mse	mse	MSE	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
-msi	msi	MSI	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
-msɛ	msɛ	MSE	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
-mtani	mtani	MTANI	abvd	SEE	abvd_46_tosee_84
-mto	mto	MTO	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mtoxtox	mtoxtox	MTOKTOK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mtutu	mtutu	MTUTU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mutmut	mutmut	MUTMUT	abvd	ROTTEN	abvd_112_rotten_92
-mœltœβ	mlt	MLT	abvd	SPIT	abvd_36_tospit_37
-mœtˢœ	mt	MT	abvd	FALL	abvd_95_tofall_57
-mœur	mur	MUR	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mɔtmɔt	mɔtmɔt	MOTMOT	abvd	BLACK	abvd_147_black_1
-mɘtmɘt	mɘtmɘt	METMET	abvd	BLACK	abvd_147_black_1
-məne	məne	MENE	abvd	DRINK	abvd_40_todrink_1
-mətmut	mətmut	METMUT	abvd	BLACK	abvd_147_black_1
-mətmət	mətmət	METMET	abvd	BLACK	abvd_147_black_1
-məto	məto	METO	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mɛ	mɛ	ME	abvd	COME	abvd_7_tocome_1
