Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'al	al	AL	abvd	PATH OR ROAD	abvd_6_roadpath_1
'am	am	AM	abvd	WE	abvd_185_we_2
'apḷ	ap	AP	abvd	BELLY	abvd_14_belly_2
'dʒai	dʒai	DSAI	abvd	WHAT	abvd_188_what_4
'hlil	hlil	HLIL	abvd	EAR	abvd_43_ear_3
'i:	i	I	abvd	TAIL	-
'iki	iki	IKI	abvd	MOSQUITO	-
'ili	ili	ILI	abvd	SAND	abvd_121_sand_5
'iti	iti	ITI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
'iṛl	il	IL	abvd	NOSE	abvd_27_nose_4
'kal	kal	KAL	abvd	EAT	abvd_37_toeat_1
'kalol	kalol	KALOL	abvd	EARTH (SOIL)	abvd_119_earthsoil_3
'kel	kel	KEL	abvd	NECK	abvd_25_neck_4
'kioker	kioker	KIOKER	abvd	SEE	-
'kuhul	kuhul	KUHUL	abvd	BURN	-
'kulamol	kulamol	KULAMOL	abvd	STAR	abvd_130_star_3
'lalak	lalak	LALAK	abvd	SKY	abvd_128_sky_6
'le	le	LE	abvd	SNAKE	abvd_106_snake_7
'lil	lil	LIL	abvd	TOOTH	abvd_31_tooth_4
'lim	lim	LIM	abvd	HAND	abvd_1_hand_1
'loik	loik	LOIK	abvd	SCRATCH	abvd_77_toscratch_3
'lor	lor	LOR	abvd	MOUTH	abvd_30_mouth_2
'lɛm	lɛm	LEM	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_3
'lɛmjal	lɛmjal	LEMYAL	abvd	GOOD	-
'lɛsel	lɛsel	LESEL	abvd	LAUGH	-
'lɛt	lɛt	LET	abvd	FALL	abvd_95_tofall_7
'mai	mai	MAI	abvd	COME	abvd_7_tocome_1
'metḷ	met	MET	abvd	ONE	abvd_197_one_1
'mimḷ	mim	MIM	abvd	DRINK	abvd_40_todrink_4
'min	min	MIN	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_1
'monit	monit	MONIT	abvd	SLEEP	abvd_48_tosleep_105
'mopri	mopri	MOPRI	abvd	STAND	abvd_52_tostand_4
'mork	mork	MORK	abvd	HAIR	abvd_26_hair_5
'mox	mox	MOK	abvd	VOMIT	abvd_35_tovomit_14
'moxoi	moxoi	MOKOI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_17
