Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'al	al	AL	abvd	PATH OR ROAD	abvd_6_roadpath_1
'am	am	AM	abvd	WE	abvd_185_we_2
'apən	apən	APEN	abvd	BELLY	abvd_14_belly_2
'il	il	IL	abvd	SAND	abvd_121_sand_5
'iljei	iljei	ILYEI	abvd	TAIL	abvd_105_tail_3
'ilparəm	ilparəm	ILPAREM	abvd	BITE	-
'inoi	inoi	INOI	abvd	MOTHER	abvd_59_mother_1
'irə	irə	IRE	abvd	NOSE	abvd_27_nose_4
'itiei	itiei	ITIEI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
'itʃa	itʃa	ITSA	abvd	WHAT	abvd_188_what_4
'itʃai:	itʃai	ITSAI	abvd	HOW	-
'kal	kal	KAL	abvd	EARTH (SOIL)	abvd_119_earthsoil_3
'kalieo	kalieo	KALIEO	abvd	ROPE	-
'kan	kan	KAN	abvd	EAT	abvd_37_toeat_1
'kar	kar	KAR	abvd	NO OR NOT	abvd_195_nonot_35
'kikie	kikie	KIKIE	abvd	ALL	abvd_191_all_5
'klil	klil	KLIL	abvd	EAR	abvd_43_ear_3
'kolkol	kolkol	KOLKOL	abvd	MOSQUITO	-
'kun	kun	KUN	abvd	STAR	abvd_130_star_2
'kuni	kuni	KUNI	abvd	BURN	abvd_144_toburn_1
'kɛl	kɛl	KEL	abvd	NECK	abvd_25_neck_4
'le	le	LE	abvd	SNAKE	abvd_106_snake_7
'leri	leri	LERI	abvd	LONG	abvd_155_long_4
'lil	lil	LIL	abvd	TOOTH	abvd_31_tooth_4
'lor	lor	LOR	abvd	MOUTH	abvd_30_mouth_2
'mai	mai	MAI	abvd	COME	abvd_7_tocome_1
'mekil	mekil	MEKIL	abvd	DRY	abvd_140_dry_4
'mimn	mimn	MIMN	abvd	DRINK	abvd_40_todrink_4
'moijin	moijin	MOIYIN	abvd	SLEEP	abvd_48_tosleep_4?
'mok	mok	MOK	abvd	EYE	abvd_45_eye_10
'moklil	moklil	MOKLIL	abvd	CRY	-
'mokəvi	mokəvi	MOKEBI	abvd	SPIT	abvd_36_tospit_4
'momo	momo	MOMO	abvd	PERSON	-
'momol	momol	MOMOL	abvd	LAUGH	abvd_33_tolaugh_3?
'mona	mona	MONA	abvd	WALK	-
'mopri	mopri	MOPRI	abvd	STAND	abvd_52_tostand_4
