Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
alu	alu	ALU	abvd	EIGHT	abvd_204_eight_3
aniˀe	anie	ANIE	abvd	WE	abvd_185_we_46
asi	asi	ASI	abvd	ROPE	abvd_65_rope_58
asu	asu	ASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
ate-ˀu	ateu	ATEU	abvd	LIVER	abvd_17_liver_1
haˀae	haae	HAAE	abvd	FEMALE PERSON	abvd_55_womanfemale_83
inau	inau	INAU	abvd	I	abvd_182_i_1
inire	inire	INIRE	abvd	THEY	abvd_187_they_1
iniˁo	inio	INIO	abvd	THOU	abvd_183_thou_1
la-ʔu	laʔu	LAHU	abvd	EAR	-
lani	lani	LANI	abvd	WIND	abvd_136_wind_1
lapʷe-na	lapena	LAPENA	abvd	TAIL	abvd_105_tail_62
lele	lele	LELE	abvd	GOOD	abvd_164_good_59
lete-ˀu	leteu	LETEU	abvd	BACK	abvd_13_back_133
lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
lona-lima-ʔu	lonalimaʔu	LONALIMAHU	abvd	HAND	abvd_1_hand_1
lua	lua	LUA	abvd	VOMIT	abvd_35_tovomit_8
maeto	maeto	MAETO	abvd	BLACK	abvd_147_black_1
malitˢaˁia	malitaia	MALITAIA	abvd	FASTEN	abvd_66_totieupfasten_80
mana	mana	MANA	abvd	LAUGH	abvd_33_tolaugh_51
mani	mani	MANI	abvd	WET	abvd_141_wet_35
manoβi	manoi	MANOI	abvd	ASH	abvd_146_ashes_64
manu	manu	MANU	abvd	BIRD	abvd_97_bird_1
manβaraβara	manaraara	MANARAARA	abvd	THUNDER	abvd_134_thunder_15
marau-ˀu	marauu	MARAUU	abvd	LEFT	abvd_2_left_2
mata	mata	MATA	abvd	SNAKE	abvd_106_snake_12
mata-ʔu	mataʔu	MATAHU	abvd	EYE	abvd_45_eye_1
mate	mate	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
matua-ˀu	matuau	MATUAU	abvd	RIGHT	abvd_3_right_5
matˢi	mati	MATI	abvd	FISH	abvd_111_fish_53
matˢina	matina	MATINA	abvd	YELLOW	abvd_150_yellow_71
matˢoi	matoi	MATOI	abvd	STAR	abvd_130_star_13
maˁaβi-ˀu	maaiu	MAAIU	abvd	BLOOD	abvd_23_blood_52
meme-ʔu	memeʔu	MEMEHU	abvd	TONGUE	abvd_32_tongue_7
muˁi	mui	MUI	abvd	MOSQUITO	abvd_109_mosquito_1
natu-ˀu	natuu	NATUU	abvd	CHILD	abvd_56_child_5
