Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
atimo	atimo	ATIMO	wikipron	-	-
bailön	bailøn	BAILEN	wikipron	-	-
balna	balna	BALNA	wikipron	-	-
banacem	banatʃem	BANATSEM	wikipron	-	-
baol	baol	BAOL	wikipron	-	-
bed	bed	BED	wikipron	-	-
bedastofeds	bedastofedz	BEDASTOPEDS	wikipron	-	-
bef	bef	BEP	wikipron	-	-
befeit	befeit	BEPEIT	wikipron	-	-
befoön	befoøn	BEPOEN	wikipron	-	-
beit	beit	BEIT	wikipron	-	-
beitön	beitøn	BEITEN	wikipron	-	-
bekön	bekøn	BEKEN	wikipron	-	-
bened	bened	BENED	wikipron	-	-
benäd	benɛd	BENED	wikipron	-	-
benöf	benøf	BENEP	wikipron	-	-
betad	betad	BETAD	wikipron	-	-
bevegön	beveɡøn	BEBEGEN	wikipron	-	-
bidäd	bidɛd	BIDED	wikipron	-	-
bien	bien	BIEN	wikipron	-	-
biet	biet	BIET	wikipron	-	-
binädön	binɛdøn	BINEDEN	wikipron	-	-
binön	binøn	BINEN	wikipron	-	-
bir	bir	BIR	wikipron	-	-
bisarik	bisarik	BISARIK	wikipron	-	-
bleibön	bleibøn	BLEIBEN	wikipron	-	-
blein	blein	BLEIN	wikipron	-	-
bleinik	bleinik	BLEINIK	wikipron	-	-
bludön	bludøn	BLUDEN	wikipron	-	-
blöf	bløf	BLEP	wikipron	-	-
boad	boad	BOAD	wikipron	-	-
boadik	boadik	BOADIK	wikipron	-	-
boded	boded	BODED	wikipron	-	-
bok	bok	BOK	wikipron	-	-
bolitan	bolitan	BOLITAN	wikipron	-	-
bom	bom	BOM	wikipron	-	-
bomem	bomem	BOMEM	wikipron	-	-
boum	boum	BOUM	wikipron	-	-
bov	bov	BOB	wikipron	-	-
brad	brad	BRAD	wikipron	-	-
bradön	bradøn	BRADEN	wikipron	-	-
brefik	brefik	BREPIK	wikipron	-	-
brein	bɾein	BREIN	wikipron	-	-
brodön	bɾodøn	BRODEN	wikipron	-	-
budan	budan	BUDAN	wikipron	-	-
buk	buk	BUK	wikipron	-	-
bum	bum	BUM	wikipron	-	-
bumot	bumot	BUMOT	wikipron	-	-
but	but	BUT	wikipron	-	-
bäldik	bɛldik	BELDIK	wikipron	-	-
bäldot	bɛldot	BELDOT	wikipron	-	-
büd	byd	BUD	wikipron	-	-
büköp	bykøp	BUKEP	wikipron	-	-
caf	tʃaf	TSAP	wikipron	-	-
cafäd	tʃafɛd	TSAPED	wikipron	-	-
cedön	t͡ʃedøn	SEDEN	wikipron	-	-
cem	tʃem	TSEM	wikipron	-	-
cen	t͡ʃen	SEN	wikipron	-	-
