Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
agama	aɰama	AWAMA	wikipron	-	-
agapai	aɰapaɪ	AWAPAI	wikipron	-	-
agatapai	aɰatapaɪ	AWATAPAI	wikipron	-	-
ahala	ahala	AHALA	wikipron	-	-
ahamaitsapai	ahamaɪt͡sapaɪ	AHAMAISAPAI	wikipron	-	-
ahatain	ahataĩ	AHATA	wikipron	-	-
aitsa ha	aɪt͡saha	AISAHA	wikipron	-	-
aka	aka	AKA	wikipron	-	-
akain	akaĩ	AKA	wikipron	-	-
akainxa	akaĩtja	AKATYA	wikipron	-	-
akamapai	akamapaɪ	AKAMAPAI	wikipron	-	-
akitsatapai	akit͡satapaɪ	AKISATAPAI	wikipron	-	-
akixekojatapai	akitjɛkɨʐatapaɪ	AKITYEKIATAPAI	wikipron	-	-
akiyuntuapa	akijũtuapa	AKIYTUAPA	wikipron	-	-
akulukatapai	akulukatapaɪ	AKULUKATAPAI	wikipron	-	-
amakanata	amakanata	AMAKANATA	wikipron	-	-
amamitsapai	amamit͡sapaɪ	AMAMISAPAI	wikipron	-	-
amapitsaitsapai	amapit͡saɪt͡sapaɪ	AMAPISAISAPAI	wikipron	-	-
aminya	amĩja	AMYA	wikipron	-	-
amunaun	amunɐ̃ʊ	AMUNAU	wikipron	-	-
anapi	anapi	ANAPI	wikipron	-	-
apaka	apaka	APAKA	wikipron	-	-
apakata	apakata	APAKATA	wikipron	-	-
apiya	apija	APIYA	wikipron	-	-
apotapai	apɨtapaɪ	APITAPAI	wikipron	-	-
asatapai	asatapaɪ	ASATAPAI	wikipron	-	-
ate	atɛ	ATE	wikipron	-	-
atokapai	atɨkapaɪ	ATIKAPAI	wikipron	-	-
atso	at͡sɨ	ASI	wikipron	-	-
atsoke	at͡sɨkɛ	ASIKE	wikipron	-	-
atukutapai	atukutapaɪ	ATUKUTAPAI	wikipron	-	-
aunaki	aʊnaki	AUNAKI	wikipron	-	-
aunakitsapai	aʊnakit͡sapaɪ	AUNAKISAPAI	wikipron	-	-
aupeki	aʊpɛki	AUPEKI	wikipron	-	-
aupepei	aʊpɛpeɪ	AUPEPEI	wikipron	-	-
autu	aʊtu	AUTU	wikipron	-	-
ayakatapai	ajakatapaɪ	AYAKATAPAI	wikipron	-	-
eejo	ɛːʐɨ	EI	wikipron	-	-
ehejepei	ɛhɛʐɛpeɪ	EHEEPEI	wikipron	-	-
ehen	ɛ̃hɛ̃	EHE	wikipron	-	-
ejekujata	ɛʐɛkuʐata	EEKUATA	wikipron	-	-
elelepei	ɛlɛlɛpeɪ	ELELEPEI	wikipron	-	-
epete	ɛpɛtɛ	EPETE	wikipron	-	-
epi	ɛpi	EPI	wikipron	-	-
etemepei	ɛtɛmɛpeɪ	ETEMEPEI	wikipron	-	-
hain	haĩ	HA	wikipron	-	-
hapari	hapaɾi	HAPARI	wikipron	-	-
hauka	haʊka	HAUKA	wikipron	-	-
homakapai	hɨmakapaɪ	HIMAKAPAI	wikipron	-	-
intsixupai	ĩt͡sitjupaɪ	SITYUPAI	wikipron	-	-
ipisulu	ipisulu	IPISULU	wikipron	-	-
ipisun	ipisũ	IPIS	wikipron	-	-
irixulakuma	iɾitjulakuma	IRITYULAKUMA	wikipron	-	-
isiki	isiki	ISIKI	wikipron	-	-
itseepu	it͡sɛːpu	ISEPU	wikipron	-	-
itseeputa	it͡sɛːputa	ISEPUTA	wikipron	-	-
itsenu	it͡sɛnu	ISENU	wikipron	-	-
iya	ija	IYA	wikipron	-	-
iyepe	ijɛpɛ	IYEPE	wikipron	-	-
ju	ʐu	U	wikipron	-	-
kagapa	kaɰapa	KAWAPA	wikipron	-	-
kajutukalu	kaʂutukalu	KASUTUKALU	wikipron	-	-
kakaintsixupai	kakaĩt͡sitjupaɪ	KAKASITYUPAI	wikipron	-	-
kalunti	kalũti	KALTI	wikipron	-	-
kamalajo	kamalaʐɨ	KAMALAI	wikipron	-	-
kamani	kamani	KAMANI	wikipron	-	-
kamaukula	kamaʊkula	KAMAUKULA	wikipron	-	-
kamaukulataputa	kamaʊkulataputa	KAMAUKULATAPUTA	wikipron	-	-
kamo	kamɨ	KAMI	wikipron	-	-
kanai	kanai	KANAI	wikipron	-	-
kapaka	kapaka	KAPAKA	wikipron	-	-
kapojai	kapɨʐaɪ	KAPIAI	wikipron	-	-
katapai	katapaɪ	KATAPAI	wikipron	-	-
kehoto	kɛhɨtɨ	KEHITI	wikipron	-	-
keweintsapai	kɛweĩt͡sapaɪ	KEWESAPAI	wikipron	-	-
keyeixapai	kɛjɛɪtjapaɪ	KEYEITYAPAI	wikipron	-	-
kisuawakiya	kisuwawakija	KISUWAWAKIYA	wikipron	-	-
kitsimain	kit͡simaĩ	KISIMA	wikipron	-	-
kixekojapai	kitjɛkɨʐapaɪ	KITYEKIAPAI	wikipron	-	-
kiyaga	kijaɰa	KIYAWA	wikipron	-	-
kiyankan	kijãkã	KIYK	wikipron	-	-
kuyekuyeju	kujɛkujɛʂu	KUYEKUYESU	wikipron	-	-
kwakwoho	kwakwɨhɨ	KWAKWIHI	wikipron	-	-
mainki	maĩki	MAKI	wikipron	-	-
mainxapai	maĩtjapaɪ	MATYAPAI	wikipron	-	-
malaho	malahɨ	MALAHI	wikipron	-	-
mapa	mapa	MAPA	wikipron	-	-
mepiaunwaun	mɛpijɐ̃ʊwɐ̃ʊ	MEPIYAUWAU	wikipron	-	-
mepiaunwaun ikitsapa	mɛpijɐ̃ʊwɐ̃ʊikit͡sapa	MEPIYAUWAUIKISAPA	wikipron	-	-
mepiaunwaun wojoku	mɛpijɐ̃ʊwɐ̃ʊwɨʂɨku	MEPIYAUWAUWISIKU	wikipron	-	-
mepiaunwauntaputa	mɛpijɐ̃ʊwɐ̃ʊtaputa	MEPIYAUWAUTAPUTA	wikipron	-	-
mepiaunwaunwaka	mɛpijɐ̃ʊwɐ̃ʊwaka	MEPIYAUWAUWAKA	wikipron	-	-
mepiaunwaunwakataputa	mɛpijɐ̃ʊwɐ̃ʊwakataputa	MEPIYAUWAUWAKATAPUTA	wikipron	-	-
metseepu	mɛt͡seːpu	MESEPU	wikipron	-	-
meyeixapai	mɛjɛɪtjapaɪ	MEYEITYAPAI	wikipron	-	-
meyeixaya	mɛjɛɪtjaja	MEYEITYAYA	wikipron	-	-
minyulitai	mĩjulitaɪ	MYULITAI	wikipron	-	-
mohonjapai	mɨ̃hɨ̃ʐapaɪ	MIHIAPAI	wikipron	-	-
muinpai	muĩpaɪ	MUPAI	wikipron	-	-
natu	natu	NATU	wikipron	-	-
nejo	nɛʐɨ	NEI	wikipron	-	-
nu	nu	NU	wikipron	-	-
nutai	nutaɪ	NUTAI	wikipron	-	-
ogatakoja	ɨɰatakɨʐa	IWATAKIA	wikipron	-	-
ohapa	ɨhapa	IHAPA	wikipron	-	-
ohapaitsa	ɨhapaɪt͡sa	IHAPAISA	wikipron	-	-
okaintsixu	ɨkaĩt͡sitju	IKASITYU	wikipron	-	-
okanu	ɨkanu	IKANU	wikipron	-	-
okanupai	ɨkanupaɪ	IKANUPAI	wikipron	-	-
okiyuntuapitsana	ɨkiyũtuwapit͡sana	IKIUTUWAPISANA	wikipron	-	-
okupona	ɨkupɨna	IKUPINA	wikipron	-	-
omaluwaintsa	ɨmaluwaĩt͡sa	IMALUWASA	wikipron	-	-
onaatsa	ɨnaːt͡sa	INASA	wikipron	-	-
onu	ɨnu	INU	wikipron	-	-
onuka	ɨnukə	INUKE	wikipron	-	-
onupapai	ɨnupapaɪ	INUPAPAI	wikipron	-	-
ooja	ɨːʐa	IA	wikipron	-	-
