Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
av mňëṅ	áʋmɽ̃ɘ́ŋ	WMREN	wikipron	-	-
azë	azɘ́	ASE	wikipron	-	-
ačẽ	at͡ʃẽ́	AS	wikipron	-	-
aširo	aʃiɾó	ASIR	wikipron	-	-
ašpë	aʃpɘ́	ASPE	wikipron	-	-
c̣itë	ʈ͡ʂitɘ́	TITE	wikipron	-	-
c̣o	ʈ͡ʂó	T	wikipron	-	-
c̣ëmëṅ	ʈ͡ʂɘmɘ́ŋ	TEMEN	wikipron	-	-
Dam Kil	dɘ́mkíl	DEMKL	wikipron	-	-
degeṛi	deɡeɽí	DEGER	wikipron	-	-
devaṭ	deʋáʈ	DEWT	wikipron	-	-
draboṛi	dɾaboɽí	DRABOR	wikipron	-	-
dras	dɾás	DRS	wikipron	-	-
dröš	dɾǿʃ	DRS	wikipron	-	-
däl	dǽl	DL	wikipron	-	-
e zëmën	ézɘmɘ́n	SEMEN	wikipron	-	-
e ćikig	ét͡sikíɡ	SIKG	wikipron	-	-
gagë	ɡaɡɘ́	GAGE	wikipron	-	-
girišig	ɡiɾiʃíɡ	GIRISG	wikipron	-	-
griva	ɡɾiʋá	GRIW	wikipron	-	-
grop	ɡɾóp	GRP	wikipron	-	-
gulë	ɡulɘ́	GULE	wikipron	-	-
gumẽ	ɡumẽ́	GUM	wikipron	-	-
gëbëẓë	ɡɘbɘʐɘ́	GEBEE	wikipron	-	-
gërdënei	ɡɘɾdɘneí	GERDENE	wikipron	-	-
gëḍüg	ɡɘɖýɡ	GEDG	wikipron	-	-
gëṭë	ɡɘʈɘ́	GETE	wikipron	-	-
güza	ɡyzá	GUS	wikipron	-	-
jam	d͡ʒám	SM	wikipron	-	-
jägärig	d͡ʒæɡæɾíɡ	SAGARG	wikipron	-	-
jëbël	d͡ʒɘbɘ́l	SEBEL	wikipron	-	-
jëgërë	d͡ʒɘɡɘɾɘ́	SEGERE	wikipron	-	-
kika	kiká	KIK	wikipron	-	-
kinäjig	kinæd͡ʒíɡ	KINASG	wikipron	-	-
Kočäi	kot͡ʃæí	KOSA	wikipron	-	-
Kãtë	kãtɘ́	KTE	wikipron	-	-
Këm	kɘ́m	KEM	wikipron	-	-
kẽć	kẽ́t͡s	KS	wikipron	-	-
lad	lád	LD	wikipron	-	-
laṭ	láʈ	LT	wikipron	-	-
muk	múk	MK	wikipron	-	-
Mëyar	mɘjáɾ	MEYR	wikipron	-	-
nam	nám	NM	wikipron	-	-
nëne gëṇoṅ nëne gëṇoṅ	nɘnéɡɘɳóŋnɘnéɡɘɳóŋ	NENGENNNENGENN	wikipron	-	-
nëvã	nɘʋã́	NEW	wikipron	-	-
pad	pád	PD	wikipron	-	-
paji	pad͡ʒí	PAS	wikipron	-	-
pistë	pistɘ́	PISTE	wikipron	-	-
pićã	pit͡sã́	PIS	wikipron	-	-
potom	potóm	POTM	wikipron	-	-
puṇë	puɳɘ́	PUNE	wikipron	-	-
pëlëkënë	pɘlɘkɘnɘ́	PELEKENE	wikipron	-	-
pëskuṅ	pɘskúŋ	PESKN	wikipron	-	-
pëṛöv	pɘɽǿʋ	PERW	wikipron	-	-
sos	sós	SS	wikipron	-	-
Sãki	sãkí	SK	wikipron	-	-
sãkia	sãkiá	SKI	wikipron	-	-
Sëldër	sɘldɘ́ɾ	SELDER	wikipron	-	-
sërṣëči	sɘɾʂɘt͡ʃí	SERSES	wikipron	-	-
sëtik	sɘtík	SETK	wikipron	-	-
tir	tíɾ	TR	wikipron	-	-
tëvňe	tɘʋɽ̃é	TEWR	wikipron	-	-
tëćiv	tɘt͡síʋ	TESW	wikipron	-	-
uk	úk	K	wikipron	-	-
uzëg	uzéɡ	USG	wikipron	-	-
uḍu	uɖú	UD	wikipron	-	-
vidig	ʋidíɡ	WIDG	wikipron	-	-
višpi	ʋiʃpí	WISP	wikipron	-	-
vëi nëvňe ëla odë	ʋɘínɘʋɽ̃éɘláodɘ́	WENEWRELODE	wikipron	-	-
vëičetr	ʋɘit͡ʃétɾ	WEISTR	wikipron	-	-
