Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
*piʔən	piʔən	PIHEN	abvd	NINE	-
ai	ai	AI	abvd	EIGHT	-
akiʔ	akiʔ	AKIH	abvd	YOU	-
apuy	apuy	APUU	abvd	FIRE	abvd_143_fire_1
ato	ato	ATO	abvd	HUNDRED	-
avun	avun	ABUN	abvd	CLOUD	-
batuk	batuk	BATUK	abvd	NECK	abvd_25_neck_35
biləŋ	bilə	BILE	abvd	GREEN	-
iko	iko	IKO	abvd	TAIL	abvd_105_tail_1
ikuʔ	ikuʔ	IKUH	abvd	THOU	-
inay	inay	INAU	abvd	MOTHER	abvd_59_mother_1
ira	ira	IRA	abvd	THEY	abvd_187_they_1
jaʔaw	jaʔaw	YAHAW	abvd	BIG	-
jipən	jipən	YIPEN	abvd	TOOTH	abvd_31_tooth_1
kakəy	kakəy	KAKEU	abvd	MALE PERSON	-
kəlawaʔ	kəlawaʔ	KELAWAH	abvd	SPIDER	abvd_110_spider_1
kəm təw	kəmtəw	KEMTEW	abvd	YOU	-
kəɗiŋ	kəɗi	KEDI	abvd	STAND	-
laaʔ	laaʔ	LAAH	abvd	BLOOD	-
lue	lue	LUE	abvd	TWO	abvd_198_two_1
lunduʔ	lunduʔ	LUNDUH	abvd	SLEEP	-
ləme	ləme	LEME	abvd	FIVE	abvd_201_five_1
ləɗo	ləɗo	LEDO	abvd	FEMALE PERSON	-
manok	manok	MANOK	abvd	BIRD	abvd_97_bird_1
mariŋ	mari	MARI	abvd	NEW	-
mate	mate	MATE	abvd	EYE	abvd_45_eye_1
meʔ taw	meʔtaw	MEHTAW	abvd	WE	-
meʔ təw	meʔtəw	MEHTEW	abvd	WE	-
məɗuʔ	məɗuʔ	MEDUH	abvd	DRINK	-
ndoŋ	ndo	NDO	abvd	NOSE	abvd_27_nose_1
nuap	nuap	NUAP	abvd	YAWN	abvd_47_toyawn_19
nəm	nəm	NEM	abvd	SIX	abvd_202_six_1
pat	pat	PAT	abvd	FOUR	abvd_200_four_1
puluʔ	puluʔ	PULUH	abvd	NINE	-
saləŋ	salə	SALE	abvd	BLACK	-
se	se	SE	abvd	ONE	abvd_197_one_14
sigut	sigut	SIGUT	abvd	DIRTY	-
suʔ	suʔ	SUH	abvd	FAR	-
taləy	taləy	TALEU	abvd	ROPE	abvd_65_rope_1
tusuʔ	tusuʔ	TUSUH	abvd	SEVEN	abvd_203_seven_4
təlukuk	təlukuk	TELUKUK	abvd	MOSQUITO	-
tələw	tələw	TELEW	abvd	THREE	abvd_199_three_1
tənaʔiʔ	tənaʔiʔ	TENAHIH	abvd	INTESTINES	abvd_16_intestines_1
ukoʔ	ukoʔ	UKOH	abvd	SIT	-
ulew	ulew	ULEW	abvd	HEAD	abvd_24_head_1
uman	uman	UMAN	abvd	YEAR	-
urəw	urəw	UREW	abvd	GRASS	abvd_118_grass_52
usan	usan	USAN	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
usən	usən	USEN	abvd	SALT	-
ye	ye	UE	abvd	HE OR SHE	abvd_184_heshe_1
ŋaran	aran	ARAN	abvd	NAME	abvd_63_name_12
ɓaʔ	ɓaʔ	BAH	abvd	MOUTH	abvd_30_mouth_1
ɓuk	ɓuk	BUK	abvd	HAIR	abvd_26_hair_1
ɗaw	ɗaw	DAW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
