Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
bacadàk	βat͡saɾàk	BASARK	wikipron	-	-
bacawáłiksił	βat͡sawáɬiksiɬ	BASAWLIKSIL	wikipron	-	-
bacawáłiksuy	βat͡sawáɬiksuj	BASAWLIKSUY	wikipron	-	-
bakhàs	βakʰàs	BAKS	wikipron	-	-
bakhát	βakʰát	BAKT	wikipron	-	-
balìd	βalìɾ	BALR	wikipron	-	-
balùl	βalùl	BALL	wikipron	-	-
batbalúk	βatβalúk	BATBALK	wikipron	-	-
batúk	βatúk	BATK	wikipron	-	-
bicół	βit͡sɑ́ɬ	BISAL	wikipron	-	-
bokhí	βɑkʰí	BAK	wikipron	-	-
bučawàk	βut͡ʃawàk	BUSAWK	wikipron	-	-
bàn	βàn	BN	wikipron	-	-
bác	βát͡s	BS	wikipron	-	-
bácas	βát͡sas	BSAS	wikipron	-	-
báhlawal	βáʔlawal	BHLAWAL	wikipron	-	-
bápt	βápt	BPT	wikipron	-	-
bás	βás	BS	wikipron	-	-
básad	βásaɾ	BSAR	wikipron	-	-
báčkoč	βát͡ʃkɑt͡ʃ	BSKAS	wikipron	-	-
bèł	βèɬ	BL	wikipron	-	-
béhlakw	βéʔlakʷ	BHLAK	wikipron	-	-
béhlakwahl	βéʔlakʷaʔl	BHLAKAHL	wikipron	-	-
bíkwhal	βíkʷʰal	BKAL	wikipron	-	-
bít	βít	BT	wikipron	-	-
bíwih	βíwiʔ	BWIH	wikipron	-	-
bíwihwokw	βíwiʔwɑkʷ	BWIHWAK	wikipron	-	-
bíwuy	βíwuj	BWUY	wikipron	-	-
bóhn	βɑ́ʔn	BAHN	wikipron	-	-
bókw	βɑ́kʷ	BAK	wikipron	-	-
bókw hutíkwahl	bɑ́kʷhutíkʷaʔl	BAKHUTKAHL	wikipron	-	-
bópt	βópt	BPT	wikipron	-	-
bótih	βótiʔ	BTIH	wikipron	-	-
bótks	bɑ́tks	BATKS	wikipron	-	-
bùd	βùɾ	BR	wikipron	-	-
búhr	βúʔɹ	BHR	wikipron	-	-
búkt	βúkt	BKT	wikipron	-	-
cahrík	t͡saʔɹík	SAHRK	wikipron	-	-
carórił	t͡saɹɑ́ɹiɬ	SARARIL	wikipron	-	-
cbowíłih	t͡sβɑwíɬiʔ	SBAWLIH	wikipron	-	-
ckarułígadhra	t͡skaɹuɬíɣaɾʔɹa	SKARULGARHRA	wikipron	-	-
dihrétoruy	ɾiʔɹétoɹuj	RIHRTORUY	wikipron	-	-
diníh	ɾiníʔ	RINH	wikipron	-	-
dínił	ɾíniɬ	RNIL	wikipron	-	-
dínuy	ɾínuj	RNUY	wikipron	-	-
dít	ɾít	RT	wikipron	-	-
hałkàn	haɬkàn	HALKN	wikipron	-	-
hihłòkw	hiʔɬɑ̀kʷ	HIHLAK	wikipron	-	-
hitwàł	hitwàɬ	HITWL	wikipron	-	-
hiwéčk	hiwét͡ʃk	HIWSK	wikipron	-	-
hiwót	hiwɑ́t	HIWAT	wikipron	-	-
hišbarí	hiʃβaɹí	HISBAR	wikipron	-	-
hodác	hɑdát͡s	HADS	wikipron	-	-
holokwłínih	hɑlɑkʷɬíniʔ	HALAKLNIH	wikipron	-	-
hopičúčk	hɑpit͡ʃút͡ʃk	HAPISSK	wikipron	-	-
hucwocóc	hut͡swɑt͡sɑ́t͡s	HUSWASAS	wikipron	-	-
hutwùy	hutwùj	HUTWY	wikipron	-	-
hutíkwahl	hutíkʷaʔl	HUTKAHL	wikipron	-	-
hučwóč	hut͡ʃwɑ́t͡ʃ	HUSWAS	wikipron	-	-
híh	híʔ	HH	wikipron	-	-
híhł	híʔɬ	HHL	wikipron	-	-
híkw	híkʷ	HK	wikipron	-	-
hílił	híliɬ	HLIL	wikipron	-	-
híluy	híluj	HLUY	wikipron	-	-
hóhrač	hɑ́ʔɹat͡ʃ	HAHRAS	wikipron	-	-
hóko	hɑ́kɑ	HAKA	wikipron	-	-
hólih	hɑ́liʔ	HALIH	wikipron	-	-
hólikwłił	hɑ́likʷɬiɬ	HALIKLIL	wikipron	-	-
hółakw	hɑ́ɬakʷ	HALAK	wikipron	-	-
khapłalúhwał	kʰapɬalúʔwaɬ	KAPLALHWAL	wikipron	-	-
kholawáhłokw	kʰɑlawáʔɬɑkʷ	KALAWHLAK	wikipron	-	-
kholawúh	kʰɑlawúʔ	KALAWH	wikipron	-	-
khápt	kʰápt	KPT	wikipron	-	-
khíhmak	kʰíʔmak	KHMAK	wikipron	-	-
kohmàk	kɑʔmàk	KAHMK	wikipron	-	-
kokwíł	kɑkʷíɬ	KAKL	wikipron	-	-
kotabùy	kɑtaβùj	KATABY	wikipron	-	-
kwíłto	kʷíɬtɑ	KLTA	wikipron	-	-
kàł	kàɬ	KL	wikipron	-	-
kámaruy	kámaɹuj	KMARUY	wikipron	-	-
kó	kɑ́	KA	wikipron	-	-
kóčk	kɑ́t͡ʃk	KASK	wikipron	-	-
kúk	kúk	KK	wikipron	-	-
kúwih	kúwiʔ	KWIH	wikipron	-	-
kúčk	kút͡ʃk	KSK	wikipron	-	-
laptóhw	laptɑ́ʔw	LAPTAHW	wikipron	-	-
lóš	lɑ́ʃ	LAS	wikipron	-	-
nókwoš	nɑ́kʷɑʃ	NAKAS	wikipron	-	-
palógih	palɑ́ɣiʔ	PALAGIH	wikipron	-	-
patóhw	patɑ́ʔw	PATAHW	wikipron	-	-
phicúhlokš	pʰit͡súʔlokʃ	PISHLOKS	wikipron	-	-
phišópłił	pʰiʃɑ́pɬiɬ	PISAPLIL	wikipron	-	-
