Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a poenne	apwɛ̃n	APWEN	wikipron	-	-
a pîs dischås	apiːdiskɔː	APIDISKO	wikipron	-	-
a pîs dschås	apiːtʃɔː	APITSO	wikipron	-	-
abagant	abaɡɑ̃	ABAGA	wikipron	-	-
abaguer	abaɡe	ABAGE	wikipron	-	-
abandner	abɑ̃nne	ABANNE	wikipron	-	-
abate deus djaeyes d’ on côp d’ warokea	abatdød͡ʒɛjd‿ɔ̃kõd‿waʀɔkja	ABATDESEYDOKDWAROKYA	wikipron	-	-
abaxhî	abaʃiː	ABASI	wikipron	-	-
abayî	abajiː	ABAYI	wikipron	-	-
aberweter	abɛʀwɛte	ABERWETE	wikipron	-	-
abiyî	abijiː	ABIYI	wikipron	-	-
Abraham	abʀaham	ABRAHAM	wikipron	-	-
abressî	abʀɛsiː	ABRESI	wikipron	-	-
abrocaedje	abʀɔkɛt͡ʃ	ABROKES	wikipron	-	-
abrodjî	abʀɔd͡ʒiː	ABROSI	wikipron	-	-
Abråm	abʀɔːm	ABROM	wikipron	-	-
abwesson	abwɛsɔ̃	ABWESO	wikipron	-	-
Achinne	aʃɛ̃n	ASEN	wikipron	-	-
aclairi	aklɛːʀi	AKLERI	wikipron	-	-
acoûtchî	akuːt͡ʃiː	AKUSI	wikipron	-	-
acpagnmint	akpaɲmɛ̃	AKPANME	wikipron	-	-
acroere	akʀwɛːʀ	AKRWER	wikipron	-	-
acsegnî	aksɛɲiː	AKSENI	wikipron	-	-
acteur	aktøːʀ	AKTER	wikipron	-	-
actoresse	aktɔʀɛs	AKTORES	wikipron	-	-
Adam	adam	ADAM	wikipron	-	-
Adan	adã	AD	wikipron	-	-
addjectif	add͡ʒɛktif	ADSEKTIP	wikipron	-	-
Adelayite	adelajit	ADELAYIT	wikipron	-	-
Adele	adɛl	ADEL	wikipron	-	-
Adislasse	adilas	ADILAS	wikipron	-	-
adjinçna	ad͡ʒɛ̃sna	ASESNA	wikipron	-	-
adjinçner	ad͡ʒɛ̃sne	ASESNE	wikipron	-	-
adjondrece	ad͡ʒɔ̃dʀɛs	ASODRES	wikipron	-	-
administråcion	anministʀɔːsjɔ̃	ANMINISTROSYO	wikipron	-	-
Adofe	adɔf	ADOP	wikipron	-	-
aduri	adyʀi	ADURI	wikipron	-	-
adviebe	advjɛp	ADBYEP	wikipron	-	-
Aernou	aʀnuː	ARNU	wikipron	-	-
Afrike	afʀik	APRIK	wikipron	-	-
agaesse	aɡɛs	AGES	wikipron	-	-
agnea	aɲa	ANA	wikipron	-	-
agnon	aɲɔ̃	ANO	wikipron	-	-
agnons	aɲɔ̃	ANO	wikipron	-	-
aguèse	aɡɛs	AGES	wikipron	-	-
ahavter	ahafte	AHAPTE	wikipron	-	-
ahavteure	ahaftøʀ	AHAPTER	wikipron	-	-
ahiver	ahiːve	AHIBE	wikipron	-	-
aidance	ɛːdãs	EDS	wikipron	-	-
aile	ɛːl	EL	wikipron	-	-
Aili	ɛli	ELI	wikipron	-	-
aite	ɛt	ET	wikipron	-	-
aiwe	ɛːw	EW	wikipron	-	-
aiwes	ɛːw	EW	wikipron	-	-
Aiwêye	ɛːwɛj	EWEY	wikipron	-	-
aiye	ɛːj	EY	wikipron	-	-
Albaneye	albanɛj	ALBANEY	wikipron	-	-
Alcide	alsit	ALSIT	wikipron	-	-
Aldjereye	ald͡ʒɛʀɛj	ALSEREY	wikipron	-	-
Alegzande	alɛɡzɑ̃t	ALEGSAT	wikipron	-	-
aler	ale	ALE	wikipron	-	-
aler come ene glene	alekɔmɛnɡlɛn	ALEKOMENGLEN	wikipron	-	-
Aleur	aløːʀ	ALER	wikipron	-	-
alfabet	alfabɛ	ALPABE	wikipron	-	-
Alfonse	alfɔ̃s	ALPOS	wikipron	-	-
Alfrede	alfʀɛt	ALPRET	wikipron	-	-
Almagne	almaɲ	ALMAN	wikipron	-	-
almand	almɑ̃	ALMA	wikipron	-	-
Alodîye	alɔdiːj	ALODIY	wikipron	-	-
alongui	alɔ̃ɡi	ALOGI	wikipron	-	-
aloyrece	alɔjʀɛs	ALOYRES	wikipron	-	-
alårdji	alɔːʀd͡ʒi	ALORSI	wikipron	-	-
Alècsis	alɛksi	ALEKSI	wikipron	-	-
Alègzandrine	alɛɡzɑ̃dʀin	ALEGSADRIN	wikipron	-	-
alôye	aloj	ALOY	wikipron	-	-
Ama	ama	AMA	wikipron	-	-
amagnî	amaɲiː	AMANI	wikipron	-	-
Amand	amɑ̃	AMA	wikipron	-	-
Amboeze	ãbwɛs	BWES	wikipron	-	-
Amel	amɛl	AMEL	wikipron	-	-
Amerike	amɛʀik	AMERIK	wikipron	-	-
amon	amɔ̃	AMO	wikipron	-	-
amoûr	amuːʀ	AMUR	wikipron	-	-
Anboèse	ãbwɛs	BWES	wikipron	-	-
ancyin	ãsjɛ̃	SYE	wikipron	-	-
ancyin	ãʃɛ̃	SE	wikipron	-	-
Andene	ɑ̃dɛn	ADEN	wikipron	-	-
Anderluwe	ɑ̃dɛʀluw	ADERLUW	wikipron	-	-
Andjlene	ãd͡ʒlɛn	SLEN	wikipron	-	-
Andjline	ãd͡ʒlin	SLIN	wikipron	-	-
Andore	ãdɔʀ	DOR	wikipron	-	-
Andrêye	ãdʀɛːj	DREY	wikipron	-	-
Andrî	ãdʀiː	DRI	wikipron	-	-
Ane	an	AN	wikipron	-	-
Angleûr	ãɡløːʀ	GLER	wikipron	-	-
Anhêye	ãhej	HEY	wikipron	-	-
Anhêye	ãjej	YEY	wikipron	-	-
anichtaedje	aniʃtɛt͡ʃ	ANISTES	wikipron	-	-
Aniye	anij	ANIY	wikipron	-	-
Anjèlique	ãʒɛlik	SELIK	wikipron	-	-
anke	ãk	K	wikipron	-	-
Anmzin	ɑ̃mzɛ̃	AMSE	wikipron	-	-
Annvoye	ɑ̃nvõj	ANBY	wikipron	-	-
Anse	ãs	S	wikipron	-	-
ansene	ãsɛn	SEN	wikipron	-	-
ansiner	ãsine	SINE	wikipron	-	-
Antene	ãtɛn	TEN	wikipron	-	-
Antoenne	ɑ̃twɛn	ATWEN	wikipron	-	-
antolodjeye	ãtɔlɔd͡ʒɛj	TOLOSEY	wikipron	-	-
Antwène	ɑ̃twɛn	ATWEN	wikipron	-	-
Antône	ɑ̃ton	ATON	wikipron	-	-
anêye	anej	ANEY	wikipron	-	-
anêyes	anej	ANEY	wikipron	-	-
aparexhe	apaʀɛʃ	APARES	wikipron	-	-
apontyî	apɔ̃tjiː	APOTYI	wikipron	-	-
aprepyî	apʀɛpjiː	APREPYI	wikipron	-	-
aprinde	apʀɛ̃t	APRET	wikipron	-	-
apåjhter	apɔːçte	APOTE	wikipron	-	-
arabe	aʀap	ARAP	wikipron	-	-
araegne	aʀɛɲ	AREN	wikipron	-	-
arester	aʀɛste	ARESTE	wikipron	-	-
arindjî	aʀɛ̃d͡ʒiː	ARESI	wikipron	-	-
aritchi	aʀit͡ʃi	ARISI	wikipron	-	-
aroke	aʀɔk	AROK	wikipron	-	-
arondixhmint	aʀɔ̃diʃmɛ̃	ARODISME	wikipron	-	-
Artur	aʀtyʀ	ARTUR	wikipron	-	-
aschoûter	ahuːte	AHUTE	wikipron	-	-
aschoûter	askuːte	ASKUTE	wikipron	-	-
aschoûter	aʃuːte	ASUTE	wikipron	-	-
aschoûtrece	askuːtʀɛs	ASKUTRES	wikipron	-	-
aschoûtreces	askuːtʀɛs	ASKUTRES	wikipron	-	-
ascoyî	askɔjiː	ASKOYI	wikipron	-	-
ashir	aʃiːʀ	ASIR	wikipron	-	-
Assesse	asɛs	ASES	wikipron	-	-
assocyî	asɔsjiː	ASOSYI	wikipron	-	-
assåjhner	asɔːʒne	ASOSNE	wikipron	-	-
astamper	astãpe	ASTPE	wikipron	-	-
asteure	astøːʀ	ASTER	wikipron	-	-
