Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	IF	-
a'a	aa	AA	abvd	MOUTH	-
ahu	ahu	AHU	abvd	DOG	abvd_96_dog_1
ai	ai	AI	abvd	STICK	abvd_79_stickwood_1
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
angu	angu	ANGU	abvd	EAT	abvd_37_toeat_3
api	api	API	abvd	FIRE	abvd_143_fire_1
arawei	arawei	ARAWEI	abvd	WIFE	abvd_58_wife_3
atau kanaka	ataukanaka	ATAUKANAKA	abvd	IF	-
ati	ati	ATI	abvd	LIVER	abvd_17_liver_1
awang	awang	AWANG	abvd	SKY	abvd_128_sky_7
awu	awu	AWU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_35
baha	baha	BAHA	abvd	WET	abvd_141_wet_1
bai	bai	BAI	abvd	POUND	abvd_93_topoundbeat_1
bakul	bakul	BAKUL	abvd	BIG	abvd_153_big_5
bau	bau	BAU	abvd	SWELL	abvd_87_toswell_33
be	be	BE	abvd	WHERE	abvd_181_where_2
bera	bera	BERA	abvd	SPLIT	abvd_80_tosplit_1
bi	bi	BI	abvd	WHERE	abvd_181_where_2
botu	botu	BOTU	abvd	HEAVY	abvd_142_heavy_1
buangu	buangu	BUANGU	abvd	NEW	abvd_163_new_1?
da kalong	dakalong	DAKALONG	abvd	BAD OR EVIL	abvd_165_badevil_6
daʔah	daʔah	DAHAH	abvd	NO OR NOT	abvd_195_nonot_4
dedi	dedi	DEDI	abvd	STAND	abvd_52_tostand_90
deha	deha	DEHA	abvd	ABOVE	abvd_175_above_5
dehang	dehang	DEHANG	abvd	CLIMB	abvd_172_toclimb_5
doungu	doungu	DOUNGU	abvd	YEAR	abvd_169_year_1?
dua kabulu	duakabulu	DUAKABULU	abvd	TWENTY	-
dàka	dka	DKA	abvd	AND	-
dúba	dba	DBA	abvd	TWO	abvd_198_two_1
dúka	dka	DKA	abvd	ALL	abvd_191_all_8?
ga	ga	GA	abvd	WHAT	-
gegí	geg	GEG	abvd	SPIDER	abvd_110_spider_3
gera	gera	GERA	abvd	WHO	-
giara	giara	GIARA	abvd	WHAT	abvd_188_what_5
giki	giki	GIKI	abvd	HOW	abvd_194_how_5
habuang	habuang	HABUANG	abvd	FOG	abvd_132_fog_6
habulu	habulu	HABULU	abvd	TEN	abvd_206_ten_5
habuʔu	habuʔu	HABUHU	abvd	SUCK	abvd_42_tosuck_3
hadànga	hadnga	HADNGA	abvd	NARROW	-
halaku	halaku	HALAKU	abvd	WALK	abvd_5_towalk_1
hamanu	hamanu	HAMANU	abvd	HOLD	abvd_89_tohold_107
hamati	hamati	HAMATI	abvd	KILL	abvd_74_tokill_2
hamúla	hamla	HAMLA	abvd	PLANT (SOMETHING)	abvd_84_toplant_1
hangahu	hangahu	HANGAHU	abvd	BREATHE	abvd_28_tobreathe_2
hangi	hangi	HANGI	abvd	ONE	abvd_197_one_6
hariwu	hariwu	HARIWU	abvd	THOUSAND	-
haŋahu	haahu	HAAHU	abvd	HUNDRED	-
he'it	heit	HEIT	abvd	TURN	abvd_8_toturn_7
hei	hei	HEI	abvd	BUY	abvd_91_tobuy_2
heka	heka	HEKA	abvd	OTHER	abvd_190_other_4
hidu	hidu	HIDU	abvd	PAINFUL OR SICK	abvd_160_painfulsick_4
hiwa	hiwa	HIWA	abvd	NINE	abvd_205_nine_5
hou	hou	HOU	abvd	CRY	abvd_34_tocry_2
hudu	hudu	HUDU	abvd	STAB	abvd_71_tostabpierce_37
huhu	huhu	HUHU	abvd	BREAST	abvd_18_breast_1
hàka	hka	HKA	abvd	DIG	abvd_90_todig_4
hàmu	hmu	HMU	abvd	THEY	-
iata	iata	IATA	abvd	WE	abvd_185_we_1
iena	iena	IENA	abvd	MOTHER	abvd_59_mother_1
inung	inung	INUNG	abvd	DRINK	abvd_40_todrink_1
ita	ita	ITA	abvd	SEE	abvd_46_tosee_1
jud'a	juda	YUDA	abvd	SLEEP	abvd_48_tosleep_6
kabena	kabena	KABENA	abvd	THROW	-
kaboku	kaboku	KABOKU	abvd	FISH	abvd_111_fish_5
kabu	kabu	KABU	abvd	BELLY	abvd_14_belly_2
kabulu	kabulu	KABULU	abvd	TEN	abvd_206_ten_5
kabuning	kabuning	KABUNING	abvd	HIDE	abvd_171_tohide_1
kabuŋu	kabuu	KABUU	abvd	THATCH OR ROOF	abvd_62_thatchroof_6
kabàki	kabki	KABKI	abvd	SHOULDER	abvd_19_shoulder_1
kad'eŋa	kadea	KADEA	abvd	BACK	abvd_13_back_5
kado'o	kadoo	KADOO	abvd	BLUNT	-
kadoku	kadoku	KADOKU	abvd	DRY	-
kaguru	kaguru	KAGURU	abvd	THUNDER	abvd_134_thunder_6
kahi	kahi	KAHI	abvd	BITE	abvd_41_tobite_1
kaiku	kaiku	KAIKU	abvd	TAIL	abvd_105_tail_1
kaja	kaja	KAYA	abvd	SCRATCH	abvd_77_toscratch_1?
kaka	kaka	KAKA	abvd	WHITE	abvd_148_white_5
kalarung	kalarung	KALARUNG	abvd	ROPE	abvd_65_rope_4?
kalitu	kalitu	KALITU	abvd	SKIN	abvd_12_skin_1
kalola	kalola	KALOLA	abvd	HUNT	abvd_69_tohunt_2
kalong	kalong	KALONG	abvd	GOOD	abvd_164_good_7
kangoa	kangoa	KANGOA	abvd	MOSQUITO	abvd_109_mosquito_5
kapa	kapa	KAPA	abvd	WING	abvd_100_wing_1
kapea	kapea	KAPEA	abvd	STAR	abvd_130_star_5
katiku	katiku	KATIKU	abvd	HEAD	abvd_24_head_6
kawahu	kawahu	KAWAHU	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_6
kawaka	kawaka	KAWAKA	abvd	YAWN	abvd_47_toyawn_6
kaweda	kaweda	KAWEDA	abvd	OLD	abvd_162_old_5
kedu	kedu	KEDU	abvd	STEAL	abvd_73_tosteal_3
kerang	kerang	KERANG	abvd	WORK (ACTIVITY)	-
kod'ʒa	kodʒa	KODSA	abvd	STAB	-
koku	koku	KOKU	abvd	NECK	abvd_25_neck_5
kotung	kotung	KOTUNG	abvd	ASH	-
kubur	kubur	KUBUR	abvd	DUST	abvd_11_dust_72
kunyi	kunyi	KUNUI	abvd	YELLOW	abvd_150_yellow_1
kítu	ktu	KTU	abvd	SEW	abvd_67_tosew_3
kòrah	krah	KRAH	abvd	SAND	abvd_121_sand_6
lai	lai	LAI	abvd	FLOW	abvd_123_toflow_5
lakead'a	lakeada	LAKEADA	abvd	CHILD	abvd_56_child_2
laked'a	lakeda	LAKEDA	abvd	CHILD	abvd_56_child_2
lalei	lalei	LALEI	abvd	LEFT	abvd_2_left_5
larangí	larang	LARANG	abvd	PATH OR ROAD	abvd_6_roadpath_1
lawana	lawana	LAWANA	abvd	RIGHT	abvd_3_right_1
lila	lila	LILA	abvd	WORM	abvd_107_wormearthworm_4
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
lima kabulu	limakabulu	LIMAKABULU	abvd	FIFTY	-
logi	logi	LOGI	abvd	HAIR	abvd_26_hair_6
lolu	lolu	LOLU	abvd	ROOT	-
luaro	luaro	LUARO	abvd	WIDE	abvd_159_wide_31
làdo	ldo	LDO	abvd	DAY (NOT NIGHT)	abvd_168_day_12
lá	l	L	abvd	HUSBAND	abvd_57_husband_6
lɐma	lɐma	LAMA	abvd	TONGUE	abvd_32_tongue_6
lɛma	lɛma	LEMA	abvd	TONGUE	abvd_32_tongue_6
mahing	mahing	MAHING	abvd	SALT	abvd_125_salt_3
makapal	makapal	MAKAPAL	abvd	THICK	abvd_157_thick_1
makí	mak	MAK	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
malai	malai	MALAI	abvd	LONG	abvd_155_long_5
malawo	malawo	MALAWO	abvd	RAT	abvd_102_rat_1
malik	malik	MALIK	abvd	LAUGH	abvd_33_tolaugh_3
mama	mama	MAMA	abvd	CHEW	abvd_38_tochew_1
mana'u	manau	MANAU	abvd	FALL	abvd_95_tofall_1
mangeat	mangeat	MANGEAT	abvd	FEAR (BE AFRAID)	abvd_22_tofear_22
manípih	manpih	MANPIH	abvd	THIN	abvd_156_thin_1
marane	marane	MARANE	abvd	NEAR	abvd_179_near_1
maringu	maringu	MARINGU	abvd	COLD	abvd_139_cold_1
marou	marou	MAROU	abvd	FAR	abvd_180_far_1
mati	mati	MATI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
maturu	maturu	MATURU	abvd	LIE DOWN	abvd_49_toliedown_37
mawini	mawini	MAWINI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
mawurung	mawurung	MAWURUNG	abvd	BIRD	abvd_97_bird_5
meting	meting	METING	abvd	BLACK	abvd_147_black_1
mohung	mohung	MOHUNG	abvd	ROTTEN	abvd_112_rotten_4
moni	moni	MONI	abvd	MALE PERSON	abvd_54_manmale_1
morik	morik	MORIK	abvd	BE ALIVE	abvd_76_tolivebealive_1
moru	moru	MORU	abvd	GREEN	abvd_151_green_4
muta	muta	MUTA	abvd	VOMIT	abvd_35_tovomit_1
màdu	mdu	MDU	abvd	SNAKE	abvd_106_snake_9
mèra	mra	MRA	abvd	SMALL	abvd_152_small_3
na	na	NA	abvd	HE OR SHE	abvd_184_heshe_1
namu	namu	NAMU	abvd	SIX	abvd_202_six_14
nei	nei	NEI	abvd	THIS	abvd_177_this_1
ngani	ngani	NGANI	abvd	SWIM	abvd_9_toswim_1
ngara	ngara	NGARA	abvd	NAME	abvd_63_name_1
ngílu	nglu	NGLU	abvd	WIND	abvd_136_wind_5
nou	nou	NOU	abvd	THAT	-
nou wawa	nouwawa	NOUWAWA	abvd	BELOW OR UNDER	abvd_176_below_1
nyemi	nyemi	NUEMI	abvd	YOU	abvd_186_you_14
nyiema	nyiema	NUIEMA	abvd	WE	abvd_185_we_2
nyouwa	nyouwa	NUOUWA	abvd	I	abvd_182_i_2
nàmu	nmu	NMU	abvd	HE OR SHE	-
nípi	npi	NPI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
oting	oting	OTING	abvd	COOK (SOMETHING)	-
ou	ou	OU	abvd	THOU	abvd_183_thou_1
pa-awuŋ	paawu	PAAWU	abvd	DIRTY	-
padak	padak	PADAK	abvd	SHORT	abvd_154_short_1
pade'iu	padeiu	PADEIU	abvd	NEEDLE (FOR SEWING)	-
padoini	padoini	PADOINI	abvd	SPIT	abvd_36_tospit_5
pahu	pahu	PAHU	abvd	SQUEEZE	abvd_88_tosqueeze_1
palu	palu	PALU	abvd	HIT	abvd_72_tohit_1
panewi	panewi	PANEWI	abvd	SAY	abvd_64_tosay_5
pangadang	pangadang	PANGADANG	abvd	THINK	abvd_21_tothink_3
panu	panu	PANU	abvd	SHOOT	abvd_70_toshoot_1
patu	patu	PATU	abvd	FOUR	abvd_200_four_1
pedi	pedi	PEDI	abvd	CHOOSE	abvd_85_tochoose_2
pengu	pengu	PENGU	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_6
pirang	pirang	PIRANG	abvd	WHEN	abvd_170_when_1
pitu	pitu	PITU	abvd	SEVEN	abvd_203_seven_1
piŋu	piu	PIU	abvd	FASTEN	abvd_66_totieupfasten_5
pogu	pogu	POGU	abvd	CUT OR HACK	abvd_78_tocuthack_4
pou	pou	POU	abvd	BLOW (OF WIND)	abvd_137_toblow_2
rara	rara	RARA	abvd	RED	abvd_149_red_5
robang	robang	ROBANG	abvd	CLOUD	abvd_131_cloud_1
rou	rou	ROU	abvd	FLESH OR MEAT	abvd_103_meatflesh_6
ràngu	rngu	RNGU	abvd	HEAR	abvd_44_tohear_1
rá	r	R	abvd	BLOOD	abvd_23_blood_1
rí	r	R	abvd	BONE	abvd_15_bone_2
rídung	rdung	RDUNG	abvd	NIGHT	abvd_167_night_7
rútu	rtu	RTU	abvd	GRASS	abvd_118_grass_2
ta	ta	TA	abvd	AT	abvd_173_at_7
ta rongu	tarongu	TARONGU	abvd	IN	-
tahik	tahik	TAHIK	abvd	SEA	abvd_124_sea_1
tama	tama	TAMA	abvd	SHARP	abvd_81_sharp_6
tana	tana	TANA	abvd	EARTH (SOIL)	abvd_119_earthsoil_1
tanei	tanei	TANEI	abvd	INTESTINES	abvd_16_intestines_1
tiki	tiki	TIKI	abvd	SAY	-
tilu	tilu	TILU	abvd	EGG	abvd_98_egg_1
tobu	tobu	TOBU	abvd	GROW	abvd_86_togrow_1
tou	tou	TOU	abvd	PERSON	abvd_53_personhumanbeing_1
tuang	tuang	TUANG	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_33
tàma	tma	TMA	abvd	LAKE	abvd_126_lake_4
túnu	tnu	TNU	abvd	BURN	abvd_144_toburn_1
urang	urang	URANG	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
wajal	wajal	WAYAL	abvd	WARM	abvd_138_warm_5
wala	wala	WALA	abvd	FLOWER	abvd_116_flower_4
walu	walu	WALU	abvd	EIGHT	abvd_204_eight_3
watu	watu	WATU	abvd	STONE	abvd_120_stone_1
wawa	wawa	WAWA	abvd	BELOW OR UNDER	abvd_176_below_1
weha	weha	WEHA	abvd	OPEN	abvd_92_toopenuncover_3
wei	wei	WEI	abvd	WATER	abvd_122_water_2
wihi	wihi	WIHI	abvd	FOOT OR LEG	abvd_4_legfoot_5?
wo-mata	womata	WOMATA	abvd	EYE	abvd_45_eye_1
wokahílu	wokahlu	WOKAHLU	abvd	EAR	abvd_43_ear_1
wolu	wolu	WOLU	abvd	FEATHER	abvd_99_feather_1
wua	wua	WUA	abvd	FRUIT	abvd_117_fruit_1
wua-ŋidu	wuaidu	WUAIDU	abvd	TOOTH	abvd_31_tooth_5
wurung	wurung	WURUNG	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_5
