Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-boad	boad	BOAD	abvd	COOK (SOMETHING)	-
-geva	geva	GEBA	abvd	FEAR (BE AFRAID)	-
-karak	karak	KARAK	abvd	CLIMB	-
-laun	laun	LAUN	abvd	POUND	-
-luasa	luasa	LUASA	abvd	SPIT	abvd_36_tospit_108
ar	ar	AR	abvd	THEY	abvd_187_they_25
ara	ara	ARA	abvd	WE	-
baji	baji	BAYI	abvd	WING	abvd_100_wing_20
baninini	baninini	BANININI	abvd	THIN	-
baras	baras	BARAS	abvd	YEAR	abvd_169_year_14
bareka	bareka	BAREKA	abvd	OLD	-
bau-evak	bauevak	BAUEBAK	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_103
bitaŋa	bitaa	BITAA	abvd	BIG	-
boe	boe	BOE	abvd	AND	abvd_192_and_27
boer	boer	BOER	abvd	STONE	abvd_120_stone_1
boka	boka	BOKA	abvd	SALT	abvd_125_salt_34
boxoba	boxoba	BOKOBA	abvd	FIVE	-
bulum	bulum	BULUM	abvd	FOREST	-
buna	buna	BUNA	abvd	RAIN (PRECIPITATION)	-
bunata	bunata	BUNATA	abvd	ASH	-
buso	buso	BUSO	abvd	LIVER	-
buti	buti	BUTI	abvd	SMALL	-
buŋa	bua	BUA	abvd	WHITE	abvd_148_white_119
bwarago	bwarago	BWARAGO	abvd	SIX	-
bwetol	bwetol	BWETOL	abvd	SEVEN	-
bʷare	bare	BARE	abvd	BLUNT	-
bʷarei	barei	BAREI	abvd	SPLIT	-
bʷer	ber	BER	abvd	STONE	-
da	da	DA	abvd	LEAF	abvd_114_leaf_1
dabʷaraki	dabaraki	DABARAKI	abvd	HIT	-
dagira	dagira	DAGIRA	abvd	DIRTY	-
dagru	dagru	DAGRU	abvd	BACK	abvd_13_back_12
dan	dan	DAN	abvd	WATER	abvd_122_water_1
dan ba	danba	DANBA	abvd	SEA	-
dandan	dandan	DANDAN	abvd	WET	abvd_141_wet_19
dara	dara	DARA	abvd	BLOOD	abvd_23_blood_1
dau	dau	DAU	abvd	LEAF	abvd_114_leaf_1
dia	dia	DIA	abvd	THEY	abvd_187_they_25
dubu	dubu	DUBU	abvd	SHORT	-
e-boale	eboale	EBOALE	abvd	SAY	abvd_64_tosay_50
e-jimu	ejimu	EYIMU	abvd	CHEW	abvd_38_tochew_65
e-kaik	ekaik	EKAIK	abvd	HOLD	-
e-kakabakan	ekakabakan	EKAKABAKAN	abvd	EAT	abvd_37_toeat_1
e-kaoatabo	ekaoatabo	EKAOATABO	abvd	CORRECT (RIGHT)	-
e-koa	ekoa	EKOA	abvd	WALK	abvd_5_towalk_70
e-korsafat	ekorsafat	EKORSAPAT	abvd	SCRATCH	abvd_77_toscratch_12
e-lot	elot	ELOT	abvd	SWELL	-
e-maoa	emaoa	EMAOA	abvd	YAWN	abvd_47_toyawn_19
e-maŋi	emai	EMAI	abvd	KILL	-
e-moaro	emoaro	EMOARO	abvd	SIT	abvd_51_tosit_18
e-nagu	enagu	ENAGU	abvd	STAB	-
e-nubija	enubija	ENUBIYA	abvd	LIE DOWN	-
e-oayooayo	eoayooayo	EOAUOOAUO	abvd	COUNT	-
e-oot	eoot	EOOT	abvd	COME	abvd_7_tocome_32
e-rerere	ererere	ERERERE	abvd	FEAR (BE AFRAID)	abvd_22_tofear_29
e-romaroma	eromaroma	EROMAROMA	abvd	SEE	abvd_46_tosee_21
e-rooo	erooo	EROOO	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
e-roŋoroŋo	erooroo	EROOROO	abvd	HEAR	abvd_44_tohear_1
e-saoat	esaoat	ESAOAT	abvd	OPEN	-
e-takere	etakere	ETAKERE	abvd	FALL	-
e-tano	etano	ETANO	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
e-taval	etaval	ETABAL	abvd	BE DEAD OR DIE	abvd_75_todiebedead_39
e-taŋ	eta	ETA	abvd	CRY	abvd_34_tocry_1
e-vaburo	evaburo	EBABURO	abvd	BREATHE	-
e-vanako	evanako	EBANAKO	abvd	STEAL	abvd_73_tosteal_1
e-ŋara	eara	EARA	abvd	SWIM	abvd_9_toswim_15
emoara	emoara	EMOARA	abvd	GROW	abvd_86_togrow_56
enekawa	enekawa	ENEKAWA	abvd	CORRECT (RIGHT)	-
ete	ete	ETE	abvd	WHO	abvd_189_who_54
fani	fani	PANI	abvd	SHOOT	abvd_70_toshoot_1
fila	fila	PILA	abvd	SAY	abvd_64_tosay_81
fisei	fisei	PISEI	abvd	SQUEEZE	abvd_88_tosqueeze_29
fitik	fitik	PITIK	abvd	LIGHTNING	abvd_135_lightning_34
fuŋa	fua	PUA	abvd	DUST	-
gamara	gamara	GAMARA	abvd	HEAD	abvd_24_head_55
gefo	gefo	GEPO	abvd	ASH	-
gig	gig	GIG	abvd	GREEN	-
giriri	giriri	GIRIRI	abvd	THUNDER	-
i	i	I	abvd	AT	abvd_173_at_1
i-borakaki	iborakaki	IBORAKAKI	abvd	SPLIT	-
i-eno	ieno	IENO	abvd	SLEEP	abvd_48_tosleep_8
i-falufalu	ifalufalu	IPALUPALU	abvd	SWELL	-
i-fanfantak	ifanfantak	IPANPANTAK	abvd	THROW	-
i-fanik	ifanik	IPANIK	abvd	HIT	-
i-farik	ifarik	IPARIK	abvd	CUT OR HACK	-
i-in	iin	IIN	abvd	DRINK	abvd_40_todrink_1
i-jika	ijika	IYIKA	abvd	ROTTEN	abvd_112_rotten_47
i-kakaraunu	ikakaraunu	IKAKARAUNU	abvd	SEW	-
i-kelkel	ikelkel	IKELKEL	abvd	DIG	abvd_90_todig_1
i-kumoaŋ	ikumoa	IKUMOA	abvd	VOMIT	-
i-manif	imanif	IMANIP	abvd	WORK (ACTIVITY)	abvd_83_towork_61
i-mustak	imustak	IMUSTAK	abvd	HIDE	-
i-ti	iti	ITI	abvd	STAND	-
i-tovotovor	itovotovor	ITOBOTOBOR	abvd	HUNT	-
i-tub	itub	ITUB	abvd	SWELL	abvd_87_toswell_12
i-tun	itun	ITUN	abvd	BURN	abvd_144_toburn_1
i-urak	iurak	IURAK	abvd	BLOW (OF WIND)	-
i-yaoe	iyaoe	IUAOE	abvd	LAUGH	-
i-ŋaŋasa	iaasa	IAASA	abvd	BREATHE	abvd_28_tobreathe_36
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
iama	iama	IAMA	abvd	THINK	-
iaoa	iaoa	IAOA	abvd	WIFE	abvd_58_wife_1
iata	iata	IATA	abvd	ABOVE	abvd_175_above_1
if	if	IP	abvd	IF	-
ika	ika	IKA	abvd	FISH	abvd_111_fish_1
iko	iko	IKO	abvd	THOU	abvd_183_thou_1
iku	iku	IKU	abvd	TAIL	abvd_105_tail_1
ilo	ilo	ILO	abvd	IN	abvd_174_ininside_1
ini	ini	INI	abvd	DRINK	abvd_40_todrink_1
ioa	ioa	IOA	abvd	FIRE	abvd_143_fire_1
itu	itu	ITU	abvd	STAR	abvd_130_star_1
jaboagai	jaboagai	YABOAGAI	abvd	BITE	-
jafa	jafa	YAPA	abvd	FEATHER	abvd_99_feather_12
jala	jala	YALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
jam	jam	YAM	abvd	DAY (NOT NIGHT)	abvd_168_day_70
jama-oia	jamaoia	YAMAOIA	abvd	DAY (NOT NIGHT)	-
jelebou	jelebou	YELEBOU	abvd	THROW	-
jer	jer	YER	abvd	EARTH (SOIL)	-
jim	jim	YIM	abvd	CLOUD	abvd_131_cloud_22
jula	jula	YULA	abvd	FLOWER	-
juli	juli	YULI	abvd	INTESTINES	-
jurub	jurub	YURUB	abvd	RED	-
ka	ka	KA	abvd	STICK	abvd_79_stickwood_1
kab	kab	KAB	abvd	WHERE	abvd_181_where_86
kaba	kaba	KABA	abvd	WHERE	abvd_181_where_86
kaba-eroma	kabaeroma	KABAEROMA	abvd	DREAM (SOMETHING)	-
kaba|kan	kabakan	KABAKAN	abvd	EAT	abvd_37_toeat_1
kabura	kabura	KABURA	abvd	SAND	abvd_121_sand_96
