Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	EAT	abvd_37_toeat_1?
a.u	au	AU	abvd	ASH	abvd_146_ashes_1
adinu	adinu	ADINU	abvd	STAR	abvd_130_star_6
ahu	ahu	AHU	abvd	DOG	abvd_96_dog_1
ai	ai	AI	abvd	STICK	abvd_79_stickwood_1
aik	aik	AIK	abvd	DIG	abvd_90_todig_4
aiku	aiku	AIKU	abvd	DIG	abvd_90_todig_4
akki	akki	AKKI	abvd	DIG	abvd_90_todig_4
alawu	alawu	ALAWU	abvd	RAT	abvd_102_rat_1
alei	alei	ALEI	abvd	LEFT	abvd_2_left_5?
am	am	AM	abvd	ROOT	abvd_115_root_3
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
amu	amu	AMU	abvd	ROOT	abvd_115_root_3
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
anakieda	anakieda	ANAKIEDA	abvd	CHILD	abvd_56_child_1
anakída	anakda	ANAKDA	abvd	CHILD	abvd_56_child_1
anuk	anuk	ANUK	abvd	CHILD	abvd_56_child_1
ap	ap	AP	abvd	FIRE	abvd_143_fire_1
api	api	API	abvd	FIRE	abvd_143_fire_1
apu	apu	APU	abvd	FIRE	abvd_143_fire_1
arumang	arumang	ARUMANG	abvd	CLOUD	-
ati	ati	ATI	abvd	LIVER	abvd_17_liver_1
atu	atu	ATU	abvd	LIVER	abvd_17_liver_1
au	au	AU	abvd	DUST	abvd_11_dust_1
awana	awana	AWANA	abvd	RIGHT	abvd_3_right_1
awang	awang	AWANG	abvd	SKY	abvd_128_sky_7
awaŋu	awau	AWAU	abvd	SKY	abvd_128_sky_7
awinu	awinu	AWINU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
awu	awu	AWU	abvd	ASH	abvd_146_ashes_1
bai	bai	BAI	abvd	POUND	abvd_93_topoundbeat_1
bakulu	bakulu	BAKULU	abvd	BIG	abvd_153_big_5
bara	bara	BARA	abvd	WHITE	abvd_148_white_3
be	be	BE	abvd	POUND	abvd_93_topoundbeat_1?
bera	bera	BERA	abvd	SPLIT	abvd_80_tosplit_1
bia	bia	BIA	abvd	POUND	abvd_93_topoundbeat_1?
bidi	bidi	BIDI	abvd	NEW	-
biding	biding	BIDING	abvd	NEW	-
bidung	bidung	BIDUNG	abvd	NEW	-
biera	biera	BIERA	abvd	SPLIT	abvd_80_tosplit_1
bièra	bira	BIRA	abvd	SPLIT	abvd_80_tosplit_1
biŋgăru	bigru	BIGRU	abvd	SPLIT	-
bo	bo	BO	abvd	SWELL	abvd_87_toswell_32
bohu	bohu	BOHU	abvd	STEAL	-
boka	boka	BOKA	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_5
