Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aba	âːɓa	BA	wikipron	-	-
amafutha	ámáfûːtʰa	MPTA	wikipron	-	-
amandla	ámáːⁿd̥ɮa̤	MDLA	wikipron	-	-
amanzi	ámâːⁿd̥zi̤	MDSI	wikipron	-	-
amarhewu	ámáxéːwu	MKWU	wikipron	-	-
amathe	ámaːtʰé	MAT	wikipron	-	-
amazimba	ámáz̥i̤ːᵐb̥a̤	MSIBA	wikipron	-	-
amendu	ámeːⁿd̥ṳ̌	MED	wikipron	-	-
amkela	am̩keːla	AMKELA	wikipron	-	-
apha	áːpʰa	PA	wikipron	-	-
apho	áːpʰo	PO	wikipron	-	-
awu	âːwu	WU	wikipron	-	-
bona	ɓoːná	BON	wikipron	-	-
caca	kǀaːkǀa	KTAKTA	wikipron	-	-
chunuba	kǀʰúnúːɓa	KTNBA	wikipron	-	-
cwaka	kǀʷaːka	KTAKA	wikipron	-	-
eli	êːli	LI	wikipron	-	-
elo	êːlo	LO	wikipron	-	-
esi	êːsi	SI	wikipron	-	-
eso	êːso	SO	wikipron	-	-
ewe	eːwé	EW	wikipron	-	-
ezi	êːz̥i̤	SI	wikipron	-	-
ezo	êːz̥o̤	SO	wikipron	-	-
funa	fûːna	PNA	wikipron	-	-
fuya	fúːja	PYA	wikipron	-	-
gcoba	ɡ̊ǀǒ̤ːɓa	GTBA	wikipron	-	-
gcweka	ɡ̊ǀʷe̤ːka	GTEKA	wikipron	-	-
gqi	ɡ̊ǃi̤	GTI	wikipron	-	-
gqiba	ɡ̊ǃi̤ːɓa	GTIBA	wikipron	-	-
gqitha	ɡ̊ǃǐ̤ːtʰá	GTT	wikipron	-	-
gqobhoka	ɡ̊ǃo̤b̥o̤ːka	GTOBOKA	wikipron	-	-
gqusha	ɡ̊ǃṳːʃa	GTSA	wikipron	-	-
gxaleka	ɡ̊ǁǎ̤leːka	GLLEKA	wikipron	-	-
gxotha	ɡ̊ǁo̤ːtʰa	GLOTA	wikipron	-	-
hayi	ɦǎ̤ːji	HYI	wikipron	-	-
hlanza	ɬáːⁿd̥za̤	LDSA	wikipron	-	-
hleka	ɬeːka	LEKA	wikipron	-	-
hleze	ɬéːz̥e̤	LSE	wikipron	-	-
hlonipha	ɬoniːpʰa	LONIPA	wikipron	-	-
ibala	íɓâːla	BLA	wikipron	-	-
ibandla	íɓâːⁿd̥ɮa̤	BDLA	wikipron	-	-
ibele	íɓéːle	BLE	wikipron	-	-
ibhari	íb̥ǎ̤ːri	BRI	wikipron	-	-
ibhasi	íb̥ǎ̤ːsi	BSI	wikipron	-	-
ibhatyi	íb̥ǎ̤ːci	BKI	wikipron	-	-
ibhayisikile	íb̥a̤jisíkiːle	BAYISKILE	wikipron	-	-
ibhekile	íb̥ě̤kiːle	BKILE	wikipron	-	-
ibhinqa	íb̥ǐ̤ːŋǃá	BNT	wikipron	-	-
ibhokhwe	íb̥ǒ̤ːkʰʷe	BKE	wikipron	-	-
ibhokisi	íb̥ǒ̤kîːsi	BKSI	wikipron	-	-
ibhola	íb̥ǒ̤ːla	BLA	wikipron	-	-
ibhotile	íb̥ǒ̤tîːle	BTLE	wikipron	-	-
ibhotolo	íb̥ǒ̤tôːlo	BTLO	wikipron	-	-
ibhulukhwe	íb̥ṳlúːkʰʷe	BLKE	wikipron	-	-
ibomvu	íɓoːᶬb̪̊vṳ̌	BOBB	wikipron	-	-
icala	íkǀâːla	KTLA	wikipron	-	-
iCawa	íkǀáːwa	KTWA	wikipron	-	-
icebo	íkǀêːɓo	KTBO	wikipron	-	-
icephe	íkǀeːpʰé	KTEP	wikipron	-	-
icesina	íkǀésiːna	KTSINA	wikipron	-	-
ichibi	íkǀʰiːɓí	KTIB	wikipron	-	-
icici	íkǀíːkǀí	KTKT	wikipron	-	-
iculo	íkǀuːlo	KTULO	wikipron	-	-
idada	íd̥a̤ːd̥a̤	DADA	wikipron	-	-
idinala	íd̥ǐ̤nâːla	DNLA	wikipron	-	-
idolo	íd̥o̤ːlo	DOLO	wikipron	-	-
idolophu	íd̥ǒ̤lôːpʰu	DLPU	wikipron	-	-
idyasi	íɟa̤ːsi	GASI	wikipron	-	-
idyokhwe	íɟ̥ǒ̤ːkʰʷe	GKE	wikipron	-	-
idzedze	íd̥zě̤ːd̥ze̤	DSDSE	wikipron	-	-
ifama	ífáːma	PMA	wikipron	-	-
ifestile	íféstiːle	PSTILE	wikipron	-	-
ifolokhwe	ífólóːkʰʷe	PLKE	wikipron	-	-
igaba	íɡ̊a̤᷈ːɓa	GABA	wikipron	-	-
igadi	íɡ̊ǎ̤ːd̥i̤	GDI	wikipron	-	-
igama	íɡ̊a̤᷈ːma	GAMA	wikipron	-	-
igaraji	íɡ̊a̤ráːd̥ʒi̤	GARDSI	wikipron	-	-
igazi	íɡ̊a̤ːz̥ǐ̤	GAS	wikipron	-	-
igcisa	íɡ̊ǀǐ̤ːsá	GTS	wikipron	-	-
igeza	íɡ̊e̤ːz̥a̤	GESA	wikipron	-	-
igogogo	íɡ̊o̤ɡ̊ǒ̤ːɡ̊o̤	GOGGO	wikipron	-	-
igolide	íɡ̊o̤líːd̥e̤	GOLDE	wikipron	-	-
igorha	íɡ̊ǒ̤ːxa	GKA	wikipron	-	-
igqabi	íɡ̊ǃa̤ːɓi	GTABI	wikipron	-	-
igqirha	íɡ̊ǃi̤ːxa	GTIKA	wikipron	-	-
igqwetha	íɡ̊ǃʷe̤ːtʰá	GTET	wikipron	-	-
igqwirha	íɡ̊ǃʷǐ̤ːxa	GTKA	wikipron	-	-
igqwirhakazi	íɡ̊ǃʷǐ̤xákaːz̥i̤	GTKKASI	wikipron	-	-
igubu	íɡ̊ṳːɓú	GB	wikipron	-	-
igumbi	íɡ̊ṳːᵐb̥ǐ̤	GB	wikipron	-	-
igunya	íɡ̊ṳ᷈ːɲa	GNA	wikipron	-	-
igusha	íɡ̊ṳːʃa	GSA	wikipron	-	-
igwala	íɡ̊ʷa̤ːlá	GAL	wikipron	-	-
igwebu	íɡ̊ʷe̤ːɓu	GEBU	wikipron	-	-
igwinya	íɡ̊ʷi̤ːɲá	GIN	wikipron	-	-
igxalaba	íɡ̊ǁa̤láːɓa	GLALBA	wikipron	-	-
ihashe	íɦǎ̤ːʃe	HSE	wikipron	-	-
ihempe	íɦě̤ːᵐpe	HPE	wikipron	-	-
ihlathi	íɬâːtʰi	LTI	wikipron	-	-
ihlobo	íɬoːɓo	LOBO	wikipron	-	-
ihlwempu	íɬʷeːᵐpú	LEP	wikipron	-	-
ihobe	íɦo̤ːɓé	HOB	wikipron	-	-
ihotele	íɦo̤têːle	HOTLE	wikipron	-	-
ijam	íd̥ʒǎ̤ːm̩	DSM	wikipron	-	-
ijezi	íd̥ʒe̤ːz̥ǐ̤	DSES	wikipron	-	-
ijogo	íd̥ʒǒ̤ːɡ̊o̤	DSGO	wikipron	-	-
ikampu	íkáːᵐpu	KPU	wikipron	-	-
iKapa	íkáːpa	KPA	wikipron	-	-
ikati	íkáːti	KTI	wikipron	-	-
ikawusi	íkáwúːsi	KWSI	wikipron	-	-
ikeki	íkéːki	KKI	wikipron	-	-
ikhabhathi	íkʰáb̥a̤ːtʰi	KBATI	wikipron	-	-
ikhaphetshu	íkʰápʰeːtʃʰu	KPETSU	wikipron	-	-
ikhaya	íkʰâːja	KYA	wikipron	-	-
ikhephu	íkʰéːpʰu	KPU	wikipron	-	-
ikhitshi	íkʰiːtʃʰi	KITSI	wikipron	-	-
ikhuba	íkʰuːɓa	KUBA	wikipron	-	-
