Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ahu	ahu	AHU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
ai	ai	AI	abvd	THIS	-
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
anambula	anambula	ANAMBULA	abvd	STAR	-
api	api	API	abvd	FIRE	abvd_143_fire_1
asade	asade	ASADE	abvd	ONE	-
asaetu	asaetu	ASAETU	abvd	HUNDRED	-
asamadala	asamadala	ASAMADALA	abvd	THOUSAND	-
aso	aso	ASO	abvd	THAT	-
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
aɸu	aɸu	APU	abvd	ASH	abvd_146_ashes_1
bake	bake	BAKE	abvd	FRUIT	abvd_117_fruit_11
balula	balula	BALULA	abvd	SKIN	abvd_12_skin_64
bio	bio	BIO	abvd	EGG	-
biri	biri	BIRI	abvd	EAR	abvd_43_ear_26
buraŋa	buraa	BURAA	abvd	SAND	-
buŋabuŋa	buabua	BUABUA	abvd	FLOWER	abvd_116_flower_1
dahu	dahu	DAHU	abvd	DOG	abvd_96_dog_1
elo	elo	ELO	abvd	TONGUE	abvd_32_tongue_4
eŋe	ee	EE	abvd	NOSE	abvd_27_nose_20
eʔe	eʔe	EHE	abvd	WATER	-
feʔu	feʔu	PEHU	abvd	NECK	-
haka	haka	HAKA	abvd	ROOT	abvd_115_root_2
hapao	hapao	HAPAO	abvd	WHAT	-
heke	heke	HEKE	abvd	LAUGH	-
hoalu	hoalu	HOALU	abvd	EIGHT	-
hopulu	hopulu	HOPULU	abvd	TEN	-
i tonto	itonto	ITONTO	abvd	BELOW OR UNDER	-
i ɸaɸo	iɸaɸo	IPAPO	abvd	ABOVE	abvd_175_above_2
ihi	ihi	IHI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
ika	ika	IKA	abvd	FISH	abvd_111_fish_1
iki	iki	IKI	abvd	TAIL	abvd_105_tail_1
inade	inade	INADE	abvd	HE OR SHE	-
inaiko	inaiko	INAIKO	abvd	WHO	-
indade	indade	INDADE	abvd	THEY	-
indo	indo	INDO	abvd	MOTHER	abvd_59_mother_16
iŋkami	ikami	IKAMI	abvd	WE	-
iŋkita	ikita	IKITA	abvd	WE	-
iŋkoʔo	ikoʔo	IKOHO	abvd	THOU	-
iŋkude	ikude	IKUDE	abvd	I	-
kanaʔumpe	kanaʔumpe	KANAHUMPE	abvd	HOW	-
karu	karu	KARU	abvd	FOOT OR LEG	abvd_4_legfoot_49
kasu	kasu	KASU	abvd	STICK	-
keu	keu	KEU	abvd	STICK	abvd_79_stickwood_1
kodoledole	kodoledole	KODOLEDOLE	abvd	LIE DOWN	-
koloro	koloro	KOLORO	abvd	ROPE	-
koʔoni	koʔoni	KOHONI	abvd	SAY	-
kundo	kundo	KUNDO	abvd	CLOUD	-
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
lahumoa	lahumoa	LAHUMOA	abvd	SKY	-
laroɸana	laroɸana	LAROPANA	abvd	FOREST	-
lefe	lefe	LEPE	abvd	LEAF	-
leu	leu	LEU	abvd	COME	-
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
lumaa	lumaa	LUMAA	abvd	FLY (MOVE THROUGH AIR)	-
lumaŋi	lumai	LUMAI	abvd	SWIM	abvd_9_toswim_1
lumiŋka	lumika	LUMIKA	abvd	WALK	-
maina	maina	MAINA	abvd	WHERE	abvd_181_where_13
malo	malo	MALO	abvd	NIGHT	abvd_167_night_25
manumanu	manumanu	MANUMANU	abvd	BIRD	abvd_97_bird_1
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
mate	mate	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
memelu	memelu	MEMELU	abvd	VOMIT	-
mentade	mentade	MENTADE	abvd	STAND	-
meʔunuhi	meʔunuhi	MEHUNUHI	abvd	SPIT	-
mia	mia	MIA	abvd	PERSON	abvd_53_personhumanbeing_19
mobiru	mobiru	MOBIRU	abvd	GREEN	-
mobula	mobula	MOBULA	abvd	WHITE	-
mohiɸu	mohiɸu	MOHIPU	abvd	SMALL	-
moiko	moiko	MOIKO	abvd	GOOD	-
mokula	mokula	MOKULA	abvd	WARM	-
mokuni	mokuni	MOKUNI	abvd	YELLOW	-
molihe	molihe	MOLIHE	abvd	SEE	abvd_46_tosee_79
momapu	momapu	MOMAPU	abvd	COLD	-
mombeu	mombeu	MOMBEU	abvd	POUND	-
momea	momea	MOMEA	abvd	RED	-
mompepate	mompepate	MOMPEPATE	abvd	KILL	abvd_74_tokill_22
mondoʔu	mondoʔu	MONDOHU	abvd	DRINK	-
mopane	mopane	MOPANE	abvd	WARM	-
moroŋe	moroe	MOROE	abvd	HEAR	abvd_44_tohear_1
motui	motui	MOTUI	abvd	DRY	-
moturi	moturi	MOTURI	abvd	SLEEP	abvd_48_tosleep_1
motuʔa	motuʔa	MOTUHA	abvd	OLD	abvd_162_old_1
moŋkaa	mokaa	MOKAA	abvd	EAT	abvd_37_toeat_1
moŋkiki	mokiki	MOKIKI	abvd	BITE	abvd_41_tobite_1
moʔipi	moʔipi	MOHIPI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
moʔito	moʔito	MOHITO	abvd	BLACK	-
moʔonto	moʔonto	MOHONTO	abvd	SEE	abvd_46_tosee_78
naida	naida	NAIDA	abvd	NO OR NOT	-
nee	nee	NEE	abvd	NAME	-
ohia	ohia	OHIA	abvd	SALT	-
okuda	okuda	OKUDA	abvd	NEAR	-
okunda	okunda	OKUNDA	abvd	SHORT	-
olai	olai	OLAI	abvd	FAR	-
olima	olima	OLIMA	abvd	FIVE	-
ondau	ondau	ONDAU	abvd	LONG	-
onoo	onoo	ONOO	abvd	SIX	-
opaa	opaa	OPAA	abvd	FOUR	abvd_200_four_1
opitu	opitu	OPITU	abvd	SEVEN	-
orua	orua	ORUA	abvd	TWO	abvd_198_two_1
osio	osio	OSIO	abvd	NINE	abvd_205_nine_5
otolu	otolu	OTOLU	abvd	THREE	abvd_199_three_1
oɸose	oɸose	OPOSE	abvd	BIG	-
rano	rano	RANO	abvd	LAKE	abvd_126_lake_1
rapa	rapa	RAPA	abvd	HEAD	-
rea	rea	REA	abvd	BLOOD	abvd_23_blood_1
ruapulu	ruapulu	RUAPULU	abvd	TWENTY	-
sala	sala	SALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
saluɸuo	saluɸuo	SALUPUO	abvd	ALL	-
sarai	sarai	SARAI	abvd	NEW	-
sumoŋko	sumoko	SUMOKO	abvd	BURN	-
susu	susu	SUSU	abvd	BREAST	abvd_18_breast_1
