Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a:ru	aru	ARU	abvd	EIGHT	abvd_204_eight_3
aaka	aaka	AAKA	abvd	BAD OR EVIL	abvd_165_badevil_73
aalu	aalu	AALU	abvd	EIGHT	abvd_204_eight_3
aanci	aanci	AANKI	abvd	WHERE	-
abasə	abasə	ABASE	abvd	TONGUE	abvd_32_tongue_5
abu	abu	ABU	abvd	ASH	abvd_146_ashes_1
aku	aku	AKU	abvd	I	abvd_182_i_1
aluvu	aluvu	ALUBU	abvd	THATCH OR ROOF	abvd_62_thatchroof_56
alámə	almə	ALME	abvd	FLESH OR MEAT	-
anaanan	anaanan	ANAANAN	abvd	RIGHT	abvd_3_right_1
ananə	ananə	ANANE	abvd	RIGHT	abvd_3_right_1
anisi	anisi	ANISI	abvd	TOOTH	abvd_31_tooth_2
anán	ann	ANN	abvd	RIGHT	abvd_3_right_1
anísi	ansi	ANSI	abvd	TOOTH	abvd_31_tooth_2
aparatə	aparatə	APARATE	abvd	LIGHTNING	abvd_135_lightning_4
apoŋṵ	apo	APO	abvd	WING	abvd_100_wing_29
apulu	apulu	APULU	abvd	FIRE	abvd_143_fire_1
apúlu	aplu	APLU	abvd	FIRE	abvd_143_fire_1
apúŋu	apu	APU	abvd	FEATHER	abvd_99_feather_31
aracaini	aracaini	ARAKAINI	abvd	FAR	abvd_180_far_2
aracakanu	aracakanu	ARAKAKANU	abvd	HUNT	abvd_69_tohunt_71
aracakaŋə	aracakaə	ARAKAKAE	abvd	HUNT	abvd_69_tohunt_71
aracani	aracani	ARAKANI	abvd	NEAR	abvd_179_near_1
aratakarə	aratakarə	ARATAKARE	abvd	STAND	abvd_52_tostand_78
aráka	arka	ARKA	abvd	BAD OR EVIL	abvd_165_badevil_73
ar̃acani	ar̃acani	ARAKANI	abvd	NEAR	abvd_179_near_1
aáka	aka	AKA	abvd	BAD OR EVIL	abvd_165_badevil_73
aŋiyacaŋṵ	aiyaca	AIUAKA	abvd	SHOULDER	abvd_19_shoulder_49
aŋílisi	alisi	ALISI	abvd	FAT (ORGANIC SUBSTANCE)	-
buŋabuŋa	buabua	BUABUA	abvd	FLOWER	abvd_116_flower_1
caani	caani	KAANI	abvd	ONE	abvd_197_one_3
caanə	caanə	KAANE	abvd	PATH OR ROAD	abvd_6_roadpath_1
cacáu	cacu	KAKU	abvd	DOG	abvd_96_dog_8
cainana	cainana	KAINANA	abvd	YEAR	abvd_169_year_22
cakəranə tatia	cakəranətatia	KAKERANETATIA	abvd	SEA	-
camunu	camunu	KAMUNU	abvd	ROTTEN	-
canumu	canumu	KANUMU	abvd	WATER	abvd_122_water_1
canúmu	canmu	KANMU	abvd	WATER	abvd_122_water_1
